	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Plac8	0	-3.43722642580632	0.005	0.838	0	DPre	DN_Precursors
Gm4632	0	-3.21911863087852	0.006	0.937	0	DPre	DN_Precursors
Il2ra	0	-3.18452024174033	0.034	0.937	0	DPre	DN_Precursors
Atp8b4	0	-2.89188662872234	0.008	0.919	0	DPre	DN_Precursors
Trgc2	0	-2.7027750876663	0.001	0.874	0	DPre	DN_Precursors
Trgc1	0	-2.6979348511468	0.003	0.856	0	DPre	DN_Precursors
Trgc4	0	-2.17349859859426	0.002	0.793	0	DPre	DN_Precursors
Trgv2	0	-2.16686444731642	0.002	0.658	0	DPre	DN_Precursors
Hes1	0	-2.11487925773643	0.001	0.793	0	DPre	DN_Precursors
Zeb2	0	-2.01881835548896	0.004	0.721	0	DPre	DN_Precursors
Ccnd2	0	-1.89515419151883	0.005	0.82	0	DPre	DN_Precursors
Nckap5	0	-1.50536414526114	0.005	0.676	0	DPre	DN_Precursors
Ldlr	0	-1.43047749142235	0.01	0.703	0	DPre	DN_Precursors
Tmem121	0	-1.38770025163066	0.009	0.676	0	DPre	DN_Precursors
Il7r	0	-1.37019298655131	0.003	0.667	0	DPre	DN_Precursors
1500009L16Rik	0	-1.33333594736161	0.008	0.748	0	DPre	DN_Precursors
Ifitm2	0	-1.03273554868996	0.001	0.595	0	DPre	DN_Precursors
Epb41l4b	0	-0.998100868330576	0.002	0.577	0	DPre	DN_Precursors
Gm5111	1.26582626706043e-301	-0.716700202757097	0	0.486	4.26532818948682e-297	DPre	DN_Precursors
Ctla2a	1.83757605875756e-297	-1.04213035820989	0.002	0.532	6.19189628758946e-293	DPre	DN_Precursors
Gria3	1.19182607602269e-293	-2.16228180291274	0.028	0.865	4.01597714576604e-289	DPre	DN_Precursors
Fads2	3.18384483125155e-286	-0.806624089349981	0.002	0.514	1.07282835433852e-281	DPre	DN_Precursors
Coro2a	7.63922308995859e-283	-0.901006778133069	0.003	0.532	2.57411261239245e-278	DPre	DN_Precursors
Wdfy4	1.4194600646268e-262	-0.846835702492954	0.001	0.459	4.78301263376647e-258	DPre	DN_Precursors
Gprin3	6.52910434786537e-257	-1.04652811525886	0.001	0.45	2.20004700105672e-252	DPre	DN_Precursors
Myl10	1.07767669305995e-256	-3.36455097104768	0.055	0.955	3.6313393849348e-252	DPre	DN_Precursors
ENSMUSG00000121501	9.21446480605509e-253	-0.935295747269786	0.006	0.541	3.10490606104832e-248	DPre	DN_Precursors
Erg	1.06826584569062e-250	-0.711886057896429	0	0.414	3.5996285936391e-246	DPre	DN_Precursors
Nkg7	2.76469677068976e-243	-0.837637725611177	0.003	0.459	9.31592223851622e-239	DPre	DN_Precursors
Adamts17	3.58952797538213e-237	-1.748884437221	0.028	0.757	1.20952734658476e-232	DPre	DN_Precursors
Sema4a	7.64571121219107e-234	-0.495064267424915	0.001	0.396	2.5762988500599e-229	DPre	DN_Precursors
Mcub	1.42663091718103e-230	-1.2800573043804	0.021	0.685	4.8071755385332e-226	DPre	DN_Precursors
H2-Q7	8.46465155061763e-227	-0.802640420643233	0.004	0.459	2.85224898649612e-222	DPre	DN_Precursors
Cdh1	2.5538524625711e-218	-0.602212629110616	0.002	0.396	8.60546125787957e-214	DPre	DN_Precursors
Khdc1a	2.62101208375103e-217	-0.682181057218256	0	0.351	8.83176231740746e-213	DPre	DN_Precursors
