	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Gm2682	0	-4.36670981819561	0.006	0.733	0	DPre	Monocyte_Macrophages_Dendritic
S100a6	0	-3.42725783619788	0.006	0.704	0	DPre	Monocyte_Macrophages_Dendritic
Il7r	0	-3.3879318493498	0.003	0.77	0	DPre	Monocyte_Macrophages_Dendritic
Chn2	0	-3.11485469312077	0.004	0.726	0	DPre	Monocyte_Macrophages_Dendritic
Nkg7	0	-2.95178282060205	0.003	0.77	0	DPre	Monocyte_Macrophages_Dendritic
Klrk1	0	-2.64725044907053	0.001	0.519	0	DPre	Monocyte_Macrophages_Dendritic
Ccnd2	0	-2.45391020263992	0.005	0.889	0	DPre	Monocyte_Macrophages_Dendritic
H2-Q7	0	-2.37586502637448	0.004	0.8	0	DPre	Monocyte_Macrophages_Dendritic
Il18r1	0	-2.17049610819852	0.003	0.637	0	DPre	Monocyte_Macrophages_Dendritic
Gimap4	0	-2.10662967764866	0.004	0.741	0	DPre	Monocyte_Macrophages_Dendritic
Atp8b4	0	-2.03751282565589	0.008	0.659	0	DPre	Monocyte_Macrophages_Dendritic
Il2rb	0	-1.99517007698705	0.001	0.741	0	DPre	Monocyte_Macrophages_Dendritic
Cd53	0	-1.97699628048398	0.033	0.919	0	DPre	Monocyte_Macrophages_Dendritic
Klrd1	0	-1.97279867172882	0	0.511	0	DPre	Monocyte_Macrophages_Dendritic
Cd7	0	-1.94673101424038	0	0.607	0	DPre	Monocyte_Macrophages_Dendritic
Ctsw	0	-1.84199192887938	0.007	0.726	0	DPre	Monocyte_Macrophages_Dendritic
Ahnak	0	-1.79992541867877	0.006	0.674	0	DPre	Monocyte_Macrophages_Dendritic
Hopx	0	-1.76134826368655	0.001	0.6	0	DPre	Monocyte_Macrophages_Dendritic
Coro2a	0	-1.71689882558176	0.003	0.622	0	DPre	Monocyte_Macrophages_Dendritic
Gimap3	0	-1.64749967467826	0.007	0.719	0	DPre	Monocyte_Macrophages_Dendritic
Chd7	0	-1.41658636425087	0.001	0.585	0	DPre	Monocyte_Macrophages_Dendritic
ENSMUSG00000121501	0	-1.38444824883819	0.006	0.681	0	DPre	Monocyte_Macrophages_Dendritic
Smad7	0	-1.32203440384935	0.001	0.607	0	DPre	Monocyte_Macrophages_Dendritic
Ctss	0	-1.22265418423696	0.002	0.541	0	DPre	Monocyte_Macrophages_Dendritic
Il18rap	0	-1.2027856679533	0	0.496	0	DPre	Monocyte_Macrophages_Dendritic
Sema4a	0	-1.10225133980679	0.001	0.519	0	DPre	Monocyte_Macrophages_Dendritic
Pvt1	1.46464004654092e-307	-1.43956779026907	0.004	0.563	4.93525110082429e-303	DPre	Monocyte_Macrophages_Dendritic
Samhd1	1.22629583424889e-297	-1.52393537180449	0.005	0.57	4.13212644308506e-293	DPre	Monocyte_Macrophages_Dendritic
Id2	1.42076484986241e-295	-2.70722455411627	0.019	0.726	4.78740923809638e-291	DPre	Monocyte_Macrophages_Dendritic
S100a4	1.01551729105651e-290	-2.15972086777134	0.001	0.496	3.42188706394402e-286	DPre	Monocyte_Macrophages_Dendritic
Lfng	7.42397809862398e-290	-0.877493239498071	0.001	0.489	2.50158366011234e-285	DPre	Monocyte_Macrophages_Dendritic
Xcl1	6.17392335948413e-281	-1.43101382016991	0	0.452	2.08036521521177e-276	DPre	Monocyte_Macrophages_Dendritic
Ms4a4b	5.97556158134218e-278	-3.53152408277993	0.046	0.889	2.01352523044906e-273	DPre	Monocyte_Macrophages_Dendritic
Arsb	3.4111786038952e-277	-1.41444491254889	0.002	0.489	1.14943074236853e-272	DPre	Monocyte_Macrophages_Dendritic
Ly6c2	4.31333497365188e-277	-3.05591736796568	0.001	0.474	1.45342135272174e-272	DPre	Monocyte_Macrophages_Dendritic
Klrb1c	2.85348536115867e-276	-1.46072078403869	0	0.444	9.61510427296026e-272	DPre	Monocyte_Macrophages_Dendritic
Fgl2	2.85348536115867e-276	-1.20967597780814	0	0.444	9.61510427296026e-272	DPre	Monocyte_Macrophages_Dendritic
Samd3	4.41456402154505e-276	-1.24279682191618	0	0.452	1.48753149269982e-271	DPre	Monocyte_Macrophages_Dendritic
H2-Q6	4.68537409374941e-276	-1.02149627015579	0	0.452	1.5787836546298e-271	DPre	Monocyte_Macrophages_Dendritic
