	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Cd5	0	-2.4859637322068	0.165	0.833	0	DPre	SP
Tox	5.84508567586543e-286	-2.6310378378364	0.627	0.991	1.96956006933961e-281	DPre	SP
Rag1	6.28772996640873e-284	2.5610177439281	0.984	0.358	2.11871348948109e-279	DPre	SP
Cd2	8.72338897990799e-266	-2.11553777310478	0.16	0.762	2.9394331506698e-261	DPre	SP
Arpp21	1.51766818421267e-244	1.85207975269815	0.997	0.666	5.11393471352301e-240	DPre	SP
A430093F15Rik	3.80452513648994e-232	-1.70447861599034	0.022	0.444	1.28197278999165e-227	DPre	SP
Bach2	1.86026172772615e-225	-2.17201807766647	0.07	0.572	6.26833791774605e-221	DPre	SP
Ikzf2	4.47453772649032e-203	-2.9698727287246	0.289	0.798	1.50774023231818e-198	DPre	SP
Bcl2	2.0519153811405e-194	-1.89915388985557	0.079	0.544	6.91413406829103e-190	DPre	SP
Tmsb10	3.60526549971469e-194	-2.72570039373703	0.808	0.965	1.21483026278386e-189	DPre	SP
Nab2	1.68457070895495e-188	-1.02003827845549	0.008	0.328	5.67632946089459e-184	DPre	SP
Hivep3	4.04742389973819e-183	-2.17284883439611	0.056	0.468	1.36381995725578e-178	DPre	SP
4930417O13Rik	2.53888547479482e-181	-1.28362792465049	0.063	0.494	8.55502849586864e-177	DPre	SP
Arap2	8.26093305509445e-174	-1.56901984724936	0.466	0.9	2.78360400224463e-169	DPre	SP
Cd28	4.06622730914172e-163	-1.45402284292971	0.651	0.947	1.37015595408839e-158	DPre	SP
Egr1	1.37545883653046e-159	-1.75958235414096	0.027	0.356	4.63474609557305e-155	DPre	SP
Cd69	4.70056618502474e-158	-1.50478667472881	0.054	0.428	1.58390278170594e-153	DPre	SP
B630019A10Rik	9.74257692016672e-158	-1.11693798545511	0.015	0.314	3.28285871901938e-153	DPre	SP
Dntt	1.15376911037184e-156	1.31611489646964	0.976	0.569	3.88774039430896e-152	DPre	SP
Clec2d	3.26598060279366e-152	-1.31685649929841	0.208	0.689	1.10050482391735e-147	DPre	SP
Cd8b1	2.3870475132062e-146	1.03780151324444	0.999	0.786	8.04339530049962e-142	DPre	SP
Pfn1	1.10029005588338e-145	-0.891283468752316	0.994	1	3.70753737230462e-141	DPre	SP
Cd4	3.41536092566556e-145	1.23875981848255	0.945	0.592	1.15084001751227e-140	DPre	SP
Xrcc6	1.15633452274917e-142	1.36419144142061	0.861	0.449	3.89638480785561e-138	DPre	SP
St6gal1	2.15124338495868e-140	-1.3596814757982	0.268	0.765	7.24882970995677e-136	DPre	SP
Itm2a	8.06662182273583e-139	-2.02180285305205	0.065	0.416	2.71812888938906e-134	DPre	SP
Endou	8.84315622829028e-137	1.44300656425883	0.838	0.353	2.97978992268469e-132	DPre	SP
Mier1	3.02899317006814e-136	1.08838748928698	0.989	0.859	1.02064953858616e-131	DPre	SP
Glcci1	1.34380094514083e-134	1.06103296009522	0.995	0.848	4.52807166474656e-130	DPre	SP
Cd53	1.48987718651194e-132	-1.08858063961021	0.033	0.336	5.02029016767063e-128	DPre	SP
Shisa5	1.93113922800332e-131	-1.14689401241233	0.158	0.594	6.50716674267998e-127	DPre	SP
Mad1l1	1.74247734651489e-130	1.33748514064559	0.871	0.506	5.87145166681657e-126	DPre	SP
Rgs10	8.05365586079981e-130	-1.78395051804963	0.469	0.818	2.7137598788551e-125	DPre	SP
Stk17b	1.00021961378365e-128	-1.28526039456444	0.411	0.821	3.37034001060539e-124	DPre	SP
Lcp1	7.6971969767475e-128	-1.37729926916035	0.233	0.667	2.59364749328484e-123	DPre	SP
Trac	8.19183544383452e-127	-1.15846884293852	0.691	0.96	2.76032087115448e-122	DPre	SP
Arl5c	3.03047181588737e-126	1.35948158564019	0.862	0.463	1.02114778308141e-121	DPre	SP
Actb	5.86149918217787e-122	-0.702357509932538	1	1	1.97509076442666e-117	DPre	SP
Cd226	4.03403190378566e-121	-1.2026144616782	0.046	0.352	1.35930739029961e-116	DPre	SP
Hmgb1	1.35864527250582e-119	0.796033110859077	0.999	0.988	4.57809111023563e-115	DPre	SP
Rapgef6	6.53126669709384e-117	-1.28866372242253	0.556	0.887	2.20077562625274e-112	DPre	SP
Rmnd5a	7.70358424912802e-115	0.990709218280154	0.969	0.77	2.59579974858618e-110	DPre	SP
Abi2	1.09962833994431e-113	-0.814324768774792	0.023	0.274	3.70530765427636e-109	DPre	SP
Septin11	2.27682050598143e-112	-1.26925380491682	0.121	0.488	7.67197437695502e-108	DPre	SP
Rap1a	1.14066669886978e-110	-1.16292563154086	0.701	0.902	3.84359050851163e-106	DPre	SP
Ikzf1	8.94444858909811e-108	-1.05703820236409	0.897	0.982	3.0139213965825e-103	DPre	SP
Ppm1h	7.79476096390429e-105	1.03241238152975	0.94	0.682	2.62652265439719e-100	DPre	SP
Maml2	1.11891676940123e-104	-1.60502684857784	0.339	0.724	3.77030194617439e-100	DPre	SP
Septin7	6.66563620469573e-104	-1.30673685733834	0.612	0.867	2.24605277553427e-99	DPre	SP
Ssbp2	6.51786897738932e-103	0.918525806056509	0.983	0.849	2.19626113062111e-98	DPre	SP
Ccr4	7.57284001778481e-102	-0.70220993288513	0.017	0.233	2.55174417239277e-97	DPre	SP
Lef1	1.43247966232306e-101	-1.67855230163454	0.811	0.946	4.82688347016379e-97	DPre	SP
Raph1	1.78004395728892e-101	-0.815187619900552	0.029	0.271	5.99803611848074e-97	DPre	SP
Chrna9	3.33885234662408e-101	1.13208329340797	0.855	0.485	1.12505968671845e-96	DPre	SP
Arid5b	4.335284783492e-99	-1.19100458666142	0.067	0.362	1.46081756064547e-94	DPre	SP
Actg1	1.60576814667402e-97	-0.975903737322636	0.778	0.965	5.41079634703278e-93	DPre	SP
Nfatc3	3.71419465143544e-97	0.954417329940478	0.918	0.726	1.25153502974768e-92	DPre	SP
Btla	4.0046082724966e-93	-0.659334842688078	0.001	0.152	1.34939280350045e-88	DPre	SP
Desi1	1.4210881933104e-91	1.08583315194757	0.807	0.484	4.78849877617873e-87	DPre	SP
Plcl2	3.59984059158894e-91	-1.2168787562841	0.274	0.657	1.21300228574181e-86	DPre	SP
