	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
H1f5	0	-4.44970986280647	0.341	0.97	0	DPre	preDP_DPblast
Hmgb2	0	-4.39910023406315	0.548	1	0	DPre	preDP_DPblast
Top2a	0	-4.0136551758285	0.056	0.977	0	DPre	preDP_DPblast
H2ac8	0	-3.7975169964554	0.248	0.945	0	DPre	preDP_DPblast
H3c3	0	-3.55243720171477	0.028	0.883	0	DPre	preDP_DPblast
H2ac24	0	-3.46174970027534	0.166	0.924	0	DPre	preDP_DPblast
Pclaf	0	-3.45680400246685	0.033	0.975	0	DPre	preDP_DPblast
Tuba1b	0	-3.42318842847327	0.109	0.989	0	DPre	preDP_DPblast
Mki67	0	-3.36939273939863	0.033	0.98	0	DPre	preDP_DPblast
H2ac4	0	-3.32458233943232	0.081	0.889	0	DPre	preDP_DPblast
Hmgn2	0	-3.29361861938408	0.254	0.998	0	DPre	preDP_DPblast
Ube2c	0	-3.15140675170631	0.038	0.832	0	DPre	preDP_DPblast
H2az1	0	-2.99939138569788	0.746	1	0	DPre	preDP_DPblast
Stmn1	0	-2.93352033339665	0.535	1	0	DPre	preDP_DPblast
Nusap1	0	-2.87733669903436	0.019	0.806	0	DPre	preDP_DPblast
H2ac22	0	-2.78528114180651	0.079	0.893	0	DPre	preDP_DPblast
Birc5	0	-2.77121789353201	0.014	0.931	0	DPre	preDP_DPblast
Cks2	0	-2.6094236829134	0.077	0.922	0	DPre	preDP_DPblast
Rrm2	0	-2.56658042328957	0.022	0.949	0	DPre	preDP_DPblast
Cenpf	0	-2.55439789950406	0.031	0.831	0	DPre	preDP_DPblast
Ptma	0	-2.52644208486663	0.993	1	0	DPre	preDP_DPblast
Kif11	0	-2.49441117147631	0.02	0.896	0	DPre	preDP_DPblast
Lockd	0	-2.4860804015316	0.131	0.984	0	DPre	preDP_DPblast
Dut	0	-2.46436363555433	0.336	0.984	0	DPre	preDP_DPblast
H2ax	0	-2.32577842223362	0.191	0.882	0	DPre	preDP_DPblast
H2ac20	0	-2.323580342732	0.12	0.846	0	DPre	preDP_DPblast
Rag1	0	2.25148574547288	0.984	0.867	0	DPre	preDP_DPblast
Prc1	0	-2.2498002021348	0.045	0.831	0	DPre	preDP_DPblast
Diaph3	0	-2.23824101859505	0.024	0.918	0	DPre	preDP_DPblast
Knl1	0	-2.23153398837247	0.024	0.883	0	DPre	preDP_DPblast
Dek	0	-2.19750529913289	0.347	0.995	0	DPre	preDP_DPblast
H1f1	0	-2.18957071353129	0.147	0.869	0	DPre	preDP_DPblast
Nucks1	0	-2.16845502428253	0.267	0.993	0	DPre	preDP_DPblast
Pcna	0	-2.1516464839931	0.222	0.907	0	DPre	preDP_DPblast
Ran	0	-2.14642909678857	0.449	0.994	0	DPre	preDP_DPblast
Cdca8	0	-2.13097355649719	0.01	0.904	0	DPre	preDP_DPblast
Tpx2	0	-2.13079943678196	0.008	0.847	0	DPre	preDP_DPblast
Cenpe	0	-2.11289608856853	0.031	0.859	0	DPre	preDP_DPblast
Tmpo	0	-2.0824558040543	0.356	0.996	0	DPre	preDP_DPblast
Pola1	0	-2.06679961333587	0.042	0.839	0	DPre	preDP_DPblast
Malat1	0	2.0654584186483	1	0.999	0	DPre	preDP_DPblast
H2ac10	0	-2.06426110670194	0.004	0.791	0	DPre	preDP_DPblast
Spc24	0	-2.05703227393789	0.013	0.945	0	DPre	preDP_DPblast
Cdk1	0	-2.05295471701193	0.007	0.88	0	DPre	preDP_DPblast
Tubb4b	0	-2.00909629182393	0.184	0.918	0	DPre	preDP_DPblast
Fbxo5	0	-2.00693418114458	0.03	0.898	0	DPre	preDP_DPblast
Tyms	0	-2.00054615140258	0.037	0.903	0	DPre	preDP_DPblast
Anp32b	0	-1.98830455150918	0.639	1	0	DPre	preDP_DPblast
Neil3	0	-1.98577308695132	0.007	0.836	0	DPre	preDP_DPblast
Cenpp	0	-1.977275857807	0.055	0.923	0	DPre	preDP_DPblast
Cdca3	0	-1.97677880898037	0.017	0.852	0	DPre	preDP_DPblast
Ccnb2	0	-1.96790524078069	0.017	0.854	0	DPre	preDP_DPblast
Kif15	0	-1.95862287516129	0.013	0.888	0	DPre	preDP_DPblast
Smc2	0	-1.9527511836065	0.099	0.966	0	DPre	preDP_DPblast
Ppia	0	-1.89504712151512	0.982	1	0	DPre	preDP_DPblast
Ranbp1	0	-1.89064070559681	0.268	0.967	0	DPre	preDP_DPblast
Tubb5	0	-1.88261033320966	0.75	1	0	DPre	preDP_DPblast
Slbp	0	-1.87783258581723	0.141	0.915	0	DPre	preDP_DPblast
Cks1b	0	-1.86486882248492	0.041	0.946	0	DPre	preDP_DPblast
Cenpa	0	-1.85974952584184	0.07	0.792	0	DPre	preDP_DPblast
Hmmr	0	-1.83172827914302	0.008	0.725	0	DPre	preDP_DPblast
Atad2	0	-1.83166793331385	0.155	0.94	0	DPre	preDP_DPblast
Hint1	0	-1.82303925295452	0.259	0.981	0	DPre	preDP_DPblast
Anp32e	0	-1.81731244579398	0.557	0.995	0	DPre	preDP_DPblast
Crip1	0	-1.81730829309134	0.439	0.994	0	DPre	preDP_DPblast
Snrpd1	0	-1.80725073836443	0.379	0.988	0	DPre	preDP_DPblast
Clspn	0	-1.77288513987408	0.009	0.889	0	DPre	preDP_DPblast
Ccna2	0	-1.76667084259776	0.008	0.839	0	DPre	preDP_DPblast
Lig1	0	-1.73107161218043	0.02	0.845	0	DPre	preDP_DPblast
Spc25	0	-1.70385646643772	0.005	0.784	0	DPre	preDP_DPblast
Uhrf1	0	-1.6962601310246	0.05	0.915	0	DPre	preDP_DPblast
Gmnn	0	-1.66532452606728	0.076	0.937	0	DPre	preDP_DPblast
Hells	0	-1.65804161999497	0.031	0.754	0	DPre	preDP_DPblast
H2bc11	0	-1.64600566990819	0.029	0.831	0	DPre	preDP_DPblast
Kif4	0	-1.63991279340272	0.005	0.812	0	DPre	preDP_DPblast
Depdc1a	0	-1.63606624865974	0.006	0.744	0	DPre	preDP_DPblast
Ect2	0	-1.63243234956186	0.059	0.801	0	DPre	preDP_DPblast
Nsd2	0	-1.61666196971259	0.282	0.979	0	DPre	preDP_DPblast
Rrm1	0	-1.61102944148523	0.057	0.924	0	DPre	preDP_DPblast
H2bc15	0	-1.61059306626603	0.073	0.775	0	DPre	preDP_DPblast
Esco2	0	-1.6060591041641	0.005	0.754	0	DPre	preDP_DPblast
Mis18bp1	0	-1.59630153711804	0.009	0.734	0	DPre	preDP_DPblast
Ncapg2	0	-1.59320239328682	0.009	0.879	0	DPre	preDP_DPblast
Tipin	0	-1.57562039391431	0.072	0.91	0	DPre	preDP_DPblast
Pbk	0	-1.5670197799187	0.005	0.799	0	DPre	preDP_DPblast
Nap1l1	0	-1.56667972965071	0.314	0.963	0	DPre	preDP_DPblast
D17H6S56E-5	0	-1.5616719589508	0.009	0.89	0	DPre	preDP_DPblast
Ndc80	0	-1.54928701271286	0.024	0.842	0	DPre	preDP_DPblast
H2bc18	0	-1.54201571132507	0.056	0.784	0	DPre	preDP_DPblast
Racgap1	0	-1.52516843470909	0.019	0.814	0	DPre	preDP_DPblast
Themis	0	1.51783732677213	1	0.995	0	DPre	preDP_DPblast
Cdc20	0	-1.51174157388587	0.013	0.714	0	DPre	preDP_DPblast
Ccdc34	0	-1.50833178297942	0.076	0.911	0	DPre	preDP_DPblast
H3c6	0	-1.48566261567934	0.114	0.793	0	DPre	preDP_DPblast
Alyref	0	-1.47944088675817	0.279	0.951	0	DPre	preDP_DPblast
Snrpf	0	-1.47871039014634	0.571	1	0	DPre	preDP_DPblast
Tacc3	0	-1.47375461755548	0.015	0.825	0	DPre	preDP_DPblast
Bub1b	0	-1.47173880136323	0.022	0.821	0	DPre	preDP_DPblast
Mcm3	0	-1.46610174181052	0.038	0.78	0	DPre	preDP_DPblast
Selenoh	0	-1.45591372733272	0.134	0.904	0	DPre	preDP_DPblast
Mcm6	0	-1.45452335148409	0.095	0.783	0	DPre	preDP_DPblast
Incenp	0	-1.4511397316646	0.066	0.822	0	DPre	preDP_DPblast
Rad51b	0	-1.44744329871983	0.015	0.652	0	DPre	preDP_DPblast
Dnmt1	0	-1.44655275516341	0.168	0.947	0	DPre	preDP_DPblast
Kif23	0	-1.44152908981839	0.072	0.787	0	DPre	preDP_DPblast
Lsm2	0	-1.41019327612038	0.136	0.954	0	DPre	preDP_DPblast
E2f8	0	-1.3904486313025	0.005	0.803	0	DPre	preDP_DPblast
Dlgap5	0	-1.38847896232031	0.006	0.772	0	DPre	preDP_DPblast
Sgo1	0	-1.37760456241515	0.011	0.801	0	DPre	preDP_DPblast
Aurkb	0	-1.37689165988378	0.002	0.732	0	DPre	preDP_DPblast
Siva1	0	-1.37388693266993	0.104	0.824	0	DPre	preDP_DPblast
Lsm6	0	-1.35747578140938	0.193	0.965	0	DPre	preDP_DPblast
Ckap2l	0	-1.34539072169354	0.006	0.731	0	DPre	preDP_DPblast
Kif20b	0	-1.34263767477877	0.038	0.771	0	DPre	preDP_DPblast
Ncapd2	0	-1.33656560310955	0.108	0.911	0	DPre	preDP_DPblast
Prim1	0	-1.33283280914806	0.024	0.833	0	DPre	preDP_DPblast
Ccnb1	0	-1.33015582089825	0.01	0.678	0	DPre	preDP_DPblast
Asf1b	0	-1.32863733097509	0.016	0.82	0	DPre	preDP_DPblast
Ccnf	0	-1.3184975220605	0.007	0.737	0	DPre	preDP_DPblast
H3c7	0	-1.31590016046332	0.043	0.704	0	DPre	preDP_DPblast
Orc6	0	-1.29832616068794	0.104	0.893	0	DPre	preDP_DPblast
Kif18a	0	-1.27931567448479	0.045	0.746	0	DPre	preDP_DPblast
H2bc3	0	-1.27828104550653	0.022	0.737	0	DPre	preDP_DPblast
H3c11	0	-1.27089454232544	0.086	0.759	0	DPre	preDP_DPblast
Anln	0	-1.26789800162557	0.011	0.716	0	DPre	preDP_DPblast
Rfc4	0	-1.26653708518627	0.032	0.815	0	DPre	preDP_DPblast
H3c2	0	-1.26401823886822	0.002	0.707	0	DPre	preDP_DPblast
H2bc14	0	-1.25421862401009	0.022	0.754	0	DPre	preDP_DPblast
Cenpk	0	-1.25389602553447	0.008	0.826	0	DPre	preDP_DPblast
Hnrnpa3	0	-1.24669948770325	0.932	1	0	DPre	preDP_DPblast
Samd1	0	-1.23431585418783	0.013	0.729	0	DPre	preDP_DPblast
Bub1	0	-1.2310295855306	0.003	0.738	0	DPre	preDP_DPblast
Fabp5	0	-1.22220011934514	0.041	0.723	0	DPre	preDP_DPblast
Dnajc9	0	-1.2195213124271	0.145	0.908	0	DPre	preDP_DPblast
Wdr76	0	-1.20905183228668	0.104	0.864	0	DPre	preDP_DPblast
Kif22	0	-1.20607489674855	0.051	0.766	0	DPre	preDP_DPblast
Shcbp1	0	-1.19464159594953	0.003	0.737	0	DPre	preDP_DPblast
