	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
H2-Ab1	5.77442502666768e-143	-5.00121972265392	0.011	0.822	1.94575025698594e-138	DPsel	Stroma
H2-Aa	2.77821731346542e-139	-5.28268286422596	0.009	0.795	9.36148105945309e-135	DPsel	Stroma
Lyn	4.04056306225596e-133	-2.81091141845556	0.009	0.767	1.36150812945777e-128	DPsel	Stroma
H2-Eb1	9.73164085849315e-130	-5.02812364502799	0.008	0.74	3.27917370367785e-125	DPsel	Stroma
Ctsh	1.06499902087688e-129	-2.39695747733568	0.001	0.671	3.58862070074675e-125	DPsel	Stroma
Cybb	8.74821099210708e-116	-2.58883101670592	0.002	0.616	2.9477971759004e-111	DPsel	Stroma
Ly86	9.43645314667781e-116	-2.3090245390567	0.004	0.63	3.17970725230456e-111	DPsel	Stroma
Wdfy4	7.6834719346142e-113	-2.3422715827873	0.001	0.589	2.5890227030876e-108	DPsel	Stroma
Fcer1g	2.49359448306856e-110	-3.53100645714226	0.002	0.589	8.40241597014782e-106	DPsel	Stroma
Napsa	1.36633216104751e-104	-1.4509088595403	0	0.534	4.60399284986568e-100	DPsel	Stroma
Cd180	7.54880174895822e-102	-1.49245796225107	0	0.521	2.54364423732896e-97	DPsel	Stroma
Mpeg1	2.61594485769869e-99	-2.06330653301817	0.004	0.548	8.81468779250149e-95	DPsel	Stroma
Tyrobp	3.5997866832887e-99	-3.70491759785821	0.008	0.589	1.21298412080096e-94	DPsel	Stroma
Pik3ap1	4.89035940224309e-99	-1.70124110508356	0.001	0.521	1.64785550417983e-94	DPsel	Stroma
Marchf1	1.36905052466711e-96	-1.98703776611544	0.002	0.521	4.61315264791828e-92	DPsel	Stroma
Rassf4	2.40770010707327e-96	-1.43181162490096	0.001	0.507	8.11298628079409e-92	DPsel	Stroma
Plcg2	5.21662454464293e-94	-1.22702485787637	0.004	0.521	1.75779380656288e-89	DPsel	Stroma
Gm15987	1.17535309767569e-93	-2.28149649510894	0	0.479	3.96046979792802e-89	DPsel	Stroma
Spi1	1.17535309767569e-93	-1.56680332974042	0	0.479	3.96046979792802e-89	DPsel	Stroma
Plek	1.17535309767569e-93	-1.4294406747859	0	0.479	3.96046979792802e-89	DPsel	Stroma
Sirpa	1.34396333541754e-93	-2.56454554414599	0.001	0.493	4.52861885502293e-89	DPsel	Stroma
Unc93b1	3.03723334747036e-93	-2.05624142510467	0.015	0.616	1.02342614876361e-88	DPsel	Stroma
Lyz2	4.32797396977904e-91	-4.68279708305913	0.002	0.493	1.45835410885675e-86	DPsel	Stroma
Plbd1	5.37178570144708e-91	-2.30463834828628	0.002	0.493	1.81007690995961e-86	DPsel	Stroma
Fcgr2b	6.15808798599202e-91	-1.41551969763582	0	0.466	2.07502932775987e-86	DPsel	Stroma
Apoe	5.37004812355765e-89	-6.06860411763482	0.024	0.644	1.80949141571399e-84	DPsel	Stroma
Lgals3	1.76248908816722e-88	-3.50172176872975	0.009	0.548	5.93888323148826e-84	DPsel	Stroma
Mef2c	1.84983310667369e-88	-2.33543132885616	0.004	0.493	6.23319763624766e-84	DPsel	Stroma
Rnase6	3.18433348626174e-88	-1.2150217201113	0	0.452	1.07299301153076e-83	DPsel	Stroma
Syk	1.70530511496334e-86	-1.66741403322055	0.02	0.616	5.74619611538047e-82	DPsel	Stroma
Kynu	1.62521379560646e-85	-1.71319150776279	0	0.438	5.47632040567553e-81	DPsel	Stroma
Aif1	1.12527966658022e-83	-3.1182637132829	0.005	0.479	3.79174236450872e-79	DPsel	Stroma
Zeb2	9.12892153495432e-83	-2.83894885230686	0.009	0.521	3.07608140041821e-78	DPsel	Stroma
Bcl11a	4.63755691135939e-80	-1.66662808097518	0.001	0.425	1.56267117685166e-75	DPsel	Stroma
C1qa	1.56652765238224e-77	-4.2219002428951	0.002	0.425	5.27857157746719e-73	DPsel	Stroma
Cdk14	1.99876002570023e-77	-1.43132996912684	0	0.397	6.7350217825995e-73	DPsel	Stroma
C1qc	9.68712599929982e-75	-3.58032263597107	0	0.384	3.26417397672407e-70	DPsel	Stroma
Hck	9.68712599929982e-75	-1.38912232711719	0	0.384	3.26417397672407e-70	DPsel	Stroma
Blnk	7.08571112934242e-74	-1.7829702803597	0.007	0.452	2.38760122214322e-69	DPsel	Stroma
H2-DMb1	1.41942820138881e-73	-1.41441725552062	0.007	0.452	4.78290526739973e-69	DPsel	Stroma
Entpd1	8.42850559357379e-72	-1.23663272736272	0.001	0.384	2.84006924481062e-67	DPsel	Stroma
Irf8	2.5404694220771e-71	-2.41266188707778	0.02	0.534	8.56036576463098e-67	DPsel	Stroma
Grn	2.57659550473097e-71	-1.83714287946116	0.015	0.507	8.68209621274148e-67	DPsel	Stroma
Cd74	4.48553690684141e-71	-6.0456659642552	0.128	0.877	1.51144651612928e-66	DPsel	Stroma
Ciita	8.2259240489937e-70	-1.43770688062228	0.009	0.452	2.77180736754892e-65	DPsel	Stroma
C1qb	2.19015232280871e-69	-3.97942210404091	0	0.356	7.37993726693623e-65	DPsel	Stroma
Cd68	4.8196771501362e-69	-1.92190214201971	0.008	0.438	1.6240384125099e-64	DPsel	Stroma
Cd38	4.45774178847254e-67	-1.56478425075313	0.004	0.384	1.50208067304371e-62	DPsel	Stroma
Iglc3	8.62498232131826e-67	-1.78023640216772	0.002	0.37	2.9062740429914e-62	DPsel	Stroma
Rasgrp3	1.02185227004686e-66	-0.897852078903834	0	0.342	3.44323340914989e-62	DPsel	Stroma
Lrrk1	2.64849007194792e-65	-0.970078063668283	0.007	0.411	8.9243521464357e-61	DPsel	Stroma
Bank1	7.60216745479011e-65	-2.81586392582695	0.005	0.384	2.56162634556608e-60	DPsel	Stroma
Cd63	3.84630901795308e-64	-2.76060083302146	0.002	0.356	1.29605228668947e-59	DPsel	Stroma
Btk	6.6635768117657e-64	-0.851419588901522	0.009	0.425	2.24535884249257e-59	DPsel	Stroma
Cd80	7.85861088299048e-64	-0.765665067231606	0.001	0.342	2.64803752313247e-59	DPsel	Stroma
Irf5	2.29737341324538e-62	-0.645096277429748	0.006	0.384	7.74122945327165e-58	DPsel	Stroma
Trf	1.36012464614004e-61	-2.14409263805705	0.004	0.356	4.58307600763347e-57	DPsel	Stroma
Iglc2	1.69027607457141e-61	-2.70109071663831	0.002	0.342	5.69555426087582e-57	DPsel	Stroma
Siglecg	2.14267323400631e-61	-0.876483239331951	0	0.315	7.21995172930768e-57	DPsel	Stroma
Csf2rb	2.14267323400631e-61	-0.678670821079609	0	0.315	7.21995172930768e-57	DPsel	Stroma
Rubcnl	2.14267323400631e-61	-0.488410298434093	0	0.315	7.21995172930768e-57	DPsel	Stroma
