	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Nkg7	4.25164641419193e-128	2.94833129069404	0.77	0.004	1.43263477572611e-123	Monocyte_Macrophages_Dendritic	SP
H2-Q7	1.02789271447774e-126	2.33977031781601	0.8	0.012	3.46358729070419e-122	Monocyte_Macrophages_Dendritic	SP
Ccnd2	1.92913301300377e-125	2.20343024973885	0.889	0.034	6.50040660061751e-121	Monocyte_Macrophages_Dendritic	SP
Il7r	1.03004801435628e-115	3.29552856227346	0.77	0.021	3.47084978917492e-111	Monocyte_Macrophages_Dendritic	SP
S100a6	1.23037471369146e-115	3.44284662444759	0.704	0.004	4.14587063525476e-111	Monocyte_Macrophages_Dendritic	SP
Il2rb	8.28404974384381e-113	1.95801503092649	0.741	0.016	2.79139340168561e-108	Monocyte_Macrophages_Dendritic	SP
H2-K1	1.45790560793513e-112	3.60994928512192	0.97	0.111	4.91255873649823e-108	Monocyte_Macrophages_Dendritic	SP
Ahnak	1.11060525624041e-109	1.80773655547932	0.674	0.004	3.74229547142767e-105	Monocyte_Macrophages_Dendritic	SP
AW112010	8.36155049335882e-109	3.21237424054185	0.859	0.065	2.81750805424219e-104	Monocyte_Macrophages_Dendritic	SP
Il18r1	1.07592002693876e-101	2.16238319988278	0.637	0.006	3.62542012277285e-97	Monocyte_Macrophages_Dendritic	SP
Cd7	4.011690641127e-99	1.94433470861375	0.607	0.003	1.35177927843415e-94	Monocyte_Macrophages_Dendritic	SP
Coro2a	5.70280258170296e-99	1.72083751037432	0.622	0.006	1.92161635793063e-94	Monocyte_Macrophages_Dendritic	SP
Ctsw	2.17973715685756e-97	1.76367230270227	0.726	0.032	7.34484232374725e-93	Monocyte_Macrophages_Dendritic	SP
Atp8b4	3.74723171788079e-96	2.02380165917437	0.659	0.018	1.26266719965711e-91	Monocyte_Macrophages_Dendritic	SP
Hopx	5.58541077976261e-96	1.73807294935885	0.6	0.004	1.88206001634881e-91	Monocyte_Macrophages_Dendritic	SP
Gm2682	2.65820685099344e-91	4.17802930316068	0.733	0.054	8.95709380510751e-87	Monocyte_Macrophages_Dendritic	SP
Klrk1	8.96564229154512e-86	2.65101242430396	0.519	0	3.02106282655904e-81	Monocyte_Macrophages_Dendritic	SP
Klrd1	1.7980769278898e-84	1.97279867172882	0.511	0	6.05880001621748e-80	Monocyte_Macrophages_Dendritic	SP
Cxcr6	2.42122245850344e-84	1.85873830193767	0.548	0.007	8.15855119617318e-80	Monocyte_Macrophages_Dendritic	SP
Gimap3	9.1938043826321e-84	1.52563926913609	0.719	0.051	3.09794432477171e-79	Monocyte_Macrophages_Dendritic	SP
Smad7	1.06291448714985e-82	1.23400942638713	0.607	0.021	3.58159665590015e-78	Monocyte_Macrophages_Dendritic	SP
Gimap4	1.30849916525714e-82	1.87205858927318	0.741	0.062	4.40911878725047e-78	Monocyte_Macrophages_Dendritic	SP
Id2	1.431672206165e-82	2.51654211255981	0.726	0.063	4.82416266589359e-78	Monocyte_Macrophages_Dendritic	SP
Klf2	2.39301450996652e-82	1.91969974940357	0.689	0.047	8.06350169278319e-78	Monocyte_Macrophages_Dendritic	SP
Il18rap	7.07750822370644e-82	1.2027856679533	0.496	0	2.38483717106012e-77	Monocyte_Macrophages_Dendritic	SP
Ms4a4b	2.29303307597607e-81	3.07798388574575	0.889	0.177	7.72660425280896e-77	Monocyte_Macrophages_Dendritic	SP
Arsb	3.93810675677322e-79	1.41918503958788	0.489	0.001	1.3269844527623e-74	Monocyte_Macrophages_Dendritic	SP
Samhd1	1.29106524825032e-78	1.47080110552085	0.57	0.018	4.35037346050428e-74	Monocyte_Macrophages_Dendritic	SP
S100a4	9.42519015813087e-78	2.15466081518394	0.496	0.004	3.17591207568378e-73	Monocyte_Macrophages_Dendritic	SP
Runx3	8.27608483705099e-76	1.47424300012331	0.667	0.05	2.7887095466927e-71	Monocyte_Macrophages_Dendritic	SP
Itga1	1.9198225538198e-75	1.72550347935905	0.459	0	6.46903407735119e-71	Monocyte_Macrophages_Dendritic	SP
Ccl5	2.44576739097089e-75	4.03190520510234	0.467	0.001	8.2412578006155e-71	Monocyte_Macrophages_Dendritic	SP
Ly6c2	2.44767718663331e-75	3.05406282893207	0.474	0.003	8.2476930480796e-71	Monocyte_Macrophages_Dendritic	SP
Samd3	3.63666034355115e-74	1.24398344692202	0.452	0	1.225409069363e-69	Monocyte_Macrophages_Dendritic	SP
Prr13	4.42891514989626e-74	1.06145024520977	0.6	0.031	1.49236724890904e-69	Monocyte_Macrophages_Dendritic	SP
Ctss	6.45516831090224e-74	1.18945253259463	0.541	0.018	2.17513351404162e-69	Monocyte_Macrophages_Dendritic	SP
Ttc39b	2.04288260616368e-73	1.10767104841591	0.519	0.013	6.88369722972914e-69	Monocyte_Macrophages_Dendritic	SP
Gng2	5.33569721003621e-73	1.28118328895163	0.741	0.072	1.7979165318938e-68	Monocyte_Macrophages_Dendritic	SP
Fgl2	6.84050437006468e-73	1.20967597780814	0.444	0	2.30497635253699e-68	Monocyte_Macrophages_Dendritic	SP
Lncpint	1.31001561496744e-72	1.56941082204722	0.741	0.084	4.41422861619427e-68	Monocyte_Macrophages_Dendritic	SP
Ust	1.33119168298662e-72	1.67729998543547	0.474	0.006	4.48558349499171e-68	Monocyte_Macrophages_Dendritic	SP
