	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
H2-Ab1	5.00454397496343e-124	-5.00240776347685	0.007	0.822	1.68633113780368e-119	SP	Stroma
H2-Aa	1.57046941844124e-117	-5.28099484872971	0.009	0.795	5.2918537523796e-113	SP	Stroma
Ctss	5.32352641913195e-117	-3.60462664611722	0.018	0.849	1.7938154621907e-112	SP	Stroma
Ifi30	6.75878452059044e-111	-3.09894250278937	0.01	0.767	2.27744003205815e-106	SP	Stroma
H2-Eb1	1.042105773893e-109	-5.02682613285482	0.007	0.74	3.51147961570985e-105	SP	Stroma
Lyn	1.11167903326684e-108	-2.79871157859242	0.012	0.767	3.74591367049596e-104	SP	Stroma
Ctsh	3.61335409424925e-108	-2.39868532970081	0	0.671	1.21755579559823e-103	SP	Stroma
Cd74	1.09872420653968e-104	-6.32434670553588	0.038	0.877	3.7022610863561e-100	SP	Stroma
Ly86	4.11827872445033e-99	-2.32694790753782	0.001	0.63	1.38769519899078e-94	SP	Stroma
Cybb	8.61626217560212e-97	-2.59947683624462	0.001	0.616	2.90333570269089e-92	SP	Stroma
Wdfy4	2.08593761674949e-94	-2.34479465313356	0	0.589	7.02877539339908e-90	SP	Stroma
Fcer1g	3.93744089557927e-92	-3.52836644312264	0.001	0.589	1.32676008417439e-87	SP	Stroma
Tyrobp	4.46343239620054e-90	-3.71157223029702	0.003	0.589	1.50399818022373e-85	SP	Stroma
Unc93b1	2.13465552417925e-88	-2.06263021942553	0.007	0.616	7.19293525427442e-84	SP	Stroma
Mpeg1	1.31854810881794e-87	-2.07511230954443	0	0.548	4.44297970747292e-83	SP	Stroma
Lgals3	3.59662269344012e-83	-3.51910145245381	0.003	0.548	1.21191798278158e-78	SP	Stroma
Napsa	4.18100875594285e-83	-1.44966723976628	0.001	0.534	1.4088327104025e-78	SP	Stroma
Plcg2	4.21456779697523e-83	-1.23246001563408	0	0.521	1.42014076486878e-78	SP	Stroma
Marchf1	4.21464434894714e-83	-1.99058198978312	0	0.521	1.42016655982123e-78	SP	Stroma
Cd180	4.21464434894714e-83	-1.49245796225107	0	0.521	1.42016655982123e-78	SP	Stroma
H2-Q7	2.81721916605899e-80	-2.07268927684134	0.012	0.603	9.49290170195237e-76	SP	Stroma
