	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Ppia	3.42041383620247e-131	4.0603510955996	1	0.3	1.15254264624678e-126	preDP_DPblast	CD8_exhausted_naive
Hmgb2	3.62938953176364e-131	4.78023499238774	1	0.187	1.22295909662307e-126	preDP_DPblast	CD8_exhausted_naive
Ptma	7.32641418373745e-131	3.59806204052861	1	0.65	2.46870852335217e-126	preDP_DPblast	CD8_exhausted_naive
Hmgb1	2.55143336361898e-130	3.38271210803052	1	0.506	8.59730986205052e-126	preDP_DPblast	CD8_exhausted_naive
Stmn1	3.08913409728971e-130	3.829974358132	1	0.152	1.04091462542274e-125	preDP_DPblast	CD8_exhausted_naive
Hmgn2	7.41354560795383e-130	3.61561604953012	0.998	0.101	2.49806832805612e-125	preDP_DPblast	CD8_exhausted_naive
H2az1	1.91940750921189e-129	4.17220442229002	1	0.156	6.46763554304038e-125	preDP_DPblast	CD8_exhausted_naive
Rpl28	2.7207381923697e-129	3.36872983172163	1	0.311	9.16779941300896e-125	preDP_DPblast	CD8_exhausted_naive
Rpl19	8.09290948019862e-129	3.2226367832406	1	0.339	2.72698677844773e-124	preDP_DPblast	CD8_exhausted_naive
Rps16	8.42030807272763e-129	3.56871587108203	1	0.304	2.8373070081863e-124	preDP_DPblast	CD8_exhausted_naive
Tpt1	1.17215006215174e-128	3.01709477998338	1	0.533	3.94967684942651e-124	preDP_DPblast	CD8_exhausted_naive
Cox8a	1.67994264016979e-127	2.99229745614852	0.993	0.054	5.66073472031614e-123	preDP_DPblast	CD8_exhausted_naive
Rpl34	2.30575296715006e-127	3.19895727617827	0.999	0.222	7.76946519810886e-123	preDP_DPblast	CD8_exhausted_naive
Rps24	3.06806065886842e-127	3.39717711316629	1	0.311	1.0338137196123e-122	preDP_DPblast	CD8_exhausted_naive
Rps29	1.20799578195649e-126	2.98934069063779	1	0.327	4.07046258688058e-122	preDP_DPblast	CD8_exhausted_naive
Rpl32	1.72283069889677e-126	3.47534020584086	0.999	0.304	5.80525032300255e-122	preDP_DPblast	CD8_exhausted_naive
Rps10	2.22160548404781e-126	3.32505178129029	1	0.288	7.48592183904749e-122	preDP_DPblast	CD8_exhausted_naive
Mki67	7.32880867057916e-126	3.38565610202008	0.98	0.016	2.46951536963835e-121	preDP_DPblast	CD8_exhausted_naive
Rpl13	2.42289860770414e-125	3.44112931892258	1	0.327	8.16419914851986e-121	preDP_DPblast	CD8_exhausted_naive
Rps8	3.00679312355466e-125	3.36252982090403	0.999	0.354	1.01316901091298e-120	preDP_DPblast	CD8_exhausted_naive
Fau	3.92905804945255e-125	3.04615390008505	1	0.307	1.32393540034353e-120	preDP_DPblast	CD8_exhausted_naive
Atp5h	4.95573959955573e-125	2.81482665338777	0.998	0.14	1.6698860154663e-120	preDP_DPblast	CD8_exhausted_naive
Rps15a	4.95724196684909e-125	3.17060612889264	0.999	0.304	1.67039225314947e-120	preDP_DPblast	CD8_exhausted_naive
Rpl35a	5.53367982062382e-125	3.02561080692008	1	0.292	1.8646287523574e-120	preDP_DPblast	CD8_exhausted_naive
Rplp0	5.75159101361827e-125	3.50833484883861	0.999	0.261	1.93805610794881e-120	preDP_DPblast	CD8_exhausted_naive
Pclaf	7.07753418084603e-125	3.45445179722068	0.975	0.019	2.38484591757788e-120	preDP_DPblast	CD8_exhausted_naive
Rps17	1.61085225565964e-124	2.93084891171799	1	0.233	5.42792776067074e-120	preDP_DPblast	CD8_exhausted_naive
Rpl15	1.61952910580584e-124	3.24666219151684	0.998	0.245	5.45716527492334e-120	preDP_DPblast	CD8_exhausted_naive
Rps14	2.11188415970945e-124	3.13270379801211	1	0.311	7.11620486455695e-120	preDP_DPblast	CD8_exhausted_naive
Rpl7	3.2241229658819e-124	3.08895341461069	0.998	0.214	1.08640047458356e-119	preDP_DPblast	CD8_exhausted_naive
Rpl23	6.31408803442019e-124	3.28678515341692	0.999	0.3	2.12759510407823e-119	preDP_DPblast	CD8_exhausted_naive
Rps5	7.49716045151655e-124	3.30384253226943	0.998	0.163	2.52624318574302e-119	preDP_DPblast	CD8_exhausted_naive
Rps9	7.69281992123587e-124	2.95560896359583	1	0.304	2.59217260065964e-119	preDP_DPblast	CD8_exhausted_naive
Rps3	9.96656620074922e-124	3.0497071614362	0.999	0.276	3.35833414700446e-119	preDP_DPblast	CD8_exhausted_naive
Rpl18a	1.67281770504014e-123	3.09897879847245	1	0.28	5.63672653890324e-119	preDP_DPblast	CD8_exhausted_naive
Rpl21	1.67595334475144e-123	2.88391676970185	0.999	0.311	5.64729239047446e-119	preDP_DPblast	CD8_exhausted_naive
Rps4x	2.08833150030902e-123	3.43805578984626	0.996	0.195	7.03684182344127e-119	preDP_DPblast	CD8_exhausted_naive
Rpl11	2.68323335939727e-123	2.97031482571344	1	0.339	9.04142312782503e-119	preDP_DPblast	CD8_exhausted_naive
Rps11	3.54274223934349e-123	2.86923747848608	1	0.339	1.19376242496918e-118	preDP_DPblast	CD8_exhausted_naive
Rpl39	1.547598137474e-122	3.13656753505132	0.998	0.253	5.21478668403238e-118	preDP_DPblast	CD8_exhausted_naive
Rpl24	1.95528440104124e-122	2.85044858540514	0.999	0.237	6.58852631774856e-118	preDP_DPblast	CD8_exhausted_naive
Txn1	3.0625651847848e-122	2.77234505601467	0.995	0.128	1.03196196466508e-117	preDP_DPblast	CD8_exhausted_naive
Rpl29	5.22195548835523e-122	2.90135229349178	0.999	0.136	1.75959012135618e-117	preDP_DPblast	CD8_exhausted_naive
Tox	5.71629120675525e-122	-4.4615016356408	0.655	0.984	1.92616148502825e-117	preDP_DPblast	CD8_exhausted_naive
Crip1	6.0186487499734e-122	2.79886297249431	0.994	0.062	2.02804388279104e-117	preDP_DPblast	CD8_exhausted_naive
Dut	9.24040938864304e-122	3.05918322618952	0.984	0.07	3.11364834759716e-117	preDP_DPblast	CD8_exhausted_naive
Top2a	1.16970536745921e-121	3.8125255086745	0.977	0.047	3.94143920619057e-117	preDP_DPblast	CD8_exhausted_naive
Rps27a	1.50905147825402e-121	3.11740277526289	1	0.311	5.08489986112476e-117	preDP_DPblast	CD8_exhausted_naive
Rpl35	2.21330438867964e-121	2.96695697692925	0.998	0.121	7.45795046809492e-117	preDP_DPblast	CD8_exhausted_naive
Rps26	2.52776484434063e-121	3.14850611083564	1	0.265	8.51755641949019e-117	preDP_DPblast	CD8_exhausted_naive
Rps13	3.6604192530442e-121	3.02548614798306	0.998	0.28	1.23341487150578e-116	preDP_DPblast	CD8_exhausted_naive
Cox7a2	5.45678843061328e-121	2.42213277888308	0.994	0.078	1.83871942957945e-116	preDP_DPblast	CD8_exhausted_naive
Rplp2	5.77393495832629e-121	3.00743684164015	1	0.3	1.94558512355763e-116	preDP_DPblast	CD8_exhausted_naive
Rpsa	6.21439633059244e-121	3.21316924178226	1	0.319	2.09400298755643e-116	preDP_DPblast	CD8_exhausted_naive
Malat1	6.31443171024178e-121	-2.3344506243415	0.999	1	2.12771090908307e-116	preDP_DPblast	CD8_exhausted_naive
Anp32b	9.89796593153743e-121	2.69366564510131	1	0.198	3.33521860029085e-116	preDP_DPblast	CD8_exhausted_naive
Tuba1b	1.03403742555723e-120	3.15226037306454	0.989	0.089	3.48429250915763e-116	preDP_DPblast	CD8_exhausted_naive
Rps18	1.2414229865227e-120	3.14367256311978	0.998	0.257	4.18309889538689e-116	preDP_DPblast	CD8_exhausted_naive
Rps25	1.6649351559409e-120	2.84120226648504	0.998	0.198	5.61016550145845e-116	preDP_DPblast	CD8_exhausted_naive
Rpl8	1.70356405885499e-120	2.99653500521661	0.998	0.265	5.74032945271778e-116	preDP_DPblast	CD8_exhausted_naive
Rps20	2.8377858529934e-120	3.1106910846541	0.999	0.366	9.56220321024654e-116	preDP_DPblast	CD8_exhausted_naive
Snrpg	4.94303303288655e-120	2.53019486938568	0.998	0.152	1.66560441076145e-115	preDP_DPblast	CD8_exhausted_naive
Rpl3	8.22950910840205e-120	3.05125751288424	0.995	0.191	2.77301538916715e-115	preDP_DPblast	CD8_exhausted_naive
Rpl27a	1.03874681137914e-119	2.89407413129507	1	0.358	3.50016125562314e-115	preDP_DPblast	CD8_exhausted_naive
Rpl13a	1.26634610766427e-119	2.65999848076273	1	0.315	4.26707984438554e-115	preDP_DPblast	CD8_exhausted_naive
H1f5	1.47238431943132e-119	5.26021278491719	0.97	0.062	4.96134620275579e-115	preDP_DPblast	CD8_exhausted_naive
Ran	1.52837243790316e-119	2.81623337150018	0.994	0.086	5.1500037667585e-115	preDP_DPblast	CD8_exhausted_naive
Rps28	1.726626739621e-119	2.92133577798472	0.999	0.195	5.81804146182694e-115	preDP_DPblast	CD8_exhausted_naive
Rpl9	1.7924482974115e-119	3.03889573364279	0.996	0.272	6.03983378295778e-115	preDP_DPblast	CD8_exhausted_naive
Lsm5	2.37050372323984e-119	1.99972432214398	0.989	0.031	7.98764934582896e-115	preDP_DPblast	CD8_exhausted_naive
Rps3a1	3.66058553544595e-119	2.81976030945691	0.999	0.428	1.23347090202387e-114	preDP_DPblast	CD8_exhausted_naive
Rpl10	1.06262096458799e-118	2.94772910892388	0.991	0.171	3.5806076022757e-114	preDP_DPblast	CD8_exhausted_naive
Rps7	2.31706286199782e-118	3.10677014706862	0.992	0.272	7.80757501978786e-114	preDP_DPblast	CD8_exhausted_naive
Eef1a1	2.33780535332781e-118	2.6061629231892	1	0.537	7.87746891857339e-114	preDP_DPblast	CD8_exhausted_naive
Rps23	3.68972166263772e-118	2.89825188782925	1	0.288	1.24328861144241e-113	preDP_DPblast	CD8_exhausted_naive
Rps27	5.86090930840999e-118	2.61991545440511	0.996	0.268	1.97489200056183e-113	preDP_DPblast	CD8_exhausted_naive
Lockd	6.47940576646922e-118	2.57841526376211	0.984	0.047	2.18330056706947e-113	preDP_DPblast	CD8_exhausted_naive
Gapdh	7.40030341782451e-118	2.61942050930056	0.998	0.198	2.49360623967015e-113	preDP_DPblast	CD8_exhausted_naive
Spc24	1.35689735734983e-117	2.06465582336102	0.945	0.008	4.57220133532598e-113	preDP_DPblast	CD8_exhausted_naive
Rpl14	1.41167524727229e-117	2.91321872672957	0.996	0.175	4.75678091320872e-113	preDP_DPblast	CD8_exhausted_naive
H2az2	1.58028212166385e-117	2.83281641069705	0.996	0.175	5.32491863715851e-113	preDP_DPblast	CD8_exhausted_naive
Ubb	1.66723110048838e-117	3.08019637742666	1	0.385	5.61790191620566e-113	preDP_DPblast	CD8_exhausted_naive
Rrm2	1.82747395421982e-117	2.5636098075873	0.949	0.012	6.15785623613911e-113	preDP_DPblast	CD8_exhausted_naive
Rpl37a	1.93833134351725e-117	2.62552983056159	1	0.311	6.53140129511574e-113	preDP_DPblast	CD8_exhausted_naive
H3f3a	2.11762880993724e-117	2.29103301925019	1	0.533	7.13556203796451e-113	preDP_DPblast	CD8_exhausted_naive
Snrpe	4.55513578900788e-117	2.41123568233328	0.996	0.117	1.5348985554641e-112	preDP_DPblast	CD8_exhausted_naive
Fth1	5.39005268166404e-117	2.53255607406792	0.996	0.163	1.81623215161351e-112	preDP_DPblast	CD8_exhausted_naive
Banf1	5.87253593434914e-117	2.12660421491981	0.992	0.066	1.97880970843829e-112	preDP_DPblast	CD8_exhausted_naive
Hint1	6.52872627820738e-117	2.32550412712785	0.981	0.039	2.19991960670476e-112	preDP_DPblast	CD8_exhausted_naive
Rplp1	6.89386262889111e-117	2.89456279804976	0.999	0.401	2.32295595143115e-112	preDP_DPblast	CD8_exhausted_naive
Rpl26	7.46315759886372e-117	2.76261853999732	1	0.292	2.51478558451312e-112	preDP_DPblast	CD8_exhausted_naive
Rps15	5.45497472836413e-116	2.56065822866009	0.999	0.268	1.83810828446958e-111	preDP_DPblast	CD8_exhausted_naive
Rpl22	6.11316408800816e-116	2.83900558993955	0.994	0.222	2.05989177109523e-111	preDP_DPblast	CD8_exhausted_naive
Rpl31	6.18196037100671e-116	2.38796514841516	0.999	0.167	2.08307336661442e-111	preDP_DPblast	CD8_exhausted_naive
Rpl23a	6.2038887870665e-116	2.72461430662202	0.998	0.218	2.09046236568993e-111	preDP_DPblast	CD8_exhausted_naive
Rpl17	6.73080663038536e-116	2.68501553369187	0.999	0.323	2.26801260217465e-111	preDP_DPblast	CD8_exhausted_naive
Uba52	6.88926925120475e-116	2.28409807600988	0.984	0.07	2.32140816688595e-111	preDP_DPblast	CD8_exhausted_naive
Tomm7	1.4197916481258e-115	2.15492820885532	0.991	0.082	4.78412993752468e-111	preDP_DPblast	CD8_exhausted_naive
Rps19	2.16588475382827e-115	2.90680125297649	0.999	0.28	7.29816526649974e-111	preDP_DPblast	CD8_exhausted_naive
Cks1b	2.629082151201e-115	1.92919848515706	0.946	0.016	8.85895521668689e-111	preDP_DPblast	CD8_exhausted_naive
Rpl41	2.84095280957906e-115	2.88909891417456	0.996	0.3	9.57287458715761e-111	preDP_DPblast	CD8_exhausted_naive
Ly6e	3.7649956931505e-115	2.49835528679975	0.999	0.202	1.26865294876399e-110	preDP_DPblast	CD8_exhausted_naive
Rps2	6.40995416013805e-115	3.22530749397482	0.988	0.245	2.15989815380012e-110	preDP_DPblast	CD8_exhausted_naive
Rpl18	7.63841720260432e-115	2.69178568877078	0.996	0.245	2.57384106058955e-110	preDP_DPblast	CD8_exhausted_naive
Rps6	2.48543616646418e-114	2.74906194450016	0.991	0.249	8.3749257065177e-110	preDP_DPblast	CD8_exhausted_naive
Rpl6	3.18426290271466e-114	2.56851282662995	0.999	0.323	1.07296922769873e-109	preDP_DPblast	CD8_exhausted_naive
H2ac8	4.23561782226769e-114	4.27221782786947	0.945	0.047	1.42723378139132e-109	preDP_DPblast	CD8_exhausted_naive
Rpl36a	4.62976598930545e-114	2.74638971260163	0.993	0.156	1.56004594775637e-109	preDP_DPblast	CD8_exhausted_naive
Cox6c	4.70748932822422e-114	2.36774848998446	0.992	0.128	1.58623560403843e-109	preDP_DPblast	CD8_exhausted_naive
Rpl4	1.02645564821053e-113	2.42389544491096	0.994	0.171	3.45874495221021e-109	preDP_DPblast	CD8_exhausted_naive
Anp32e	1.10918121065562e-113	2.52778407117027	0.995	0.183	3.73749700742518e-109	preDP_DPblast	CD8_exhausted_naive
Anxa2	1.45281923173428e-113	2.30518163769523	0.964	0.047	4.89541968325182e-109	preDP_DPblast	CD8_exhausted_naive
Snrpd1	3.59102731335848e-113	2.2906170617509	0.988	0.105	1.21003256350927e-108	preDP_DPblast	CD8_exhausted_naive
Tubb5	3.60536345858172e-113	2.60771810100408	1	0.315	1.2148632710037e-108	preDP_DPblast	CD8_exhausted_naive
Ndufa4	3.65995656264478e-113	2.35506945707175	0.984	0.089	1.23325896334879e-108	preDP_DPblast	CD8_exhausted_naive
Snrpf	4.38218270058821e-113	2.27505867843271	1	0.148	1.4766202827902e-108	preDP_DPblast	CD8_exhausted_naive
Rack1	4.43546896274494e-113	2.52648834779607	0.998	0.272	1.49457562168654e-108	preDP_DPblast	CD8_exhausted_naive
Btf3	4.85429388717051e-113	2.34284184668752	0.991	0.152	1.63570286822098e-108	preDP_DPblast	CD8_exhausted_naive
Rps12	5.49663951008635e-113	3.00252224714657	0.999	0.319	1.8521476493187e-108	preDP_DPblast	CD8_exhausted_naive
Gmnn	5.9924425197722e-113	1.83373779915571	0.937	0.012	2.01921343146244e-108	preDP_DPblast	CD8_exhausted_naive
Rpl27	6.07463382225785e-113	2.41411398504566	1	0.319	2.046908612748e-108	preDP_DPblast	CD8_exhausted_naive
Dek	7.24633816372817e-113	2.46664819044335	0.995	0.14	2.44172610764984e-108	preDP_DPblast	CD8_exhausted_naive
Oaz1	8.4919019698193e-113	2.37489742304757	0.996	0.265	2.86143128775031e-108	preDP_DPblast	CD8_exhausted_naive
H2ac24	1.10294039350309e-112	3.87933589636781	0.924	0.016	3.71646794994801e-108	preDP_DPblast	CD8_exhausted_naive
Chchd2	1.90521044126172e-112	2.33460809546451	0.993	0.148	6.41979710287551e-108	preDP_DPblast	CD8_exhausted_naive
Cox5b	2.76570302531685e-112	2.00710101656948	0.994	0.074	9.31931291410767e-108	preDP_DPblast	CD8_exhausted_naive
