	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Il23r	2.13686120677236e-183	-4.03018823522458	0.001	1	7.20036752234016e-179	preDP_DPblast	Cluster_14
Clnk	1.35296134824792e-173	-3.78168489714813	0.001	0.95	4.55893855905619e-169	preDP_DPblast	Cluster_14
Il1r1	5.20752772740347e-168	-3.53605832930363	0.004	1	1.75472854302587e-163	preDP_DPblast	Cluster_14
Cdh10	6.66892270669358e-164	-2.74981428507503	0.001	0.9	2.24716019524747e-159	preDP_DPblast	Cluster_14
Ccr6	1.59286839078448e-163	-1.69844886887881	0.001	0.9	5.36732932958738e-159	preDP_DPblast	Cluster_14
Serpinb1a	6.0293270978292e-156	-2.83572944128538	0.002	0.9	2.03164205888453e-151	preDP_DPblast	Cluster_14
Il18r1	4.76103126132346e-155	-3.23816720212832	0.006	1	1.60427709381555e-150	preDP_DPblast	Cluster_14
Pxdc1	1.67078029255798e-153	-1.70936244206069	0	0.8	5.62986127380338e-149	preDP_DPblast	Cluster_14
Mmp25	1.67078029255798e-153	-1.41968608396306	0	0.8	5.62986127380338e-149	preDP_DPblast	Cluster_14
Niban1	2.01725902317156e-151	-2.19255470080685	0.005	0.95	6.79735600447887e-147	preDP_DPblast	Cluster_14
Zbtb16	1.19539110446526e-138	-2.40433861679352	0.004	0.85	4.02798986560613e-134	preDP_DPblast	Cluster_14
S100a4	4.35503225626474e-136	-4.53677373727845	0.006	0.9	1.46747166907097e-131	preDP_DPblast	Cluster_14
Kcnk1	5.17111339857218e-135	-1.59160246915763	0.001	0.75	1.74245837078288e-130	preDP_DPblast	Cluster_14
Or13a27	2.92242020083362e-134	-1.88142993000446	0	0.7	9.84738710872898e-130	preDP_DPblast	Cluster_14
Trpm6	2.92242020083362e-134	-1.2716440771487	0	0.7	9.84738710872898e-130	preDP_DPblast	Cluster_14
Maf	1.19965546102901e-125	-3.20729950836759	0.011	0.95	4.04235904148335e-121	preDP_DPblast	Cluster_14
Arnt2	1.13733665935408e-124	-1.45464895752571	0	0.65	3.83236960735952e-120	preDP_DPblast	Cluster_14
Ccr2	2.66665755940035e-123	-2.07281066892562	0.005	0.8	8.98556931215541e-119	preDP_DPblast	Cluster_14
Zfp462	1.72546172160463e-117	-1.37721001081309	0.002	0.7	5.81411581711897e-113	preDP_DPblast	Cluster_14
Ltb4r1	8.2104636120288e-116	-1.05571843543829	0.001	0.65	2.76659781870923e-111	preDP_DPblast	Cluster_14
Lrrn2	4.22164876564106e-115	-1.40562741801846	0	0.6	1.42252676807041e-110	preDP_DPblast	Cluster_14
Rarg	3.92715242889625e-114	-1.81682136491716	0.005	0.75	1.32329328244088e-109	preDP_DPblast	Cluster_14
Scart1	1.71419397046697e-112	-4.31310494581561	0.007	0.8	5.77614800288549e-108	preDP_DPblast	Cluster_14
Bcl2a1d	2.14332214905045e-112	-1.69885406643063	0.007	0.8	7.22213831344041e-108	preDP_DPblast	Cluster_14
Cst7	5.63701891367127e-112	-1.58570709622299	0.007	0.8	1.89944989315067e-107	preDP_DPblast	Cluster_14
