	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Pclaf	2.5666962914514e-297	3.4564601954665	0.975	0.051	8.64873982367463e-293	preDP_DPblast	DPsel
Mki67	5.18638495122843e-295	3.28387182175388	0.98	0.043	1.74760427316593e-290	preDP_DPblast	DPsel
Lockd	3.51558331080917e-289	2.76536755327354	0.984	0.058	1.18461095241026e-284	preDP_DPblast	DPsel
Top2a	1.20260907460528e-288	3.96478486880369	0.977	0.092	4.05231153778996e-284	preDP_DPblast	DPsel
Rrm2	1.81709772785218e-287	2.60115330027645	0.949	0.022	6.12289250377072e-283	preDP_DPblast	DPsel
Spc24	5.05995256243536e-285	2.05979259648763	0.945	0.02	1.70500161543822e-280	preDP_DPblast	DPsel
H1f5	1.77835246719804e-280	5.39355697237784	0.97	0.103	5.99233647347051e-276	preDP_DPblast	DPsel
Hmgb2	4.1795995380019e-280	4.58798785509282	1	0.549	1.40835786032512e-275	preDP_DPblast	DPsel
Inpp4b	1.74577208771214e-278	-3.68423026067425	0.143	0.98	5.88255362675482e-274	preDP_DPblast	DPsel
Hmgb1	4.52637711450532e-277	2.63428726555534	1	0.981	1.52520803250371e-272	preDP_DPblast	DPsel
Ptma	7.40005445762937e-277	2.16962164512043	1	1	2.49352235004279e-272	preDP_DPblast	DPsel
Bach2	2.95887072734385e-275	-3.55191394934922	0.12	0.961	9.97021080285785e-271	preDP_DPblast	DPsel
Birc5	1.62838609712765e-274	2.72988971034171	0.931	0.026	5.48700979288132e-270	preDP_DPblast	DPsel
E2f2	2.75074860528993e-274	1.89182498235156	0.954	0.064	9.26892250038496e-270	preDP_DPblast	DPsel
Stmn1	1.04527560184984e-273	3.02202610249957	1	0.628	3.52216066799322e-269	preDP_DPblast	DPsel
H2ac24	6.93744581491334e-271	3.926260278056	0.924	0.039	2.3376417417932e-266	preDP_DPblast	DPsel
H2az1	8.17654091723511e-270	3.07008732196699	1	0.828	2.75516722747154e-265	preDP_DPblast	DPsel
Nsd2	6.06151588913903e-268	2.17226374899369	0.979	0.151	2.04248839400429e-263	preDP_DPblast	DPsel
Anxa2	6.24988211357994e-266	2.28648164006061	0.964	0.143	2.1059602769919e-261	preDP_DPblast	DPsel
Dut	1.03211268185377e-265	2.83099254458978	0.984	0.314	3.47780689277445e-261	preDP_DPblast	DPsel
H2ac8	2.10859279670337e-265	4.36002802807656	0.945	0.097	7.10511428777166e-261	preDP_DPblast	DPsel
Tmsb10	3.84674101155152e-263	-3.66275119159447	0.94	1	1.2961978512524e-258	preDP_DPblast	DPsel
Dntt	1.00292022003835e-261	2.67839832509257	0.973	0.187	3.37943997344122e-257	preDP_DPblast	DPsel
Hmgn2	1.01081632676403e-261	2.46880549844535	0.998	0.677	3.40604669466406e-257	preDP_DPblast	DPsel
H2ac22	1.1531830441813e-260	3.01099995442023	0.893	0.021	3.88576558567331e-256	preDP_DPblast	DPsel
Uhrf1	2.24919476277599e-259	1.77817188390489	0.915	0.044	7.57888667264998e-255	preDP_DPblast	DPsel
Endou	3.11287135773774e-259	1.96836788616224	0.936	0.046	1.04891313270331e-254	preDP_DPblast	DPsel
Cd52	3.68785909390776e-258	-3.27556022710509	0.584	0.999	1.24266100028316e-253	preDP_DPblast	DPsel
H3c3	1.788721274628e-256	3.58910909022158	0.883	0.02	6.0272752069865e-252	preDP_DPblast	DPsel
Cdca8	2.12813525788018e-256	2.07597804247978	0.904	0.039	7.17096456495304e-252	preDP_DPblast	DPsel
H2ac4	2.72572417166974e-256	3.52976164765449	0.889	0.031	9.18460016885835e-252	preDP_DPblast	DPsel
Arpp21	3.71883420793149e-256	3.15834720172068	0.973	0.2	1.2530983747046e-251	preDP_DPblast	DPsel
Clspn	4.87440977811801e-256	1.75960244587328	0.889	0.026	1.64248111883464e-251	preDP_DPblast	DPsel
