	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Cd53	1.06304669008886e-143	-1.99523979192804	0.054	0.919	3.58204212692341e-139	preDP_DPblast	Monocyte_Macrophages_Dendritic
Il2rb	3.06088726943274e-138	-1.98101016660073	0.014	0.741	1.03139657430806e-133	preDP_DPblast	Monocyte_Macrophages_Dendritic
Nkg7	4.13704432209249e-137	-2.85440113171244	0.02	0.77	1.39401845477228e-132	preDP_DPblast	Monocyte_Macrophages_Dendritic
S100a6	6.81805437065861e-130	-3.42947950560221	0.014	0.704	2.29741160073712e-125	preDP_DPblast	Monocyte_Macrophages_Dendritic
Ccnd2	5.06147960062647e-129	-2.27598600304928	0.063	0.889	1.70551616622709e-124	preDP_DPblast	Monocyte_Macrophages_Dendritic
Il18r1	8.23349787607892e-124	-2.17150658535587	0.006	0.637	2.77435944432355e-119	preDP_DPblast	Monocyte_Macrophages_Dendritic
Ahnak	2.5213269201963e-121	-1.79566981601376	0.015	0.674	8.49586319029346e-117	preDP_DPblast	Monocyte_Macrophages_Dendritic
Ms4a4b	4.05652230956659e-121	-3.30704043164291	0.082	0.889	1.36688575743156e-116	preDP_DPblast	Monocyte_Macrophages_Dendritic
Gimap3	1.23686459712332e-120	-1.63074550593898	0.026	0.719	4.16773894646675e-116	preDP_DPblast	Monocyte_Macrophages_Dendritic
Gng2	2.53870090057751e-118	-1.49072514856041	0.036	0.741	8.55440655458597e-114	preDP_DPblast	Monocyte_Macrophages_Dendritic
Gm2682	2.43148088748547e-115	-4.12794453776765	0.037	0.733	8.19311799847105e-111	preDP_DPblast	Monocyte_Macrophages_Dendritic
Chn2	8.93198951511177e-115	-3.01254634679081	0.035	0.726	3.00972318701206e-110	preDP_DPblast	Monocyte_Macrophages_Dendritic
Hopx	2.47287383773954e-114	-1.75779706802764	0.007	0.6	8.33259568364716e-110	preDP_DPblast	Monocyte_Macrophages_Dendritic
Gimap4	2.62360451597707e-114	-2.01187272395759	0.037	0.741	8.84049777703633e-110	preDP_DPblast	Monocyte_Macrophages_Dendritic
Il7r	9.28712186148735e-111	-3.27127276212345	0.057	0.77	3.12938858244678e-106	preDP_DPblast	Monocyte_Macrophages_Dendritic
Ctsw	1.68741660625382e-108	-1.79141677061827	0.043	0.726	5.68591899643288e-104	preDP_DPblast	Monocyte_Macrophages_Dendritic
Cd7	1.35231049714385e-106	-1.92535764715501	0.015	0.607	4.55674545117591e-102	preDP_DPblast	Monocyte_Macrophages_Dendritic
H2-Q7	2.19094791175386e-104	-2.23762586572271	0.076	0.8	7.3826180834458e-100	preDP_DPblast	Monocyte_Macrophages_Dendritic
Arid5b	3.82712519915695e-104	-2.18538537756466	0.058	0.748	1.28958810710793e-99	preDP_DPblast	Monocyte_Macrophages_Dendritic
Klrk1	5.30199956127232e-104	-2.6490798221255	0.001	0.519	1.78656177216632e-99	preDP_DPblast	Monocyte_Macrophages_Dendritic
Il18rap	1.56655864668187e-97	-1.19841374918914	0.002	0.496	5.27867601585922e-93	preDP_DPblast	Monocyte_Macrophages_Dendritic
Shisa5	4.09251208506099e-96	-2.71566360062116	0.213	0.948	1.37901287218215e-91	preDP_DPblast	Monocyte_Macrophages_Dendritic
Inpp4b	8.70463141246759e-96	-3.69667428127551	0.143	0.881	2.93311260074508e-91	preDP_DPblast	Monocyte_Macrophages_Dendritic
Coro2a	4.12373626955861e-95	-1.70240217992519	0.033	0.622	1.38953417339047e-90	preDP_DPblast	Monocyte_Macrophages_Dendritic
Klrd1	1.38647088183945e-93	-1.95672146494976	0.008	0.511	4.6718522834462e-89	preDP_DPblast	Monocyte_Macrophages_Dendritic
S100a4	1.23848067322095e-92	-2.12299538002318	0.006	0.496	4.17318447648532e-88	preDP_DPblast	Monocyte_Macrophages_Dendritic
Chd7	6.52930163381008e-92	-1.38730424968738	0.026	0.585	2.20011347852865e-87	preDP_DPblast	Monocyte_Macrophages_Dendritic
Niban1	3.09240429367013e-91	-1.1066870321125	0.005	0.481	1.04201655079509e-86	preDP_DPblast	Monocyte_Macrophages_Dendritic
Smad7	7.01808805749314e-90	-1.25714170621288	0.032	0.607	2.36481495185289e-85	preDP_DPblast	Monocyte_Macrophages_Dendritic
Klrb1c	7.36768821992467e-90	-1.46072078403869	0	0.444	2.48261622258582e-85	preDP_DPblast	Monocyte_Macrophages_Dendritic
Xcl1	8.16494912353793e-90	-1.43037024232665	0.001	0.452	2.75126125666734e-85	preDP_DPblast	Monocyte_Macrophages_Dendritic
Parp8	5.1510803280531e-89	-1.87945033127508	0.077	0.726	1.73570802734077e-84	preDP_DPblast	Monocyte_Macrophages_Dendritic
Ccl5	3.7675692042651e-88	-4.01494088502908	0.005	0.467	1.26952011906917e-83	preDP_DPblast	Monocyte_Macrophages_Dendritic
Ly6c2	3.48679035374452e-87	-3.05598435331179	0.007	0.474	1.17490887759775e-82	preDP_DPblast	Monocyte_Macrophages_Dendritic
Id2	4.38302567470679e-87	-2.67807570987846	0.085	0.726	1.4769043313492e-82	preDP_DPblast	Monocyte_Macrophages_Dendritic
Styk1	1.06275133184493e-86	-2.25177422427854	0.002	0.444	3.58104688778467e-82	preDP_DPblast	Monocyte_Macrophages_Dendritic
Cd226	1.63420927191741e-86	-1.70169085188192	0.042	0.63	5.50663156265292e-82	preDP_DPblast	Monocyte_Macrophages_Dendritic
Ctss	2.51242242888061e-86	-1.20515515346349	0.021	0.541	8.46585861635612e-82	preDP_DPblast	Monocyte_Macrophages_Dendritic
Gm26740	3.79947623383471e-86	-2.47600565756848	0.112	0.778	1.28027151175294e-81	preDP_DPblast	Monocyte_Macrophages_Dendritic
Tes	4.23799890118878e-86	-1.41666626794898	0.084	0.733	1.42803610974457e-81	preDP_DPblast	Monocyte_Macrophages_Dendritic
Fgl2	3.39556576026371e-85	-1.20772861635242	0.004	0.444	1.14416983857846e-80	preDP_DPblast	Monocyte_Macrophages_Dendritic
Samd3	3.8445096988456e-85	-1.2384215815796	0.005	0.452	1.29544598812301e-80	preDP_DPblast	Monocyte_Macrophages_Dendritic
Atp8b4	1.18529873626627e-84	-1.96590673139421	0.058	0.659	3.99398262172282e-80	preDP_DPblast	Monocyte_Macrophages_Dendritic
H2-Q6	9.75390717254843e-84	-1.01644225083659	0.006	0.452	3.28667656086192e-79	preDP_DPblast	Monocyte_Macrophages_Dendritic
Klrc2	1.17028510612832e-83	-1.42970903316425	0	0.415	3.94339269360999e-79	preDP_DPblast	Monocyte_Macrophages_Dendritic
Samhd1	2.87822317080268e-83	-1.4999176564595	0.033	0.57	9.69846079633671e-79	preDP_DPblast	Monocyte_Macrophages_Dendritic
Itga1	1.10139914573399e-82	-1.71712363372636	0.008	0.459	3.71127456146526e-78	preDP_DPblast	Monocyte_Macrophages_Dendritic
Cxcr6	1.51518157503253e-82	-1.84351828914497	0.028	0.548	5.10555583522962e-78	preDP_DPblast	Monocyte_Macrophages_Dendritic
Ar	2.84143632687222e-82	-1.15975928169286	0.008	0.459	9.57450384702864e-78	preDP_DPblast	Monocyte_Macrophages_Dendritic
Tent5a	5.49228450334297e-82	-0.920607989907145	0.004	0.43	1.85068018624645e-77	preDP_DPblast	Monocyte_Macrophages_Dendritic
Cxcr3	7.28616392796634e-82	-0.867343659945791	0.005	0.437	2.45514579716754e-77	preDP_DPblast	Monocyte_Macrophages_Dendritic
Bcl2a1b	2.12360886708512e-81	-1.00293840456522	0.011	0.467	7.15571243853002e-77	preDP_DPblast	Monocyte_Macrophages_Dendritic
Klra9	1.41416617689488e-80	-2.83905045253375	0	0.4	4.765174349665e-76	preDP_DPblast	Monocyte_Macrophages_Dendritic
Crim1	3.91485993867485e-80	-1.19359037300462	0.023	0.519	1.31915120493588e-75	preDP_DPblast	Monocyte_Macrophages_Dendritic
Ttc39b	3.91485993867485e-80	-1.12249236802108	0.023	0.519	1.31915120493588e-75	preDP_DPblast	Monocyte_Macrophages_Dendritic
Eeig1	8.13896422490207e-80	-1.02754809600797	0.056	0.63	2.742505385223e-75	preDP_DPblast	Monocyte_Macrophages_Dendritic
AW112010	1.82904615048225e-79	-3.19463901461984	0.208	0.859	6.16315390866499e-75	preDP_DPblast	Monocyte_Macrophages_Dendritic
Sytl2	7.28126602710891e-79	-1.12081889603659	0.021	0.504	2.45349540049462e-74	preDP_DPblast	Monocyte_Macrophages_Dendritic
Arsb	1.08133313055547e-78	-1.39056224050308	0.018	0.489	3.64366011671972e-74	preDP_DPblast	Monocyte_Macrophages_Dendritic
ENSMUSG00000121501	1.92875283155806e-78	-1.3150858246176	0.078	0.681	6.49912554121805e-74	preDP_DPblast	Monocyte_Macrophages_Dendritic
H2-K1	2.51980998956968e-78	-3.42802502179847	0.396	0.97	8.490751740854e-74	preDP_DPblast	Monocyte_Macrophages_Dendritic
Sema4a	9.38919678055253e-78	-1.07288334606671	0.026	0.519	3.16378374717498e-73	preDP_DPblast	Monocyte_Macrophages_Dendritic
Gprin3	1.06707756693346e-77	-1.12371550269312	0.009	0.444	3.59562456953899e-73	preDP_DPblast	Monocyte_Macrophages_Dendritic
Ptma	2.37760722131741e-77	2.50009170589696	1	0.985	8.01158529295114e-73	preDP_DPblast	Monocyte_Macrophages_Dendritic
Gimap8	2.48594702238963e-77	-1.28815774806349	0.093	0.704	8.3766470866441e-73	preDP_DPblast	Monocyte_Macrophages_Dendritic
Ust	3.74831689141296e-77	-1.67041985150717	0.016	0.474	1.26303285973051e-72	preDP_DPblast	Monocyte_Macrophages_Dendritic
Hmgb1	4.99399095207055e-77	2.78560159791106	1	0.956	1.68277519120969e-72	preDP_DPblast	Monocyte_Macrophages_Dendritic
Itgb7	6.44632416492322e-77	-1.29739905570023	0.044	0.593	2.17215339061253e-72	preDP_DPblast	Monocyte_Macrophages_Dendritic
Stmn1	7.38475945363884e-77	3.8392848959663	1	0.289	2.48836854549814e-72	preDP_DPblast	Monocyte_Macrophages_Dendritic
Hmgb2	9.68802504292071e-77	3.91860663428202	1	0.763	3.26447691846256e-72	preDP_DPblast	Monocyte_Macrophages_Dendritic
9930111J21Rik2	1.94394052824574e-76	-1.19119201507574	0.026	0.511	6.55030200397684e-72	preDP_DPblast	Monocyte_Macrophages_Dendritic
Myo1f	2.32333054057435e-76	-1.66298778634743	0.055	0.607	7.82869458951934e-72	preDP_DPblast	Monocyte_Macrophages_Dendritic
Slamf7	7.04827253744343e-76	-1.02011035210405	0.001	0.385	2.37498591421694e-71	preDP_DPblast	Monocyte_Macrophages_Dendritic
Lncpint	7.16223690521392e-76	-1.67523409661798	0.124	0.741	2.41338734758088e-71	preDP_DPblast	Monocyte_Macrophages_Dendritic
Hmgn2	1.84360201756473e-75	3.06571477373345	0.998	0.511	6.21220135838611e-71	preDP_DPblast	Monocyte_Macrophages_Dendritic
S100a11	3.94815365405463e-75	-2.13874456333236	0.229	0.852	1.33036985527025e-70	preDP_DPblast	Monocyte_Macrophages_Dendritic
Ctla2a	5.79582029863245e-75	-1.23502368560504	0.011	0.437	1.95295960782719e-70	preDP_DPblast	Monocyte_Macrophages_Dendritic
Klk8	8.64754306166397e-75	-1.12412904383796	0.057	0.607	2.91387611005829e-70	preDP_DPblast	Monocyte_Macrophages_Dendritic
Ipcef1	1.19136281849561e-74	-1.92646138242217	0.183	0.822	4.0144161532028e-70	preDP_DPblast	Monocyte_Macrophages_Dendritic
Cd40lg	1.99759535748381e-74	-1.12164342692548	0.008	0.422	6.73109731657743e-70	preDP_DPblast	Monocyte_Macrophages_Dendritic
Cd44	2.49779067930132e-74	-1.35000306788451	0.064	0.622	8.41655547297373e-70	preDP_DPblast	Monocyte_Macrophages_Dendritic
Ezh2	3.33263266693867e-74	2.51455940755776	0.996	0.348	1.12296390345166e-69	preDP_DPblast	Monocyte_Macrophages_Dendritic
Sntb1	4.45073490173705e-74	-1.36402069209737	0.014	0.452	1.49971963248932e-69	preDP_DPblast	Monocyte_Macrophages_Dendritic
Pclaf	4.51012356609095e-74	3.48128686466928	0.975	0.037	1.51973123683001e-69	preDP_DPblast	Monocyte_Macrophages_Dendritic
Mki67	6.56657064047806e-74	3.32849994392948	0.98	0.081	2.21267164301549e-69	preDP_DPblast	Monocyte_Macrophages_Dendritic
Icos	8.74816486209284e-74	-1.64205136382686	0.049	0.585	2.94778163193081e-69	preDP_DPblast	Monocyte_Macrophages_Dendritic
Top2a	1.6226293949847e-73	4.05578455150673	0.977	0.096	5.46761200934044e-69	preDP_DPblast	Monocyte_Macrophages_Dendritic
H2az1	2.76003999514467e-73	2.82737377612398	1	0.859	9.30023076763948e-69	preDP_DPblast	Monocyte_Macrophages_Dendritic
Anp32b	2.7995930182327e-73	2.12802999330746	1	0.778	9.4335086342369e-69	preDP_DPblast	Monocyte_Macrophages_Dendritic
Lfng	4.83593595003575e-73	-0.850912658914304	0.023	0.489	1.62951697772405e-68	preDP_DPblast	Monocyte_Macrophages_Dendritic
Slfn1	5.90112989029173e-73	-1.16095190929585	0.025	0.496	1.9884447278327e-68	preDP_DPblast	Monocyte_Macrophages_Dendritic
Fasl	6.35769479956953e-73	-0.726439415238147	0	0.363	2.14228883966295e-68	preDP_DPblast	Monocyte_Macrophages_Dendritic
Gvin2	8.91024356499332e-73	-0.878309822382048	0.002	0.378	3.00239567166015e-68	preDP_DPblast	Monocyte_Macrophages_Dendritic
Adam19	1.18443070112095e-72	-1.02983406758372	0.008	0.415	3.99105769049714e-68	preDP_DPblast	Monocyte_Macrophages_Dendritic
Lmnb1	2.84487617882965e-72	2.25211048731268	0.995	0.274	9.58609477218438e-68	preDP_DPblast	Monocyte_Macrophages_Dendritic
H1f5	8.4853788789656e-72	5.50582453073156	0.97	0.089	2.85923326705625e-67	preDP_DPblast	Monocyte_Macrophages_Dendritic
Dut	1.10891662673123e-71	2.83364821294072	0.984	0.393	3.73660546543356e-67	preDP_DPblast	Monocyte_Macrophages_Dendritic
Anp32e	1.87666582181507e-71	2.37144431525756	0.995	0.533	6.32361315318806e-67	preDP_DPblast	Monocyte_Macrophages_Dendritic
Dek	6.8493856960009e-71	2.10071965813687	0.995	0.704	2.30796900412446e-66	preDP_DPblast	Monocyte_Macrophages_Dendritic
Tuba1b	7.37760311314175e-71	2.74051723293064	0.989	0.533	2.48595714500424e-66	preDP_DPblast	Monocyte_Macrophages_Dendritic
Rrm2	3.75493848643493e-70	2.60847900600181	0.949	0.015	1.26526407238911e-65	preDP_DPblast	Monocyte_Macrophages_Dendritic
H2az2	4.71662601900001e-70	2.41699372669523	0.996	0.607	1.58931430336224e-65	preDP_DPblast	Monocyte_Macrophages_Dendritic
Klre1	6.97471833449756e-70	-1.51880685186308	0	0.348	2.3502010899923e-65	preDP_DPblast	Monocyte_Macrophages_Dendritic
Rgs1	1.02617113097494e-69	-1.07584945790981	0.004	0.37	3.45778624293315e-65	preDP_DPblast	Monocyte_Macrophages_Dendritic
Lockd	2.2959406259959e-69	2.60209888373261	0.984	0.156	7.7364015333558e-65	preDP_DPblast	Monocyte_Macrophages_Dendritic
Txn1	4.57859825370836e-69	1.99020690652212	0.995	0.689	1.54280446756957e-64	preDP_DPblast	Monocyte_Macrophages_Dendritic
