	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
H2-Aa	6.96517783564516e-137	-5.30420455365986	0.012	0.795	2.34698632349899e-132	preDP_DPblast	Stroma
H2-Eb1	1.29441490764047e-135	-5.05643321139392	0.006	0.74	4.36166047278534e-131	preDP_DPblast	Stroma
Ctss	2.66289099919941e-134	-3.62032926698608	0.021	0.849	8.97287751090235e-130	preDP_DPblast	Stroma
Ctsh	1.1808354908874e-133	-2.39868532970081	0	0.671	3.9789432700942e-129	preDP_DPblast	Stroma
Cybb	2.23382565105149e-122	-2.60071845601864	0	0.616	7.52709891378311e-118	preDP_DPblast	Stroma
Cd74	1.76687410072618e-121	-6.42912379878217	0.037	0.877	5.95365896980695e-117	preDP_DPblast	Stroma
Tyrobp	4.10048899476264e-109	-3.71841210660252	0.004	0.589	1.38170077167522e-104	preDP_DPblast	Stroma
Mpeg1	2.05080924629394e-108	-2.07511230954443	0	0.548	6.91040683631205e-104	preDP_DPblast	Stroma
Ly86	2.28665136672629e-108	-2.31565414258921	0.008	0.63	7.70510044532092e-104	preDP_DPblast	Stroma
Lyn	2.28433352999204e-107	-2.80692303102286	0.029	0.767	7.69729026266118e-103	preDP_DPblast	Stroma
Cd180	7.17972685814732e-103	-1.49245796225107	0	0.521	2.41928076212132e-98	preDP_DPblast	Stroma
Napsa	2.3305140445277e-100	-1.44958497676067	0.002	0.534	7.85290012444053e-96	preDP_DPblast	Stroma
Marchf1	3.46587963282606e-95	-1.9880158428582	0.004	0.521	1.16786280107707e-90	preDP_DPblast	Stroma
Pik3ap1	5.02142781545145e-95	-1.70057852101223	0.004	0.521	1.69202031669452e-90	preDP_DPblast	Stroma
Unc93b1	7.09501714477212e-95	-2.07397765647837	0.015	0.616	2.39073697710241e-90	preDP_DPblast	Stroma
Cd86	9.32906653552487e-93	-1.70179446906817	0.005	0.521	3.14352225981046e-88	preDP_DPblast	Stroma
Fcer1g	9.48079809211135e-93	-3.52679033137862	0.013	0.589	3.19464972511784e-88	preDP_DPblast	Stroma
Sirpa	4.69773388986011e-92	-2.56524864719454	0.002	0.493	1.58294841152726e-87	preDP_DPblast	Stroma
Gm15987	6.81923500477758e-92	-2.28088100330479	0.001	0.479	2.29780942720985e-87	preDP_DPblast	Stroma
Spi1	8.05177051094266e-92	-1.56501849443907	0.001	0.479	2.71312459136724e-87	preDP_DPblast	Stroma
Wdfy4	7.98429230787337e-91	-2.33401337610289	0.014	0.589	2.69038713606101e-86	preDP_DPblast	Stroma
Rassf4	4.7197617145954e-90	-1.43106379485329	0.005	0.507	1.59037090735007e-85	preDP_DPblast	Stroma
Lyz2	1.28900503542996e-89	-4.68670538480901	0.004	0.493	4.34343136738478e-85	preDP_DPblast	Stroma
Rnase6	4.1262502936377e-89	-1.2150217201113	0	0.452	1.39038129894416e-84	preDP_DPblast	Stroma
Plek	4.71140712028021e-89	-1.42465278502218	0.002	0.479	1.58755574324962e-84	preDP_DPblast	Stroma
Fcgr2b	5.64606293338101e-89	-1.41185647114327	0.001	0.466	1.90249736603207e-84	preDP_DPblast	Stroma
Mef2c	3.45383187135344e-87	-2.34221213145405	0.005	0.493	1.16380318737126e-82	preDP_DPblast	Stroma
Aif1	6.91294663446311e-87	-3.12460478866547	0.004	0.479	2.32938649794869e-82	preDP_DPblast	Stroma
