	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Gm4632	0	3.38975671541672	0.94	0.022	0
Hes1	0	2.09097590353467	0.88	0.019	0
H19	0	1.69377374528309	1	0	0
Arhgef10l	0	1.37847037470756	0.64	0.008	0
Mpzl2	0	1.22500230324	0.56	0.008	0
Epb41l4b	0	1.10626835837795	0.7	0.013	0
Gm34004	0	1.06790956181996	0.64	0.008	0
Khdc1a	0	1.0515557014025	0.52	0.005	0
Pld4	0	0.885498462778707	0.6	0.01	0
Erg	3.04111244595072e-289	0.852395832485085	0.48	0.007	1.02473324978755e-284
Trgc1	1.21104347769794e-269	2.4508725700168	0.92	0.031	4.08073210245098e-265
Gm5111	9.41883458108407e-269	0.784042119725213	0.44	0.006	3.17377050044209e-264
Nckap5	7.54614701589054e-259	1.70103337345277	0.78	0.023	2.54274969847448e-254
Trgc2	2.30256232115608e-257	2.69529770564169	0.92	0.033	7.75871399736754e-253
Tshz2	2.76147177412492e-243	1.81621792187785	0.56	0.012	9.30505529009133e-239
Trgc4	1.89278345623696e-240	2.04943027984092	0.8	0.026	6.37792313413606e-236
Rab44	5.77706881011915e-238	0.709589619168783	0.52	0.011	1.94664110625775e-233
Trgv2	3.85323315829741e-235	2.46770489351882	0.8	0.027	1.2983854450199e-230
Paqr5	2.54043211569167e-232	0.708529348009955	0.48	0.009	8.56024005703466e-228
Bst1	1.18339126277367e-220	1.13140578076607	0.64	0.018	3.98755519904217e-216
Cdkn1a	3.91343148654516e-218	0.918959204499368	0.5	0.011	1.31866987370626e-213
Gm33332	2.98965562690477e-200	0.306386049570545	0.26	0.003	1.00739436004183e-195
Il2ra	3.72985296138471e-197	3.21636461104178	0.98	0.051	1.25681125386819e-192
Adamts17	5.18246058746784e-191	2.00122766039104	0.86	0.039	1.74628191955316e-186
Acot5	1.45984857245927e-189	0.356375457592091	0.34	0.006	4.91910574975874e-185
Trgv4	8.20609234281189e-177	0.804604845235363	0.4	0.009	2.76512487583389e-172
Rab38	1.05505489565479e-167	0.34141287361826	0.3	0.005	3.55511297639839e-163
Wdfy4	4.36540914911555e-166	0.744532000849436	0.52	0.016	1.47096826688598e-161
Ifitm2	2.25700538335408e-156	0.969001693356141	0.6	0.023	7.6052053397499e-152
Itgb4	2.68793853488365e-146	0.63595187664364	0.44	0.013	9.05727768714394e-142
Zeb2	1.07006154253425e-140	1.37569523186488	0.7	0.034	3.60567937372342e-136
Or4e5	1.37503377119333e-136	0.349398633214324	0.18	0.002	4.63331379541306e-132
Gria3	1.39795443885684e-133	1.76168809607566	0.86	0.055	4.71054727717202e-129
Gm12503	7.74038823448384e-132	0.568724552122636	0.34	0.008	2.60820121949168e-127
Plac8	7.34188789888753e-131	2.19935651944282	0.82	0.052	2.47392254640914e-126
Trgv1	8.75257616211705e-131	0.847449979410654	0.34	0.008	2.94926806358696e-126
Fam163b	3.91261048238385e-127	0.639716701785523	0.36	0.01	1.31839322814406e-122
Rhobtb3	3.51153396003901e-122	0.445356756201772	0.22	0.004	1.18324648317474e-117
Epcam	6.28549465255269e-118	1.09061857428193	0.72	0.043	2.11796027812415e-113
Myl10	4.74558159914882e-110	3.38482174965377	1	0.106	1.59907117564919e-105
Epb41l4a	1.14890076213638e-107	0.346164591276398	0.18	0.003	3.87133600809473e-103
Coro2a	3.08208898914976e-107	0.735742476072505	0.6	0.032	1.0385407057839e-102
Ldlr	6.47852334152603e-107	1.80032288794238	0.76	0.055	2.18300322516061e-102
Capn5	8.83005775309641e-107	0.682126417190352	0.6	0.033	2.97537626048337e-102
Pgpep1l	1.08068374338196e-106	1.55173350819572	0.8	0.061	3.64147194169987e-102
Cd59a	4.11099671350038e-104	0.334771383005755	0.18	0.003	1.38524145258109e-99
Gm47754	8.20279331655941e-103	0.361365767935883	0.28	0.007	2.76401323594786e-98
Atp8b4	7.66374584629973e-93	1.64168614933905	0.78	0.064	2.58237580036916e-88
Notch3	3.83851401299132e-91	2.13286011345355	0.92	0.1	1.29342568181756e-86
Cpne2	1.30958084630874e-89	0.612585892034637	0.5	0.027	4.41276361972194e-85
Ctla2a	9.38405481035598e-89	0.806034818919296	0.52	0.029	3.16205110889755e-84
Cd59b	1.69228619654064e-88	0.427726962652014	0.28	0.009	5.70232756786335e-84
Mcub	4.05586774508394e-87	1.39853310333422	0.7	0.057	1.36666519538348e-82
Adgrg1	3.5283372813721e-86	0.731975880027347	0.66	0.049	1.18890853033114e-81
Slc5a9	1.62154113870878e-84	0.788265755545152	0.62	0.043	5.46394502099311e-80
Rps6kl1	4.16925496920725e-84	0.514082358956557	0.22	0.006	1.40487215442407e-79
2700054A10Rik	1.02728330513926e-82	0.313476675070433	0.22	0.006	3.46153382499725e-78
Serpinb1a	7.02994584375207e-82	0.407619151889746	0.26	0.008	2.3688105515107e-77
Vwce	5.23876420560757e-79	0.465148797928575	0.32	0.013	1.76525398672153e-74
Ahr	6.05563290171823e-78	0.703748312945941	0.5	0.031	2.04050606256297e-73
Ociad2	1.96395962599616e-77	0.326472678589738	0.28	0.01	6.61775835575667e-73
Mzb1	7.42793455005472e-74	0.316660315399419	0.28	0.01	2.50291682598644e-69
Tnr	1.63360021082403e-73	0.546862908296295	0.22	0.006	5.50457927039264e-69
Gprin3	1.44856839772699e-72	1.18250261308247	0.5	0.033	4.88109607298086e-68
Frmd4a	2.42939962524339e-72	0.895123980959942	0.58	0.045	8.18610497722013e-68
1500009L16Rik	1.76336388536507e-69	1.27052633464847	0.78	0.091	5.94183094812615e-65
Prss57	8.05445811184845e-69	1.04394696057811	0.66	0.063	2.71403020536845e-64
Sytl1	1.88884986994369e-68	0.698238617333382	0.6	0.05	6.36466852176225e-64
Gfra1	2.30640829875564e-68	1.89752929441829	0.78	0.089	7.77167340348701e-64
Unc93b1	4.29156224785749e-67	0.495175806726885	0.4	0.023	1.44608481503806e-62
Plekha7	7.0929693146063e-66	1.10750822035111	0.86	0.103	2.39004694024974e-61
Tmem176b	2.4638142228951e-65	0.725210452487544	0.6	0.051	8.30206840546733e-61
Tmem121	1.32120918218464e-63	0.824686238591675	0.56	0.049	4.45194646028937e-59
Gm12216	1.73939596952011e-61	0.709400297894771	0.54	0.045	5.86106865889498e-57
