	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Akt3	0.0408382041388457	-3.43578806843412	0.389	0.75	1
Inpp4b	0.0126131276834111	-3.29231684692958	0.167	0.75	1
H2ac24	0.094657631776617	3.25979339769942	0.5	0	1
H2az1	0.0420675836286045	3.16738812174145	0.778	0.25	1
Stmn1	0.128596928299304	3.15174232417801	0.611	0.25	1
H2ac8	0.16460990772885	3.10779302666898	0.389	0	1
Rbm3	0.00902467404062864	3.0994344740064	0.889	0.25	1
H1f5	0.387507342616732	3.06427305407714	0.556	0.25	1
Gm2682	0.232430481974116	-2.90398108107006	0.056	0.25	1
Hmgb2	0.322778541852631	2.71083457372806	0.778	0.5	1
Cyp4f18	0.232430481974116	-2.68339615167896	0.056	0.25	1
Foxo3	0.00548298630769751	-2.67845941020817	0.5	1	1
Scai	0.4856671963351	-2.66094839298063	0.444	0.5	1
Snd1	0.171764057194445	-2.65053061796123	0.556	0.75	1
Lgals1	0.0505004714944131	2.62534619340596	0.611	0	1
Gm36723	0.0451269488886762	-2.6007112804464	0	0.25	1
Gapt	0.0451269488886762	-2.6007112804464	0	0.25	1
Acss1	0.00669949792988811	-2.58126389643988	0.167	0.75	1
Gbe1	0.0499123941589032	-2.53537003517866	0.111	0.5	1
Fam210b	0.232430481974116	-2.52306401989842	0.056	0.25	1
Dnajc6	0.429423288613144	-2.51416063331344	0.444	0.5	1
Tuba1b	0.0698683226381824	2.51116149922883	0.556	0	1
Ube2c	0.125858013229373	2.46394898536617	0.444	0	1
Nubpl	0.432826455583529	-2.45994511632501	0.111	0.25	1
Orc3	0.00133007842625025	-2.4260009603032	0.222	1	1
Lockd	0.094657631776617	2.40073783098473	0.5	0	1
Cd44	0.432826455583529	2.39115793190017	0.167	0	1
Nup160	0.771964306371205	-2.37235126308266	0.222	0.25	1
Mlxip	0.771964306371205	-2.3622671267588	0.222	0.25	1
Pclaf	0.16460990772885	2.36010498704186	0.389	0	1
Nucks1	0.0164610937840286	2.35261659575519	0.778	0	1
Egln2	0.23647371083558	-2.34159180932696	0.278	0.5	1
Kmt5b	0.122858083768477	-2.32323463641485	0.556	0.75	1
Irag2	0.0550067596109902	2.32245209516184	0.722	0.25	1
5830418P13Rik	0.143147848966967	-2.31427766005889	0.222	0.5	1
Tmpo	0.094657631776617	2.29928241248639	0.5	0	1
Panx1	0.00311630940761595	-2.28245625568826	0.111	0.75	1
Mki67	0.125858013229373	2.26474879417181	0.444	0	1
Tmem164	0.171764057194445	2.26272326030467	0.667	0.25	1
Spindoc	0.0629924893396646	-2.25867383882538	0.389	0.75	1
Dut	0.16460990772885	2.2410978459978	0.389	0	1
Nedd4	0.0245629653249928	2.20527980849487	0.722	0	1
Spop	0.0194718390226009	-2.19692399802215	0.5	1	1
Ubn2	0.00195963703126325	-2.19327030625084	0.556	1	1
Phtf1	0.913633232898766	-2.19045363127577	0.278	0.25	1
Msl3	0.458915996187199	-2.18621445433722	0.333	0.5	1
Mrpl1	0.34817497148958	-2.17848113800149	0.333	0.5	1
Dleu2	0.0239218756901569	2.16694517017133	0.944	0.5	1
H4c4	0.621478983836632	2.1568267341508	0.389	0.25	1
Katnip	0.0754828564686271	-2.1481645803643	0.278	0.75	1
Tmem245	0.473817326070268	-2.13993079843565	0.389	0.5	1
Axin1	0.401253824901266	-2.13690938065176	0.333	0.5	1
Ppia	0.0297682995961103	2.13315851579901	0.889	0.75	1
Asap1	0.153487424449286	-2.12507415526871	0.667	0.75	1
Psmb3	0.00676178533199012	2.12270475026902	0.889	0	1
Zdhhc14	0.00553094965432501	-2.11619245775214	0.389	1	1
Adamdec1	0.432826455583529	2.11501782876484	0.167	0	1
Atox1	0.0164610937840286	2.11327605889109	0.778	0	1
Anp32e	0.176407978598999	2.09661727142519	0.667	0.5	1
Traf2	1	-2.09157211279191	0.333	0.25	1
Bcas3	0.0356669720867406	2.08565027253992	0.667	0	1
Hbs1l	0.0942643068412103	-2.08115282116878	0.389	0.75	1
Adnp	0.152640561825753	-2.07984735274547	0.5	0.75	1
Lrrc8d	0.682295582052517	-2.07811199698565	0.5	0.5	1
Junb	0.16460990772885	2.07299763184205	0.389	0	1
Trnt1	0.00311630940761595	-2.04155809120978	0.111	0.75	1
Mrtfa	0.0894244835247522	-2.03455960308649	0.5	0.75	1
Cenpf	0.094657631776617	2.02628664773168	0.5	0	1
Ccnd2	0.0499123941589032	-2.01528244997607	0.111	0.5	1
