	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
F8	0	1.68944525008876	1	0.002	0
Zfp704	3.20138047135653e-12	0.323240452660801	0.417	0.22	1.0787371636283e-07
Nucks1	7.62161379686778e-12	0.599343101517534	0.632	0.417	2.56817898499257e-07
Cenpa	2.51183463184525e-11	0.54693650851021	0.373	0.2	8.46387797546576e-07
Plac8	4.14386776973144e-11	0.508198267804791	0.154	0.053	1.3963176836887e-06
Ccnb1	7.48464161467712e-11	0.326707158574473	0.254	0.114	2.5220248384816e-06
Diaph3	7.97491288525956e-11	0.472611990548986	0.329	0.166	2.68722664581706e-06
Uhrf1	9.89839370097053e-11	0.342571787044716	0.351	0.178	3.33536274147903e-06
Nap1l1	1.35665590582027e-10	0.450896272222079	0.623	0.405	4.57138774025199e-06
Aspm	1.6242364218175e-10	0.281470751624582	0.237	0.105	5.47302704695624e-06
Gzma	1.6610619180172e-10	0.460863700273281	0.311	0.153	5.59711423895076e-06
Smarcb1	2.20962053921851e-10	0.283493747136672	0.482	0.277	7.4455373689507e-06
Dlgap5	2.32804509604986e-10	0.358765142264597	0.276	0.133	7.84458075564961e-06
Ccnb2	2.71512486186937e-10	0.458162170287853	0.303	0.152	9.14888473455504e-06
Anp32e	3.82676030490728e-10	0.468979415067265	0.75	0.567	1.28946515234156e-05
Cdc20	4.90619541811131e-10	0.383184040892218	0.268	0.129	1.65319160808679e-05
Cenpe	4.96447588450464e-10	0.570547586354913	0.303	0.153	1.67282979404268e-05
Knstrn	5.04539347075863e-10	0.269020298829183	0.289	0.143	1.70009578390683e-05
Spc24	5.96852423580016e-10	0.301464469423347	0.303	0.148	2.01115392649522e-05
Lockd	7.35719782270585e-10	0.52308958095868	0.434	0.245	2.47908137833896e-05
Bub1b	7.59681024164525e-10	0.294565291741148	0.289	0.142	2.55982117902478e-05
Rpl23a	1.18571505529366e-09	0.363772638833159	0.921	0.809	3.99538545031753e-05
Tpx2	1.33369623229549e-09	0.442685545434342	0.285	0.141	4.49402282434288e-05
Cks1b	2.05029447942044e-09	0.446958977622808	0.368	0.211	6.90867227785513e-05
Hmgn5	2.57484333192729e-09	0.296208693962152	0.382	0.212	8.67619209126221e-05
Gria3	2.63079939624928e-09	0.356932134979543	0.149	0.056	8.86474164560157e-05
Lgals1	3.03462144231963e-09	0.426622790711993	0.667	0.47	0.000102254604120402
Cenpp	4.41027156539048e-09	0.31764884489204	0.338	0.179	0.000148608510667397
Cdca3	7.47934330815154e-09	0.321525891450086	0.281	0.142	0.000252023952111474
Racgap1	7.71784182012248e-09	0.258900979454857	0.289	0.146	0.000260060397970847
Top2a	8.42379599522971e-09	0.616144221321763	0.36	0.2	0.00028384822985526
H2ax	9.42905985952133e-09	0.522549959980059	0.447	0.27	0.000317721601026431
Myl10	9.69761712425999e-09	0.387091437247021	0.228	0.107	0.000326770906619065
Ppp1r14b	1.21740838640567e-08	0.342263741093084	0.829	0.643	0.000410217929883254
Gm43434	1.24472065639156e-08	0.269334037028594	0.206	0.094	0.000419421072377699
Snrpf	2.09977886360123e-08	0.364007645221597	0.803	0.621	0.000707541485879071
Rad51b	2.21134059234407e-08	0.270654372930642	0.25	0.125	0.000745133325996257
Ran	2.68834648146435e-08	0.385434182037555	0.715	0.528	0.000905865230394227
Malat1	2.92895806912139e-08	-0.281850595244851	0.996	0.999	0.000986941710971143
Crip1	3.34693989837948e-08	0.689063603352357	0.667	0.508	0.00112778486815795
