	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
F8	2.36736661943333e-289	0.949750959000273	1	0.014	7.97707856084256e-285
C9orf72	7.75446963671473e-80	0.84579489059263	1	0.049	2.6129460887874e-75
Adam23	6.6265955485989e-23	0.700728073404307	0.1	0.002	2.23289763605589e-18
Thsd7a	9.03927911457972e-19	0.752661744071648	0.1	0.002	3.04587549044878e-14
Rnase6	1.12343587487633e-15	0.446939762766224	0.15	0.006	3.78552952398329e-11
Marchf1	4.39548428283503e-14	0.611193084049101	0.15	0.007	1.48110238394409e-09
Spi1	5.78046480200416e-14	0.510069610122392	0.15	0.007	1.94778541968332e-09
Stk32c	6.9260878938165e-14	0.255533851855003	0.1	0.003	2.33381457670041e-09
Wdr25	1.48402674576121e-13	0.435425482700221	0.35	0.037	5.00057652251697e-09
Rufy3	2.27016807713226e-13	0.315903077588151	0.65	0.108	7.64955835270488e-09
H2-DMb2	3.80666903420949e-13	0.598561408340884	0.15	0.008	1.28269519776723e-08
Traf3ip1	4.29811964811434e-13	0.267646630591212	0.45	0.058	1.44829439662861e-08
Ms4a1	5.31677853437213e-13	0.49472459653437	0.1	0.003	1.79154169494203e-08
Miga1	6.01019739760389e-13	0.457007795459232	0.8	0.157	2.02519611509661e-08
Napsa	2.97450751047314e-12	0.753719277837313	0.15	0.008	1.00229005072903e-07
Ctsh	3.39501227989945e-12	0.261882136959643	0.15	0.008	1.14398333783492e-07
Plekhm3	3.45290937279586e-12	0.537904644073554	0.55	0.089	1.16349234225729e-07
Neurl1b	7.5103334585626e-12	0.255385752665538	0.35	0.041	2.53068196219725e-07
Strip2	8.12753963336184e-12	0.286136999614637	0.35	0.042	2.7386557548576e-07
Irf8	1.94431254246673e-11	0.987919997674009	0.3	0.032	6.5515555430959e-07
Trip13	9.92591336063443e-11	0.451740838823418	0.5	0.089	3.34463576599938e-06
Ly86	1.89559030239691e-10	0.641609835271875	0.15	0.01	6.38738108295662e-06
Dennd4b	2.86247610090979e-10	0.351287970160297	0.55	0.101	9.64539946962561e-06
Fcer2a	3.74491856353255e-10	0.284205691699374	0.1	0.005	1.26188775916793e-05
Gm49625	4.10779720325771e-10	0.264776034039361	0.3	0.035	1.38416334560972e-05
Tubg1	4.36242909277935e-10	0.35068597062469	0.65	0.136	1.46996410710293e-05
Ciita	4.52509072478237e-10	0.561266441632706	0.15	0.01	1.52477457062267e-05
Cdc6	6.28551710660098e-10	0.407497846353393	0.45	0.075	2.11796784424027e-05
Sirt5	1.06556256492605e-09	0.43216034052468	0.6	0.123	3.5905196187748e-05
Lst1	2.60538805165108e-09	0.279627506357176	0.25	0.028	8.77911557884348e-05
Kynu	3.09692883470956e-09	0.468638344052607	0.1	0.005	0.000104354114014373
Lrrk1	7.17853103308924e-09	0.338652353462081	0.15	0.011	0.000241887781690975
Taf6	8.54809546285737e-09	0.426810278239997	0.6	0.136	0.000288036624716442
Rogdi	1.30704942430285e-08	0.294260058930695	0.15	0.012	0.000440423374013087
Cdk14	2.34298673083587e-08	0.353963085325469	0.1	0.006	0.000789492808822453
Rad51b	2.54156009676205e-08	0.741075021035496	0.55	0.126	0.00085640409020494
Rad54l	3.73090232687012e-08	0.309593375559195	0.35	0.059	0.00125716484806215
Tpi1	4.64241832528482e-08	0.484815740603435	0.6	0.147	0.00156430927888797
Lyn	5.14073078528436e-08	0.429523874343353	0.25	0.032	0.00173222064540942
Lrrk2	5.21506651371182e-08	0.3240845364866	0.1	0.006	0.00175726881246034
Prim1	6.0723501901534e-08	0.462781160263713	0.6	0.146	0.00204613912007409
Ptcra	6.71991269839778e-08	0.317735859697258	0.6	0.14	0.00226434178285211
Ift74	7.22884287262196e-08	0.56378502203539	0.4	0.076	0.0024358308943587
Dhfr	8.05910723096888e-08	0.369259542204559	0.5	0.109	0.00271559677254727
Arl2bp	9.49365340157647e-08	0.540643412443363	0.65	0.167	0.00319898145019521
Pcnx3	1.00956878064734e-07	0.381158599898279	0.6	0.146	0.00340184296326928
Nav1	1.04922849287926e-07	0.364534633064475	0.1	0.006	0.00353548032960596
Bmyc	1.11148569654412e-07	0.368580967033605	0.5	0.109	0.00374526220307508
Sqle	1.14359093212096e-07	0.263635280807007	0.35	0.061	0.00385344400487479
Socs6	1.26453499571343e-07	0.37961393663171	0.55	0.129	0.00426097712155596
Leprot	1.2914841152229e-07	0.262603713245853	0.45	0.092	0.00435178487465509
Cenpm	1.97303271308832e-07	0.371708666025979	0.45	0.098	0.0066483310300224
