	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Rab6b	0	-0.704420023680288	0.008	0.219	0
Mir142hg	8.60779632049329e-287	0.547902417880154	0.973	0.911	2.90048304815342e-282
Gm56655	9.73070654482316e-247	-0.570014545010245	0.046	0.231	3.27885887734361e-242
Hnrnpa0	4.41486574141736e-188	-0.56127931132205	0.683	0.775	1.48763316022799e-183
Kif1b	5.86993243423897e-187	0.677068149194176	0.318	0.116	1.97793243304116e-182
Agtrap	2.05719757266208e-150	-0.458246117887297	0.08	0.231	6.93193294084213e-146
Gm43305	3.04221370656799e-125	0.506633751416503	0.226	0.08	1.02510433056515e-120
Cmss1	1.06708354893334e-116	-0.29495282921285	0.966	0.969	3.5956447264858e-112
Jun	1.17280943476691e-113	-0.475948295559178	0.052	0.163	3.95189867139059e-109
Rsrp1	2.93328792159188e-100	0.347724560625228	0.938	0.89	9.88400698059599e-96
Gphn	1.02909727726139e-85	-0.358596388296692	0.896	0.922	3.46764618545998e-81
Gm10076	5.9276689696542e-82	0.48905526255271	0.649	0.556	1.99738733601468e-77
Camk1d	3.29338647432033e-81	-0.410786666439605	0.955	0.974	1.10973950638698e-76
Srsf7	2.52301819378897e-70	0.308951813592693	0.792	0.696	8.50156210579131e-66
2610035D17Rik	8.10311833517356e-63	-0.442290388044705	0.26	0.385	2.73042675422008e-58
Gm19951	9.34243010999459e-58	-0.376417777018853	0.208	0.321	3.14802524986378e-53
Rps29	6.20335766213456e-57	0.303856569556772	0.877	0.848	2.09028339783286e-52
Hspa8	1.63440065350885e-54	-0.402857136581088	0.731	0.764	5.50727644206343e-50
Rps27	3.31867098272781e-54	0.25459073974241	0.865	0.837	1.11825937433996e-49
Slc15a2	7.57410418074207e-53	0.296400775901752	0.191	0.097	2.55217014474285e-48
Gm47283	3.92775661966523e-52	-0.361115883665154	0.392	0.502	1.32349687056239e-47
Zmynd8	4.15987596840225e-52	0.322279594311884	0.474	0.358	1.40171180631282e-47
H2ac6	1.44224674664356e-45	-0.322667606461501	0.107	0.185	4.85979463749014e-41
Rnf167	2.85908242974104e-38	0.260877665487387	0.499	0.399	9.63396415525539e-34
Rnaset2a	5.08147067719136e-36	-0.257378843168689	0.342	0.429	1.7122523593864e-31
Btg2	6.12462054364148e-36	0.261072152211183	0.839	0.784	2.06375213838543e-31
Lars2	1.64032641879573e-35	-0.274309173407648	0.715	0.775	5.5272439007741e-31
Rbm3	1.50765281408741e-33	0.284865651437578	0.69	0.63	5.08018692234894e-29
H2bc4	3.14508111141027e-17	-0.261086154325424	0.14	0.187	1.0597665313008e-12
Gm26936	3.91128467971723e-16	0.27011732377006	0.678	0.62	1.31794648567752e-11
Mllt3	1.74102444685694e-14	-0.255756982080009	0.626	0.668	5.86655597612914e-10
Tex14	4.25484641303992e-07	-0.330964340040796	0.217	0.25	0.0143371304733793
H2ac24	0.501330717353007	0.298149146904929	0.195	0.201	1
