	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
C2	0	0.82904381883766	0.635	0.002	0
H19	0	0.659442590310707	0.251	0	0
C3	0	0.605800747548931	0.118	0	0
Hes1	4.74846002488576e-169	0.935395138906028	0.299	0.019	1.60004108998551e-164
Pld4	3.54838850945013e-167	0.416952236028504	0.213	0.009	1.19566499214432e-162
Arhgef10l	3.63374420879992e-167	0.529808970434263	0.194	0.007	1.22442644859722e-162
Mpzl2	5.68956519128885e-148	0.470782012090755	0.185	0.008	1.91715588685669e-143
Gm34004	9.26374071514689e-129	0.338901674671338	0.175	0.008	3.1215100713759e-124
Gm4632	9.22242646215107e-125	1.78205272224973	0.275	0.022	3.10758882068642e-120
Khdc1a	2.07165369427064e-124	0.342120308135234	0.133	0.005	6.98064428821434e-120
Trgc2	2.9994871080157e-104	1.32431383601017	0.308	0.032	1.01070717591697e-99
Plac8	5.4078710752518e-101	1.22829360799951	0.384	0.051	1.82223623751685e-96
Wdfy4	8.46526106201097e-99	0.488947034268076	0.204	0.015	2.85245436745522e-94
Trgc1	4.51048529650316e-96	1.14819498499174	0.289	0.031	1.51985312550971e-91
Ifitm2	2.26508440993504e-95	0.586628145083261	0.242	0.022	7.63242842771713e-91
Epb41l4b	5.18496165857975e-95	0.350166762350708	0.19	0.013	1.74712468047503e-90
Cdkn1a	1.07945117416912e-87	0.338217538265129	0.161	0.01	3.63731867648028e-83
Nckap5	1.55949856951744e-87	0.641634517496626	0.237	0.023	5.25488637984596e-83
Erg	6.38440001846003e-87	0.278541114099208	0.133	0.007	2.15128743022029e-82
Trgc4	1.2143171602058e-82	0.84236122006792	0.246	0.026	4.09176310302947e-78
Trgv2	3.67997299646116e-80	1.10791649200135	0.246	0.027	1.24000370088755e-75
Ldlr	6.84312334232007e-80	0.797763866793011	0.355	0.054	2.30585884142817e-75
Bst1	1.98422224165685e-79	0.443800982976501	0.199	0.018	6.68603526548691e-75
Zeb2	4.68111974693563e-79	1.29789307061505	0.275	0.033	1.57735010992743e-74
Tshz2	6.94626139180025e-77	0.7306657798486	0.161	0.012	2.34061223858101e-72
Lyz2	1.02510363450345e-72	2.68621853689404	0.137	0.009	3.45418920682282e-68
Lap3	1.27992256840587e-72	0.562451909690905	0.36	0.058	4.31282708650043e-68
Il2ra	2.2206071064131e-70	1.62629978313502	0.322	0.051	7.48255770576959e-66
Unc93b1	9.85011636550003e-70	0.508239889438071	0.209	0.022	3.31909521051889e-65
Cpne2	3.42000479907139e-68	0.267775359698854	0.227	0.026	1.1524048170951e-63
Adamts17	1.52416844612718e-66	0.782713650010695	0.275	0.038	5.13583799607013e-62
Pgpep1l	3.52700926608582e-63	0.646044633684445	0.341	0.06	1.18846104230028e-58
Frmd4a	2.89561736377574e-60	0.36030401183191	0.284	0.043	9.75707226897874e-56
