	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Cd74	0	5.75243064770655	1	0.036	0
H2-Aa	0	4.94031250458547	0.924	0.013	0
H2-Eb1	0	4.78794734185491	0.955	0.011	0
H2-Ab1	0	4.46969564709987	0.939	0.03	0
Bank1	0	4.15282437197483	0.682	0.004	0
Iglc2	0	3.87978226797612	0.788	0.003	0
Cd79a	0	3.59300647395481	0.758	0.004	0
Ebf1	0	3.54790623357337	0.636	0.004	0
Mef2c	0	3.39810588604156	0.909	0.009	0
Mzb1	0	3.08923268388797	0.727	0.008	0
Gm15987	0	3.05735473658685	0.773	0.004	0
Ms4a1	0	2.9530952555163	0.697	0.001	0
Iglc3	0	2.7089461967017	0.818	0.002	0
Iglc1	0	2.68355889286527	0.53	0.003	0
Marchf1	0	2.63914402144086	0.742	0.004	0
Lyn	0	2.59884443195409	0.909	0.029	0
Ly86	0	2.55908740802823	0.833	0.007	0
Wdfy4	0	2.48805731744539	0.864	0.014	0
Blnk	0	2.47870322294758	0.848	0.014	0
Bcl11a	0	2.3898418682472	0.712	0.008	0
Cybb	0	2.36865071045121	0.803	0.005	0
Gm30211	0	2.262580652648	0.621	0.002	0
Tmem163	0	2.24775674244858	0.606	0.009	0
Unc93b1	0	2.20668809123166	0.894	0.021	0
Napsa	0	2.18950400471076	0.864	0.005	0
Myo1e	0	2.18935966233793	0.621	0.015	0
Pax5	0	2.16725857029469	0.606	0	0
Setbp1	0	2.10191205753119	0.773	0.008	0
Ctsh	0	2.09159254883717	0.773	0.005	0
H2-DMb2	0	2.07519690119809	0.697	0.005	0
Kynu	0	2.05671760264799	0.652	0.003	0
Bcar3	0	2.03737454358532	0.636	0.002	0
H2-Ob	0	2.00658123917341	0.742	0.015	0
Gm31243	0	1.94813485218062	0.561	0.002	0
Fcmr	0	1.92535478558608	0.591	0	0
Cd180	0	1.92533771459884	0.697	0.004	0
Rnase6	0	1.89624891235284	0.742	0.004	0
Plcg2	0	1.83927980421686	0.803	0.017	0
Siglech	0	1.8335711240499	0.152	0	0
Ciita	0	1.74646032865137	0.682	0.008	0
Fcrl5	0	1.73600507730104	0.53	0.001	0
Lrrk2	0	1.7154563866551	0.53	0.004	0
Rasgrp3	0	1.67514260973608	0.621	0.002	0
Gm43388	0	1.63814761542952	0.591	0.001	0
Gm56600	0	1.59146209669316	0.455	0.001	0
Pik3ap1	0	1.56062618234845	0.576	0.011	0
Fcrla	0	1.55899134225357	0.606	0.005	0
Fscn1	0	1.54085714389759	0.242	0.001	0
Cd38	0	1.51248361812997	0.545	0.005	0
Siglecg	0	1.50403495243122	0.636	0.001	0
Ccr6	0	1.46982818903357	0.485	0.003	0
Cdk14	0	1.46655987536933	0.409	0.004	0
Dennd5b	0	1.46323632929195	0.545	0.011	0
H2-Eb2	0	1.3385585799183	0.621	0.001	0
Fcgr2b	0	1.33770120649064	0.652	0.004	0
Pou2af1	0	1.33003238851431	0.576	0.01	0
Mpeg1	0	1.3127753312687	0.409	0.006	0
Cd83	0	1.31171510472777	0.455	0.004	0
Btk	0	1.30883664234754	0.621	0.007	0
Nr3c2	0	1.30287896556384	0.364	0.004	0
Mreg	0	1.30277470505799	0.273	0.001	0
Pkib	0	1.2368048386382	0.455	0.006	0
Plek	0	1.23253903214244	0.621	0.008	0
Sema5a	0	1.20731190715241	0.273	0.001	0
Ell2	0	1.20611031858501	0.515	0.01	0
Cd19	0	1.19646543222777	0.545	0	0
Trim7	0	1.12597934065131	0.485	0.002	0
Lrrk1	0	1.10653516538718	0.576	0.009	0
Chst3	0	1.06655172607046	0.439	0.002	0
Lat2	0	1.03953497135557	0.667	0.017	0
Snx8	0	1.02255067355096	0.439	0.006	0
Apba1	0	1.01738928928764	0.333	0.003	0
Atp6v0a1	0	0.986822682638989	0.485	0.008	0
Cd22	0	0.984527409174932	0.394	0.001	0
Gm55122	0	0.954532943633204	0.53	0.002	0
Rassf4	0	0.953877105071646	0.439	0.005	0
Spib	0	0.932818586777688	0.515	0.002	0
Clec2g	0	0.920265924525877	0.394	0.001	0
Tnfrsf13c	0	0.878347672701383	0.439	0.001	0
Gm33843	0	0.874614041430261	0.288	0.001	0
H2-DMb1	0	0.867011619835261	0.545	0.007	0
2010309G21Rik	0	0.86285255858902	0.348	0.001	0
Irf5	0	0.813874033263733	0.515	0.008	0
Ankrd33b	0	0.804991347822627	0.258	0.001	0
Scd1	0	0.789023963411596	0.333	0.002	0
Casp1	0	0.748534592763737	0.485	0.009	0
Haao	0	0.744273403333035	0.439	0.005	0
Ncf1	0	0.731496730341549	0.5	0.009	0
Gm20513	0	0.717657371456562	0.318	0.001	0
Nrp2	0	0.70050036050061	0.364	0.004	0
Cyp4f18	0	0.699553519976541	0.379	0.002	0
Cd40	0	0.674850619820367	0.303	0.002	0
Rubcnl	0	0.673412291620121	0.455	0.004	0
Fgd2	0	0.658360039360574	0.364	0.003	0
Dok3	0	0.649901507369816	0.364	0.005	0
Phka1	0	0.643250597145154	0.318	0.002	0
A530032D15Rik	0	0.625467548652631	0.364	0.001	0
Ighg3	0	0.623370275348414	0.136	0	0
Gm20429	0	0.618070373413911	0.303	0.001	0
Nxpe2	0	0.615193285289036	0.197	0	0
Casp4	0	0.613908154881967	0.409	0.005	0
ENSMUSG00000079800	0	0.608903600175663	0.364	0.001	0
Fcrl1	0	0.605852644135265	0.333	0.002	0
Cd300lf	0	0.594792348722784	0.242	0.001	0
Klhl14	0	0.545749146601851	0.227	0	0
Icosl	0	0.517668701073893	0.348	0.002	0
Trim30b	0	0.517128427348223	0.227	0.001	0
Gm2848	0	0.513758329468618	0.227	0.001	0
Havcr1	0	0.507091840918742	0.227	0	0
Hepacam2	0	0.488264511204463	0.227	0.001	0
Bhlhe41	0	0.480331833831117	0.303	0.001	0
ENSMUSG00000121481	0	0.478194511163956	0.242	0.002	0
Or2m12	0	0.457777121313513	0.136	0	0
Cacna1s	0	0.450399690985092	0.318	0.001	0
ENSMUSG00000079190	0	0.439525431568689	0.182	0.001	0
Gm7609	0	0.428898549155456	0.242	0.001	0
Csprs	0	0.428068836043124	0.288	0.002	0
Oosp1	0	0.406884141252672	0.242	0.001	0
Snhg18	0	0.383324660983095	0.242	0	0
Gm47957	0	0.383292790814501	0.182	0.001	0
Iglv3	0	0.383174606695289	0.152	0	0
Cdh17	0	0.358478164877601	0.197	0	0
Gm48505	0	0.347871059729377	0.152	0	0
ENSMUSG00000094915	0	0.335156340033848	0.227	0	0
Gm42836	0	0.298655839675326	0.152	0	0
Nid1	0	0.276190972310964	0.152	0	0
ENSMUSG00000121342	0	0.272086934333939	0.197	0.001	0
Ighd	4.88920522411065e-307	1.1480646453078	0.394	0.006	1.64746659231633e-302
Hs3st1	1.39664974957248e-304	0.31623751817946	0.152	0.001	4.70615099615942e-300
Snx9	3.34037640577276e-300	1.28169057498665	0.742	0.023	1.12557323368919e-295
Spi1	5.5656146411686e-299	0.805091683058812	0.394	0.006	1.87538950948817e-294
Lmo2	1.40669233245367e-296	0.666751372993146	0.348	0.005	4.7399904834359e-292
Sirpa	2.37594895770573e-286	0.685477226242492	0.364	0.005	8.00599760788524e-282
Bmp6	1.29460881264997e-284	0.388997112158401	0.106	0	4.36231385510536e-280
Cd300c	1.50178910087269e-284	0.646849755696494	0.106	0	5.06042855430061e-280
H2-Q6	5.86761923734819e-278	1.09600519132342	0.636	0.018	1.97715297821685e-273
Csf2rb	4.49594891443053e-267	0.458883648725492	0.242	0.002	1.51495494620651e-262
Entpd1	5.17505155237428e-266	0.966720384219955	0.53	0.013	1.74378537108804e-261
Gm10790	5.90824203513566e-265	0.277609195845386	0.121	0	1.99084123615931e-260
1700113H08Rik	8.75867882599607e-263	0.381078079400999	0.152	0.001	2.95132441720763e-258
Blk	2.44244754392897e-262	1.34901156288484	0.485	0.011	8.23007124402305e-258
Ckap4	1.25478576721689e-257	0.713761341792968	0.379	0.006	4.22812612121402e-253
Serpina3g	1.33391796620996e-256	0.437193493735635	0.333	0.005	4.49476997894108e-252
Lyl1	2.48408604964068e-254	0.352422864945314	0.258	0.003	8.37037635286922e-250
Tasl	9.37473301095022e-251	0.70139015120637	0.409	0.008	3.15891003536978e-246
Klra17	2.09154372193727e-247	0.567242569276945	0.121	0	7.04766572543984e-243
Eya1	1.34585806468441e-243	0.464902582460377	0.227	0.002	4.53500333476058e-239
Cd80	1.39976174360385e-242	1.0967064957537	0.439	0.01	4.71663717124754e-238
C130026I21Rik	6.62471062990508e-242	2.28462081003433	0.788	0.034	2.23226249385282e-237
