	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Lyz2	0	6.07121448348223	0.875	0.008	0
C1qa	0	5.51140696569649	0.958	0.003	0
C1qc	0	5.09872570068627	0.938	0.003	0
C1qb	0	5.04746494052447	0.875	0.003	0
Vcam1	0	5.00958040933464	0.771	0.003	0
Lgals3	0	4.43099273347384	0.854	0.021	0
Fcer1g	0	4.42280758851188	0.812	0.017	0
Tyrobp	0	4.22871266198802	0.792	0.01	0
Aif1	0	4.10751604478945	0.792	0.005	0
Slc40a1	0	3.94119669736187	0.688	0.001	0
Cd63	0	3.61673085012458	0.688	0.005	0
Sirpa	0	3.58120528170306	0.625	0.005	0
Wfdc17	0	3.55848655652353	0.5	0.003	0
Mpeg1	0	3.4563877970277	0.688	0.006	0
Hpgd	0	3.41928486814872	0.604	0.002	0
Igf1	0	3.41315664627669	0.708	0.001	0
Trf	0	3.38211191000985	0.604	0.007	0
Sdc3	0	3.26753437967868	0.625	0.008	0
Apoc1	0	3.16138181090179	0.292	0.001	0
Clec4n	0	3.1544591799344	0.562	0.001	0
Clec7a	0	3.10168448582376	0.375	0.003	0
Mrc1	0	3.07909905765135	0.479	0.002	0
Lpl	0	3.07026153085513	0.479	0.001	0
Pla2g2d	0	3.0068234986007	0.438	0.001	0
Hebp1	0	2.91750627476696	0.625	0.007	0
Ms4a7	0	2.78927259324105	0.562	0.001	0
Ear2	0	2.68068777562409	0.396	0.001	0
Lpcat2	0	2.65797039520704	0.438	0.004	0
Il18	0	2.51888374675473	0.458	0.004	0
Adgre1	0	2.3975492910705	0.396	0.002	0
Mt1	0	2.32639360176386	0.438	0.003	0
Fcgr3	0	2.28560843194504	0.458	0.001	0
Nr1h3	0	2.14330905933876	0.458	0.005	0
Mertk	0	2.12698187339299	0.271	0.001	0
Cd300c2	0	2.0555916386087	0.417	0.003	0
Cd300a	0	1.9918783761511	0.375	0.002	0
Itgb5	0	1.82722235673294	0.354	0.002	0
Fcna	0	1.803988544554	0.271	0	0
Ccl24	0	1.79495292830172	0.104	0	0
Tmem26	0	1.75239786591535	0.292	0	0
Spic	0	1.66012044921901	0.292	0.001	0
Abcc3	0	1.65224347023919	0.354	0.001	0
Epb41l3	0	1.65219081075872	0.271	0.002	0
Clec1b	0	1.63966392807871	0.271	0.001	0
Pdgfc	0	1.51893815689658	0.229	0.001	0
Mgst1	0	1.42012279251144	0.229	0.001	0
Pilra	0	1.3901892619895	0.229	0.001	0
Cd5l	0	1.31501805772678	0.188	0	0
Slc1a3	0	1.2925260002047	0.229	0.001	0
P2ry13	0	1.25350459483741	0.271	0.001	0
Tlr4	0	1.2105946140588	0.271	0.001	0
Kcnj10	0	1.19757267080969	0.271	0	0
Paqr9	0	1.18522084995331	0.188	0	0
Rab3il1	0	0.973121099872766	0.208	0.001	0
Lilra5	0	0.917271738510718	0.125	0	0
Pilrb1	0	0.902472519540756	0.229	0.001	0
Il1a	0	0.819158546949951	0.229	0	0
Tspan10	0	0.815455420397446	0.167	0	0
Ptgs1	0	0.793748767246442	0.208	0	0
Pilrb2	0	0.725009972152483	0.167	0	0
Tfec	0	0.716616474090968	0.146	0	0
Pmp22	0	0.71521095805217	0.146	0	0
Gdf3	0	0.64871880656982	0.125	0	0
Pcolce2	0	0.637420658965123	0.125	0	0
4930455G09Rik	0	0.610042866257912	0.208	0	0
Vstm4	0	0.545321518746029	0.104	0	0
Sema6a	0	0.437083446463856	0.104	0	0
Slco2b1	7.46484957272488e-301	0.737338466477859	0.146	0	2.51535571202538e-296
Clec4a3	3.05531644447461e-293	1.57921630653905	0.25	0.002	1.02951942913017e-288
Adamdec1	3.79940390503477e-293	1.06033165379781	0.188	0.001	1.28024713984052e-288
Gm10134	1.5487596315971e-287	0.522886054054535	0.125	0	5.21870045462959e-283
Pf4	1.02053779242243e-285	0.577466346907574	0.104	0	3.43880414534662e-281
Slc16a9	1.05136924320034e-285	0.722392509844698	0.104	0	3.54269380188787e-281
Slc1a2	1.11585169153336e-285	0.475309189366188	0.104	0	3.7599738597908e-281
Cmklr1	2.44554623378395e-280	0.857172602234202	0.188	0.001	8.2405125893584e-276
Ccl6	1.25277895570877e-274	1.56424965170402	0.229	0.001	4.22136396915626e-270
Ifi207	2.00942423504989e-270	1.42895891520861	0.312	0.003	6.77095590242412e-266
Lgmn	6.35286642233227e-270	3.55918313762034	0.604	0.013	2.14066186966908e-265
Csf1r	1.62261529380692e-267	1.94344067499954	0.375	0.004	5.46756449401181e-263
Clec4a1	6.29454473600614e-266	1.88898518194898	0.312	0.003	2.12100979424463e-261
Axl	7.49167834460671e-262	2.96076070182292	0.521	0.009	2.52439593499868e-257
Tgm2	5.75645154874288e-260	1.17027419193371	0.25	0.002	1.9396939138644e-255
5033421B08Rik	4.58255283494887e-250	0.503587779098115	0.104	0	1.54413700326437e-245
Itgad	5.8018354205159e-247	1.87123964107892	0.292	0.003	1.95498646329704e-242
Plbd1	1.55412271495894e-246	2.23381806949021	0.438	0.007	5.23677190032563e-242
Spi1	4.27731601187999e-246	1.80151828665069	0.417	0.006	1.44128440336308e-241
Cybb	8.31849619336826e-244	2.83639704603073	0.438	0.007	2.80300047731737e-239
Pla2g7	4.88365308388033e-240	0.920548102878328	0.229	0.002	1.64559574314432e-235
Gm56794	1.01906661800786e-239	0.443412412286549	0.125	0	3.4338468760393e-235
Gdf15	1.06238138576306e-239	0.853609698297803	0.125	0	3.57980031746722e-235
B3galnt1	1.13082651062145e-239	0.686283890150169	0.125	0	3.81043301019003e-235
Slc11a1	1.04221157917249e-238	0.849226058027241	0.188	0.001	3.51183613717962e-234
Ctsh	2.60156488727298e-238	2.38781374188858	0.438	0.007	8.76623304415504e-234
Cd68	2.99652141022174e-238	2.90095504647527	0.562	0.012	1.00970785438832e-233
Cfp	2.28217653853079e-234	3.30776215711994	0.521	0.011	7.69002206423334e-230
Slc15a3	6.75576320308775e-232	1.33481538018902	0.292	0.003	2.27642196891245e-227
Rassf4	1.39705496280951e-230	1.89016694432755	0.396	0.006	4.70751640268292e-226
Abcd2	5.56173990867141e-230	0.692378550327286	0.146	0.001	1.87408387962592e-225
Scamp5	6.71469926753956e-230	0.402607849893761	0.146	0.001	2.26258506519013e-225
Slc7a8	2.28679818680414e-228	1.40387785937383	0.292	0.003	7.70559517025522e-224
Timd4	2.5926325618398e-222	0.557208165185858	0.104	0	8.73613468037538e-218
Ccl12	2.84400384223994e-222	1.84041588427012	0.104	0	9.58315534681169e-218
Gm49101	2.9786769852757e-222	0.274587748016653	0.104	0	1.0036949969585e-217
Kcnj16	1.2252348745406e-221	0.881138357539745	0.167	0.001	4.128551433252e-217
Fcgr1	1.2981694609486e-221	1.02307615097791	0.167	0.001	4.37431181561239e-217
Tnfaip2	1.19333356203128e-214	0.761869852765755	0.188	0.001	4.02105677062059e-210
Maf	2.55676333273419e-214	3.3226629911314	0.625	0.017	8.61526972598112e-210
Dnase1l3	4.09885165429427e-207	1.17193888741863	0.25	0.002	1.381149053431e-202
Cd14	2.07184986022254e-205	0.843713305997016	0.125	0	6.98130528900586e-201
Tgm1	1.35159808185285e-203	0.747240800376429	0.208	0.002	4.55434489661135e-199
Dysf	1.74706372956631e-201	1.18649883869924	0.188	0.001	5.88690594314664e-197
Samd4	2.33961112007382e-201	1.30807015370469	0.188	0.001	7.88355363020076e-197
Chp2	4.90383571788165e-200	0.56455439074337	0.104	0	1.6523964834974e-195
Cxcl16	1.89453273806413e-199	1.46558924669749	0.271	0.003	6.38381751418088e-195
Treml4	2.35268470006869e-195	0.492655592103167	0.146	0.001	7.92760636535145e-191
Ank2	9.04421910870755e-194	2.06083560220001	0.208	0.002	3.0475400708701e-189
Mrap	9.15534905371282e-192	0.470921755688159	0.125	0.001	3.08498641713907e-187
Wdfy3	2.31386438626344e-191	1.51542291704792	0.271	0.003	7.79679743595329e-187
Sema6d	4.03077974213142e-188	1.17881519767988	0.229	0.002	1.3582115419086e-183
Adap2	3.79358923780122e-184	1.26108036788632	0.188	0.001	1.2782878295695e-179
