	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
H2-Aa	0	6.04756655695761	0.95	0.014	0
H2-Eb1	0	6.02017507724071	0.95	0.012	0
Lyz2	0	4.95969524379056	0.725	0.009	0
Tyrobp	0	3.85800763434999	0.95	0.01	0
Fcer1g	0	3.77993558007918	0.825	0.017	0
Lgals3	0	3.44276881816524	0.95	0.021	0
Plbd1	0	3.23020240966274	0.9	0.006	0
Aif1	0	3.20780965821919	0.875	0.005	0
Spi1	0	2.6684660762972	0.875	0.005	0
Pid1	0	2.64284392376499	0.625	0.003	0
H2-DMb1	0	2.64193123758013	0.775	0.008	0
Ctsh	0	2.61821302999614	0.825	0.006	0
Mpeg1	0	2.41183796417422	0.75	0.006	0
Ly86	0	2.30125204486719	0.75	0.008	0
Gm15987	0	2.2325406976192	0.65	0.005	0
Ifi205	0	2.17576897626561	0.45	0.001	0
Cdk14	0	2.13472740539944	0.675	0.004	0
Slamf7	0	2.04233033312217	0.725	0.012	0
Mgl2	0	2.03865394461617	0.35	0.001	0
Ciita	0	1.96912046149718	0.65	0.009	0
Napsa	0	1.95550010545152	0.725	0.007	0
Marchf1	0	1.94874255122334	0.7	0.006	0
Cd300c2	0	1.9258710250215	0.65	0.002	0
Wfdc17	0	1.89290820453448	0.45	0.004	0
Tgfbi	0	1.84572916902994	0.6	0.001	0
Hck	0	1.80219722165963	0.775	0.003	0
Cd209a	0	1.77523675975799	0.3	0.001	0
Shtn1	0	1.76379844865097	0.75	0.002	0
Kynu	0	1.75703373138969	0.625	0.004	0
Cd300a	0	1.72649933860039	0.55	0.002	0
Clec7a	0	1.71399951551584	0.525	0.002	0
Dnase1l3	0	1.69176864497425	0.425	0.002	0
Fcgr2b	0	1.68792496089894	0.575	0.005	0
Adam23	0	1.65963381986817	0.325	0.001	0
Ifi207	0	1.6577031082383	0.675	0.002	0
Rnase6	0	1.61286110256907	0.675	0.005	0
Csf1r	0	1.59478441991981	0.55	0.004	0
Rassf4	0	1.56526950343112	0.775	0.005	0
Tbc1d9	0	1.56361198272533	0.6	0.005	0
Grk3	0	1.56209856872563	0.65	0.006	0
Pkib	0	1.55298446909625	0.55	0.006	0
Olfm1	0	1.54892618304495	0.7	0.001	0
Plek	0	1.54024607559307	0.725	0.009	0
Zfp366	0	1.50631856153722	0.6	0.001	0
Ptpro	0	1.50487133517597	0.6	0.001	0
Cxcl9	0	1.50106775372665	0.225	0.001	0
Sirpa	0	1.4984086995292	0.525	0.005	0
Havcr2	0	1.46225809486872	0.625	0.002	0
Cxcl16	0	1.43271517787575	0.55	0.003	0
F630028O10Rik	0	1.43154854588645	0.425	0.001	0
Nav1	0	1.42856507188137	0.675	0.005	0
Cd68	0	1.41021344312177	0.775	0.012	0
Fgd2	0	1.39727191647813	0.6	0.003	0
Clec4a3	0	1.37187302148427	0.375	0.001	0
Lrrk1	0	1.31760177631194	0.65	0.01	0
Lpcat2	0	1.29967117938759	0.5	0.004	0
Xcr1	0	1.29078770237443	0.225	0.001	0
Ifi204	0	1.28543404957932	0.45	0.002	0
Apba1	0	1.25293855970469	0.55	0.003	0
