	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Rnf38	0.00320842101030918	1.46162647619993	0.636	0.125	1
Ssbp2	0.0119919332789745	1.42312357181595	0.682	0.25	1
Tnrc6b	0.000570745247699737	1.33065843865906	1	0.812	1
Kif1b	0.000915725141438748	1.32839532009528	0.591	0.062	1
Elp4	0.00186991987411644	1.23589064177193	0.591	0.062	1
Cdkn2aip	0.120630778406448	1.21264500524515	0.273	0.062	1
Klra8	0.137388666146319	1.21039721251764	0.136	0	1
Ikzf2	0.340039560603253	1.17501957485333	0.318	0.188	1
Dap	0.064952651271891	1.16672213953199	0.5	0.188	1
Haus3	0.254047846306275	1.14916654332438	0.273	0.125	1
Ufl1	0.00986860301538139	1.12833714412533	0.545	0.125	1
Chic1	0.326478845117395	1.11788845483376	0.182	0.062	1
Stmn1	0.0841641648670676	1.10146098266658	0.273	0.062	1
Ccr5	0.176816903277278	1.09399665232081	0.227	0.062	1
Klrc1	0.0887128726060282	1.08529847585481	0.545	0.312	1
Taf4	0.0103046230907352	1.06862501949543	0.455	0.062	1
Fcer1g	0.0116256304213366	1.06471718614479	0.864	0.438	1
Glcci1	0.00698840508530272	1.06094711695534	0.591	0.125	1
Hnrnpa0	0.000670600227016105	-1.05829287548328	0.591	0.938	1
Tasor	0.0128825780599742	1.04444533381478	0.773	0.375	1
Cdadc1	0.0804497642521467	1.03250006696137	0.182	0	1
Ccdc82	0.00144914458502078	1.02921414025575	0.864	0.312	1
Mindy3	0.0732727443311803	1.02716183309227	0.591	0.312	1
Cd96	0.00716743091243317	1.02447975311718	0.727	0.375	1
Tgfbr1	0.0727238067237716	1.0107964184684	0.545	0.25	1
Nr3c2	0.14880448093074	1.00520221513408	0.227	0.062	1
Ighm	0.0156243239948827	1.00380320208676	0.682	0.25	1
Rfx3	0.0100070330936828	-0.996674434518801	0.364	0.688	1
Jun	0.0224844059566034	-0.996486670031092	0.045	0.312	1
Ankrd13a	0.0162290754061213	0.987224286390637	0.591	0.188	1
Klf12	0.624829016446624	0.98541337959046	0.182	0.125	1
Tox	0.289747120323146	0.981795499832975	0.545	0.438	1
Senp1	0.000616702573923622	0.975792022371595	0.545	0	1
Gm26827	0.00655436672288069	-0.967011129650046	0.318	0.688	1
Snx9	0.0250415167095034	0.956533587464361	0.364	0.062	1
Stard3nl	0.0152422391675777	0.944835244906943	0.318	0	1
Igkc	0.979927526495635	-0.938720828641287	0.136	0.125	1
Tcf7	0.0628267534177437	0.93453779956637	0.545	0.25	1
Idh3a	0.0623085357928756	0.933241863138539	0.409	0.125	1
Sh3bgrl	0.0220560366891894	0.93178856813033	0.5	0.125	1
Med14	0.104814471479672	0.928619936198665	0.364	0.125	1
