	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Ccl5	0	3.89564222898115	0.684	0.009	0
Klra9	0	3.86422766174842	0.842	0.006	0
Ly6c2	0	3.67186222050267	0.816	0.015	0
Klrk1	0	3.61842906992721	0.947	0.011	0
ENSMUSG00000121360	0	3.6111603357182	0.553	0.006	0
Klra7	0	3.36105077800285	0.658	0.004	0
Styk1	0	2.90314258622987	0.789	0.008	0
Il18r1	0	2.80297230967498	0.921	0.02	0
Klre1	0	2.77566832316931	0.842	0.006	0
Itga1	0	2.70221001135845	0.895	0.01	0
Klrb1c	0	2.58729751881401	0.868	0.008	0
Xcl1	0	2.47833179328011	0.816	0.009	0
Klrd1	0	2.46774934580664	0.921	0.016	0
Klrc2	0	2.35149234262783	0.947	0.007	0
Tmem163	0	2.2125557018419	0.684	0.01	0
Clnk	0	2.0506846017739	0.789	0.007	0
Klrc1	0	2.04028382484102	0.447	0.002	0
Hopx	0	2.01904645212802	0.842	0.013	0
Klri2	0	1.74633229503085	0.447	0.002	0
Fgl2	0	1.72121601421755	0.763	0.011	0
Gzmb	0	1.70472192862658	0.526	0.004	0
Il18rap	0	1.57489969125037	0.737	0.009	0
Samd3	0	1.55628865331932	0.658	0.007	0
Tent5a	0	1.46340516091664	0.763	0.014	0
Ncr1	0	1.3998813017176	0.158	0	0
Cxcr3	0	1.19973879201342	0.711	0.008	0
Gas7	0	1.12136160921147	0.368	0.003	0
Tjp1	0	0.979375216815572	0.421	0.003	0
Kcnj8	0	0.836426904620082	0.474	0.004	0
Ctla2b	0	0.649846417653125	0.421	0.004	0
Yes1	3.82048576878941e-301	1.26137429038553	0.579	0.008	1.28735088465128e-296
Slamf7	4.41658353687926e-281	1.6809921437064	0.684	0.012	1.48821198858683e-276
Pde2a	3.98324097915437e-272	1.22556918051528	0.658	0.012	1.34219288033585e-267
Tgfa	2.36473278329562e-268	0.327572912026056	0.211	0.001	7.96820358659293e-264
Ust	6.70168652548348e-257	2.34746318270937	0.895	0.024	2.25820029162691e-252
Arl4d	3.5289337803798e-256	1.03633356754982	0.553	0.009	1.18910952663678e-251
Ahnak	6.50270331096456e-251	2.34024113368611	0.947	0.028	2.19115090766262e-246
Klra5	9.81662474538409e-248	2.10352308757623	0.211	0.001	3.30780987420462e-243
Ifng	1.85958721125758e-240	0.925919728854055	0.316	0.003	6.26606506705356e-236
Wdr95	4.98677195953589e-232	0.990398504634833	0.342	0.003	1.68034267948521e-227
Klrc3	1.28065047277177e-222	0.490244244921492	0.263	0.002	4.31527983305176e-218
Klra6	4.89438472581565e-222	0.912613836311004	0.211	0.001	1.64921187721084e-217
S100a6	4.33854525933334e-209	3.79955047796918	0.842	0.026	1.46191621058496e-204
Il2rb	1.21026340940816e-207	2.31998296248756	0.947	0.034	4.07810358434175e-203
Fasl	2.49951251322036e-207	0.822537620601954	0.474	0.008	8.42235736454731e-203
Tbx21	6.26990567079521e-206	1.25796225755165	0.5	0.009	2.11270741483115e-201
Fcer1g	3.36506052873974e-200	2.5311083528415	0.684	0.018	1.13389079576414e-195
