	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Rab6b	1.79371938388902e-11	-0.278685948661865	0	0.187	6.04411683595245e-07
Gm43305	1.9790592580296e-11	0.653546686866784	0.426	0.117	6.66863807585656e-07
Rps29	8.11335236273513e-10	0.33885438444283	0.982	0.971	2.73387521214723e-05
Gm10076	1.35807884574892e-09	0.504694362747594	0.924	0.883	4.57618247863557e-05
Zfp990	2.63627134825704e-09	0.268420951952827	0.202	0.006	8.88317993508691e-05
Kif1b	2.41187321930706e-08	0.560043423425967	0.641	0.363	0.000812704799977707
Gm56655	1.62491149514666e-07	-0.263495664905878	0.049	0.222	0.00547530177404618
Hnrnpa0	5.80513347291806e-07	-0.468739433733495	0.78	0.825	0.0195609777503447
Rpl38	1.4547467570218e-06	0.317493195070092	0.955	0.965	0.0490191467246064
Camk2b	3.97206563141206e-06	0.269667356964421	0.238	0.064	0.133842723516061
Igkc	0.891446095112987	2.94125524423414	0.215	0.205	1
Ly6c2	0.0762777485353983	1.0101681659792	0.17	0.111	1
S100a6	0.0374984396073391	0.995739764125507	0.278	0.199	1
Ighm	0.617596934514469	0.808933570156428	0.583	0.544	1
S100a4	0.367231277960706	0.77381884428642	0.157	0.129	1
Glul	0.0901677507744995	0.765538423171602	0.291	0.222	1
Il18	0.0046414662287617	0.668510985087643	0.17	0.076	1
Mpeg1	0.107505519884331	0.66221754108782	0.296	0.228	1
C1qb	0.795527916848998	-0.635699376415557	0.161	0.14	1
Hmox1	0.0375159225554012	0.598532902745851	0.103	0.047	1
Maf	0.0991715537847564	0.595082558392206	0.148	0.094	1
Fabp5	0.874011836396326	0.578196140989865	0.354	0.357	1
Apoe	0.943223616412613	-0.552198662795429	0.287	0.281	1
Slc40a1	0.271847076779501	0.542252271520689	0.108	0.076	1
Gsr	0.838175430802902	0.517519850048391	0.242	0.251	1
Gm12840	0.418431619657596	-0.514599909164749	0.179	0.205	1
Wfdc17	0.0547581671285113	0.506676585121407	0.166	0.099	1
Laptm4a	0.119509023634171	0.504971425811509	0.673	0.614	1
Cst3	0.464857911638896	0.490125206396053	0.686	0.649	1
Ctsb	0.437006347219325	0.487327090212556	0.583	0.567	1
Psap	0.216071393779474	0.482767610896458	0.749	0.725	1
H1f5	0.0757382031685786	0.47921574505611	0.161	0.099	1
Pik3cd	0.000362549069236378	-0.474661533621075	0.686	0.754	1
