	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Kif1b	2.02632684646716e-09	0.982964321980032	0.296	0.082	6.82791094185575e-05
Malat1	3.15603206800009e-09	0.326194592434732	1	1	0.000106345656563331
Camk1d	1.79667953089014e-06	-0.417720754935327	0.937	0.953	0.0605409134728743
Ccr9	2.85038243679597e-06	0.590386175313215	0.804	0.619	0.0960464865902769
Mir142hg	3.0823398793569e-06	0.32415679153108	0.931	0.735	0.10386252457481
mt-Co1	3.13083641683669e-06	-0.445442259529409	0.979	1	0.105496663901729
Gm56655	5.34519002452642e-06	-0.610641149168923	0.026	0.16	0.180111523066442
Rab6b	6.62245025898364e-06	-0.652602929334672	0.011	0.125	0.223150083926713
Zfp280c	2.51880495434744e-05	0.711664040905011	0.249	0.101	0.848736517416915
Gm2682	0.0202671593433055	-0.993675487573735	0.09	0.16	1
Tex14	0.475735832379975	-0.893741708201061	0.206	0.214	1
Gm19951	4.2657185118905e-05	-0.852774300631506	0.148	0.311	1
Pik3cd	0.0134293294882096	-0.724368728418446	0.233	0.315	1
Gtdc1	0.00105571423524987	-0.695069075253846	0.455	0.564	1
Gm4876	0.00353251685276715	0.687802578239696	0.201	0.105	1
Gm26936	0.000597159609727504	0.676341596771647	0.545	0.37	1
Babam2	0.0214523666250725	-0.672485787457768	0.238	0.319	1
Kcnq5	0.861376802704737	0.635885062883816	0.228	0.222	1
Jak2	0.112349898552017	-0.606770276568457	0.222	0.272	1
Bltp2	6.15447054270819e-05	0.606021259032362	0.27	0.121	1
Thrb	0.134634455396526	0.60009368290877	0.206	0.16	1
Zswim6	0.162163964233171	-0.595452941966623	0.423	0.44	1
Gm15886	0.00564635623680179	0.591430762525474	0.148	0.07	1
Nmi	4.4276637262778e-05	0.584045384860688	0.185	0.058	1
Xylt1	0.00386896282670916	-0.580790829411676	0.063	0.152	1
Ppia	9.93905079988374e-05	0.578050802061528	0.481	0.3	1
Tg	0.000913015780518969	0.576115925680647	0.222	0.105	1
Snrpd3	0.000566522845398814	0.557151988898287	0.228	0.109	1
Taf3	0.165660403666977	-0.556097097004982	0.201	0.241	1
Rgs3	0.0567568337808608	-0.553904860362143	0.09	0.144	1
Cfl1	0.000135971851383856	0.549543472926196	0.487	0.307	1
Rorc	0.01181427632012	0.548494311347278	0.196	0.117	1
Rps10	0.000101732038908162	0.547970843175416	0.492	0.288	1
Gm11802	0.0025517331856753	0.54515392190804	0.185	0.089	1
Polr2a	0.0524913852267055	-0.540149047801589	0.265	0.331	1
Snx4	0.00912090343240906	0.536735132677276	0.19	0.105	1
Itga4	0.0357990704338867	-0.536355893234993	0.238	0.319	1
1700025G04Rik	0.357645933177409	-0.535009940561016	0.175	0.202	1
Kpna3	0.008594111137106	-0.531942556177411	0.122	0.214	1
Cdk19	0.00231002056951418	0.531751121166989	0.434	0.3	1
Ipcef1	0.184824046380856	-0.529916119008627	0.275	0.307	1
Ccnh	0.00766079507711491	0.529716604859981	0.201	0.109	1
Gpr183	0.0162773736917327	0.526197916449575	0.148	0.078	1
A430093F15Rik	0.151620231360356	-0.525189482583366	0.386	0.42	1
Chka	0.0442077196358285	-0.523129251135137	0.09	0.152	1
Basp1	0.104519283031955	-0.522817878821743	0.116	0.167	1
Wiz	0.000108256607045567	0.522755947312422	0.132	0.035	1
Rps27	0.0049142176432717	0.519405969423918	0.407	0.268	1
Runx1	0.0229067608903524	-0.515554585453283	0.693	0.72	1
Laptm5	0.000346047162491207	0.513966585996018	0.524	0.358	1
Bbs9	0.0671034179331325	-0.511773940093217	0.254	0.311	1
Rps28	0.00321634529370424	0.511038499052403	0.302	0.195	1
Rag1	0.0031639738860888	0.507206179581859	0.222	0.117	1
Supt3	0.0440494918789278	-0.505501888523477	0.175	0.245	1
