	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Agtrap	8.97273250740915e-21	-0.857879841109238	0.139	0.577	3.02345194569659e-16
Hnrnpa0	1.0302231376589e-20	-0.651708972326296	0.943	0.994	3.47143988465543e-16
Gm43305	3.4727791683261e-19	1.05139888042008	0.77	0.321	1.17018766855916e-14
Rab6b	3.21506924274535e-13	-0.424558134238989	0.01	0.256	1.08334973203547e-08
Gm56655	2.89850187729388e-10	-0.463528217427433	0.057	0.304	9.76679192572946e-06
A630014C17Rik	1.82794750106328e-08	-0.430452420525036	0.866	0.958	0.000615945189958284
Rps29	4.36199466791604e-08	0.308526624981522	0.995	1	0.00146981772330099
Gm10076	6.91162985816127e-08	0.482345709131607	0.923	0.875	0.00232894279700602
Rps27	3.02613167256167e-07	0.301578446834694	0.99	1	0.0101968532838638
Pink1	2.38127344019339e-06	-0.316491116247774	0.139	0.345	0.0802393898407564
Rnaset2b	1.06430321698559e-05	-0.392235614016553	0.517	0.702	0.358627611995465
Phpt1	1.58496856279689e-05	-0.347369650886398	0.34	0.536	0.534071006920041
Rps21	1.64476248067837e-05	0.321861362487404	1	1	0.554219165489385
Hspa8	1.918866910307e-05	-0.358094515757378	0.976	0.994	0.646581394097047
Rsl24d1	2.19975444676505e-05	-0.308022193998505	0.435	0.643	0.741229258381951
Gm41335	0.00180769676543123	0.678336073374608	0.134	0.042	1
Ifi27l2a	0.13684249170775	-0.603321134042767	0.163	0.208	1
Adam12	0.0414503002385513	-0.593933871669199	0.148	0.22	1
H2bc4	0.00312328034333369	-0.583553401855958	0.636	0.702	1
H4c4	0.00582085661088985	0.491782613468524	0.646	0.542	1
H2ac6	3.32030705204302e-05	-0.483347791291365	0.201	0.381	1
Jun	0.00107829754791197	-0.47686553934355	0.11	0.226	1
Sox4	9.46789665329285e-05	-0.44779078816364	0.837	0.899	1
Tex14	0.00882299567700485	-0.447064906804945	0.344	0.435	1
Pik3cd	0.00198321166688454	0.415739760561416	0.411	0.274	1
Hnrnpd	0.00380849116426603	0.373488224719263	0.871	0.875	1
Dpm3	0.000509913006744651	0.36050049403437	0.593	0.464	1
mt-Nd3	5.72961875076209e-05	0.35758328369227	0.928	0.94	1
Gm49980	0.00122839719214908	0.349352578873954	0.411	0.256	1
Gm11808	0.0013867460682058	-0.342641434073396	0.469	0.571	1
2610035D17Rik	0.000295166725801188	-0.342540835903769	0.273	0.429	1
Rnaset2a	0.00131627708730272	-0.341356133300501	0.469	0.595	1
Zdhhc14	0.0186526595798272	-0.336563808289654	0.517	0.619	1
Ndufb4	0.000456166068856184	-0.336054798964314	0.455	0.583	1
Xrn2	0.000164438519586654	-0.335676768637095	0.608	0.774	1
Mcu	0.00624899382910991	-0.332629007349773	0.55	0.643	1
Supt16	0.0212536357928892	0.324297303718659	0.708	0.625	1
Ifi27	0.113533543573892	-0.323880026339344	0.445	0.494	1
Tox4	0.00506272841578335	-0.323268046757328	0.421	0.542	1
Zbtb20	0.0872811379084181	0.320165770126808	0.694	0.679	1
Tra2b	0.000535628261411551	-0.31880429991917	0.866	0.911	1
Sp2	0.000450154232391852	0.318353119613682	0.373	0.214	1
Ly6k	0.0382000701603401	0.315241237177266	0.278	0.19	1
Mylip	0.00125220100953146	-0.314613309225621	0.364	0.53	1
Il21r	0.000366063466265925	-0.311485418131747	0.789	0.869	1
Marchf2	0.00660395428942046	-0.311224527399187	0.502	0.583	1
Atosa	0.00446693519629501	0.31042313177226	0.373	0.25	1
Cd6	0.30409070667523	-0.30772411966531	0.478	0.482	1
Ldlr	0.0438165552964047	-0.307291363717455	0.139	0.208	1
Kif23	0.0139080411907393	0.306841228104144	0.612	0.518	1
Zmynd8	0.00207293474113712	0.305600905881177	0.612	0.5	1
Neat1	0.163675582362526	-0.304324394675887	0.636	0.643	1
Pakap.1	0.0189043229782725	0.302698948523121	0.603	0.506	1
Pacs1	0.0349903324816826	-0.302523244144788	0.234	0.321	1
Ppm1l	0.0142001333106641	-0.298342114598702	0.072	0.149	1
Gm47283	9.25676245132616e-05	-0.298134662397883	0.507	0.685	1
Cdk6	0.414958632288398	0.296566288622387	0.502	0.494	1
Rb1	0.130179727007769	-0.293938222656101	0.512	0.554	1
Zmynd11	0.00244644791181332	0.293317064956438	0.627	0.488	1
Esyt2	0.0469606219197935	-0.292639992138672	0.641	0.69	1
Svbp	0.00360742988481613	-0.292218524424223	0.565	0.685	1
1700097N02Rik	0.00167099861042351	0.290523996909431	0.665	0.512	1
Nsd2	0.152394401826738	0.287177773746832	0.455	0.405	1
Srsf4	0.0013773313692824	0.286293619833365	0.598	0.458	1
Mgst3	0.000422509785251279	0.283793862265033	0.464	0.292	1
Hmgcr	0.000315680662365959	-0.279185000580679	0.392	0.589	1
Rpa3	0.00775641374776135	0.276687804486581	0.684	0.595	1
Bloc1s2	0.00811590446227499	-0.276371805964735	0.407	0.5	1
Dcaf8	0.0293434097395707	0.276181180235313	0.675	0.571	1
Clk1	0.0321845726675176	-0.27576651128961	0.833	0.887	1
Gm26936	0.232650900795292	-0.274106745696724	0.785	0.786	1
Cwc27	0.0371796574806435	0.272159382038883	0.56	0.5	1
Cdk8	0.00118693927099038	-0.271497960701641	0.904	0.929	1
H1f5	0.996026763784639	0.27049147045037	0.56	0.548	1
Phf21a	0.0189916629260373	-0.27030873898539	0.579	0.708	1
Ccna2	0.102191253752065	0.26994951573879	0.555	0.506	1
Rnf167	0.00289804360315013	0.269230441308115	0.593	0.464	1
Angpt1	0.116345474644644	0.269198787891569	0.22	0.161	1
Thy1	9.11973082072056e-05	-0.268302180690334	0.943	0.988	1
Zfp933	0.00587558151847785	-0.268035905862709	0.158	0.262	1
Ppip5k2	0.000936222973959698	-0.26764751750691	0.234	0.375	1
