	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Gm43305	1.8168099574812e-94	1.16032592822991	0.961	0.419	6.12192283272866e-90
Hnrnpa0	1.88965785050275e-72	-0.57155424725353	0.987	0.998	6.36739109305408e-68
Agtrap	1.99125174001069e-39	-0.458911392134342	0.202	0.54	6.70972186314003e-35
H2ac24	2.06930487180733e-38	0.532383283977595	0.997	0.989	6.97272969604198e-34
Gm49980	4.34932493754183e-36	0.469764047618374	0.636	0.29	1.4655485309541e-31
Mir142hg	5.95113847398654e-34	0.619161239437363	0.992	0.962	2.0052956201945e-29
Camk2b	1.44112039947692e-33	0.328047944570816	0.485	0.16	4.85599929807741e-29
Hspa8	1.90129738610188e-26	-0.467259283047472	1	0.997	6.4066116722089e-22
Rsrp1	5.04285704475004e-25	0.401978264115839	0.984	0.96	1.69924110979897e-20
Uba52	3.36778307903899e-24	-0.343919735481837	0.972	0.984	1.13480818631298e-19
Gm11808	4.33614457983427e-24	-0.356449740283259	0.701	0.827	1.46110727762096e-19
Cmss1	1.26946775626797e-22	-0.390540160166123	1	1	4.27759855152056e-18
Gm10076	1.64315962382065e-22	0.489981860354863	0.974	0.938	5.53679066842608e-18
Gphn	3.51175744259629e-22	-0.450605903449035	0.995	0.998	1.18332178785724e-17
H4c4	9.80546277800643e-22	0.397341549416343	1	0.997	3.30404873767705e-17
Gm2296	4.6159071290172e-21	-0.380196525039281	0.468	0.67	1.55537606619363e-16
Rbm3	9.80185375350952e-20	0.326933270593151	1	0.997	3.30283264078257e-15
Camk1d	3.13334542363043e-18	-0.445543766714288	0.997	0.997	1.05581207394651e-13
Gm47283	1.84913654232447e-16	-0.428580173106682	0.811	0.887	6.23085049301654e-12
Jun	1.12085121959383e-14	-0.324038189445192	0.15	0.327	3.77682026954336e-10
Lars2	2.63226260633295e-13	-0.322584216706138	0.941	0.973	8.86967207829949e-09
Dnaja1	2.74663279095943e-13	-0.265771705301054	0.985	0.979	9.25505385241689e-09
H3c1	5.60115790182836e-13	-0.287217016370971	0.599	0.751	1.88736616660009e-08
H4c8	6.82324895659457e-13	0.379166585930843	0.977	0.979	2.29916196841411e-08
Gm19951	1.10930947460046e-11	-0.278292361632001	0.377	0.546	3.73792920561371e-07
Gm2000	2.64346435092364e-10	-0.263776827566634	0.641	0.757	8.90741747687229e-06
Rps19	3.86410660895888e-08	-0.259816368275678	0.998	1	0.00130204936295478
Ifi27l2a	5.71019835279473e-08	-0.46804800542042	0.075	0.176	0.00192410843695771
H2ac6	8.0541032485094e-07	-0.266576277305521	0.814	0.886	0.0271391063061773
H2bc4	3.11732604241208e-06	-0.331243595005849	0.772	0.829	0.105041418325117
Tmsb10	0.0524030087903458	-0.323002478679451	0.941	0.94	1
Arl6ip1	0.00141689711060722	0.283862009202014	0.98	0.968	1
Cd52	0.49823437846748	-0.267958165011954	0.615	0.61	1
