	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Ighg2b	0.288457231167066	4.54016020328741	0.16	0.11	1
Igha	0.606139680034381	2.7429674889824	0.148	0.123	1
H2-M2	0.0496792550801566	-1.75498643035514	0.049	0.137	1
Slpi	0.269548785996077	1.59995168185764	0.136	0.082	1
Ccl5	0.0106370363678389	-1.58980792636868	0.012	0.11	1
Iglv1	0.14174721296365	1.54124412929681	0.123	0.055	1
Igkc	0.520989101336103	1.33910154530037	0.309	0.411	1
Glul	0.00489529769048268	1.28027310061141	0.432	0.233	1
Jchain	0.105782425352688	1.18856456914049	0.185	0.096	1
Fscn1	0.06406638626819	-1.13095154529689	0.062	0.151	1
Nampt	0.426435583555297	-1.03425743165458	0.309	0.356	1
C1qb	0.259452731516113	-1.01861837997319	0.321	0.356	1
Cd9	0.0996183769803761	0.928729425928909	0.346	0.26	1
Fcna	0.128484152023604	0.924605576266369	0.123	0.055	1
Cxcl9	0.444101556462794	-0.896018905971418	0.086	0.123	1
Ly6c2	0.225639504616397	0.886572384687214	0.198	0.123	1
Gm43305	4.94943704766217e-05	0.873092979106234	0.407	0.137	1
Ctsl	0.934548125365451	0.848020518154294	0.333	0.329	1
Txndc17	0.57575236156356	-0.843006689115996	0.593	0.575	1
AW112010	0.22387718355814	-0.840121372771573	0.556	0.575	1
Ank2	0.193474112638778	0.832633456718364	0.148	0.082	1
Trbc2	0.0411338262877635	0.832299336962212	0.494	0.342	1
Mospd2	0.306223517930506	-0.825765599470528	0.235	0.288	1
Apoe	0.287792183548013	-0.809244943942724	0.642	0.644	1
Hdac9	0.0185499000042324	-0.807521820786949	0.272	0.438	1
Top1	0.00614892080325956	0.80696433651657	0.815	0.658	1
Tmem106a	0.119870061287863	-0.806824629516516	0.173	0.274	1
Amdhd2	0.172944618833087	-0.797887860597018	0.099	0.164	1
Gramd1b	0.149246840752516	-0.790335261484364	0.222	0.315	1
Stmn1	0.335121372823695	0.785321769565473	0.321	0.26	1
