	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Anxa2	6.76966537878983e-81	-3.24460890794372	0.047	0.994	2.28110644603702e-76	CD8_exhausted_naive	Cluster_9
Hmgn2	1.24419940808208e-76	-3.301753689241	0.101	0.982	4.19245432547336e-72	CD8_exhausted_naive	Cluster_9
Ppp1r14b	3.18887513846686e-76	-2.9019151193718	0.109	1	1.07452336665779e-71	CD8_exhausted_naive	Cluster_9
Stmn1	1.07724475436163e-75	-3.54501227202062	0.152	1	3.62988392429695e-71	CD8_exhausted_naive	Cluster_9
Txn1	2.99587310859719e-75	-3.09298877872333	0.128	0.994	1.00948940267291e-70	CD8_exhausted_naive	Cluster_9
Lgals1	1.11189068165362e-74	-3.36409572280658	0.086	0.97	3.74662684090005e-70	CD8_exhausted_naive	Cluster_9
Atp5h	4.05154542385786e-74	-2.80990723539188	0.14	1	1.36520874602314e-69	CD8_exhausted_naive	Cluster_9
Ptms	5.05114552375788e-74	-2.97905977806529	0.097	0.988	1.70203399568545e-69	CD8_exhausted_naive	Cluster_9
Ly6d	9.85236762644414e-74	-4.19246559619985	0.078	0.952	3.31985379540662e-69	CD8_exhausted_naive	Cluster_9
Rpl34	1.49790418884928e-73	-3.02758381952791	0.222	1	5.04733795474655e-69	CD8_exhausted_naive	Cluster_9
H2az1	4.08009650505327e-73	-3.52780163696092	0.156	0.994	1.37482931834275e-68	CD8_exhausted_naive	Cluster_9
Ppia	4.88811888605121e-73	-3.62465381298964	0.3	1	1.64710053984381e-68	CD8_exhausted_naive	Cluster_9
Crip1	5.17186567244273e-73	-2.76813000034743	0.062	0.964	1.7427118569863e-68	CD8_exhausted_naive	Cluster_9
Rpl7	1.302799548601e-72	-2.87616877803973	0.214	1	4.38991335896592e-68	CD8_exhausted_naive	Cluster_9
Cox7a2	1.3099578599851e-72	-2.42807681604492	0.078	0.976	4.4140340050058e-68	CD8_exhausted_naive	Cluster_9
Lockd	1.56326343767328e-72	-2.83448682560596	0.047	0.946	5.26757247958389e-68	CD8_exhausted_naive	Cluster_9
Ly6e	1.62059491745542e-72	-3.05824122448937	0.202	1	5.46075663385779e-68	CD8_exhausted_naive	Cluster_9
Btf3	6.11084768241043e-72	-2.52127690879535	0.152	1	2.05911123506502e-67	CD8_exhausted_naive	Cluster_9
Rpl29	8.22984802318399e-72	-2.67162181099346	0.136	1	2.77312958989208e-67	CD8_exhausted_naive	Cluster_9
Rpl28	1.04638518022577e-71	-3.09428387469663	0.311	1	3.52589950328875e-67	CD8_exhausted_naive	Cluster_9
Rps5	1.09412211563527e-71	-2.92896668317941	0.163	0.994	3.68675388084459e-67	CD8_exhausted_naive	Cluster_9
Rps9	1.58339568134623e-71	-2.96070765817009	0.304	1	5.33541008786424e-67	CD8_exhausted_naive	Cluster_9
Rps16	1.9550313506326e-71	-3.08557472980061	0.304	1	6.58767363909161e-67	CD8_exhausted_naive	Cluster_9
Rpl19	3.88015093195622e-71	-3.00129871907148	0.339	1	1.30745565803197e-66	CD8_exhausted_naive	Cluster_9
Rpl24	4.18497829249839e-71	-2.80441785937422	0.237	1	1.41017028544026e-66	CD8_exhausted_naive	Cluster_9
Tomm7	5.91333177863966e-71	-2.18535843098855	0.082	0.988	1.99255627613042e-66	CD8_exhausted_naive	Cluster_9
Rps24	6.83926170108405e-71	-3.18198379598854	0.311	1	2.30455762279728e-66	CD8_exhausted_naive	Cluster_9
Rps4x	8.52984884346837e-71	-3.04457477309218	0.195	0.994	2.8742178662951e-66	CD8_exhausted_naive	Cluster_9
Rps14	1.39181422578658e-70	-3.00173088704809	0.311	1	4.68985721521045e-66	CD8_exhausted_naive	Cluster_9
Rag1	1.58972513504455e-70	-2.89296414264921	0.117	0.988	5.35673781504613e-66	CD8_exhausted_naive	Cluster_9
Rps10	2.30304444286399e-70	-2.87288699886764	0.288	1	7.76033855467449e-66	CD8_exhausted_naive	Cluster_9
Fau	5.69486793364764e-70	-3.07919712450869	0.307	1	1.91894269892191e-65	CD8_exhausted_naive	Cluster_9
Rpl32	6.2119591303372e-70	-2.95025861403683	0.304	1	2.09318174855842e-65	CD8_exhausted_naive	Cluster_9
Uba52	7.59601478413193e-70	-2.15000217340987	0.07	0.97	2.5595531416611e-65	CD8_exhausted_naive	Cluster_9
Chchd2	7.70175438891024e-70	-2.48982627070911	0.148	0.994	2.59518315888719e-65	CD8_exhausted_naive	Cluster_9
Endou	7.72028609894615e-70	-2.46430777797333	0.089	0.988	2.60142760390089e-65	CD8_exhausted_naive	Cluster_9
Cox8a	7.97690498391943e-70	-2.30500787506412	0.054	0.946	2.68789790338149e-65	CD8_exhausted_naive	Cluster_9
Mns1	1.06252622194114e-69	-2.65776464896463	0.062	0.94	3.58028835745287e-65	CD8_exhausted_naive	Cluster_9
Oaz1	1.39284814831491e-69	-2.72905923756019	0.265	1	4.69334112056192e-65	CD8_exhausted_naive	Cluster_9
Tspo	1.72688443158393e-69	-2.2573827077966	0.051	0.94	5.8189097806652e-65	CD8_exhausted_naive	Cluster_9
Rpl13	2.2344005560668e-69	-2.82565658782864	0.327	1	7.52903611372269e-65	CD8_exhausted_naive	Cluster_9
Rpl15	2.28345232715199e-69	-2.70974229902657	0.245	1	7.69432096157135e-65	CD8_exhausted_naive	Cluster_9
Rplp0	2.57006719907772e-69	-2.92806016853276	0.261	1	8.66009843401228e-65	CD8_exhausted_naive	Cluster_9
Ndufa4	2.58149030086592e-69	-2.23903585291942	0.089	0.994	8.69858971779781e-65	CD8_exhausted_naive	Cluster_9
Rpl9	8.51460703357466e-69	-2.76754895419809	0.272	1	2.86908198603332e-64	CD8_exhausted_naive	Cluster_9
Cox6c	9.0808700374012e-69	-2.44897974025272	0.128	0.994	3.05988996780271e-64	CD8_exhausted_naive	Cluster_9
Rps15a	9.23015235771551e-69	-2.74320500255849	0.304	1	3.11019213845582e-64	CD8_exhausted_naive	Cluster_9
Rpl10	1.00362597394758e-68	-2.65908397080091	0.171	0.982	3.38181808181378e-64	CD8_exhausted_naive	Cluster_9
Rpl18a	1.14791461028234e-68	-2.78614217674172	0.28	1	3.86801307080736e-64	CD8_exhausted_naive	Cluster_9
Rps29	1.32815988223927e-68	-2.66027589891026	0.327	1	4.47536753919344e-64	CD8_exhausted_naive	Cluster_9
Rpl35a	1.35320198342941e-68	-2.75870239560484	0.292	1	4.55974940336375e-64	CD8_exhausted_naive	Cluster_9
Tpt1	1.75150777715141e-68	-3.12646666579321	0.533	1	5.90188060588939e-64	CD8_exhausted_naive	Cluster_9
Hmgb2	1.9280432381089e-68	-4.36851880122039	0.187	0.97	6.49673449513173e-64	CD8_exhausted_naive	Cluster_9
Hmgb1	2.44564458720432e-68	-3.5459543249889	0.506	1	8.24084400104369e-64	CD8_exhausted_naive	Cluster_9
H2az2	2.59132246093701e-68	-2.72354278618158	0.175	0.988	8.73172016437336e-64	CD8_exhausted_naive	Cluster_9
Rps8	3.48298947420163e-68	-2.7146430777673	0.354	1	1.17362813322698e-63	CD8_exhausted_naive	Cluster_9
Sem1	4.03774027076034e-68	-2.36847497544878	0.191	0.994	1.36055696163541e-63	CD8_exhausted_naive	Cluster_9
Cenpa	4.11051629806902e-68	-2.84042122928918	0.047	0.905	1.38507957179734e-63	CD8_exhausted_naive	Cluster_9
Rps7	4.74536528947733e-68	-2.7684717555115	0.272	1	1.59899828794228e-63	CD8_exhausted_naive	Cluster_9
Gmfg	4.8818112265059e-68	-2.58825749559004	0.241	1	1.64497511088343e-63	CD8_exhausted_naive	Cluster_9
Rps3	5.26226015779536e-68	-2.7315135258516	0.276	0.994	1.77317118277072e-63	CD8_exhausted_naive	Cluster_9
Rpl23	5.88699199570319e-68	-2.70544664633913	0.3	1	1.98368082287215e-63	CD8_exhausted_naive	Cluster_9
Rpl11	6.13753634506223e-68	-2.74199489648884	0.339	1	2.06810424683217e-63	CD8_exhausted_naive	Cluster_9
Ccnb2	9.4973676567013e-68	-2.7028690717266	0.019	0.869	3.20023300560207e-63	CD8_exhausted_naive	Cluster_9
Eif1	9.99975948826974e-68	-2.65448625008136	0.342	1	3.36951895716737e-63	CD8_exhausted_naive	Cluster_9
Rps13	1.09032418605494e-67	-2.72185362855152	0.28	1	3.67395637733074e-63	CD8_exhausted_naive	Cluster_9
Cd8b1	1.09248338340804e-67	-2.81607189547788	0.249	1	3.68123200873173e-63	CD8_exhausted_naive	Cluster_9
Fth1	1.23543816494451e-67	-2.61606702248967	0.163	0.982	4.16293244059701e-63	CD8_exhausted_naive	Cluster_9
Rpl8	1.41120532617725e-67	-2.64079783135286	0.265	1	4.75519746708688e-63	CD8_exhausted_naive	Cluster_9
Ftl1	1.73799942697717e-67	-2.51848953819059	0.198	0.994	5.85636286914226e-63	CD8_exhausted_naive	Cluster_9
Rpl35	1.94258661978602e-67	-2.36511306191941	0.121	0.982	6.54573987403098e-63	CD8_exhausted_naive	Cluster_9
Rps27a	3.7573285971809e-67	-2.62095705409336	0.311	1	1.26606944410608e-62	CD8_exhausted_naive	Cluster_9
Ptma	9.46509473941691e-67	-2.85925589563853	0.65	1	3.18935832339392e-62	CD8_exhausted_naive	Cluster_9
Rps11	1.01201414044355e-66	-2.6222483113453	0.339	1	3.4100828476386e-62	CD8_exhausted_naive	Cluster_9
Cox4i1	1.44537925191829e-66	-2.43866699300524	0.222	1	4.87034992726386e-62	CD8_exhausted_naive	Cluster_9
Rps18	2.084069594746e-66	-2.41645824394775	0.257	1	7.02248090645612e-62	CD8_exhausted_naive	Cluster_9
Dynll1	2.53504541637006e-66	-2.75557121761334	0.206	1	8.54208903500057e-62	CD8_exhausted_naive	Cluster_9
