	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Cd74	2.27742407338617e-57	-6.29200064600882	0.019	0.877	7.67400815768204e-53	CD8_exhausted_naive	Stroma
H2-Ab1	2.28652951811977e-55	-4.98067743914261	0.008	0.822	7.70468986425639e-51	CD8_exhausted_naive	Stroma
Cst3	1.82590445864853e-53	-4.84634097146287	0.027	0.863	6.15256766386209e-49	CD8_exhausted_naive	Stroma
H2-Aa	3.40465708602417e-53	-5.25835651098317	0.008	0.795	1.1472332517067e-48	CD8_exhausted_naive	Stroma
Ifi30	1.05659980040242e-51	-3.09171895358551	0.004	0.767	3.560318687436e-47	CD8_exhausted_naive	Stroma
Lyn	1.08522875054754e-50	-2.79546538429056	0.008	0.767	3.65678679784501e-46	CD8_exhausted_naive	Stroma
Ctss	2.50828239476848e-50	-3.3892254724223	0.035	0.849	8.45190835741188e-46	CD8_exhausted_naive	Stroma
Cox8a	8.80062378184824e-48	-2.60140086394997	0.054	0.863	2.96545818953158e-43	CD8_exhausted_naive	Stroma
H2-Eb1	1.26405159372629e-47	-4.82856096904256	0.012	0.74	4.25934825022009e-43	CD8_exhausted_naive	Stroma
Ctsz	1.30473670741714e-46	-3.01699303964414	0.039	0.822	4.39644080931281e-42	CD8_exhausted_naive	Stroma
Fth1	1.72303631558898e-46	-5.0227757121754	0.163	0.959	5.80594316900861e-42	CD8_exhausted_naive	Stroma
Ctsh	1.874772429886e-45	-2.39868532970081	0	0.671	6.31723317974388e-41	CD8_exhausted_naive	Stroma
Cyba	5.31747709099025e-44	-2.99459098202445	0.109	0.904	1.79177708058008e-39	CD8_exhausted_naive	Stroma
Ftl1	6.19351756609016e-43	-4.61584428943251	0.198	0.973	2.08696767906974e-38	CD8_exhausted_naive	Stroma
Ly86	2.17597770970302e-42	-2.32818952731183	0	0.63	7.33217449061529e-38	CD8_exhausted_naive	Stroma
Rpl35	4.71396878629318e-42	-2.89217242958676	0.121	0.89	1.58841892222935e-37	CD8_exhausted_naive	Stroma
Gabarap	1.22261221343058e-41	-2.47542851677222	0.062	0.822	4.11971411437567e-37	CD8_exhausted_naive	Stroma
Hspe1	1.96718090964306e-41	-2.30049252864334	0.051	0.795	6.62861279313325e-37	CD8_exhausted_naive	Stroma
Gpx1	3.20379345634698e-41	-2.46490764807143	0.047	0.781	1.07955024305068e-36	CD8_exhausted_naive	Stroma
Rpl7	1.07026702204477e-40	-2.91102063764989	0.214	0.945	3.60637175748206e-36	CD8_exhausted_naive	Stroma
Rpl10	1.202263342458e-40	-3.38593433175769	0.171	0.904	4.05114655874647e-36	CD8_exhausted_naive	Stroma
Apoe	1.33216528936876e-40	-6.02518976983319	0.012	0.644	4.48886415905697e-36	CD8_exhausted_naive	Stroma
Unc93b1	3.48361057937839e-40	-2.06124081549436	0.004	0.616	1.17383742082734e-35	CD8_exhausted_naive	Stroma
Rps28	4.06723804941956e-40	-3.02275302315343	0.195	0.904	1.37049653313241e-35	CD8_exhausted_naive	Stroma
Cybb	7.0651732842444e-40	-2.50463455272454	0.004	0.616	2.38068078985899e-35	CD8_exhausted_naive	Stroma
Rpl39	1.26138501356112e-39	-3.23313770922267	0.253	0.945	4.25036294169555e-35	CD8_exhausted_naive	Stroma
Sat1	1.43194538971306e-39	-2.83130671004917	0.047	0.753	4.82508318517713e-35	CD8_exhausted_naive	Stroma
Vamp8	2.06050658411039e-39	-1.67038371099352	0.019	0.671	6.94308298581836e-35	CD8_exhausted_naive	Stroma
Wdfy4	2.23026461292462e-39	-2.34479465313356	0	0.589	7.51509963971079e-35	CD8_exhausted_naive	Stroma
Fau	4.20698095158698e-39	-3.45793265087207	0.307	0.973	1.41758430144675e-34	CD8_exhausted_naive	Stroma
Rpl23	5.51404665089939e-39	-3.47251473622238	0.3	0.959	1.85801315948706e-34	CD8_exhausted_naive	Stroma
Ost4	7.72475803046601e-39	-1.69265653041688	0.035	0.726	2.60293446594583e-34	CD8_exhausted_naive	Stroma
Tyrobp	2.33108436297698e-38	-3.70450621594684	0.004	0.589	7.85482186948725e-34	CD8_exhausted_naive	Stroma
Fcer1g	2.88856585105061e-38	-3.50123495197187	0.004	0.589	9.73331149170014e-34	CD8_exhausted_naive	Stroma
Uba52	5.27202820550377e-38	-2.17189057950078	0.07	0.781	1.77646262412655e-33	CD8_exhausted_naive	Stroma
Rpl14	9.58412818775057e-38	-2.77577082929921	0.175	0.904	3.22946783414443e-33	CD8_exhausted_naive	Stroma
Rps4x	1.71530037931839e-37	-3.20484485645994	0.195	0.904	5.77987615815123e-33	CD8_exhausted_naive	Stroma
Rpl34	2.38451190072044e-37	-3.48666228378011	0.222	0.89	8.03485130066759e-33	CD8_exhausted_naive	Stroma
Psap	2.4727602620226e-37	-3.51410141620843	0.136	0.89	8.33221297891134e-33	CD8_exhausted_naive	Stroma
Rps24	2.63164904460205e-37	-3.61839937385813	0.311	0.959	8.86760462069107e-33	CD8_exhausted_naive	Stroma
Sh3bgrl3	2.8685782630416e-37	-2.61791222128738	0.144	0.877	9.66596131514496e-33	CD8_exhausted_naive	Stroma
Rpl3	5.51955107453367e-37	-2.77188128141618	0.191	0.904	1.85986793007487e-32	CD8_exhausted_naive	Stroma
B2m	6.13429255730113e-37	-3.45243030246474	0.206	0.89	2.06701122010819e-32	CD8_exhausted_naive	Stroma
Rps5	8.44615516600484e-37	-3.31682871229908	0.163	0.849	2.84601644473699e-32	CD8_exhausted_naive	Stroma
Rplp1	9.64831544223322e-37	-3.26614138383178	0.401	0.959	3.25109637141491e-32	CD8_exhausted_naive	Stroma
Tox	1.15410703509204e-36	5.09863455435998	0.984	0.288	3.88887906544613e-32	CD8_exhausted_naive	Stroma
Lgals3	2.02379071970111e-36	-3.52603684056545	0	0.548	6.81936520910487e-32	CD8_exhausted_naive	Stroma
AW112010	5.71692896680308e-36	-2.48293981392366	0.008	0.575	1.92637638465397e-31	CD8_exhausted_naive	Stroma
