	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Il23r	5.05892483052095e-20	-4.0332739933196	0	1	1.70465531089234e-15	Cluster_13	Cluster_14
Il1r1	5.05892483052095e-20	-3.54068058472959	0	1	1.70465531089234e-15	Cluster_13	Cluster_14
Blk	5.05892483052095e-20	-3.41002746152731	0	1	1.70465531089234e-15	Cluster_13	Cluster_14
Il18r1	5.05892483052095e-20	-3.2503900504212	0	1	1.70465531089234e-15	Cluster_13	Cluster_14
Clnk	6.96286326242308e-19	-3.78861859459644	0	0.95	2.34620640490608e-14	Cluster_13	Cluster_14
Niban1	6.96286326242308e-19	-2.19942793896593	0	0.95	2.34620640490608e-14	Cluster_13	Cluster_14
Il7r	9.12673656679493e-19	-4.59942896255972	0.03	1	3.07534515354722e-14	Cluster_13	Cluster_14
Maf	3.39480381619545e-18	-3.18492003282917	0.015	0.95	1.14391309390522e-13	Cluster_13	Cluster_14
S100a4	9.04833109082106e-18	-4.57914670291835	0	0.9	3.04892564436306e-13	Cluster_13	Cluster_14
Cdh10	9.04833109082106e-18	-2.75135798913241	0	0.9	3.04892564436306e-13	Cluster_13	Cluster_14
Jaml	9.04833109082106e-18	-2.51630167290136	0	0.9	3.04892564436306e-13	Cluster_13	Cluster_14
Rora	9.04833109082106e-18	-2.43609927778845	0	0.9	3.04892564436306e-13	Cluster_13	Cluster_14
Ccr6	9.04833109082106e-18	-1.70384462194795	0	0.9	3.04892564436306e-13	Cluster_13	Cluster_14
Capg	4.69744839940028e-17	-2.64503641191942	0.015	0.9	1.58285221266192e-12	Cluster_13	Cluster_14
Serpinb1a	5.95452874702074e-17	-2.80807888471702	0.015	0.9	2.00643800659611e-12	Cluster_13	Cluster_14
Cd53	5.95452874702074e-17	-2.08932997484165	0.015	0.9	2.00643800659611e-12	Cluster_13	Cluster_14
Cxcr6	7.22643186089181e-17	-3.18141034358905	0.045	0.95	2.4350184798461e-12	Cluster_13	Cluster_14
Gpr183	7.5422153252192e-17	-1.8408220305155	0.015	0.9	2.54142487598586e-12	Cluster_13	Cluster_14
S100a6	1.11181219717452e-16	-4.70729348518987	0	0.85	3.74636237959927e-12	Cluster_13	Cluster_14
Id2	1.11181219717452e-16	-2.72939023270261	0	0.85	3.74636237959927e-12	Cluster_13	Cluster_14
Zbtb16	1.11181219717452e-16	-2.43493122991951	0	0.85	3.74636237959927e-12	Cluster_13	Cluster_14
Sntb1	1.11181219717452e-16	-2.29322894202325	0	0.85	3.74636237959927e-12	Cluster_13	Cluster_14
F2r	1.11181219717452e-16	-2.17309122018985	0	0.85	3.74636237959927e-12	Cluster_13	Cluster_14
Samhd1	1.11181219717452e-16	-1.79982100848951	0	0.85	3.74636237959927e-12	Cluster_13	Cluster_14
Podnl1	1.11181219717452e-16	-1.42208369941793	0	0.85	3.74636237959927e-12	Cluster_13	Cluster_14
Prr13	1.39681969616526e-16	-1.96976494756831	0.03	0.95	4.70672364819845e-12	Cluster_13	Cluster_14
Itgb7	1.40872531801861e-16	-2.43489688732153	0.045	0.95	4.7468408315955e-12	Cluster_13	Cluster_14
Itgae	5.10653511646538e-16	-2.40468152769537	0.03	0.9	1.72069807284418e-11	Cluster_13	Cluster_14
S100a10	5.44332958011735e-16	-3.59062465943903	0.075	0.95	1.83418433531634e-11	Cluster_13	Cluster_14
H2-K1	5.82977326163566e-16	-3.47009802781434	0.119	1	1.96440039824075e-11	Cluster_13	Cluster_14
S100a11	6.12989604065227e-16	-3.85507673225704	0.015	0.85	2.06552976985819e-11	Cluster_13	Cluster_14
Tmem176a	6.12989604065227e-16	-2.99573419121857	0.015	0.85	2.06552976985819e-11	Cluster_13	Cluster_14
Trgc1	6.12989604065227e-16	-2.92351334147274	0.015	0.85	2.06552976985819e-11	Cluster_13	Cluster_14
Ly6a	1.29362375161678e-15	-3.51293619504332	0	0.8	4.3589945934479e-11	Cluster_13	Cluster_14
Tmem176b	1.29362375161678e-15	-2.70029516309431	0	0.8	4.3589945934479e-11	Cluster_13	Cluster_14
Abi3bp	1.29362375161678e-15	-2.6194046241356	0	0.8	4.3589945934479e-11	Cluster_13	Cluster_14
Ahnak	1.29362375161678e-15	-2.36581839421824	0	0.8	4.3589945934479e-11	Cluster_13	Cluster_14
Ckb	1.29362375161678e-15	-2.21059597525175	0	0.8	4.3589945934479e-11	Cluster_13	Cluster_14
Ccr2	1.29362375161678e-15	-2.0801476709334	0	0.8	4.3589945934479e-11	Cluster_13	Cluster_14
Gng2	1.29362375161678e-15	-2.05044770909647	0	0.8	4.3589945934479e-11	Cluster_13	Cluster_14
Bcl2a1b	1.29362375161678e-15	-1.85522414671839	0	0.8	4.3589945934479e-11	Cluster_13	Cluster_14
Ubash3b	1.29362375161678e-15	-1.82117154589549	0	0.8	4.3589945934479e-11	Cluster_13	Cluster_14
Myo1e	1.29362375161678e-15	-1.78512498056248	0	0.8	4.3589945934479e-11	Cluster_13	Cluster_14
Pxdc1	1.29362375161678e-15	-1.70936244206069	0	0.8	4.3589945934479e-11	Cluster_13	Cluster_14
Bcl2a1d	1.29362375161678e-15	-1.70779382698644	0	0.8	4.3589945934479e-11	Cluster_13	Cluster_14
Cst7	1.29362375161678e-15	-1.59776434374211	0	0.8	4.3589945934479e-11	Cluster_13	Cluster_14
Mmp25	1.29362375161678e-15	-1.41968608396306	0	0.8	4.3589945934479e-11	Cluster_13	Cluster_14
Fstl4	1.95430688241562e-15	-2.1644820555268	0.015	0.85	6.58523247098766e-11	Cluster_13	Cluster_14
Shisa5	6.78777820518454e-15	-2.65921017184052	0.06	0.9	2.28720974401898e-10	Cluster_13	Cluster_14
B2m	7.22019065606838e-15	-3.30606970596803	0.164	1	2.4329154434688e-10	Cluster_13	Cluster_14
Scart1	9.50616861124345e-15	-4.27107758965766	0.015	0.8	3.20319857524459e-10	Cluster_13	Cluster_14
Vim	1.02977052888905e-14	-2.52045879329728	0.06	0.9	3.46991477414455e-10	Cluster_13	Cluster_14
Trgc4	1.33980648827273e-14	-2.01276553829985	0.015	0.8	4.51461194288379e-10	Cluster_13	Cluster_14
Cd7	1.4273556099169e-14	-1.85891796887905	0	0.75	4.80961746317597e-10	Cluster_13	Cluster_14
Rarg	1.4273556099169e-14	-1.82185056765032	0	0.75	4.80961746317597e-10	Cluster_13	Cluster_14
Cers4	1.4273556099169e-14	-1.7031037487001	0	0.75	4.80961746317597e-10	Cluster_13	Cluster_14
Kcnk1	1.4273556099169e-14	-1.59314617321501	0	0.75	4.80961746317597e-10	Cluster_13	Cluster_14
Il2ra	1.4273556099169e-14	-1.45386602785985	0	0.75	4.80961746317597e-10	Cluster_13	Cluster_14
Smco4	1.64978212122192e-14	-1.40371639378166	0.03	0.85	5.55910583566939e-10	Cluster_13	Cluster_14
Comt	1.72713717420995e-14	-1.8761115395014	0.06	0.9	5.81976142221784e-10	Cluster_13	Cluster_14
Lax1	2.35062320729774e-14	-1.80976992987554	0.06	0.9	7.92065995931046e-10	Cluster_13	Cluster_14
Farp1	2.36385064870111e-14	-1.65892392686938	0.015	0.8	7.96523114586326e-10	Cluster_13	Cluster_14
Cysltr2	2.96220848664979e-14	-1.37572234896421	0.015	0.8	9.98145771661514e-10	Cluster_13	Cluster_14
Icos	3.15952951998146e-14	-2.11991316435914	0.03	0.85	1.06463506705295e-09	Cluster_13	Cluster_14
Gm26740	3.72769210310664e-14	-1.91898482709346	0.09	1	1.25608313106281e-09	Cluster_13	Cluster_14
H2-D1	3.91593811676589e-14	-3.17399504166322	0.149	0.95	1.31951450782543e-09	Cluster_13	Cluster_14
Dap	4.7962576354711e-14	-1.61435979041046	0.06	0.9	1.61614697284834e-09	Cluster_13	Cluster_14
Osbpl3	4.89277273698624e-14	-2.3482698736196	0.075	0.9	1.64866870145488e-09	Cluster_13	Cluster_14
Apol7e	4.91622340934513e-14	-1.65114303606737	0.045	0.85	1.65657064001294e-09	Cluster_13	Cluster_14
