	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Ppia	3.95853045738084e-41	-3.23595827423906	0.672	1	1.33386642291905e-36	Cluster_13	DPblast
Tpt1	7.54403173067841e-41	-3.10512216469374	0.657	1	2.5420369319694e-36	Cluster_13	DPblast
Serf2	1.08512724669655e-40	-2.52588079618255	0.313	1	3.6564447704687e-36	Cluster_13	DPblast
H2ac8	1.75495247670023e-40	-4.47340348661537	0.149	0.992	5.9134878654891e-36	Cluster_13	DPblast
Ubb	1.89411306850013e-40	-3.32892526772969	0.537	1	6.38240339561803e-36	Cluster_13	DPblast
H4c4	2.00377467648847e-40	-3.84127242991218	0.254	0.997	6.75191914989554e-36	Cluster_13	DPblast
Rps29	4.21488740316105e-40	-2.97981685993214	0.507	1	1.42024845936915e-35	Cluster_13	DPblast
Hmgn2	5.2572565880473e-40	-3.06296226994896	0.358	0.998	1.77148517990842e-35	Cluster_13	DPblast
Snrpd2	6.0302907036236e-40	-2.22320133842205	0.06	0.987	2.03196675549301e-35	Cluster_13	DPblast
Ptma	6.61789298108332e-40	-2.51928128930093	0.955	1	2.22996521890584e-35	Cluster_13	DPblast
H3c3	6.63937300316669e-40	-3.71207329348586	0.104	0.987	2.23720312714705e-35	Cluster_13	DPblast
H1f5	6.79930959776566e-40	-4.28240158957594	0.493	0.992	2.29109536206312e-35	Cluster_13	DPblast
Rpl32	7.06408989519235e-40	-3.13583128412986	0.478	1	2.38031573108401e-35	Cluster_13	DPblast
H2az1	7.23589327476474e-40	-3.28131076789987	0.627	1	2.43820659786473e-35	Cluster_13	DPblast
Rpl29	8.67482615511892e-40	-2.8736926924736	0.194	0.998	2.92306942122887e-35	Cluster_13	DPblast
Rps17	1.09278215921459e-39	-3.04727978510319	0.254	1	3.68223876368949e-35	Cluster_13	DPblast
Gapdh	1.67841468593748e-39	-2.86057249916311	0.269	0.997	5.65558612573492e-35	Cluster_13	DPblast
Rpl28	1.89096359511811e-39	-2.92451783392878	0.537	1	6.37179093010997e-35	Cluster_13	DPblast
Rps11	1.9639082017445e-39	-2.77928713584175	0.463	1	6.61758507659828e-35	Cluster_13	DPblast
Rps16	2.17511212601784e-39	-2.85558691419477	0.478	1	7.32925781982971e-35	Cluster_13	DPblast
Crip1	2.25425798314501e-39	-2.76408532887829	0.149	0.995	7.59594770000544e-35	Cluster_13	DPblast
