	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Ncapg2	7.65639635026581e-167	-2.04965921518161	0.001	0.627	2.57989931418557e-162	Cluster_2_6	Cluster_13
Mki67	1.11573718525358e-163	-3.40832963887071	0.023	0.881	3.75958801943046e-159	Cluster_2_6	Cluster_13
Cenpe	1.84822690154633e-156	-2.73458607858995	0.012	0.746	6.22778536745052e-152	Cluster_2_6	Cluster_13
Kif4	5.48402606924306e-150	-2.16112815055591	0.002	0.582	1.84789742429214e-145	Cluster_2_6	Cluster_13
Knl1	5.4680515604028e-145	-2.74475691314789	0.018	0.761	1.84251465379333e-140	Cluster_2_6	Cluster_13
Diaph3	1.7527740360162e-144	-3.32646431992032	0.017	0.746	5.90614739176017e-140	Cluster_2_6	Cluster_13
Anln	6.60801546852036e-143	-1.92604775927319	0.003	0.582	2.22663689227262e-138	Cluster_2_6	Cluster_13
Kif15	1.51508671051856e-141	-2.53101913001411	0.006	0.612	5.10523617976333e-137	Cluster_2_6	Cluster_13
Depdc1a	5.34842557890959e-139	-1.94796054031094	0.004	0.582	1.80220548306937e-134	Cluster_2_6	Cluster_13
Top2a	1.03832769369106e-138	-4.00041166016944	0.043	0.91	3.4987489966614e-134	Cluster_2_6	Cluster_13
Kif11	4.40185028829371e-138	-3.01730503016027	0.019	0.746	1.48324747314345e-133	Cluster_2_6	Cluster_13
Cit	8.30743907965017e-138	-1.79574728728327	0.002	0.552	2.79927467227892e-133	Cluster_2_6	Cluster_13
Neil3	9.48299448867811e-134	-2.27245467776091	0.007	0.597	3.19538982290498e-129	Cluster_2_6	Cluster_13
Cenpf	8.2109395623354e-131	-2.74703840740386	0.013	0.657	2.76675819492454e-126	Cluster_2_6	Cluster_13
Tpx2	1.22602732651051e-128	-2.10219423333595	0.006	0.567	4.13122167940983e-124	Cluster_2_6	Cluster_13
Aspm	1.32702585785083e-127	-1.7974424857495	0.005	0.552	4.47154633061417e-123	Cluster_2_6	Cluster_13
Bub1b	2.80221598019967e-127	-1.87190778136706	0.011	0.627	9.44234696688079e-123	Cluster_2_6	Cluster_13
Stil	1.06658180707627e-125	-1.50623585592104	0.002	0.493	3.59395405712419e-121	Cluster_2_6	Cluster_13
Cdca2	5.6140697169313e-118	-1.68957346635853	0.003	0.493	1.89171693181717e-113	Cluster_2_6	Cluster_13
Hmmr	4.14575291519549e-116	-1.68156729307055	0.006	0.522	1.39695290230427e-111	Cluster_2_6	Cluster_13
