	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
H1f5	0	-5.19805383105522	0.129	0.992	0	Cluster_2_6	DPblast
Hmgb2	0	-4.82342921684141	0.214	1	0	Cluster_2_6	DPblast
H2ac8	0	-4.54756021024516	0.062	0.992	0	Cluster_2_6	DPblast
H2ac24	0	-4.20314543501065	0.029	0.989	0	Cluster_2_6	DPblast
H2az1	0	-4.16617434656466	0.175	1	0	Cluster_2_6	DPblast
Top2a	0	-4.1283760590577	0.043	1	0	Cluster_2_6	DPblast
Stmn1	0	-4.00927726420979	0.113	1	0	Cluster_2_6	DPblast
H4c4	0	-3.90720445982241	0.098	0.997	0	Cluster_2_6	DPblast
H3c3	0	-3.88164585610129	0.013	0.987	0	Cluster_2_6	DPblast
H2ac4	0	-3.84541235194668	0.017	0.99	0	Cluster_2_6	DPblast
Hmgn2	0	-3.76927434323421	0.066	0.998	0	Cluster_2_6	DPblast
Tuba1b	0	-3.67390261190311	0.044	1	0	Cluster_2_6	DPblast
Pclaf	0	-3.5440313544447	0.017	0.981	0	Cluster_2_6	DPblast
Mki67	0	-3.52863880477226	0.023	1	0	Cluster_2_6	DPblast
H2ac22	0	-3.21023004276156	0.028	0.992	0	Cluster_2_6	DPblast
Nusap1	0	-3.12970731023043	0.017	0.973	0	Cluster_2_6	DPblast
H2ax	0	-3.02182120648023	0.028	0.979	0	Cluster_2_6	DPblast
Birc5	0	-2.93864970743328	0.015	0.986	0	Cluster_2_6	DPblast
Cks2	0	-2.88502669764505	0.032	0.99	0	Cluster_2_6	DPblast
H2ac20	0	-2.84293904443408	0.031	0.984	0	Cluster_2_6	DPblast
Cenpf	0	-2.79441712487846	0.013	0.916	0	Cluster_2_6	DPblast
H1f1	0	-2.78803621810561	0.035	0.973	0	Cluster_2_6	DPblast
Ran	0	-2.78709572020941	0.08	0.994	0	Cluster_2_6	DPblast
Crip1	0	-2.74438879980977	0.07	0.995	0	Cluster_2_6	DPblast
Cox8a	0	-2.73272458228039	0.098	0.997	0	Cluster_2_6	DPblast
Kif11	0	-2.68504534154186	0.019	0.99	0	Cluster_2_6	DPblast
Rrm2	0	-2.67739440163759	0.009	0.956	0	Cluster_2_6	DPblast
Prc1	0	-2.55793746605471	0.018	0.976	0	Cluster_2_6	DPblast
Snrpf	0	-2.47912842370678	0.09	1	0	Cluster_2_6	DPblast
Knl1	0	-2.4157687002403	0.018	0.973	0	Cluster_2_6	DPblast
Diaph3	0	-2.3953160356043	0.017	0.979	0	Cluster_2_6	DPblast
H2ac10	0	-2.36698436540596	0.002	0.967	0	Cluster_2_6	DPblast
Tpx2	0	-2.34030165279344	0.006	0.943	0	Cluster_2_6	DPblast
Cenpe	0	-2.3291371616223	0.012	0.933	0	Cluster_2_6	DPblast
Cdca8	0	-2.31811374484631	0.007	0.975	0	Cluster_2_6	DPblast
Hint1	0	-2.29655133908777	0.035	0.979	0	Cluster_2_6	DPblast
Cdca3	0	-2.23654171097985	0.004	0.93	0	Cluster_2_6	DPblast
Cdk1	0	-2.23598939006382	0.008	0.975	0	Cluster_2_6	DPblast
Neil3	0	-2.20653239100426	0.007	0.948	0	Cluster_2_6	DPblast
Spc24	0	-2.19377446119539	0.008	0.987	0	Cluster_2_6	DPblast
Kif15	0	-2.18473430450921	0.006	0.968	0	Cluster_2_6	DPblast
Fbxo5	0	-2.14961282196009	0.017	0.973	0	Cluster_2_6	DPblast
Tyms	0	-2.12219516718858	0.018	0.917	0	Cluster_2_6	DPblast
H2bc15	0	-2.01725578925655	0.018	0.954	0	Cluster_2_6	DPblast
Cks1b	0	-1.99235825802943	0.014	0.965	0	Cluster_2_6	DPblast
H3c6	0	-1.9859786980233	0.027	0.946	0	Cluster_2_6	DPblast
Spc25	0	-1.97470287058277	0.004	0.944	0	Cluster_2_6	DPblast
H2bc11	0	-1.9349152552923	0.008	0.965	0	Cluster_2_6	DPblast
Ccna2	0	-1.89821983521433	0.011	0.952	0	Cluster_2_6	DPblast
H2bc18	0	-1.88085202099242	0.016	0.937	0	Cluster_2_6	DPblast
Depdc1a	0	-1.87920360644318	0.004	0.911	0	Cluster_2_6	DPblast
Kif4	0	-1.87831755057905	0.002	0.929	0	Cluster_2_6	DPblast
Esco2	0	-1.8609494488272	0.003	0.922	0	Cluster_2_6	DPblast
Mis18bp1	0	-1.81876719537357	0.01	0.917	0	Cluster_2_6	DPblast
Pbk	0	-1.8006269254814	0.001	0.906	0	Cluster_2_6	DPblast
Selenoh	0	-1.79168081346915	0.015	0.927	0	Cluster_2_6	DPblast
Emp3	0	-1.78572978566816	0.034	0.96	0	Cluster_2_6	DPblast
Gmnn	0	-1.7454834849711	0.022	0.94	0	Cluster_2_6	DPblast
Clspn	0	-1.72877397578973	0.011	0.9	0	Cluster_2_6	DPblast
Rrm1	0	-1.70761367723598	0.023	0.938	0	Cluster_2_6	DPblast
Ndc80	0	-1.696295031959	0.017	0.949	0	Cluster_2_6	DPblast
Lsm2	0	-1.69269653435185	0.03	0.957	0	Cluster_2_6	DPblast
Racgap1	0	-1.68904419578802	0.012	0.921	0	Cluster_2_6	DPblast
H3c11	0	-1.68544710950892	0.022	0.93	0	Cluster_2_6	DPblast
Bub1b	0	-1.67186193601493	0.011	0.922	0	Cluster_2_6	DPblast
Tacc3	0	-1.66410889977237	0.01	0.922	0	Cluster_2_6	DPblast
Ncapg2	0	-1.66068754509266	0.001	0.903	0	Cluster_2_6	DPblast
Aurkb	0	-1.61457486338484	0.003	0.905	0	Cluster_2_6	DPblast
D17H6S56E-5	0	-1.59859714752996	0.013	0.93	0	Cluster_2_6	DPblast
Sgo1	0	-1.58910651866869	0.005	0.917	0	Cluster_2_6	DPblast
Ckap2l	0	-1.57861035739665	0.002	0.876	0	Cluster_2_6	DPblast
H2bc3	0	-1.5608674944118	0.002	0.902	0	Cluster_2_6	DPblast
Ccnf	0	-1.55062623696824	0.007	0.903	0	Cluster_2_6	DPblast
H3c2	0	-1.52006311917137	0.001	0.897	0	Cluster_2_6	DPblast
E2f8	0	-1.51172241692677	0.003	0.873	0	Cluster_2_6	DPblast
H2bc14	0	-1.45549058605965	0.009	0.892	0	Cluster_2_6	DPblast
Shcbp1	0	-1.39757873866346	0.002	0.875	0	Cluster_2_6	DPblast
Anln	4.87700143612458e-308	-1.51292938159034	0.003	0.871	1.64335440391654e-303	Cluster_2_6	DPblast
Lockd	5.31875093556946e-308	-2.60620085023816	0.063	0.99	1.79220631524949e-303	Cluster_2_6	DPblast
Tubb4b	6.97398912697533e-308	-2.48636909260079	0.055	0.971	2.34995537622561e-303	Cluster_2_6	DPblast
Ube2c	1.02065154209236e-307	-3.3395363613467	0.022	0.905	3.43918743623443e-303	Cluster_2_6	DPblast
Lsm5	4.32298889462564e-307	-1.86325528650304	0.053	0.995	1.45667433793306e-302	Cluster_2_6	DPblast
Rpl3	6.07397281908644e-306	-3.10034085812577	0.124	0.995	2.04668588111937e-301	Cluster_2_6	DPblast
H3c7	9.66032633217906e-306	-1.63749154187865	0.014	0.9	3.25514356089106e-301	Cluster_2_6	DPblast
Dbi	6.34931517690255e-305	-1.84478457136952	0.045	0.973	2.13946524200908e-300	Cluster_2_6	DPblast
