	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Arpp21	0	4.81664513810524	0.983	0.2	0	Cluster_2_6	DPsel
Tmsb10	0	-4.66672442274184	0.282	1	0	Cluster_2_6	DPsel
Rps4x	0	-3.53730894746819	0.226	0.993	0	Cluster_2_6	DPsel
Rps15a	0	-3.5029785032158	0.32	1	0	Cluster_2_6	DPsel
Rps20	0	-3.45182741519517	0.312	1	0	Cluster_2_6	DPsel
Rps7	0	-3.42335929830534	0.276	0.992	0	Cluster_2_6	DPsel
Rplp1	0	-3.41347995498355	0.382	0.999	0	Cluster_2_6	DPsel
Rps18	0	-3.39898968156179	0.259	0.999	0	Cluster_2_6	DPsel
Rps24	0	-3.36297571414392	0.373	0.999	0	Cluster_2_6	DPsel
Rpl3	0	-3.33945084852003	0.124	0.986	0	Cluster_2_6	DPsel
Rpl12	0	-3.32104462888582	0.249	0.999	0	Cluster_2_6	DPsel
Cd52	0	-3.31517833016041	0.24	0.999	0	Cluster_2_6	DPsel
Tmsb4x	0	-3.30596011078836	0.462	1	0	Cluster_2_6	DPsel
Rpsa	0	-3.29640234657753	0.278	0.995	0	Cluster_2_6	DPsel
Rpl39	0	-3.27722875952022	0.255	0.996	0	Cluster_2_6	DPsel
Rplp0	0	-3.27691428763332	0.29	0.995	0	Cluster_2_6	DPsel
Rpl21	0	-3.23192686902367	0.232	0.995	0	Cluster_2_6	DPsel
Rps26	0	-3.23057341587202	0.259	0.994	0	Cluster_2_6	DPsel
Rpl9	0	-3.22138160673956	0.266	0.991	0	Cluster_2_6	DPsel
Rpl23	0	-3.22071579012865	0.325	0.996	0	Cluster_2_6	DPsel
Rps27a	0	-3.19310391037003	0.289	0.994	0	Cluster_2_6	DPsel
Rpl10	0	-3.16520498363779	0.159	0.992	0	Cluster_2_6	DPsel
Rpl13	0	-3.13812453206403	0.345	0.998	0	Cluster_2_6	DPsel
Rpl30	0	-3.12448228508755	0.294	0.991	0	Cluster_2_6	DPsel
Bach2	0	-3.11583057523152	0.07	0.961	0	Cluster_2_6	DPsel
Rps2	0	-3.10821279651452	0.203	0.994	0	Cluster_2_6	DPsel
Rps19	0	-3.09727868103506	0.29	0.998	0	Cluster_2_6	DPsel
Rps8	0	-3.04924246552133	0.353	1	0	Cluster_2_6	DPsel
Rps29	0	-3.04693265965244	0.362	0.999	0	Cluster_2_6	DPsel
Rpl41	0	-3.03011114728868	0.29	0.992	0	Cluster_2_6	DPsel
Rpl10a	0	-3.02724380547264	0.178	0.975	0	Cluster_2_6	DPsel
Rps23	0	-3.01739479781003	0.322	0.996	0	Cluster_2_6	DPsel
Rps13	0	-3.00920754918712	0.302	0.998	0	Cluster_2_6	DPsel
Rps3	0	-3.00433787352702	0.257	0.991	0	Cluster_2_6	DPsel
Rps12	0	-3.00077697664578	0.321	0.999	0	Cluster_2_6	DPsel
Rps3a1	0	-2.99733882215743	0.375	0.999	0	Cluster_2_6	DPsel
Eef1a1	0	-2.99388302328548	0.446	1	0	Cluster_2_6	DPsel
Rpl34	0	-2.97619142358093	0.293	0.995	0	Cluster_2_6	DPsel
Rps16	0	-2.94979886071301	0.352	0.998	0	Cluster_2_6	DPsel
Rpl37	0	-2.93487737529839	0.258	0.995	0	Cluster_2_6	DPsel
Rps5	0	-2.93234637873589	0.218	0.983	0	Cluster_2_6	DPsel
Rpl32	0	-2.91841266750762	0.343	0.999	0	Cluster_2_6	DPsel
B2m	0	-2.90808015981924	0.106	0.953	0	Cluster_2_6	DPsel
Rps10	0	-2.89756517578911	0.332	0.998	0	Cluster_2_6	DPsel
Themis	0	2.89363130068172	0.998	0.979	0	Cluster_2_6	DPsel
Rps9	0	-2.89261636718424	0.358	0.999	0	Cluster_2_6	DPsel
Rplp2	0	-2.89230041752414	0.323	0.998	0	Cluster_2_6	DPsel
Eef1b2	0	-2.88637416164569	0.124	0.979	0	Cluster_2_6	DPsel
Rps21	0	-2.87754376638315	0.299	0.992	0	Cluster_2_6	DPsel
Rpl5	0	-2.86538269757907	0.234	0.995	0	Cluster_2_6	DPsel
Rpl8	0	-2.8646362371771	0.281	0.993	0	Cluster_2_6	DPsel
Rpl36a	0	-2.86440523557988	0.148	0.978	0	Cluster_2_6	DPsel
Rps27	0	-2.86240453480496	0.318	0.998	0	Cluster_2_6	DPsel
Rpl15	0	-2.86066686561544	0.269	0.995	0	Cluster_2_6	DPsel
Rpl35a	0	-2.85740779265323	0.347	0.996	0	Cluster_2_6	DPsel
Rps6	0	-2.84635767070577	0.198	0.992	0	Cluster_2_6	DPsel
Rpl17	0	-2.83522373838028	0.333	0.998	0	Cluster_2_6	DPsel
Fau	0	-2.8101391667195	0.335	0.994	0	Cluster_2_6	DPsel
Rpl27a	0	-2.80663569909684	0.372	0.999	0	Cluster_2_6	DPsel
Rpl18	0	-2.80085700588638	0.267	0.996	0	Cluster_2_6	DPsel
Rpl6	0	-2.75634489014589	0.282	0.998	0	Cluster_2_6	DPsel
Rps25	0	-2.75150225026226	0.202	0.993	0	Cluster_2_6	DPsel
Rpl26	0	-2.73273069594524	0.295	0.995	0	Cluster_2_6	DPsel
Shisa5	0	-2.66520926743764	0.046	0.914	0	Cluster_2_6	DPsel
Cd2	0	-2.62933740318931	0.038	0.946	0	Cluster_2_6	DPsel
Rack1	0	-2.61396295217405	0.255	0.994	0	Cluster_2_6	DPsel
Rpl35	0	-2.58359679014119	0.17	0.983	0	Cluster_2_6	DPsel
Rpl27	0	-2.56380450193342	0.315	0.999	0	Cluster_2_6	DPsel
Cd53	0	-2.11627446654321	0.019	0.888	0	Cluster_2_6	DPsel
Tpt1	1.07801177169834e-307	-2.73386864870068	0.516	1	3.63246846591474e-303	Cluster_2_6	DPsel
Gm4258	8.07158857676676e-307	3.6562149937584	0.993	0.708	2.71980248682733e-302	Cluster_2_6	DPsel
Rpl19	2.47731479045353e-306	-2.71136224858937	0.359	0.998	8.3475599179122e-302	Cluster_2_6	DPsel
Rpl18a	4.92228905954532e-306	-2.7653320500283	0.308	0.993	1.65861452150439e-301	Cluster_2_6	DPsel
Rpl11	1.46913557133841e-304	-2.53548245719122	0.345	0.998	4.95039922118189e-300	Cluster_2_6	DPsel
Rps11	2.71692566171171e-304	-2.64338332802924	0.351	0.999	9.15495270970378e-300	Cluster_2_6	DPsel
Actg1	7.64860570384546e-304	-2.70943620439825	0.158	0.978	2.57727417796776e-299	Cluster_2_6	DPsel
Rpl29	8.16387625565924e-304	-2.51959156215321	0.182	0.987	2.75089974310694e-299	Cluster_2_6	DPsel
Rpl22	2.85620184664789e-303	-2.58541381252701	0.21	0.991	9.62425774246474e-299	Cluster_2_6	DPsel
Rps14	3.21509547355517e-302	-2.71835713740996	0.377	0.999	1.08335857076915e-297	Cluster_2_6	DPsel
Rpl13a	1.00619896241371e-301	-2.69034553796626	0.352	0.995	3.39048802374924e-297	Cluster_2_6	DPsel
Rpl22l1	1.62844534247522e-300	-2.50327500799999	0.088	0.92	5.48720942600449e-296	Cluster_2_6	DPsel
Rpl37a	4.16064447404607e-300	-2.6599084032289	0.358	0.999	1.40197076197456e-295	Cluster_2_6	DPsel
Gm10076	2.0081120753515e-299	-2.20781133513011	0.062	0.908	6.7665344491044e-295	Cluster_2_6	DPsel
Rps28	2.36371574491288e-299	-2.59486709201971	0.25	0.988	7.96477657405845e-295	Cluster_2_6	DPsel
Rpl7	9.4494223383564e-299	-2.54433658991334	0.292	0.988	3.18407735113257e-294	Cluster_2_6	DPsel
Pfn1	1.60658745584004e-298	-2.55503764993125	0.401	0.999	5.4135570911986e-294	Cluster_2_6	DPsel
Ppia	2.04207282487598e-298	-2.4807493386878	0.336	0.999	6.88096859070209e-294	Cluster_2_6	DPsel
Rpl36	3.45586525092115e-296	-2.4576563238778	0.268	0.994	1.16448835495039e-291	Cluster_2_6	DPsel
Rpl14	1.06331764583231e-291	-2.4369978400744	0.205	0.982	3.58295513939654e-287	Cluster_2_6	DPsel
Rpl38	3.67926871320447e-290	-2.43475623562305	0.252	0.992	1.23976638560138e-285	Cluster_2_6	DPsel
Actb	3.0684353501763e-289	-2.43378951062168	0.618	1	1.03393997559541e-284	Cluster_2_6	DPsel
Rpl28	2.6473353951559e-288	-2.44448376648533	0.335	0.994	8.92046134751731e-284	Cluster_2_6	DPsel
Rps15	3.73414891197421e-288	-2.40082378806144	0.284	0.994	1.25825881737883e-283	Cluster_2_6	DPsel
Rpl24	7.22830778190184e-286	-2.44844553531394	0.279	0.988	2.43565059018964e-281	Cluster_2_6	DPsel
Gimap4	4.14519169161481e-285	-2.32171700367187	0.003	0.783	1.39676379240653e-280	Cluster_2_6	DPsel
Rpl23a	4.44806401264765e-285	-2.36950822813469	0.238	0.985	1.49881964970175e-280	Cluster_2_6	DPsel
H2-D1	3.57937122193665e-275	-2.55086217613482	0.079	0.871	1.20610492694377e-270	Cluster_2_6	DPsel
Rpl7a	1.46723668394113e-272	-2.15979244275565	0.222	0.979	4.94400073020802e-268	Cluster_2_6	DPsel
Vim	7.72798456792376e-272	-2.18964768212348	0.022	0.793	2.60402168000759e-267	Cluster_2_6	DPsel
Uba52	1.11932891809215e-268	-1.92108897289047	0.105	0.926	3.7716907224033e-264	Cluster_2_6	DPsel
Rgs10	1.97653079225476e-267	-2.28026853962189	0.078	0.876	6.66011815758163e-263	Cluster_2_6	DPsel
Grcc10	9.10802069052397e-266	-1.82408642492769	0.061	0.86	3.06903865187896e-261	Cluster_2_6	DPsel
Rpl31	1.00103654929967e-265	-2.06632104734159	0.186	0.968	3.37309275652018e-261	Cluster_2_6	DPsel
Naca	5.26594019727418e-265	-2.09676366036592	0.21	0.974	1.77441120887351e-260	Cluster_2_6	DPsel
Rps17	4.19338887889381e-263	-2.09977527949532	0.236	0.986	1.41300431663206e-258	Cluster_2_6	DPsel
Rpl4	1.20402160069733e-262	-2.06602832931877	0.149	0.941	4.05707118570971e-258	Cluster_2_6	DPsel
Rpl36al	4.05049210771635e-262	-1.94232102780056	0.158	0.952	1.3648538206161e-257	Cluster_2_6	DPsel
Nme2	5.4604166862486e-262	-1.8715407335199	0.043	0.824	1.83994200659833e-257	Cluster_2_6	DPsel
Calm1	1.89372704592632e-260	-2.09847070380112	0.228	0.98	6.38110265395334e-256	Cluster_2_6	DPsel
Fth1	2.85507005842378e-260	-2.07080277783251	0.21	0.981	9.62044406886477e-256	Cluster_2_6	DPsel
Snrpg	1.62229405394624e-255	-1.80334243194783	0.121	0.932	5.46648204417724e-251	Cluster_2_6	DPsel
Ppib	1.27665824238413e-254	-1.63555147372672	0.067	0.857	4.30182761353757e-250	Cluster_2_6	DPsel
Ptprcap	6.16672338617699e-252	-1.90110048341907	0.165	0.954	2.0779391122062e-247	Cluster_2_6	DPsel
Chd3	2.95534799061371e-251	-1.81465839211702	0.033	0.79	9.95834058917194e-247	Cluster_2_6	DPsel
Tcf12	9.38232794905122e-250	2.56256961684426	0.958	0.919	3.1614692257123e-245	Cluster_2_6	DPsel
Glcci1	1.58901394213184e-248	3.36157117546134	0.928	0.616	5.35434137940745e-244	Cluster_2_6	DPsel
Atp5e	2.73952651202475e-248	-1.82385754413291	0.14	0.933	9.23110853491859e-244	Cluster_2_6	DPsel
Ftl1	4.11341521732847e-247	-2.01710860435492	0.207	0.974	1.386056391631e-242	Cluster_2_6	DPsel
Cd3d	9.90808713641852e-247	-1.94183650809213	0.31	0.988	3.33862904148758e-242	Cluster_2_6	DPsel
Arhgdib	1.22952261720298e-246	-2.01012628178268	0.307	0.989	4.14299941092715e-242	Cluster_2_6	DPsel
H2-K1	1.25736627152354e-243	-3.10167739550677	0.032	0.74	4.23682138852573e-239	Cluster_2_6	DPsel
Npm1	1.17821899889331e-242	-1.93985332635936	0.198	0.965	3.97012673867089e-238	Cluster_2_6	DPsel
Snrpf	2.19857361467945e-242	-1.6503796269873	0.09	0.87	7.40831365202388e-238	Cluster_2_6	DPsel
Hspe1	2.31851771943673e-241	-1.69326344463137	0.052	0.798	7.81247730741401e-237	Cluster_2_6	DPsel
Hsp90ab1	1.32041114231701e-240	-2.05044991247871	0.319	0.991	4.44925738515139e-236	Cluster_2_6	DPsel
Btf3	1.69049258423035e-239	-1.76835462953255	0.163	0.946	5.69628381182259e-235	Cluster_2_6	DPsel
B630019A10Rik	1.10356671137229e-238	-2.08917130200631	0.008	0.698	3.71857839064007e-234	Cluster_2_6	DPsel
Limd2	3.05189144605466e-237	-1.77289757621002	0.171	0.948	1.02836534166258e-232	Cluster_2_6	DPsel
Cfl1	3.26017135352934e-237	-1.93075504559575	0.316	0.991	1.09854733928525e-232	Cluster_2_6	DPsel
Cd3g	9.61798530230709e-237	-1.86660697786154	0.376	0.998	3.2408763274654e-232	Cluster_2_6	DPsel
Cox8a	4.62974884158918e-235	-1.66970964675839	0.098	0.869	1.56004016966189e-230	Cluster_2_6	DPsel
Psmb8	4.26671455303177e-233	-1.66443477107228	0.124	0.901	1.43771213578958e-228	Cluster_2_6	DPsel
Eef1g	1.76659178653913e-232	-1.62361802242425	0.095	0.871	5.95270768392224e-228	Cluster_2_6	DPsel
Fxyd5	3.1070514848728e-232	-1.85622654514366	0.072	0.813	1.04695206834274e-227	Cluster_2_6	DPsel
Myl6	6.06554399074107e-231	-1.84231573389187	0.224	0.967	2.04384570312011e-226	Cluster_2_6	DPsel
Cd226	1.07247488037757e-230	-1.98177965376153	0.033	0.739	3.61381135692025e-226	Cluster_2_6	DPsel
Cnn2	3.77616583017849e-230	-1.49773862025315	0.015	0.7	1.27241683813695e-225	Cluster_2_6	DPsel
Ssbp2	9.601536913723e-229	2.60348276674466	0.938	0.757	3.2353338784481e-224	Cluster_2_6	DPsel
Snrpe	3.16069602896262e-228	-1.60676612447501	0.128	0.916	1.06502813391924e-223	Cluster_2_6	DPsel
Ptpn18	1.56191423485496e-227	-1.54552678070207	0.122	0.902	5.26302620576729e-223	Cluster_2_6	DPsel
Sec61b	4.36307260924277e-227	-1.55271448764071	0.104	0.877	1.47018094641044e-222	Cluster_2_6	DPsel
Psme2	8.88762864056562e-227	-1.56983238858794	0.023	0.71	2.99477534672499e-222	Cluster_2_6	DPsel
Cox6c	3.63527787165817e-226	-1.61345747808431	0.13	0.903	1.22494323163394e-221	Cluster_2_6	DPsel
Itm2a	8.73538740028295e-226	-3.11044365290854	0.014	0.68	2.94347613839934e-221	Cluster_2_6	DPsel
Uqcrh	8.94938840227042e-225	-1.64469522893653	0.173	0.948	3.01558591602904e-220	Cluster_2_6	DPsel
Psme1	4.61951114584495e-224	-1.58129283785945	0.086	0.837	1.55659047570391e-219	Cluster_2_6	DPsel
Ubb	8.7610758490795e-224	-1.79028106955365	0.377	0.995	2.95213211810583e-219	Cluster_2_6	DPsel
Sh3bgrl3	2.88850280935906e-223	-1.70042695328542	0.203	0.955	9.73309906641629e-219	Cluster_2_6	DPsel
Ndufa4	4.62502573314369e-223	-1.63110912660037	0.117	0.871	1.5584486710401e-218	Cluster_2_6	DPsel
Eif1	1.39995329761232e-221	-1.75349040457862	0.3	0.987	4.71728263163447e-217	Cluster_2_6	DPsel
Mad1l1	1.1426761558633e-220	3.15050417948552	0.864	0.36	3.85036157479697e-216	Cluster_2_6	DPsel
Atp5g2	2.25176855552651e-218	-1.49115358668632	0.068	0.795	7.58755932470214e-214	Cluster_2_6	DPsel
Ptma	1.74592531531727e-217	-1.72441115915667	0.56	1	5.88306994249309e-213	Cluster_2_6	DPsel
Slc25a5	2.56760384510498e-217	-1.60197483657643	0.128	0.872	8.65179791646576e-213	Cluster_2_6	DPsel
Eif3f	4.09183774048032e-217	-1.52640285057371	0.119	0.875	1.37878564503225e-212	Cluster_2_6	DPsel
Gng5	7.22321618540635e-217	-1.4858665655088	0.135	0.902	2.43393492583452e-212	Cluster_2_6	DPsel
Cyba	1.5083925618206e-216	-1.63993130992828	0.111	0.857	5.08267957631069e-212	Cluster_2_6	DPsel
Inpp4b	2.85565473089151e-216	-2.14284904854305	0.326	0.98	9.62241418121204e-212	Cluster_2_6	DPsel
Ndufb11	7.32417173864157e-215	-1.38167073713465	0.076	0.803	2.46795290905266e-210	Cluster_2_6	DPsel
Dad1	1.55710107701588e-213	-1.41453170105512	0.086	0.825	5.2468077891127e-209	Cluster_2_6	DPsel
Pfdn5	3.15621719543813e-213	-1.47296707181095	0.128	0.888	1.06351894617483e-208	Cluster_2_6	DPsel
H2-T23	3.37858934583327e-213	-1.50899940002341	0.066	0.778	1.13844946597198e-208	Cluster_2_6	DPsel
2610307P16Rik	1.2830518533592e-212	2.64408657085636	0.921	0.584	4.32337152507915e-208	Cluster_2_6	DPsel
Bcl2	1.86031842094206e-212	-2.6760043212956	0.062	0.745	6.26852895120636e-208	Cluster_2_6	DPsel
Ccnd2	2.05881999600516e-212	-2.25052370356018	0.004	0.628	6.93739985853897e-208	Cluster_2_6	DPsel
Set	3.53905978071655e-211	-1.56223846968471	0.121	0.865	1.19252158371025e-206	Cluster_2_6	DPsel
Atp5g1	4.16049185796063e-211	-1.42618921462629	0.049	0.737	1.40191933645841e-206	Cluster_2_6	DPsel
Serf2	2.40235121032177e-210	-1.6229565140455	0.254	0.981	8.09496263830022e-206	Cluster_2_6	DPsel
Gas5	7.40451599206746e-210	-1.60110271310893	0.137	0.882	2.49502570868705e-205	Cluster_2_6	DPsel
Atp5j	8.71351603418542e-210	-1.42220164729245	0.119	0.867	2.93610636287912e-205	Cluster_2_6	DPsel
Tma7	5.69708490686248e-209	-1.40710157238125	0.14	0.903	1.91968973021638e-204	Cluster_2_6	DPsel
Cotl1	8.80482439850478e-209	-1.37167655538354	0.066	0.776	2.96687362932017e-204	Cluster_2_6	DPsel
Camk4	1.02271611223066e-208	1.96564454084828	0.971	0.949	3.44614421177244e-204	Cluster_2_6	DPsel
Aff3	1.84764537926427e-208	2.13521722389924	0.949	0.843	6.22582586996888e-204	Cluster_2_6	DPsel
Chchd2	2.55293139930769e-207	-1.57398217066257	0.183	0.941	8.60235764310718e-203	Cluster_2_6	DPsel
Retreg1	4.99882084792546e-207	-1.46419133219157	0.021	0.665	1.68440267291696e-202	Cluster_2_6	DPsel
Evl	2.07505557998216e-206	-1.36257718485216	0.07	0.784	6.99210728230789e-202	Cluster_2_6	DPsel
Cox7b	3.67312686502535e-206	-1.40152144551585	0.097	0.823	1.23769682843894e-201	Cluster_2_6	DPsel
Atp5g3	1.22569100761886e-205	-1.47594844034711	0.095	0.812	4.13008841927251e-201	Cluster_2_6	DPsel
Npc2	6.41515936643606e-205	-1.50859371378576	0.127	0.87	2.16165210011429e-200	Cluster_2_6	DPsel
Selenow	7.1929554729779e-204	-1.46875284534968	0.15	0.902	2.42373827617463e-199	Cluster_2_6	DPsel
Lcp1	1.33691355051271e-203	-1.54193137759394	0.108	0.832	4.50486389980764e-199	Cluster_2_6	DPsel
Gapdh	5.8818926997419e-203	-1.57340454769049	0.181	0.914	1.98196256410503e-198	Cluster_2_6	DPsel
Il7r	9.87558935341257e-202	-2.19207103567714	0.007	0.61	3.3276785885259e-197	Cluster_2_6	DPsel
Oaz1	1.72782580893182e-201	-1.60021531596001	0.279	0.969	5.82208184577665e-197	Cluster_2_6	DPsel
Cox4i1	1.64550689754393e-200	-1.49502410263311	0.218	0.955	5.54470004196401e-196	Cluster_2_6	DPsel
Calr	2.57932473033163e-199	-1.48004880680182	0.066	0.746	8.69129261132546e-195	Cluster_2_6	DPsel
Cox5a	1.17967311215732e-198	-1.236102243767	0.087	0.799	3.97502651872532e-194	Cluster_2_6	DPsel
Mif	7.46775581744921e-198	-1.43701678168425	0.052	0.712	2.51633500024769e-193	Cluster_2_6	DPsel
H3f3a	2.14383185587836e-197	-1.5949168170841	0.472	0.995	7.22385582156771e-193	Cluster_2_6	DPsel
