	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Gm4632	3.6943651568633e-155	3.22757059639289	0.937	0.006	1.24485328325666e-150	DN_Precursors	SP
Trgc2	3.69701666136063e-144	2.69130794802673	0.874	0.004	1.24574673421208e-139	DN_Precursors	SP
Atp8b4	8.9192140084292e-141	2.87817546224083	0.919	0.018	3.0054183522803e-136	DN_Precursors	SP
Trgc1	3.23359014579683e-139	2.69229662773553	0.856	0.006	1.0895905355277e-134	DN_Precursors	SP
Il2ra	1.25653367870018e-136	3.21840072675073	0.937	0.028	4.23401588374813e-132	DN_Precursors	SP
Hes1	1.67544961677109e-133	2.1191055508999	0.793	0	5.64559502867187e-129	DN_Precursors	SP
Plac8	1.64846507911455e-132	3.43267633047137	0.838	0.01	5.55466793058438e-128	DN_Precursors	SP
Trgc4	4.21371502396995e-130	2.16697803885723	0.793	0.003	1.41985341447692e-125	DN_Precursors	SP
Notch3	3.7065907168322e-128	2.29730498081163	0.865	0.019	1.24897280794378e-123	DN_Precursors	SP
Myl10	6.0370537728874e-127	3.39024246516013	0.955	0.053	2.03424563931214e-122	DN_Precursors	SP
Gria3	1.31083724094746e-125	2.17516768007177	0.865	0.021	4.41699716709657e-121	DN_Precursors	SP
1500009L16Rik	1.37799948390653e-123	1.35617752090691	0.748	0.001	4.64330706097145e-119	DN_Precursors	SP
Adamts17	5.90876246144099e-119	1.83518935908351	0.757	0.007	1.99101659900716e-114	DN_Precursors	SP
Trgv2	1.85619236764424e-105	2.15129774187464	0.658	0.003	6.25462580201404e-101	DN_Precursors	SP
Ccnd2	3.73346915202877e-104	1.64467423861776	0.82	0.034	1.25802976546761e-99	DN_Precursors	SP
Notch1	1.01477496475344e-101	2.40602266825939	0.964	0.109	3.41938572123319e-97	DN_Precursors	SP
Tmem121	1.1332838255671e-100	1.38342461022611	0.676	0.01	3.8187131786309e-96	DN_Precursors	SP
Ldlr	1.29928689093412e-100	1.41948815775911	0.703	0.015	4.37807710769162e-96	DN_Precursors	SP
Nckap5	1.78338873040668e-97	1.48071755797501	0.676	0.013	6.00930666597835e-93	DN_Precursors	SP
Ifitm2	5.89411471085851e-96	1.032783262325	0.595	0.001	1.98608089297088e-91	DN_Precursors	SP
Prss57	1.36366011851083e-92	1.00104093068645	0.622	0.009	4.59498913533409e-88	DN_Precursors	SP
Ptcra	4.0205232682815e-90	1.65698340697909	0.658	0.019	1.35475552048013e-85	DN_Precursors	SP
Il7r	4.21681953104259e-88	1.27778969947497	0.667	0.021	1.42089950918011e-83	DN_Precursors	SP
Zeb2	3.73793768266123e-85	1.78500029442165	0.721	0.037	1.25953548154953e-80	DN_Precursors	SP
