	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Gm4632	8.80432166491309e-137	-3.20697879743018	0.017	0.937	2.96670422820912e-132	DPblast	DN_Precursors
Il2ra	4.44238141812736e-122	-3.20963203971844	0.041	0.937	1.49690484265219e-117	DPblast	DN_Precursors
Trgc2	4.70378429892279e-115	-2.63247405717932	0.033	0.874	1.58498715736502e-110	DPblast	DN_Precursors
Trgc1	9.63583802592623e-110	-2.65763544730092	0.038	0.856	3.2468919812161e-105	DPblast	DN_Precursors
Atp8b4	1.21952721917858e-109	-2.79979508380038	0.059	0.919	4.10931891774416e-105	DPblast	DN_Precursors
Gria3	2.53543970399659e-108	-2.23425418942507	0.044	0.865	8.54341762658689e-104	DPblast	DN_Precursors
Trgc4	1.70634923452795e-106	-2.14203772945161	0.024	0.793	5.74971438066539e-102	DPblast	DN_Precursors
Hes1	3.91036585996354e-103	-2.08927596244016	0.03	0.793	1.31763688017332e-98	DPblast	DN_Precursors
Adamts17	1.10189008155888e-89	-1.80987114437347	0.043	0.757	3.7129288188208e-85	DPblast	DN_Precursors
Ccnd2	2.33876579105766e-83	-1.67067262976142	0.065	0.82	7.88070520954791e-79	DPblast	DN_Precursors
Zeb2	4.97996185923111e-83	-1.96700672820234	0.041	0.721	1.67804794808651e-78	DPblast	DN_Precursors
Plac8	1.35674350422572e-81	-3.29972068872766	0.103	0.838	4.57168291183898e-77	DPblast	DN_Precursors
Myl10	6.02847873359741e-80	-3.30562116556606	0.219	0.955	2.03135619407298e-75	DPblast	DN_Precursors
Epb41l4b	3.66613509781922e-76	-0.991189246814229	0.014	0.577	1.23534088256116e-71	DPblast	DN_Precursors
Trgv2	8.29515297502581e-76	-2.12441880395457	0.038	0.658	2.7951347464647e-71	DPblast	DN_Precursors
Gm5111	4.43255755751466e-72	-0.715036681803911	0.002	0.486	1.49359459458014e-67	DPblast	DN_Precursors
Nckap5	3.86319822650672e-71	-1.44929111826955	0.051	0.676	1.3017432744037e-66	DPblast	DN_Precursors
Ctla2a	2.00722459042576e-68	-1.01803882256613	0.014	0.532	6.76354397989866e-64	DPblast	DN_Precursors
Parp8	1.77013077220906e-66	-1.44866350176004	0.076	0.721	5.96463265003566e-62	DPblast	DN_Precursors
Il7r	6.54519935519311e-64	-1.23484410079125	0.057	0.667	2.20547037472587e-59	DPblast	DN_Precursors
Cdk6	5.83036143678169e-63	-3.06556563313299	0.695	1	1.96459858973796e-58	DPblast	DN_Precursors
Ifitm2	6.95057666223907e-63	-0.997004144363576	0.041	0.595	2.34206631210808e-58	DPblast	DN_Precursors
Top2a	1.43036011853609e-62	3.71341240257019	1	0.288	4.81974145541921e-58	DPblast	DN_Precursors
Hmgb2	4.60624390967704e-62	3.70561015240442	1	0.784	1.55211994780477e-57	DPblast	DN_Precursors
Kif11	2.57312713765827e-61	2.69109528677875	0.99	0.117	8.67040920305332e-57	DPblast	DN_Precursors
Mki67	2.60686403007976e-61	3.2329650069704	1	0.171	8.78408903575677e-57	DPblast	DN_Precursors
H3c3	2.69434351306129e-61	3.79685604262851	0.987	0.108	9.07885990161132e-57	DPblast	DN_Precursors
Tubb5	2.88792374524553e-61	2.32355616950457	1	0.91	9.73114785197934e-57	DPblast	DN_Precursors
Coro2a	3.13281723817603e-61	-0.892575704147316	0.025	0.532	1.05563409657579e-56	DPblast	DN_Precursors
H2ac22	9.1580797189809e-61	3.10969091825975	0.992	0.117	3.0859065421078e-56	DPblast	DN_Precursors
H2ac4	1.18699191033034e-60	3.5783814158029	0.99	0.117	3.99968794104913e-56	DPblast	DN_Precursors
H2ac8	1.26799708673028e-60	4.02904830587514	0.992	0.36	4.27264298344634e-56	DPblast	DN_Precursors
H2ac24	1.96324255514766e-60	3.74038119658852	0.989	0.297	6.61534211382556e-56	DPblast	DN_Precursors
Tuba1b	5.47730836506129e-60	2.77694820928879	1	0.532	1.84563382669105e-55	DPblast	DN_Precursors
H1f5	6.16726218402903e-60	4.56501452198161	0.992	0.36	2.07812066553042e-55	DPblast	DN_Precursors
Hmgn2	6.16876043171862e-60	2.7492028060336	0.998	0.667	2.07862551507191e-55	DPblast	DN_Precursors
Lockd	1.04022527478585e-59	2.85337778069618	0.99	0.162	3.50514308591841e-55	DPblast	DN_Precursors
H2ac20	1.16899982540336e-59	2.73343581353136	0.984	0.243	3.93906181167918e-55	DPblast	DN_Precursors
H4c4	1.19428179847859e-59	3.3389605581886	0.997	0.649	4.02425194815345e-55	DPblast	DN_Precursors
Ptma	2.035239190025e-59	1.79643459477485	1	0.991	6.85794197470825e-55	DPblast	DN_Precursors
Erg	2.1412671617728e-59	-0.710605931211025	0.003	0.414	7.21521382830963e-55	DPblast	DN_Precursors
Birc5	3.97162750136997e-59	2.79814819959164	0.986	0.09	1.33827960286162e-54	DPblast	DN_Precursors
Tmpo	4.10092548780697e-59	2.07421863306598	1	0.667	1.38184785237144e-54	DPblast	DN_Precursors
Hmgb1	4.12013335138408e-59	1.99900136124278	1	0.982	1.38832013408238e-54	DPblast	DN_Precursors
H1f4	8.67104703441829e-59	3.21202185208947	0.99	0.414	2.92179600871759e-54	DPblast	DN_Precursors
Fbxo5	1.12133714693525e-58	2.16304363023471	0.973	0.117	3.77845765031301e-54	DPblast	DN_Precursors
Nusap1	1.16099533088804e-58	3.07070227643257	0.973	0.09	3.91208986696033e-54	DPblast	DN_Precursors
Spc24	3.83081192721207e-58	1.99845677095253	0.987	0.18	1.29083038699338e-53	DPblast	DN_Precursors
Cdk1	4.04609590534751e-58	2.19112305202017	0.975	0.054	1.3633724762659e-53	DPblast	DN_Precursors
H2ac10	5.09152784507412e-58	2.31274797401565	0.967	0.027	1.71564122267617e-53	DPblast	DN_Precursors
Gprin3	6.13265139652814e-58	-1.02818886139303	0.011	0.45	2.06645821457412e-53	DPblast	DN_Precursors
Lmnb1	8.86877708797736e-58	1.96163898723143	0.997	0.586	2.98842312756485e-53	DPblast	DN_Precursors
Knl1	9.35516826923658e-58	2.39879659440555	0.973	0.099	3.15231750000196e-53	DPblast	DN_Precursors
Dek	1.04765093778859e-57	2.35136076139492	0.994	0.514	3.53016459997244e-53	DPblast	DN_Precursors
Notch3	1.05476339973958e-57	-2.08825274181993	0.225	0.865	3.55413075176249e-53	DPblast	DN_Precursors
Wdfy4	1.36993195299877e-57	-0.839673045278754	0.014	0.459	4.61612270882467e-53	DPblast	DN_Precursors
Pclaf	5.30610094421714e-57	3.11483824335391	0.981	0.18	1.78794377416341e-52	DPblast	DN_Precursors
H2bc11	7.74268850345784e-57	1.87539488376136	0.965	0.117	2.60897631812515e-52	DPblast	DN_Precursors
H1f1	1.31300737599315e-56	2.62624528460913	0.973	0.225	4.42430965414651e-52	DPblast	DN_Precursors
Spc25	1.32858869974386e-56	1.97442453542421	0.944	0.045	4.47681248265691e-52	DPblast	DN_Precursors
Stmn1	2.19433844003952e-56	2.22842754389591	1	0.865	7.39404280755716e-52	DPblast	DN_Precursors
