	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
H1f5	0	-4.84655307791693	0.341	0.992	0	DPre	DPblast
Hmgb2	0	-4.50469959977479	0.548	1	0	DPre	DPblast
Top2a	0	-4.32872129942962	0.056	1	0	DPre	DPblast
H2ac8	0	-4.1942659344276	0.248	0.992	0	DPre	DPblast
H3c3	0	-3.9390405753529	0.028	0.987	0	DPre	DPblast
H2ac24	0	-3.84524261664841	0.166	0.989	0	DPre	DPblast
H2ac4	0	-3.70385497398586	0.081	0.99	0	DPre	DPblast
Tuba1b	0	-3.63839647033625	0.109	1	0	DPre	DPblast
Mki67	0	-3.63469258440667	0.033	1	0	DPre	DPblast
Pclaf	0	-3.60956859920774	0.033	0.981	0	DPre	DPblast
Ube2c	0	-3.43829346343025	0.038	0.905	0	DPre	DPblast
Hmgn2	0	-3.39551447501975	0.254	0.998	0	DPre	DPblast
H4c4	0	-3.38512559924858	0.402	0.997	0	DPre	DPblast
Nusap1	0	-3.22218070963957	0.019	0.973	0	DPre	DPblast
H2ac22	0	-3.14238696176408	0.079	0.992	0	DPre	DPblast
H2az1	0	-3.06315709516329	0.746	1	0	DPre	DPblast
Birc5	0	-3.0064378956802	0.014	0.986	0	DPre	DPblast
Stmn1	0	-3.00571076378681	0.535	1	0	DPre	DPblast
Cks2	0	-2.85627923390336	0.077	0.99	0	DPre	DPblast
Cenpf	0	-2.82526922556911	0.031	0.916	0	DPre	DPblast
Kif11	0	-2.79098728879595	0.02	0.99	0	DPre	DPblast
Rrm2	0	-2.70732312544502	0.022	0.956	0	DPre	DPblast
Lockd	0	-2.69018310136442	0.131	0.99	0	DPre	DPblast
H2ac20	0	-2.67423153718612	0.12	0.984	0	DPre	DPblast
H2ax	0	-2.64256203909197	0.191	0.979	0	DPre	DPblast
Prc1	0	-2.57617978749726	0.045	0.976	0	DPre	DPblast
Ptma	0	-2.57080487981223	0.993	1	0	DPre	DPblast
H1f4	0	-2.53665877284059	0.449	0.99	0	DPre	DPblast
H1f1	0	-2.51947418531904	0.147	0.973	0	DPre	DPblast
Knl1	0	-2.4987406894383	0.024	0.973	0	DPre	DPblast
Diaph3	0	-2.45497535971109	0.024	0.979	0	DPre	DPblast
Dut	0	-2.40949135994117	0.336	0.978	0	DPre	DPblast
H2ac10	0	-2.38772846556178	0.004	0.967	0	DPre	DPblast
Tpx2	0	-2.36882186754435	0.008	0.943	0	DPre	DPblast
Cenpe	0	-2.36297792285887	0.031	0.933	0	DPre	DPblast
Cdca8	0	-2.34566318256132	0.01	0.975	0	DPre	DPblast
Cdk1	0	-2.29775041325979	0.007	0.975	0	DPre	DPblast
Dek	0	-2.28802955635713	0.347	0.994	0	DPre	DPblast
Spc24	0	-2.24616138167458	0.013	0.987	0	DPre	DPblast
Neil3	0	-2.24588128558415	0.007	0.948	0	DPre	DPblast
Tmpo	0	-2.24222318882428	0.356	1	0	DPre	DPblast
Nucks1	0	-2.22033524561123	0.267	0.998	0	DPre	DPblast
Tubb4b	0	-2.20983763675045	0.184	0.971	0	DPre	DPblast
Cdca3	0	-2.20970497414317	0.017	0.93	0	DPre	DPblast
Fbxo5	0	-2.20095504614714	0.03	0.973	0	DPre	DPblast
Kif15	0	-2.18530902503566	0.013	0.968	0	DPre	DPblast
Tyms	0	-2.15203434924349	0.037	0.917	0	DPre	DPblast
Cenpp	0	-2.15051603908772	0.055	0.962	0	DPre	DPblast
Smc2	0	-2.14597752051668	0.099	0.989	0	DPre	DPblast
Ran	0	-2.12582629708142	0.449	0.994	0	DPre	DPblast
Hmmr	0	-2.08774911894834	0.008	0.863	0	DPre	DPblast
Tubb5	0	-2.08674140143616	0.75	1	0	DPre	DPblast
Pola1	0	-2.01721434077232	0.042	0.822	0	DPre	DPblast
Ccnb2	0	-2.01271487312625	0.017	0.873	0	DPre	DPblast
Ccna2	0	-1.99706929259512	0.008	0.952	0	DPre	DPblast
Spc25	0	-1.98790928595876	0.005	0.944	0	DPre	DPblast
Cks1b	0	-1.94101609081373	0.041	0.965	0	DPre	DPblast
H2bc15	0	-1.91753426009451	0.073	0.954	0	DPre	DPblast
H2bc11	0	-1.91578450403304	0.029	0.965	0	DPre	DPblast
Depdc1a	0	-1.90587827954387	0.006	0.911	0	DPre	DPblast
Cenpa	0	-1.90304446399863	0.07	0.808	0	DPre	DPblast
Ect2	0	-1.89649808338139	0.059	0.919	0	DPre	DPblast
Mis18bp1	0	-1.88573484770625	0.009	0.917	0	DPre	DPblast
Kif4	0	-1.8846093943607	0.005	0.929	0	DPre	DPblast
Esco2	0	-1.88374830852446	0.005	0.922	0	DPre	DPblast
H4c8	0	-1.85565090251787	0.204	0.979	0	DPre	DPblast
Atad2	0	-1.8479945160004	0.155	0.937	0	DPre	DPblast
Ppia	0	-1.8454415872103	0.982	1	0	DPre	DPblast
Slbp	0	-1.83911613921352	0.141	0.898	0	DPre	DPblast
H2bc18	0	-1.82248844058384	0.056	0.937	0	DPre	DPblast
Pbk	0	-1.79622905782081	0.005	0.906	0	DPre	DPblast
Clspn	0	-1.79032502774378	0.009	0.9	0	DPre	DPblast
H3c6	0	-1.78171883551989	0.114	0.946	0	DPre	DPblast
Ndc80	0	-1.7767643260919	0.024	0.949	0	DPre	DPblast
Hint1	0	-1.77672927650195	0.259	0.979	0	DPre	DPblast
Racgap1	0	-1.73650178294147	0.019	0.921	0	DPre	DPblast
Kif23	0	-1.70514614997699	0.072	0.935	0	DPre	DPblast
