	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Arpp21	0	4.14579372691067	0.997	0.2	0	DPre	DPsel
Rag1	0	3.96309069088504	0.984	0.117	0	DPre	DPsel
Tmsb10	0	-3.7064158472684	0.808	1	0	DPre	DPsel
Bach2	0	-3.57882905256639	0.07	0.961	0	DPre	DPsel
Dntt	0	3.34595271375078	0.976	0.187	0	DPre	DPsel
H2-K1	0	-3.13343835241536	0.078	0.74	0	DPre	DPsel
Itm2a	0	-3.05671526304746	0.065	0.68	0	DPre	DPsel
Bcl2	0	-2.93168277550465	0.079	0.745	0	DPre	DPsel
Glcci1	0	2.88741734934795	0.995	0.616	0	DPre	DPsel
Gm4258	0	2.88249886244166	0.999	0.708	0	DPre	DPsel
Inpp4b	0	-2.87926038509434	0.367	0.98	0	DPre	DPsel
Ms4a4b	0	-2.83615678657206	0.046	0.607	0	DPre	DPsel
Ifi27l2a	0	-2.57375143053565	0.038	0.601	0	DPre	DPsel
Cd8b1	0	2.51189368026995	0.999	0.459	0	DPre	DPsel
Shisa5	0	-2.39688412246328	0.158	0.914	0	DPre	DPsel
Cd2	0	-2.35915182848246	0.16	0.946	0	DPre	DPsel
Gimap4	0	-2.33952498823853	0.004	0.783	0	DPre	DPsel
Ccnd2	0	-2.26943312953879	0.005	0.628	0	DPre	DPsel
Il7r	0	-2.25125443099407	0.003	0.61	0	DPre	DPsel
Mier1	0	2.19806406086223	0.989	0.802	0	DPre	DPsel
Rmnd5a	0	2.16103943403244	0.969	0.59	0	DPre	DPsel
Cd53	0	-2.11286369496201	0.033	0.888	0	DPre	DPsel
B630019A10Rik	0	-2.1072222307931	0.015	0.698	0	DPre	DPsel
Cd226	0	-2.04399611369874	0.046	0.739	0	DPre	DPsel
Themis	0	1.9977727068812	1	0.979	0	DPre	DPsel
Vim	0	-1.95960837716561	0.109	0.793	0	DPre	DPsel
Chd3	0	-1.82169141538938	0.082	0.79	0	DPre	DPsel
Retreg1	0	-1.55318384185328	0.032	0.665	0	DPre	DPsel
Gimap3	0	-1.528886494423	0.007	0.545	0	DPre	DPsel
Evl	0	-1.51393336920753	0.106	0.784	0	DPre	DPsel
Slfn1	0	-1.48809750056724	0.004	0.479	0	DPre	DPsel
Tesc	0	-1.43338095175298	0.005	0.525	0	DPre	DPsel
Rplp1	0	-1.39824616417936	0.996	0.999	0	DPre	DPsel
Ccr7	0	-1.31532620902251	0.01	0.58	0	DPre	DPsel
Galnt6	0	-1.22747733895447	0.054	0.646	0	DPre	DPsel
Btla	0	-1.22499820047489	0.001	0.478	0	DPre	DPsel
Cd8a	4.66923083256881e-304	2.10025798356254	0.977	0.364	1.57334402134239e-299	DPre	DPsel
Klk8	1.03833571503918e-301	-1.09990823151849	0.012	0.494	3.49877602539603e-297	DPre	DPsel
Hmgb1	3.67912035679549e-301	1.467897249552	0.999	0.981	1.23971639542581e-296	DPre	DPsel
Endou	1.51143664605142e-297	2.62581511180169	0.838	0.046	5.09293692253486e-293	DPre	DPsel
Pacsin1	1.01432857492763e-296	-1.27473433374695	0.04	0.582	3.41788156607613e-292	DPre	DPsel
Samhd1	3.67797781507845e-294	-1.57346899366049	0.005	0.457	1.23933140456884e-289	DPre	DPsel
Aqp11	9.72515862218359e-293	2.5640107760559	0.843	0.093	3.27698944933098e-288	DPre	DPsel
Tcf12	2.7122018128993e-292	1.73874991486453	0.99	0.919	9.13903522874547e-288	DPre	DPsel
Nlrc5	2.77033832156909e-292	-1.26341833874426	0.027	0.535	9.3349320083592e-288	DPre	DPsel
Chrna9	1.25867734405364e-289	2.41825908010511	0.855	0.129	4.24123917852315e-285	DPre	DPsel
Cnn2	2.26559623582882e-287	-1.2958889020238	0.095	0.7	7.63415307624878e-283	DPre	DPsel
Ssbp2	4.99246393827175e-287	1.84641846678114	0.983	0.757	1.68226064864005e-282	DPre	DPsel
Stk39	6.11805291427637e-281	-1.20178543380657	0.012	0.466	2.06153910999456e-276	DPre	DPsel
Rps20	8.52282403326927e-281	-1.44279433191217	0.975	1	2.87185078625041e-276	DPre	DPsel
Ctss	3.64512484951939e-280	-1.05380573646988	0.002	0.425	1.22826126929405e-275	DPre	DPsel
