	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Pclaf	0	-2.91860529988013	0.033	0.96	0	DPre	preDP_ISP
Top2a	0	-2.36813702912782	0.056	0.912	0	DPre	preDP_ISP
Hells	0	-2.33467372974256	0.031	0.982	0	DPre	preDP_ISP
Pola1	0	-2.19665246012689	0.042	0.885	0	DPre	preDP_ISP
Mki67	0	-2.17582716064283	0.033	0.925	0	DPre	preDP_ISP
Rrm2	0	-2.081276367781	0.022	0.929	0	DPre	preDP_ISP
Mcm3	0	-2.02635790274654	0.038	0.96	0	DPre	preDP_ISP
Uhrf1	0	-2.02361414390392	0.05	0.965	0	DPre	preDP_ISP
Lig1	0	-1.90256327095685	0.02	0.956	0	DPre	preDP_ISP
Ccnb2	0	-1.83510444984321	0.017	0.801	0	DPre	preDP_ISP
Birc5	0	-1.78943206432862	0.014	0.779	0	DPre	preDP_ISP
Dtl	0	-1.72417733293604	0.05	0.907	0	DPre	preDP_ISP
Clspn	0	-1.72312617326406	0.009	0.858	0	DPre	preDP_ISP
Cks1b	0	-1.6285594942277	0.041	0.894	0	DPre	preDP_ISP
Mcm5	0	-1.53877515046667	0.027	0.889	0	DPre	preDP_ISP
Ncapg2	0	-1.46940146164413	0.009	0.81	0	DPre	preDP_ISP
Tyms	0	-1.46807757719102	0.037	0.863	0	DPre	preDP_ISP
Prim1	0	-1.41149924226529	0.024	0.876	0	DPre	preDP_ISP
Rfc4	0	-1.39025930045494	0.032	0.876	0	DPre	preDP_ISP
Diaph3	0	-1.37082587776479	0.024	0.748	0	DPre	preDP_ISP
Cdc6	0	-1.36537755138631	0.004	0.805	0	DPre	preDP_ISP
Dhfr	0	-1.36230797017128	0.016	0.832	0	DPre	preDP_ISP
Spc24	0	-1.34278868004408	0.013	0.827	0	DPre	preDP_ISP
Zfp367	0	-1.33943104375354	0.03	0.841	0	DPre	preDP_ISP
Rfc3	0	-1.2888860277224	0.038	0.876	0	DPre	preDP_ISP
Cdca8	0	-1.275584033582	0.01	0.708	0	DPre	preDP_ISP
Cenpk	0	-1.23618145032863	0.008	0.814	0	DPre	preDP_ISP
D17H6S56E-5	0	-1.1649596004288	0.009	0.779	0	DPre	preDP_ISP
Rad51	0	-1.16236277274155	0.009	0.805	0	DPre	preDP_ISP
Fam111a	0	-1.06360847540142	0.024	0.739	0	DPre	preDP_ISP
Kif15	0	-1.0309472044418	0.013	0.664	0	DPre	preDP_ISP
Chaf1a	0	-1.02935027989228	0.006	0.757	0	DPre	preDP_ISP
Cenpw	0	-1.02263619993469	0.033	0.792	0	DPre	preDP_ISP
Cdk1	0	-1.00752692373442	0.007	0.615	0	DPre	preDP_ISP
Pole	0	-0.98263473757797	0.003	0.646	0	DPre	preDP_ISP
Zgrf1	0	-0.953830147529153	0.02	0.699	0	DPre	preDP_ISP
E2f1	0	-0.947146828904361	0.012	0.726	0	DPre	preDP_ISP
Ung	0	-0.945136637015736	0.011	0.619	0	DPre	preDP_ISP
Fignl1	0	-0.908867811899065	0.01	0.726	0	DPre	preDP_ISP
Dlgap5	0	-0.906885173301607	0.006	0.615	0	DPre	preDP_ISP
E2f8	0	-0.903435867201823	0.005	0.606	0	DPre	preDP_ISP
Cenph	0	-0.899648262241491	0.007	0.695	0	DPre	preDP_ISP
Chek1	0	-0.898352399017411	0.005	0.681	0	DPre	preDP_ISP
Rad51ap1	0	-0.86212785464365	0.002	0.619	0	DPre	preDP_ISP
Cenps	0	-0.86113960811573	0.006	0.712	0	DPre	preDP_ISP
