	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Dntt	9.43515061252213e-53	-3.65027203401097	0.133	1	3.17926835039546e-48	Monocyte_Macrophages_Dendritic	Cluster_9
Cd53	1.9306027606606e-52	2.0809876808916	0.919	0.018	6.50535906232195e-48	Monocyte_Macrophages_Dendritic	Cluster_9
Cd8b1	3.81647438022457e-52	-3.57999283360113	0.193	1	1.28599920716047e-47	Monocyte_Macrophages_Dendritic	Cluster_9
Shisa5	1.08182051582896e-51	2.91185685846176	0.948	0.101	3.64530241013725e-47	Monocyte_Macrophages_Dendritic	Cluster_9
Ccnd2	2.99456071174781e-51	2.4748508182893	0.889	0	1.00904717743054e-46	Monocyte_Macrophages_Dendritic	Cluster_9
Cd8a	7.89612538949052e-51	-3.04878636485768	0.156	1	2.66067841124272e-46	Monocyte_Macrophages_Dendritic	Cluster_9
Stmn1	1.90156074134348e-50	-3.55432280985492	0.289	1	6.40749907403098e-46	Monocyte_Macrophages_Dendritic	Cluster_9
Endou	3.75537210618872e-50	-2.67608680669567	0.104	0.988	1.26541018490135e-45	Monocyte_Macrophages_Dendritic	Cluster_9
Ly6d	1.90268224716658e-49	-4.41189983299334	0.067	0.952	6.41127810005252e-45	Monocyte_Macrophages_Dendritic	Cluster_9
Rag1	5.19950868143227e-49	-3.12325274575565	0.133	0.988	1.75202644529542e-44	Monocyte_Macrophages_Dendritic	Cluster_9
Hmgb1	1.16721530310558e-48	-2.94884381486945	0.956	1	3.93304868534457e-44	Monocyte_Macrophages_Dendritic	Cluster_9
H2-K1	3.21340646781917e-48	3.70218737147619	0.97	0.292	1.08278944339635e-43	Monocyte_Macrophages_Dendritic	Cluster_9
Ms4a4b	7.92148091006141e-48	3.56556196216884	0.889	0.065	2.66922220745429e-43	Monocyte_Macrophages_Dendritic	Cluster_9
Ptms	1.01487411627901e-47	-2.80931924832316	0.289	0.988	3.41971982221375e-43	Monocyte_Macrophages_Dendritic	Cluster_9
Arpp21	3.48175269249298e-47	-3.26744005497339	0.274	0.994	1.17321138726243e-42	Monocyte_Macrophages_Dendritic	Cluster_9
Txn1	4.9860408605998e-47	-2.31085062923077	0.689	0.994	1.68009632838771e-42	Monocyte_Macrophages_Dendritic	Cluster_9
Rmnd5a	8.95489694243685e-47	-2.51691499180096	0.43	0.988	3.01744207372352e-42	Monocyte_Macrophages_Dendritic	Cluster_9
Tcf7	1.10381120205756e-46	-2.24302620367312	0.726	1	3.71940222645315e-42	Monocyte_Macrophages_Dendritic	Cluster_9
Anxa2	1.28427245516107e-46	-2.27673140349804	0.637	0.994	4.32748446491076e-42	Monocyte_Macrophages_Dendritic	Cluster_9
Hmgn2	2.53322823417266e-46	-2.75185241344433	0.511	0.982	8.53596585786821e-42	Monocyte_Macrophages_Dendritic	Cluster_9
Lockd	4.02189033936876e-46	-2.85817044557646	0.156	0.946	1.3552161687537e-41	Monocyte_Macrophages_Dendritic	Cluster_9
Mns1	7.07330686043003e-46	-2.70250377170593	0.178	0.94	2.3834214796905e-41	Monocyte_Macrophages_Dendritic	Cluster_9
Tmsb10	9.61375901517963e-46	2.40330246177608	0.993	0.994	3.23945223775493e-41	Monocyte_Macrophages_Dendritic	Cluster_9
Gm4258	6.22512414973568e-45	-2.77283381214242	0.459	1	2.09761783349494e-40	Monocyte_Macrophages_Dendritic	Cluster_9
AW112010	6.31767098996341e-45	3.32359465635067	0.859	0.065	2.12880241677807e-40	Monocyte_Macrophages_Dendritic	Cluster_9
H2az2	1.26262945784605e-44	-2.30772010217976	0.607	0.988	4.25455622115805e-40	Monocyte_Macrophages_Dendritic	Cluster_9
Gmfg	2.25178162917635e-44	-1.87900473938926	0.822	1	7.58760337767262e-40	Monocyte_Macrophages_Dendritic	Cluster_9
Ppp1r14b	5.47211361311758e-44	-1.82615185905827	0.726	1	1.8438834030761e-39	Monocyte_Macrophages_Dendritic	Cluster_9
Ptma	1.01592267602252e-43	-1.76128556100689	0.985	1	3.42325304912549e-39	Monocyte_Macrophages_Dendritic	Cluster_9
Glcci1	1.08271289749374e-43	-2.53474607411079	0.511	0.988	3.64830937939489e-39	Monocyte_Macrophages_Dendritic	Cluster_9
Dock10	1.770396143976e-43	2.35741492974103	0.978	0.452	5.96552684674154e-39	Monocyte_Macrophages_Dendritic	Cluster_9
Inpp4b	2.42095211039851e-43	3.95097042940329	0.881	0.131	8.15764023119883e-39	Monocyte_Macrophages_Dendritic	Cluster_9
Pde7a	3.18227449817357e-43	2.02450933937091	0.941	0.244	1.07229921490457e-38	Monocyte_Macrophages_Dendritic	Cluster_9
H3f3a	3.59667084999946e-43	-1.43761424831458	0.963	1	1.21193420961582e-38	Monocyte_Macrophages_Dendritic	Cluster_9
H2-Q7	4.43201193916807e-43	2.36525342513704	0.8	0.018	1.49341074302207e-38	Monocyte_Macrophages_Dendritic	Cluster_9
Ccnb2	4.89087442304049e-43	-2.7615259740425	0.037	0.869	1.64802904558772e-38	Monocyte_Macrophages_Dendritic	Cluster_9
Rplp1	6.56856249584099e-43	1.82873532647785	0.985	1	2.21334281859858e-38	Monocyte_Macrophages_Dendritic	Cluster_9
Satb1	1.11132487719002e-42	-2.05918151669382	0.867	1	3.74472030617948e-38	Monocyte_Macrophages_Dendritic	Cluster_9
Dynll1	1.51583185655003e-42	-2.04610152681356	0.837	1	5.107747023831e-38	Monocyte_Macrophages_Dendritic	Cluster_9
Aqp11	2.31264332606161e-42	-2.32423367453483	0.141	0.917	7.7926829514972e-38	Monocyte_Macrophages_Dendritic	Cluster_9
Lcp1	4.05529931342739e-42	1.95171456360134	0.948	0.411	1.36647365665249e-37	Monocyte_Macrophages_Dendritic	Cluster_9
Trbc2	6.31002608459268e-42	-2.09157341884948	0.963	1	2.12622638946435e-37	Monocyte_Macrophages_Dendritic	Cluster_9
Anp32e	7.93589358859433e-42	-2.37301214664754	0.533	0.952	2.67407870361274e-37	Monocyte_Macrophages_Dendritic	Cluster_9
Il7r	8.79706831223692e-42	3.38817395328382	0.77	0.006	2.96426013849135e-37	Monocyte_Macrophages_Dendritic	Cluster_9
Nkg7	9.77826071082528e-42	2.95647247914985	0.77	0.006	3.29488272911969e-37	Monocyte_Macrophages_Dendritic	Cluster_9
H2-D1	1.38919649331503e-41	2.63730003800778	0.978	0.595	4.68103650387433e-37	Monocyte_Macrophages_Dendritic	Cluster_9
Cenpa	2.11412903546004e-41	-2.74708623549885	0.17	0.905	7.12376919788614e-37	Monocyte_Macrophages_Dendritic	Cluster_9
A630014C17Rik	2.36684166976664e-41	-1.86897481052535	0.215	0.958	7.97530969044567e-37	Monocyte_Macrophages_Dendritic	Cluster_9
Rps18	3.58670022057999e-41	1.59353635953393	0.985	1	1.20857450632663e-36	Monocyte_Macrophages_Dendritic	Cluster_9
Cenpf	3.74489833051365e-41	-3.44864911816466	0.022	0.833	1.26188094144988e-36	Monocyte_Macrophages_Dendritic	Cluster_9
Birc5	4.29504886243848e-41	-2.67046940624355	0.022	0.839	1.44725966468727e-36	Monocyte_Macrophages_Dendritic	Cluster_9
Themis	1.36752295780766e-40	-2.4549659710888	0.6	1	4.6080053586287e-36	Monocyte_Macrophages_Dendritic	Cluster_9
Hmgb2	1.64527627413806e-40	-3.50689044311468	0.763	0.97	5.5439229333356e-36	Monocyte_Macrophages_Dendritic	Cluster_9
S100a11	2.50663421156739e-40	2.15872535271869	0.852	0.143	8.44635463929749e-36	Monocyte_Macrophages_Dendritic	Cluster_9
Cd4	2.76602969376857e-40	-2.00141439927464	0.267	0.964	9.32041365612258e-36	Monocyte_Macrophages_Dendritic	Cluster_9
B2m	2.8282439981335e-40	2.36714016467054	0.978	0.821	9.53005097611065e-36	Monocyte_Macrophages_Dendritic	Cluster_9
Il2rb	4.43453798064323e-40	1.9977636907985	0.741	0	1.49426191795754e-35	Monocyte_Macrophages_Dendritic	Cluster_9
Cenpe	5.99902335323917e-40	-2.34806156969112	0.015	0.815	2.02143090910747e-35	Monocyte_Macrophages_Dendritic	Cluster_9
H2az1	6.41357159708634e-40	-2.18297099079487	0.859	0.994	2.16111708535421e-35	Monocyte_Macrophages_Dendritic	Cluster_9
Cyb5a	2.3685414877348e-39	-1.84129729517872	0.578	0.97	7.98103739707117e-35	Monocyte_Macrophages_Dendritic	Cluster_9
