	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Myl10	5.85343471254348e-45	-3.50176616230709	0.037	0.955	1.97237336073865e-40	Monocyte_Macrophages_Dendritic	DN_Precursors
Gm4632	1.35751207150761e-44	-3.23086537391228	0.007	0.937	4.57427267615205e-40	Monocyte_Macrophages_Dendritic	DN_Precursors
Ly6d	6.24704136818691e-44	-3.72196648760281	0.067	0.973	2.10500305942426e-39	Monocyte_Macrophages_Dendritic	DN_Precursors
Dntt	1.82365615535755e-43	-3.28961810781382	0.133	0.982	6.14499178109279e-39	Monocyte_Macrophages_Dendritic	DN_Precursors
Cdk6	5.79087471822718e-43	-3.4427751708671	0.319	1	1.95129314505383e-38	Monocyte_Macrophages_Dendritic	DN_Precursors
Arpp21	1.99768912787527e-41	-3.7215581992754	0.274	1	6.7314132852885e-37	Monocyte_Macrophages_Dendritic	DN_Precursors
Il2ra	7.34283668039471e-41	-3.0202213630102	0.052	0.937	2.4742422478258e-36	Monocyte_Macrophages_Dendritic	DN_Precursors
5830418P13Rik	2.31441397708079e-40	-2.1647248721446	0.081	0.928	7.79864933717143e-36	Monocyte_Macrophages_Dendritic	DN_Precursors
Notch3	1.10111683813218e-39	-2.34340325248023	0.007	0.865	3.7103232977702e-35	Monocyte_Macrophages_Dendritic	DN_Precursors
Fkbp5	1.57689560747776e-39	-2.86370109424285	0.422	1	5.31350743895705e-35	Monocyte_Macrophages_Dendritic	DN_Precursors
Aqp11	3.65759715804385e-39	-2.33347397581109	0.141	0.964	1.23246393837446e-34	Monocyte_Macrophages_Dendritic	DN_Precursors
Rgcc	2.87535010567878e-37	-2.44930856767681	0.281	0.964	9.68877971609523e-33	Monocyte_Macrophages_Dendritic	DN_Precursors
Tmsb10	3.31282357550448e-37	2.83284619149301	0.993	0.829	1.11628903200199e-32	Monocyte_Macrophages_Dendritic	DN_Precursors
Notch1	4.6883238391309e-36	-2.12197872075022	0.341	0.964	1.57977760083355e-31	Monocyte_Macrophages_Dendritic	DN_Precursors
Tmsb4x	5.09529971525621e-36	2.48034374610661	0.993	0.964	1.71691219205273e-31	Monocyte_Macrophages_Dendritic	DN_Precursors
Gria3	1.81969492034011e-35	-2.10908116054213	0.067	0.865	6.13164400357805e-31	Monocyte_Macrophages_Dendritic	DN_Precursors
Myb	2.38612864441735e-35	-2.04384438664304	0.244	0.991	8.0402990802287e-31	Monocyte_Macrophages_Dendritic	DN_Precursors
Desi1	5.9271864225382e-35	-2.07513468627097	0.37	0.973	1.99722473693847e-30	Monocyte_Macrophages_Dendritic	DN_Precursors
Marcks	6.31582447515307e-35	-1.79482219118265	0.2	0.955	2.12818021514758e-30	Monocyte_Macrophages_Dendritic	DN_Precursors
2610307P16Rik	2.16708122057802e-34	-2.67725010067086	0.341	0.991	7.30219688085969e-30	Monocyte_Macrophages_Dendritic	DN_Precursors
Uck2	2.16893816494378e-33	-2.05307658226024	0.341	0.964	7.30845404059456e-29	Monocyte_Macrophages_Dendritic	DN_Precursors
Xrcc6	3.55072683696918e-33	-1.79789900354718	0.333	0.973	1.19645291498513e-28	Monocyte_Macrophages_Dendritic	DN_Precursors
Gm2629	3.9581272946078e-33	-1.92910137730789	0.052	0.82	1.33373057319104e-28	Monocyte_Macrophages_Dendritic	DN_Precursors
Hes1	7.53121804060922e-33	-2.01675497311121	0.03	0.793	2.53771923096368e-28	Monocyte_Macrophages_Dendritic	DN_Precursors
Adamts17	7.79800679185406e-33	-1.82886668833781	0.007	0.757	2.62761636858315e-28	Monocyte_Macrophages_Dendritic	DN_Precursors
Cux1	2.12177832221302e-32	-1.88149495325788	0.674	1	7.14954423452898e-28	Monocyte_Macrophages_Dendritic	DN_Precursors
Trac	2.42541821357025e-32	2.3465145849202	0.859	0.081	8.1726892124463e-28	Monocyte_Macrophages_Dendritic	DN_Precursors
Wwox	4.44765952484688e-32	-3.21150978205575	0.422	0.991	1.49868335349241e-27	Monocyte_Macrophages_Dendritic	DN_Precursors
Angpt1	4.88096800902839e-32	-1.9176895779168	0.037	0.784	1.64469098032221e-27	Monocyte_Macrophages_Dendritic	DN_Precursors
Ms4a4b	8.66004781608658e-32	3.23711623078582	0.889	0.27	2.91808971210854e-27	Monocyte_Macrophages_Dendritic	DN_Precursors
Shisa5	9.6352000011014e-32	2.22566408612013	0.948	0.532	3.24667699237113e-27	Monocyte_Macrophages_Dendritic	DN_Precursors
S100a10	3.05525009058665e-31	1.998548335879	0.956	0.613	1.02949707052408e-26	Monocyte_Macrophages_Dendritic	DN_Precursors
Bcl11b	3.87255991456734e-31	-1.78987319419519	0.837	1	1.30489778881261e-26	Monocyte_Macrophages_Dendritic	DN_Precursors
Cd2	4.49318359581672e-31	1.93241065519426	0.822	0.054	1.5140231444464e-26	Monocyte_Macrophages_Dendritic	DN_Precursors
Patz1	6.92536860075283e-31	-1.56555598476374	0.222	0.91	2.33357220370967e-26	Monocyte_Macrophages_Dendritic	DN_Precursors
Cmtm7	9.74342448218581e-31	-1.77252754814429	0.348	0.955	3.28314431351733e-26	Monocyte_Macrophages_Dendritic	DN_Precursors
Cd52	9.93962439478982e-31	3.69974588018228	0.889	0.333	3.34925583606838e-26	Monocyte_Macrophages_Dendritic	DN_Precursors
Rapgef3	1.3437479634961e-30	-1.17229990078046	0.052	0.775	4.52789313779647e-26	Monocyte_Macrophages_Dendritic	DN_Precursors
Dnajc6	3.53960267720892e-30	-1.65178193867647	0.126	0.838	1.19270451811232e-25	Monocyte_Macrophages_Dendritic	DN_Precursors
Ankrd44	1.01905945797739e-29	1.74795602926684	0.956	0.739	3.43382274960061e-25	Monocyte_Macrophages_Dendritic	DN_Precursors
Naxd	1.48636144624676e-29	-1.38839747493172	0.252	0.901	5.00844352927308e-25	Monocyte_Macrophages_Dendritic	DN_Precursors
Runx1	2.13274612425064e-29	-2.04188880734695	0.748	0.991	7.18650134027497e-25	Monocyte_Macrophages_Dendritic	DN_Precursors
1500009L16Rik	2.41631203069655e-29	-1.29165294586451	0.052	0.748	8.14200501863509e-25	Monocyte_Macrophages_Dendritic	DN_Precursors
Il2rb	2.72994481725514e-29	1.9977636907985	0.741	0	9.19882205622293e-25	Monocyte_Macrophages_Dendritic	DN_Precursors
