	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Il1r1	2.10342577079365e-154	-3.54068058472959	0	1	7.08770347726629e-150	SP	Cluster_14
Clnk	1.4154901153633e-146	-3.78861859459644	0	0.95	4.76963549272819e-142	SP	Cluster_14
Il23r	5.97975892066504e-141	-4.02027120970798	0.003	1	2.01493956590729e-136	SP	Cluster_14
Blk	5.97975892066504e-141	-3.40356033677826	0.003	1	2.01493956590729e-136	SP	Cluster_14
Serpinb1a	9.06248977953545e-139	-2.83843508564495	0	0.9	3.05369655611227e-134	SP	Cluster_14
Ccr6	1.6701867662763e-131	-1.70106572390487	0.001	0.9	5.62786132764463e-127	SP	Cluster_14
Jaml	1.84079288599717e-131	-2.50690755876963	0.001	0.9	6.20273570865607e-127	SP	Cluster_14
Il18r1	1.26081715549023e-129	-3.22904381665523	0.006	1	4.24844948713988e-125	SP	Cluster_14
Cdh10	6.96181352631094e-125	-2.73929046897666	0.003	0.9	2.34585268582573e-120	SP	Cluster_14
Zbtb16	1.23290807496529e-123	-2.42731801567804	0.001	0.85	4.15440704940303e-119	SP	Cluster_14
Sntb1	1.35819865818252e-123	-2.28724875123616	0.001	0.85	4.57658619861181e-119	SP	Cluster_14
Scart1	3.20295132745536e-123	-4.33474484348055	0	0.8	1.07926647929936e-118	SP	Cluster_14
Mmp25	3.20295132745536e-123	-1.41968608396306	0	0.8	1.07926647929936e-118	SP	Cluster_14
S100a4	1.2743117731932e-119	-4.56843917243921	0.004	0.9	4.2939209509518e-115	SP	Cluster_14
Cxcr6	4.37625851158362e-117	-3.31293893417028	0.007	0.95	1.47462406806322e-112	SP	Cluster_14
Pxdc1	7.08672372011355e-116	-1.70502169431621	0.001	0.8	2.38794242472946e-111	SP	Cluster_14
Kcnk1	1.76935643469199e-115	-1.59314617321501	0	0.75	5.96202344233814e-111	SP	Cluster_14
Maf	1.00224873635884e-112	-3.19052682049786	0.009	0.95	3.37717734203476e-108	SP	Cluster_14
S100a6	6.16967880383379e-112	-4.69597008833568	0.004	0.85	2.07893496973984e-107	SP	Cluster_14
Podnl1	5.46504712287741e-111	-1.41279903736971	0.004	0.85	1.84150227852477e-106	SP	Cluster_14
Trgc4	4.53370148226064e-109	-2.03492067637715	0.003	0.8	1.52767605146255e-104	SP	Cluster_14
Or13a27	9.31224897883383e-108	-1.88142993000446	0	0.7	3.13785541590785e-103	SP	Cluster_14
Zfp462	9.31224897883383e-108	-1.38060798036384	0	0.7	3.13785541590785e-103	SP	Cluster_14
Trpm6	9.31224897883383e-108	-1.2716440771487	0	0.7	3.13785541590785e-103	SP	Cluster_14
Niban1	2.18485058299692e-107	-2.16880746659214	0.01	0.95	7.36207252446642e-103	SP	Cluster_14
Trgc1	1.52869332806788e-106	-2.92493472060013	0.006	0.85	5.15108503825752e-102	SP	Cluster_14
Fstl4	4.22768596684689e-105	-2.17236430404009	0.006	0.85	1.42456106338873e-100	SP	Cluster_14
Ahnak	4.20467453984423e-104	-2.35264116787242	0.004	0.8	1.41680713294591e-99	SP	Cluster_14
Ccr2	5.93998364427192e-104	-2.07005663801322	0.004	0.8	2.00153688877386e-99	SP	Cluster_14
Cd7	3.89481444747985e-102	-1.85595942220768	0.003	0.75	1.31239667622281e-97	SP	Cluster_14
Rarg	8.77581920232e-102	-1.81262365371302	0.003	0.75	2.95710003841375e-97	SP	Cluster_14
Sox13	1.79497851633514e-100	-1.46102416440957	0.001	0.7	6.04835960864289e-96	SP	Cluster_14
Arnt2	4.67167339253438e-100	-1.45464895752571	0	0.65	1.57416706634838e-95	SP	Cluster_14
Ltb4r1	4.67167339253438e-100	-1.0569788389196	0	0.65	1.57416706634838e-95	SP	Cluster_14
Cst7	1.3400015054158e-98	-1.58363815661318	0.006	0.8	4.51526907264909e-94	SP	Cluster_14
Itgae	5.02751997505141e-97	-2.4973959978698	0.012	0.9	1.69407313079332e-92	SP	Cluster_14
Ly6a	1.95906410487244e-94	-3.48387477221321	0.007	0.8	6.60126240777819e-90	SP	Cluster_14
Il7r	1.81741284893569e-93	-4.57732424766037	0.021	1	6.12395433577369e-89	SP	Cluster_14
Trdv4	2.23515260404792e-92	-3.01632812749705	0	0.6	7.53157021459986e-88	SP	Cluster_14
Lrrn2	2.23515260404792e-92	-1.40562741801846	0	0.6	7.53157021459986e-88	SP	Cluster_14
Cpe	2.23515260404792e-92	-1.16599555429848	0	0.6	7.53157021459986e-88	SP	Cluster_14
Pik3ap1	1.28780163052571e-88	-1.45254805781259	0.004	0.7	4.33937637421945e-84	SP	Cluster_14
Gprin3	1.657019534914e-88	-1.46830875538603	0.004	0.7	5.58349302484622e-84	SP	Cluster_14
H2-Q7	8.00552735866719e-88	-1.64686147202141	0.012	0.85	2.6975424987765e-83	SP	Cluster_14
Abi3bp	2.04992906053845e-86	-2.59632661907	0.01	0.8	6.90744096239037e-82	SP	Cluster_14
Fat3	1.02056916371978e-84	-1.67632449071028	0	0.55	3.43890985407017e-80	SP	Cluster_14
Ly6g5b	1.02056916371978e-84	-1.0832020627964	0	0.55	3.43890985407017e-80	SP	Cluster_14
Jag1	1.02056916371978e-84	-0.850550684048855	0	0.55	3.43890985407017e-80	SP	Cluster_14
Tnfrsf25	2.91275800314249e-83	-1.10409459381736	0.006	0.7	9.81482936738895e-79	SP	Cluster_14
