	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Il23r	2.25423790344209e-21	-4.0332739933196	0	1	7.59588003943845e-17	Stroma	Cluster_14
Il1r1	1.19294202287079e-20	-3.511356942353	0.014	1	4.01973744026542e-16	Stroma	Cluster_14
Il18r1	1.19294202287079e-20	-3.21394859841325	0.014	1	4.01973744026542e-16	Stroma	Cluster_14
Cxcr6	3.61743944107657e-20	-3.33146408235588	0	0.95	1.21893239406516e-15	Stroma	Cluster_14
Cdh10	5.48346596407612e-19	-2.75135798913241	0	0.9	1.84770869125509e-14	Stroma	Cluster_14
Zbtb16	7.86238532900975e-18	-2.43493122991951	0	0.85	2.64930936046313e-13	Stroma	Cluster_14
Fstl4	7.86238532900975e-18	-2.22736823833208	0	0.85	2.64930936046313e-13	Stroma	Cluster_14
Podnl1	7.86238532900975e-18	-1.42208369941793	0	0.85	2.64930936046313e-13	Stroma	Cluster_14
Il7r	1.93312234564585e-17	-4.2978835266425	0.096	1	6.51384905588825e-13	Stroma	Cluster_14
Clnk	1.99039034243596e-17	-3.61313066003717	0.055	0.95	6.7068192978722e-13	Stroma	Cluster_14
F2r	4.997409439942e-17	-2.1662486727997	0.014	0.85	1.68392708488286e-12	Stroma	Cluster_14
Apol7e	5.60761640573936e-17	-1.73346121037393	0.014	0.85	1.88954242407793e-12	Stroma	Cluster_14
Trgc1	6.29119085878698e-17	-2.90471986052571	0.014	0.85	2.11987967177686e-12	Stroma	Cluster_14
Pde5a	8.71465244117987e-17	-2.27213139092708	0.041	0.9	2.93648928657997e-12	Stroma	Cluster_14
Scart1	1.06780762311924e-16	-4.33474484348055	0	0.8	3.59808456686261e-12	Stroma	Cluster_14
Abi3bp	1.06780762311924e-16	-2.6194046241356	0	0.8	3.59808456686261e-12	Stroma	Cluster_14
Icos	4.5227697941546e-16	-2.28660662053446	0.027	0.85	1.52399250983834e-11	Stroma	Cluster_14
Trdc	1.28386957599478e-15	-4.1109595413656	0.041	0.85	4.32612692327201e-11	Stroma	Cluster_14
Actn2	1.37552878521208e-15	-1.70638552029009	0	0.75	4.63498179465061e-11	Stroma	Cluster_14
Kcnk1	1.37552878521208e-15	-1.59314617321501	0	0.75	4.63498179465061e-11	Stroma	Cluster_14
Il2ra	1.37552878521208e-15	-1.45386602785985	0	0.75	4.63498179465061e-11	Stroma	Cluster_14
Trgc4	2.21420690444614e-15	-1.97587235354086	0.014	0.8	7.46099158522172e-11	Stroma	Cluster_14
