	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Dut	4.63347141422795e-89	3.2019685554402	1	0.07	1.56129452773825e-84	preDP_ISP	CD8_exhausted_naive
Hmgn2	9.7905929674618e-88	3.28644698311236	0.996	0.101	3.29903820631593e-83	preDP_ISP	CD8_exhausted_naive
Cox8a	3.26488497810225e-87	2.94688263758384	0.982	0.054	1.10013564222133e-82	preDP_ISP	CD8_exhausted_naive
Stmn1	5.71727627492966e-87	3.6072792571738	1	0.152	1.9264934136003e-82	preDP_ISP	CD8_exhausted_naive
Rpl29	1.48339168569313e-86	3.24297559926999	1	0.136	4.99843662411159e-82	preDP_ISP	CD8_exhausted_naive
Hmgb2	1.84564976267917e-86	4.43706125618119	1	0.187	6.21910144032374e-82	preDP_ISP	CD8_exhausted_naive
Uhrf1	2.14681706994844e-86	2.11424469080407	0.965	0.008	7.23391479889827e-82	preDP_ISP	CD8_exhausted_naive
H2az1	2.86683475704804e-86	3.97795401148341	1	0.156	9.66008639734908e-82	preDP_ISP	CD8_exhausted_naive
Rps5	3.07629988246803e-86	3.64972865992082	1	0.163	1.03659000839643e-81	preDP_ISP	CD8_exhausted_naive
Rpl35	3.18094946207884e-86	3.27741890989493	1	0.121	1.07185273074208e-81	preDP_ISP	CD8_exhausted_naive
Pclaf	8.62924248895663e-86	2.91625309463396	0.96	0.019	2.90770954907883e-81	preDP_ISP	CD8_exhausted_naive
Rpl7	1.31089123263594e-85	3.39680495946796	1	0.214	4.41717909749005e-81	preDP_ISP	CD8_exhausted_naive
Rps4x	1.36622842046006e-85	3.7993771409863	1	0.195	4.60364328558223e-81	preDP_ISP	CD8_exhausted_naive
Rpl34	2.63759456213426e-85	3.45217113157402	1	0.222	8.8876386365676e-81	preDP_ISP	CD8_exhausted_naive
Rps28	3.52858193668838e-85	3.24943281856678	1	0.195	1.18899096938652e-80	preDP_ISP	CD8_exhausted_naive
Rps17	4.78382643392251e-85	3.19386252423853	1	0.233	1.61195815517453e-80	preDP_ISP	CD8_exhausted_naive
Rpl15	9.42205504984382e-85	3.58281924812751	1	0.245	3.17485566959538e-80	preDP_ISP	CD8_exhausted_naive
Rpl14	1.44038078498549e-84	3.29582321856232	1	0.175	4.85350709308712e-80	preDP_ISP	CD8_exhausted_naive
Hells	1.64091363549776e-84	2.25088302672424	0.982	0.027	5.52922258617325e-80	preDP_ISP	CD8_exhausted_naive
Rplp0	1.76280498015613e-84	3.87013124315683	1	0.261	5.93994766113408e-80	preDP_ISP	CD8_exhausted_naive
Ppia	1.78231204205446e-84	4.19025381729346	1	0.3	6.0056786569067e-80	preDP_ISP	CD8_exhausted_naive
Rps18	1.83714106961679e-84	3.56059484653036	1	0.257	6.19043054818072e-80	preDP_ISP	CD8_exhausted_naive
Rpl10	1.94059451392137e-84	3.29875651510878	0.996	0.171	6.53902727410945e-80	preDP_ISP	CD8_exhausted_naive
Rps10	2.07793053646402e-84	3.63138140929044	1	0.288	7.00179473566916e-80	preDP_ISP	CD8_exhausted_naive
Rps25	2.55164380340263e-84	3.16471912478185	1	0.198	8.5980189599455e-80	preDP_ISP	CD8_exhausted_naive
Rpl18a	2.67920659604073e-84	3.4315289681688	1	0.28	9.02785454601885e-80	preDP_ISP	CD8_exhausted_naive
Rps2	3.57075900984619e-84	3.64679202456474	1	0.245	1.20320295595777e-79	preDP_ISP	CD8_exhausted_naive
Anxa2	3.60072184629847e-84	2.46688504196185	0.987	0.047	1.21329923332873e-79	preDP_ISP	CD8_exhausted_naive
Rpl22	4.80394242918394e-84	3.14437270695942	1	0.222	1.61873644093782e-79	preDP_ISP	CD8_exhausted_naive
Rps26	5.22549207464576e-84	3.58751521892389	1	0.265	1.76078180947264e-79	preDP_ISP	CD8_exhausted_naive
Rpl24	5.44436161898373e-84	3.16697148070828	0.996	0.237	1.83453209113276e-79	preDP_ISP	CD8_exhausted_naive
Cox7a2	5.66601943288266e-84	2.46519019342517	0.996	0.078	1.90922190810414e-79	preDP_ISP	CD8_exhausted_naive
Rpl28	6.65992248118516e-84	3.567370523046	1	0.311	2.24412747926015e-79	preDP_ISP	CD8_exhausted_naive
Rps9	7.22954815201998e-84	3.28184326664841	1	0.304	2.43606854530465e-79	preDP_ISP	CD8_exhausted_naive
Crip1	8.61488938153252e-84	2.74359299344887	0.991	0.062	2.9028731260012e-79	preDP_ISP	CD8_exhausted_naive
Rpl23	9.37584563289636e-84	3.68118550778703	1	0.3	3.15928494446076e-79	preDP_ISP	CD8_exhausted_naive
Rps16	1.11172375636586e-83	3.825413156311	1	0.304	3.74606436945041e-79	preDP_ISP	CD8_exhausted_naive
Atp5h	1.11523291583218e-83	2.7424470692522	1	0.14	3.7578888331881e-79	preDP_ISP	CD8_exhausted_naive
Hint1	1.1401206135743e-83	2.44726271232206	0.987	0.039	3.84175041949997e-79	preDP_ISP	CD8_exhausted_naive
Rps3	1.27244244173658e-83	3.3751004248448	1	0.276	4.28762205167558e-79	preDP_ISP	CD8_exhausted_naive
Rps29	1.28665037687029e-83	3.21593424641735	1	0.327	4.33549710990213e-79	preDP_ISP	CD8_exhausted_naive
Rps24	1.32831960316791e-83	3.61145647236568	1	0.311	4.47590573483459e-79	preDP_ISP	CD8_exhausted_naive
Rpl36a	1.37030564620291e-83	3.13800726023629	0.996	0.156	4.61738190544534e-79	preDP_ISP	CD8_exhausted_naive
Rps15a	1.38733583576815e-83	3.46505558505101	1	0.304	4.67476683220437e-79	preDP_ISP	CD8_exhausted_naive
Rpl3	1.42443826303317e-83	3.42999476897964	0.996	0.191	4.79978717111656e-79	preDP_ISP	CD8_exhausted_naive
Rpl32	1.65291906148674e-83	3.85346478539629	0.996	0.304	5.56967606958573e-79	preDP_ISP	CD8_exhausted_naive
Rpl39	1.66739042401118e-83	3.43477898228905	0.996	0.253	5.61843877274808e-79	preDP_ISP	CD8_exhausted_naive
Rpl13	1.80348419430736e-83	3.82993717020827	1	0.327	6.07702034113806e-79	preDP_ISP	CD8_exhausted_naive
Rpl19	1.86549384568367e-83	3.46446377810337	1	0.339	6.28596806241568e-79	preDP_ISP	CD8_exhausted_naive
Rpl21	2.32360030458654e-83	3.17839908692338	1	0.311	7.82960358633481e-79	preDP_ISP	CD8_exhausted_naive
Btf3	2.44451106939939e-83	2.70402597478555	1	0.152	8.23702449944817e-79	preDP_ISP	CD8_exhausted_naive
Rpl8	3.22321413085105e-83	3.36336524565367	1	0.265	1.08609423353157e-78	preDP_ISP	CD8_exhausted_naive
Rpl26	3.70328274560116e-83	3.15046426753598	1	0.292	1.24785815395777e-78	preDP_ISP	CD8_exhausted_naive
Rps12	4.0086869468821e-83	3.45793710696364	1	0.319	1.35076715362139e-78	preDP_ISP	CD8_exhausted_naive
Rps8	5.01458651305495e-83	3.75545401198749	1	0.354	1.689715071439e-78	preDP_ISP	CD8_exhausted_naive
Rpl35a	5.54147726068344e-83	3.31172918904606	1	0.292	1.86725617775989e-78	preDP_ISP	CD8_exhausted_naive
Rps6	5.57842735201703e-83	3.10788812956568	0.996	0.249	1.87970688053566e-78	preDP_ISP	CD8_exhausted_naive
Txn1	6.5641906460858e-83	2.83405644853282	0.991	0.128	2.21186968010507e-78	preDP_ISP	CD8_exhausted_naive
Rps14	6.82224679531723e-83	3.47456203972844	1	0.311	2.29882428015009e-78	preDP_ISP	CD8_exhausted_naive
Rpsa	7.27464059852106e-83	3.54025179929656	1	0.319	2.45126289607766e-78	preDP_ISP	CD8_exhausted_naive
Rpl10a	8.83476948731452e-83	3.25894671842468	0.996	0.21	2.9769639264455e-78	preDP_ISP	CD8_exhausted_naive
Rpl9	9.97005821195878e-83	3.40845054326649	1	0.272	3.35951081510163e-78	preDP_ISP	CD8_exhausted_naive
Rps11	1.18571082467446e-82	3.14543547234224	1	0.339	3.99537119482306e-78	preDP_ISP	CD8_exhausted_naive
Rps15	1.19267331924819e-82	2.83959209325382	1	0.268	4.01883201653871e-78	preDP_ISP	CD8_exhausted_naive
Rps20	1.22873679988025e-82	3.42863765868976	1	0.366	4.1403515208765e-78	preDP_ISP	CD8_exhausted_naive
Rpl11	1.23249873047072e-82	3.30793137870981	1	0.339	4.15302772219414e-78	preDP_ISP	CD8_exhausted_naive
Rpl23a	1.24456968648543e-82	3.04626624911732	0.996	0.218	4.19370201558131e-78	preDP_ISP	CD8_exhausted_naive
Rpl5	1.29729366671054e-82	3.0227050616538	1	0.237	4.37136073934784e-78	preDP_ISP	CD8_exhausted_naive
Rpl4	1.30810458670287e-82	2.73009414142105	1	0.171	4.40778921535398e-78	preDP_ISP	CD8_exhausted_naive
Rps13	1.51014190656882e-82	3.32508517725931	1	0.28	5.0885741683743e-78	preDP_ISP	CD8_exhausted_naive
Rpl27a	1.59906921794677e-82	3.25095751484478	1	0.358	5.38822363679344e-78	preDP_ISP	CD8_exhausted_naive
Ran	1.71945503183866e-82	2.87215966939633	0.996	0.086	5.79387567528354e-78	preDP_ISP	CD8_exhausted_naive
Tomm7	2.5087897950102e-82	2.30107251320701	0.996	0.082	8.45361809326638e-78	preDP_ISP	CD8_exhausted_naive
Rpl12	3.12202887506797e-82	3.09991575798525	1	0.3	1.0519988497429e-77	preDP_ISP	CD8_exhausted_naive
Mcm3	3.62493829856142e-82	2.01418029182364	0.96	0.019	1.22145920908326e-77	preDP_ISP	CD8_exhausted_naive
Snrpg	3.96808158155005e-82	2.69244873615548	0.996	0.152	1.33708476971911e-77	preDP_ISP	CD8_exhausted_naive
Rps7	4.06820213812517e-82	3.46899256596487	0.996	0.272	1.37082139246266e-77	preDP_ISP	CD8_exhausted_naive
Fau	5.48962884128608e-82	3.17483032397804	1	0.307	1.84978533435976e-77	preDP_ISP	CD8_exhausted_naive
Rps27a	6.88919457251712e-82	3.47217245397605	1	0.311	2.32138300315537e-77	preDP_ISP	CD8_exhausted_naive
Rpl13a	9.56133653794016e-82	2.95915695782909	1	0.315	3.22178795982432e-77	preDP_ISP	CD8_exhausted_naive
Ppp1r14b	9.74418298423718e-82	2.59454929414595	1	0.109	3.28339989836856e-77	preDP_ISP	CD8_exhausted_naive
Fth1	1.01309873384991e-81	2.69096608444004	1	0.163	3.41373749358065e-77	preDP_ISP	CD8_exhausted_naive
Uba52	1.07968026618469e-81	2.42080482515258	0.982	0.07	3.63809062493594e-77	preDP_ISP	CD8_exhausted_naive
Rplp2	1.32369601585431e-81	3.24258942343108	1	0.3	4.46032609502268e-77	preDP_ISP	CD8_exhausted_naive
Rps19	1.50481460766175e-81	3.2273454687679	0.996	0.28	5.07062330197702e-77	preDP_ISP	CD8_exhausted_naive
Rpl37	1.61633214244907e-81	3.05406846109373	1	0.272	5.44639278719639e-77	preDP_ISP	CD8_exhausted_naive
Rps23	1.90872937903072e-81	3.20634472487076	1	0.288	6.43165451558192e-77	preDP_ISP	CD8_exhausted_naive
Rpl18	2.20034491368634e-81	3.0498601001151	1	0.245	7.41428222115748e-77	preDP_ISP	CD8_exhausted_naive
Hmgb1	2.32400387170263e-81	3.24992857213216	1	0.506	7.83096344608917e-77	preDP_ISP	CD8_exhausted_naive
Anp32b	2.42758849967014e-81	2.69828438668305	1	0.198	8.18000220848851e-77	preDP_ISP	CD8_exhausted_naive
Rpl31	2.60559693085334e-81	2.6493064622951	0.996	0.167	8.77981941820342e-77	preDP_ISP	CD8_exhausted_naive
Eef1b2	2.80290211693474e-81	2.91387949104475	0.996	0.163	9.44465897322328e-77	preDP_ISP	CD8_exhausted_naive
Lsm5	3.44120999989479e-81	1.87566413121466	0.973	0.031	1.15955012156455e-76	preDP_ISP	CD8_exhausted_naive
Rpl17	4.15122836289309e-81	3.03024928421108	1	0.323	1.39879790916045e-76	preDP_ISP	CD8_exhausted_naive
Rrm2	4.47642944567769e-81	2.07830575207872	0.929	0.012	1.50837766601556e-76	preDP_ISP	CD8_exhausted_naive
Naca	6.81395854949702e-81	2.7873787209397	1	0.237	2.29603147283852e-76	preDP_ISP	CD8_exhausted_naive
Rps3a1	7.35618715549035e-81	3.17763674661417	1	0.428	2.47874082391403e-76	preDP_ISP	CD8_exhausted_naive
Ptma	9.37045607989266e-81	3.46666913890206	1	0.65	3.15746888068063e-76	preDP_ISP	CD8_exhausted_naive
Alyref	1.07145822011209e-80	1.91657817102297	0.965	0.027	3.61038561848969e-76	preDP_ISP	CD8_exhausted_naive
Gmnn	1.25382573338414e-80	1.84748849652055	0.929	0.012	4.22489119121121e-76	preDP_ISP	CD8_exhausted_naive
Lig1	1.34605383827726e-80	1.82669701536343	0.956	0.023	4.53566301345906e-76	preDP_ISP	CD8_exhausted_naive
Rplp1	1.516836273485e-80	3.22357064834494	0.996	0.401	5.11113150713506e-76	preDP_ISP	CD8_exhausted_naive
Gapdh	2.37259620453754e-80	2.767458188475	1	0.198	7.99470017080971e-76	preDP_ISP	CD8_exhausted_naive
Banf1	2.79126976486808e-80	2.06116698241085	0.991	0.066	9.40546259969948e-76	preDP_ISP	CD8_exhausted_naive
Tpt1	2.83249458761794e-80	3.10478537022877	1	0.533	9.54437376243742e-76	preDP_ISP	CD8_exhausted_naive
Rack1	2.95444822870653e-80	2.8233050600846	1	0.272	9.95530875144952e-76	preDP_ISP	CD8_exhausted_naive
Siva1	3.28739975738635e-80	1.8550920800793	0.956	0.031	1.1077222222489e-75	preDP_ISP	CD8_exhausted_naive
Rpl6	3.97182323892013e-80	2.89132525099417	1	0.323	1.33834555858653e-75	preDP_ISP	CD8_exhausted_naive
Rps27	5.34818997212088e-80	2.79568261661363	0.996	0.268	1.80212609300585e-75	preDP_ISP	CD8_exhausted_naive
Rpl37a	5.77639227479307e-80	2.882164138489	1	0.311	1.94641314091427e-75	preDP_ISP	CD8_exhausted_naive
Mki67	1.00898035208511e-79	2.19209052326428	0.925	0.016	3.39986019438598e-75	preDP_ISP	CD8_exhausted_naive
Rpl41	1.21261034980699e-79	3.23859703309926	0.996	0.3	4.08601183470962e-75	preDP_ISP	CD8_exhausted_naive
Eef1a1	1.46611067356594e-79	2.95808154995432	1	0.537	4.94020652564781e-75	preDP_ISP	CD8_exhausted_naive
Tipin	1.60114927735424e-79	1.75460979282603	0.96	0.031	5.39523260497284e-75	preDP_ISP	CD8_exhausted_naive
Rpl30	2.09428698459277e-79	2.97581850429539	0.996	0.323	7.05690942328379e-75	preDP_ISP	CD8_exhausted_naive
Snrpd1	2.33987221564581e-79	2.33306134740851	1	0.105	7.88443341784013e-75	preDP_ISP	CD8_exhausted_naive
Snrpf	3.30886963299114e-79	2.47077177634436	1	0.148	1.11495671153269e-74	preDP_ISP	CD8_exhausted_naive
Chchd2	3.79490365890828e-79	2.53378446717778	0.996	0.148	1.27873073690573e-74	preDP_ISP	CD8_exhausted_naive
Snrpe	4.4440183974768e-79	2.39907527534788	0.996	0.117	1.49745643921378e-74	preDP_ISP	CD8_exhausted_naive
Rpl38	4.57393214765868e-79	2.60059276166896	1	0.276	1.54123217647507e-74	preDP_ISP	CD8_exhausted_naive
Ndufa4	4.58963151194043e-79	2.43266010127662	0.987	0.089	1.54652223426345e-74	preDP_ISP	CD8_exhausted_naive
Atp5mpl	4.9848422744293e-79	2.12675007496083	0.965	0.058	1.6796924527917e-74	preDP_ISP	CD8_exhausted_naive
Cox6c	5.43694738943182e-79	2.52607661806948	0.987	0.128	1.83203379234294e-74	preDP_ISP	CD8_exhausted_naive
Rps21	1.13488999127801e-78	2.76102050620196	1	0.327	3.82412531461037e-74	preDP_ISP	CD8_exhausted_naive
Rpl22l1	1.20192116432402e-78	2.37781615634019	0.982	0.082	4.04999355530622e-74	preDP_ISP	CD8_exhausted_naive
Uqcrb	1.509854158314e-78	1.82127638098858	0.978	0.054	5.08760457185484e-74	preDP_ISP	CD8_exhausted_naive
Rpl27	1.94513611992786e-78	2.70389518999163	1	0.319	6.55433066970892e-74	preDP_ISP	CD8_exhausted_naive
Malat1	2.28964894131219e-78	-3.00820582701079	0.996	1	7.71520107264555e-74	preDP_ISP	CD8_exhausted_naive
Ndufb10	2.42719655140861e-78	1.72180548389412	0.947	0.031	8.17868149962646e-74	preDP_ISP	CD8_exhausted_naive
Rpl7a	2.51507258566814e-78	2.64246633528913	1	0.265	8.47478858466738e-74	preDP_ISP	CD8_exhausted_naive
Atpif1	2.64490844349287e-78	2.11222450370941	0.987	0.07	8.91228349119359e-74	preDP_ISP	CD8_exhausted_naive
Ly6d	3.88630547316842e-78	3.32731698402623	0.956	0.078	1.30952949223883e-73	preDP_ISP	CD8_exhausted_naive
Prdx1	4.27022152222583e-78	2.14368826777163	0.978	0.074	1.43889384412922e-73	preDP_ISP	CD8_exhausted_naive
Nme2	5.43683238300033e-78	2.45022714603712	0.965	0.07	1.83199503977579e-73	preDP_ISP	CD8_exhausted_naive
Rpl36	9.24396506358793e-78	2.71716583337585	1	0.265	3.11484646782659e-73	preDP_ISP	CD8_exhausted_naive
Atp5j	9.55655066837566e-78	2.19307915073985	1	0.117	3.22017531321586e-73	preDP_ISP	CD8_exhausted_naive
Cox5b	1.01277887896975e-77	2.00920327287844	0.996	0.074	3.41265971057647e-73	preDP_ISP	CD8_exhausted_naive
Uqcr10	1.03358887020337e-77	1.92986350616538	0.965	0.047	3.48278105703729e-73	preDP_ISP	CD8_exhausted_naive
Snrpd2	1.08161176863322e-77	2.07199851689155	0.973	0.082	3.6445990155865e-73	preDP_ISP	CD8_exhausted_naive
Atp5l	1.27102417264507e-77	2.27967921777381	0.991	0.093	4.28284305214483e-73	preDP_ISP	CD8_exhausted_naive
Gm10076	1.51534874171557e-77	2.28526758767935	0.969	0.066	5.10611912008477e-73	preDP_ISP	CD8_exhausted_naive
Ndufb8	1.99163413837064e-77	1.72006877306262	0.96	0.039	6.71101039265371e-73	preDP_ISP	CD8_exhausted_naive
Atp5g2	2.00270303392331e-77	2.16347351236722	0.987	0.089	6.74830814310799e-73	preDP_ISP	CD8_exhausted_naive
Ranbp1	2.06486384550215e-77	2.34584452594994	0.978	0.078	6.95776521380403e-73	preDP_ISP	CD8_exhausted_naive
Rps27l	2.06917461571539e-77	2.21421190050178	0.973	0.086	6.97229078511459e-73	preDP_ISP	CD8_exhausted_naive
Rpl36al	3.64098324332761e-77	2.31686672773872	1	0.152	1.22686571367167e-72	preDP_ISP	CD8_exhausted_naive
Cdca7	4.03340337561926e-77	1.86397622915961	0.982	0.062	1.35909560144867e-72	preDP_ISP	CD8_exhausted_naive
Ly6e	4.09565677827558e-77	2.51738596002675	1	0.202	1.38007250800774e-72	preDP_ISP	CD8_exhausted_naive
Lgals1	8.06031868473788e-77	2.35638856449998	0.982	0.086	2.71600498400928e-72	preDP_ISP	CD8_exhausted_naive
Lsm2	1.78807634472338e-76	1.45266418086228	0.947	0.035	6.02510205117989e-72	preDP_ISP	CD8_exhausted_naive
Lockd	2.24501737448699e-76	1.78347692623384	0.965	0.047	7.56481054507138e-72	preDP_ISP	CD8_exhausted_naive
Ndufb1	2.68377443484547e-76	1.97108195304199	1	0.093	9.04324633565528e-72	preDP_ISP	CD8_exhausted_naive
Atp5e	4.7185881994764e-76	2.32706968898655	0.996	0.105	1.58997547969557e-71	preDP_ISP	CD8_exhausted_naive
Eif5a	7.13435841045717e-76	2.56279646571381	0.969	0.109	2.40399340998765e-71	preDP_ISP	CD8_exhausted_naive
Cox5a	8.04327471239838e-76	2.15338717036825	0.978	0.086	2.71026184708976e-71	preDP_ISP	CD8_exhausted_naive
Mcm6	8.91027420826984e-76	1.94560494336262	0.965	0.054	3.0024059972186e-71	preDP_ISP	CD8_exhausted_naive
Cks1b	1.06398309873969e-75	1.69288915689984	0.894	0.016	3.58519744951328e-71	preDP_ISP	CD8_exhausted_naive
Nap1l1	1.09880500557882e-75	2.12676506623818	0.987	0.086	3.70253334679838e-71	preDP_ISP	CD8_exhausted_naive
Tox	1.25038875431365e-75	-4.91098798942361	0.571	0.984	4.21330994653526e-71	preDP_ISP	CD8_exhausted_naive
Sec61g	1.33728049832122e-75	2.00624737505723	0.982	0.074	4.50610036714319e-71	preDP_ISP	CD8_exhausted_naive
Erh	2.24983816284696e-75	2.05707621702154	0.978	0.089	7.5810546735291e-71	preDP_ISP	CD8_exhausted_naive
Mcm5	2.55503036176491e-75	1.57549030160745	0.889	0.016	8.60943030700303e-71	preDP_ISP	CD8_exhausted_naive
Oaz1	2.67964615811742e-75	2.46578782583582	0.991	0.265	9.02933569439247e-71	preDP_ISP	CD8_exhausted_naive
Dtl	2.88040716766037e-75	1.77584670901829	0.907	0.023	9.70581999214838e-71	preDP_ISP	CD8_exhausted_naive
Dnajc9	4.54969583270857e-75	1.50411678155919	0.916	0.023	1.53306550778948e-70	preDP_ISP	CD8_exhausted_naive
Npm1	4.57493908593823e-75	2.88964837538346	1	0.245	1.54157147439775e-70	preDP_ISP	CD8_exhausted_naive
Tomm6	5.57869192095216e-75	1.64557023776215	0.969	0.058	1.87979602968404e-70	preDP_ISP	CD8_exhausted_naive
Clspn	6.87615230456439e-75	1.7478573961	0.858	0.004	2.31698828054602e-70	preDP_ISP	CD8_exhausted_naive
Tyms	1.22322624597813e-74	1.57586577085982	0.863	0.004	4.1217831584479e-70	preDP_ISP	CD8_exhausted_naive
Pgls	1.30973528522908e-74	1.65399889624071	0.881	0.016	4.41328401710792e-70	preDP_ISP	CD8_exhausted_naive
Cdk2ap1	1.83117645524804e-74	1.42055317274562	0.912	0.023	6.1703321836038e-70	preDP_ISP	CD8_exhausted_naive
Sem1	3.46639011814132e-74	2.19178857592022	0.982	0.191	1.1680348142089e-69	preDP_ISP	CD8_exhausted_naive
Rfc4	8.58213820948479e-74	1.4261093018583	0.876	0.012	2.891837291068e-69	preDP_ISP	CD8_exhausted_naive
Rbm3	8.77281961639847e-74	2.29023567732981	0.996	0.206	2.95608929794163e-69	preDP_ISP	CD8_exhausted_naive
Nop10	1.07061194505456e-73	1.77784656522466	0.947	0.051	3.60753401005586e-69	preDP_ISP	CD8_exhausted_naive
Cox7c	1.62929118732781e-73	2.22288538923125	0.996	0.191	5.49005958481979e-69	preDP_ISP	CD8_exhausted_naive
Orc6	1.79811064224668e-73	1.61519889911652	0.929	0.031	6.05891362011443e-69	preDP_ISP	CD8_exhausted_naive
Ndufc1	2.20111964176104e-73	1.68198128739074	0.934	0.043	7.41689274487799e-69	preDP_ISP	CD8_exhausted_naive
Elob	3.69491641245664e-73	2.05173143249593	0.996	0.148	1.24503903434139e-68	preDP_ISP	CD8_exhausted_naive
Atp5g3	4.16017006127091e-73	1.96626204016012	0.987	0.097	1.40181090384585e-68	preDP_ISP	CD8_exhausted_naive
Anp32e	7.02538946761047e-73	2.36012975390352	0.996	0.183	2.36727523500602e-68	preDP_ISP	CD8_exhausted_naive
Cox7b	7.66050881037199e-73	1.97324041068524	0.987	0.097	2.58128504874295e-68	preDP_ISP	CD8_exhausted_naive
Mrpl18	9.44259431769573e-73	1.69119658275594	0.969	0.07	3.18177658129075e-68	preDP_ISP	CD8_exhausted_naive
Rpa3	1.89963686127948e-72	1.47244805036223	0.942	0.047	6.40101636776734e-68	preDP_ISP	CD8_exhausted_naive
Dek	2.07237984742221e-72	2.17943343265085	1	0.14	6.98309113387387e-68	preDP_ISP	CD8_exhausted_naive
Swi5	2.32108330732053e-72	1.67386171923082	0.978	0.074	7.82112231234726e-68	preDP_ISP	CD8_exhausted_naive
H2az2	2.50597977985699e-72	2.35070697028058	0.991	0.175	8.44414946620613e-68	preDP_ISP	CD8_exhausted_naive
Prim1	2.80407695274975e-72	1.35284191025269	0.876	0.016	9.44861769998554e-68	preDP_ISP	CD8_exhausted_naive
Atp5d	4.00859752323084e-72	1.70897664087008	0.96	0.062	1.35073702142786e-67	preDP_ISP	CD8_exhausted_naive
E2f2	5.98838878537355e-72	1.62989116817015	0.903	0.031	2.01784748511947e-67	preDP_ISP	CD8_exhausted_naive
Ndufb9	7.8206364762633e-72	1.58923696298318	0.947	0.054	2.63524166704168e-67	preDP_ISP	CD8_exhausted_naive
Ndufb11	8.71057414649204e-72	1.69920198308213	0.969	0.066	2.93511506440196e-67	preDP_ISP	CD8_exhausted_naive
Rfc3	9.02114029259031e-72	1.34261008838899	0.876	0.019	3.03976343299123e-67	preDP_ISP	CD8_exhausted_naive
Dbi	9.84742101905905e-72	1.92151633455945	0.951	0.074	3.31818698658214e-67	preDP_ISP	CD8_exhausted_naive
H3f3a	1.12215855543302e-71	2.09388638323492	1	0.533	3.78122546838712e-67	preDP_ISP	CD8_exhausted_naive
Atp5j2	1.51423745201347e-71	2.0295879612059	0.996	0.156	5.10237451830459e-67	preDP_ISP	CD8_exhausted_naive
Tuba1b	1.591632506297e-71	2.29383296424335	0.96	0.089	5.36316489321838e-67	preDP_ISP	CD8_exhausted_naive
Cox4i1	2.42170203329338e-71	2.14676497672459	0.987	0.222	8.16016717138536e-67	preDP_ISP	CD8_exhausted_naive
Cox6b1	3.03527690169231e-71	1.91535915479446	0.991	0.128	1.02276690479424e-66	preDP_ISP	CD8_exhausted_naive
