	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Il23r	4.52466685802128e-55	-4.0332739933196	0	1	1.52463174447885e-50	preDP_ISP	Cluster_14
Il1r1	4.52466685802128e-55	-3.54068058472959	0	1	1.52463174447885e-50	preDP_ISP	Cluster_14
Il18r1	4.52466685802128e-55	-3.2503900504212	0	1	1.52463174447885e-50	preDP_ISP	Cluster_14
Clnk	3.39681020825863e-52	-3.78861859459644	0	0.95	1.14458916777483e-47	preDP_ISP	Cluster_14
Niban1	7.47538584538204e-50	-2.19584770043829	0.004	0.95	2.51890601445993e-45	preDP_ISP	Cluster_14
S100a4	2.42081950435608e-49	-4.57914670291835	0	0.9	8.15719340187825e-45	preDP_ISP	Cluster_14
Cdh10	2.42081950435608e-49	-2.75135798913241	0	0.9	8.15719340187825e-45	preDP_ISP	Cluster_14
Ccr6	2.42081950435608e-49	-1.70384462194795	0	0.9	8.15719340187825e-45	preDP_ISP	Cluster_14
Serpinb1a	5.54426445169949e-47	-2.83514119073301	0.004	0.9	1.86819534964466e-42	preDP_ISP	Cluster_14
Zbtb16	1.63875644318088e-46	-2.43493122991951	0	0.85	5.52195371094231e-42	preDP_ISP	Cluster_14
Cxcr6	8.2906910796636e-46	-3.31732477643413	0.013	0.95	2.79363126620345e-41	preDP_ISP	Cluster_14
Maf	8.2906910796636e-46	-3.20933155482386	0.013	0.95	2.79363126620345e-41	preDP_ISP	Cluster_14
Itgb7	8.2906910796636e-46	-2.5420684065132	0.013	0.95	2.79363126620345e-41	preDP_ISP	Cluster_14
Cd226	3.89649463991845e-44	-2.85281045850273	0.004	0.85	1.31296283386692e-39	preDP_ISP	Cluster_14
Sntb1	3.89649463991845e-44	-2.28957157724617	0.004	0.85	1.31296283386692e-39	preDP_ISP	Cluster_14
Blk	8.12504192707216e-44	-3.39290060277529	0.027	1	2.73781412774624e-39	preDP_ISP	Cluster_14
Ccr2	1.05436828056492e-43	-2.0801476709334	0	0.8	3.55279935819155e-39	preDP_ISP	Cluster_14
Myo1e	1.05436828056492e-43	-1.78512498056248	0	0.8	3.55279935819155e-39	preDP_ISP	Cluster_14
Pxdc1	1.05436828056492e-43	-1.70936244206069	0	0.8	3.55279935819155e-39	preDP_ISP	Cluster_14
Bcl2a1d	1.05436828056492e-43	-1.70779382698644	0	0.8	3.55279935819155e-39	preDP_ISP	Cluster_14
Mmp25	1.05436828056492e-43	-1.41968608396306	0	0.8	3.55279935819155e-39	preDP_ISP	Cluster_14
Jaml	6.15010182459295e-43	-2.50315665994809	0.013	0.9	2.07233831081484e-38	preDP_ISP	Cluster_14
Cd53	6.15010182459295e-43	-2.10368112769249	0.013	0.9	2.07233831081484e-38	preDP_ISP	Cluster_14
S100a6	5.20996850366658e-42	-4.70207918146998	0.009	0.85	1.75555098699549e-37	preDP_ISP	Cluster_14
Scart1	2.59569720915799e-41	-4.33287698763851	0.004	0.8	8.74646131597877e-37	preDP_ISP	Cluster_14
Bcl2a1b	2.59569720915799e-41	-1.85319038151013	0.004	0.8	8.74646131597877e-37	preDP_ISP	Cluster_14
Cst7	2.59569720915799e-41	-1.59594803898029	0.004	0.8	8.74646131597877e-37	preDP_ISP	Cluster_14
Rarg	6.45171148339276e-41	-1.82185056765032	0	0.75	2.17396870144402e-36	preDP_ISP	Cluster_14
Kcnk1	6.45171148339276e-41	-1.59314617321501	0	0.75	2.17396870144402e-36	preDP_ISP	Cluster_14
Ahnak	3.46909090704674e-39	-2.35909052872994	0.009	0.8	1.16894487203847e-34	preDP_ISP	Cluster_14
Ckb	3.46909090704674e-39	-2.20065766068931	0.009	0.8	1.16894487203847e-34	preDP_ISP	Cluster_14
Farp1	4.19996700603989e-39	-1.71589024413375	0.009	0.8	1.4152208823552e-34	preDP_ISP	Cluster_14
Cd7	1.63943123465826e-38	-1.85637986837545	0.004	0.75	5.52422748830446e-34	preDP_ISP	Cluster_14
Samhd1	2.30087402259937e-38	-1.78545820313889	0.018	0.85	7.75302510655084e-34	preDP_ISP	Cluster_14
Podnl1	2.30087402259937e-38	-1.41269761993712	0.018	0.85	7.75302510655084e-34	preDP_ISP	Cluster_14
Or13a27	3.7571530192322e-38	-1.88142993000446	0	0.7	1.26601028136048e-33	preDP_ISP	Cluster_14
Pik3ap1	3.7571530192322e-38	-1.463742319983	0	0.7	1.26601028136048e-33	preDP_ISP	Cluster_14
Zfp462	3.7571530192322e-38	-1.38060798036384	0	0.7	1.26601028136048e-33	preDP_ISP	Cluster_14
Trpm6	3.7571530192322e-38	-1.2716440771487	0	0.7	1.26601028136048e-33	preDP_ISP	Cluster_14
Tnfrsf25	3.7571530192322e-38	-1.11875057161956	0	0.7	1.26601028136048e-33	preDP_ISP	Cluster_14
Abi3bp	2.77158884992731e-37	-2.60814601443212	0.013	0.8	9.33914578871507e-33	preDP_ISP	Cluster_14
Gpr183	1.38837723324831e-36	-1.84484771307722	0.031	0.9	4.67827592515351e-32	preDP_ISP	Cluster_14
Il7r	6.93942765836599e-36	-4.60648402171129	0.058	1	2.338309543763e-31	preDP_ISP	Cluster_14
