	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Gm4632	8.38803024675792e-63	-3.19288912551648	0.022	0.937	2.82643067194755e-58	preDP_ISP	DN_Precursors
Il2ra	2.33375679830964e-59	-3.20630239372887	0.058	0.937	7.86382690758418e-55	preDP_ISP	DN_Precursors
Atp8b4	3.17706989713268e-58	-2.87897113002773	0.058	0.919	1.07054547253783e-53	preDP_ISP	DN_Precursors
Gria3	5.77554500359659e-52	-2.21904865221017	0.071	0.865	1.94612764441191e-47	preDP_ISP	DN_Precursors
Trgc2	1.04004884111379e-49	-2.52147195657439	0.093	0.874	3.50454857501703e-45	preDP_ISP	DN_Precursors
Cdk6	4.8577510782804e-49	-2.84104755496719	0.77	1	1.63686780333736e-44	preDP_ISP	DN_Precursors
Trgc1	6.68236163538427e-49	-2.60350604449879	0.093	0.856	2.25168857665908e-44	preDP_ISP	DN_Precursors
Ccnd2	1.55396456596411e-48	-1.85555494939987	0.058	0.82	5.23623900147266e-44	preDP_ISP	DN_Precursors
Hmgb2	9.31303263255715e-48	3.25683705048623	1	0.784	3.13811947586646e-43	preDP_ISP	DN_Precursors
Ptma	1.22084582023982e-46	1.6206788982027	1	0.991	4.1137620758801e-42	preDP_ISP	DN_Precursors
Myl10	1.29673491043128e-46	-3.04374508472332	0.407	0.955	4.36947795418926e-42	preDP_ISP	DN_Precursors
Trgc4	3.55276392180791e-46	-2.08306942620706	0.053	0.793	1.19713933109239e-41	preDP_ISP	DN_Precursors
Hmgb1	7.45373129915253e-46	1.82141366594526	1	0.982	2.51160929856244e-41	preDP_ISP	DN_Precursors
Dek	9.20557915431741e-46	1.97362174637818	1	0.514	3.10191195183879e-41	preDP_ISP	DN_Precursors
Hmgn2	1.11939274127889e-45	2.31813788398016	0.996	0.667	3.77190578101335e-41	preDP_ISP	DN_Precursors
Hes1	1.16097429726798e-44	-2.03377726107615	0.071	0.793	3.91201899207417e-40	preDP_ISP	DN_Precursors
Cd8b1	2.06566498221976e-44	2.81076983525407	0.973	0.162	6.96046472408771e-40	preDP_ISP	DN_Precursors
Dut	4.93784010313663e-43	2.00192459076302	1	0.685	1.66385460115292e-38	preDP_ISP	DN_Precursors
H2az1	5.55313639179779e-43	2.1402322112712	1	0.883	1.87118483858018e-38	preDP_ISP	DN_Precursors
Anp32b	7.0096486097796e-43	1.41206818339217	1	0.91	2.36197119555133e-38	preDP_ISP	DN_Precursors
Zeb2	1.64238399930347e-42	-2.0000553260767	0.035	0.721	5.53417712405296e-38	preDP_ISP	DN_Precursors
Adamts17	1.91385787321539e-42	-1.78829796628701	0.062	0.757	6.44893548958656e-38	preDP_ISP	DN_Precursors
Stmn1	2.6221649514791e-42	1.93354201254754	1	0.865	8.83564702050397e-38	preDP_ISP	DN_Precursors
Wwox	4.4934969886708e-42	-3.49365470382843	0.504	0.991	1.51412874530251e-37	preDP_ISP	DN_Precursors
Cd8a	9.97687296535088e-42	2.4765923894655	0.925	0.081	3.36180711440463e-37	preDP_ISP	DN_Precursors
Pclaf	1.30021786541746e-41	2.4238749440263	0.96	0.18	4.38121411931069e-37	preDP_ISP	DN_Precursors
Lockd	1.34226624318682e-41	1.85433674333508	0.965	0.162	4.52290033304232e-37	preDP_ISP	DN_Precursors
Lmnb1	1.99413715172401e-41	1.65059391330761	0.991	0.586	6.71944454644924e-37	preDP_ISP	DN_Precursors
Calm1	7.42921015678676e-41	1.60799779055795	0.996	0.793	2.50334665443087e-36	preDP_ISP	DN_Precursors
Ppia	1.11750472022678e-40	1.32641797611075	1	0.982	3.76554390527615e-36	preDP_ISP	DN_Precursors
Rrm2	1.48966813257739e-40	1.94330156539733	0.929	0.09	5.01958573953277e-36	preDP_ISP	DN_Precursors
Hells	5.04822999100206e-40	1.76232535853634	0.982	0.333	1.70105157776806e-35	preDP_ISP	DN_Precursors
Hdac4	2.02407199666695e-39	-2.53108583599354	0.451	0.937	6.82031299996896e-35	preDP_ISP	DN_Precursors
Plekha7	2.25975553948196e-38	-1.49932710784406	0.155	0.811	7.61447226583842e-34	preDP_ISP	DN_Precursors
Notch1	5.75361254805513e-38	-1.81317558123575	0.65	0.964	1.93873728419266e-33	preDP_ISP	DN_Precursors
Ppt1	1.26247787719261e-37	-1.79994271445357	0.522	0.955	4.25404545498823e-33	preDP_ISP	DN_Precursors
Rbm3	1.55926654986438e-37	1.28351370161306	0.996	0.892	5.25410456642302e-33	preDP_ISP	DN_Precursors
H2az2	1.69234195919062e-37	1.52351776635147	0.991	0.847	5.70251546568871e-33	preDP_ISP	DN_Precursors
Gmnn	2.12803061273199e-37	1.55158131332324	0.929	0.288	7.17061195266171e-33	preDP_ISP	DN_Precursors
Plac8	4.38560871843912e-37	-3.00632750705154	0.239	0.838	1.47777471376525e-32	preDP_ISP	DN_Precursors
Prkca	1.93598271419502e-36	-1.85005503020462	0.73	0.982	6.52348735375152e-32	preDP_ISP	DN_Precursors
Parp8	2.29630609958995e-36	-1.46415974124964	0.08	0.721	7.73763303317828e-32	preDP_ISP	DN_Precursors
Nasp	2.76863902203327e-36	1.49279613074501	0.987	0.559	9.32920604864329e-32	preDP_ISP	DN_Precursors
Lig1	3.20812123867239e-36	1.5110573220471	0.956	0.18	1.08100853258305e-31	preDP_ISP	DN_Precursors
Mki67	3.35365442093281e-36	1.77409958320656	0.925	0.171	1.13004739367752e-31	preDP_ISP	DN_Precursors
Pcna	3.61430965971899e-36	1.71099828414645	0.991	0.64	1.21787778293891e-31	preDP_ISP	DN_Precursors
Hnrnpa3	5.86160488720451e-36	1.05616073886643	1	0.973	1.97512638279243e-31	preDP_ISP	DN_Precursors
Atp8a1	1.0505958955876e-35	-1.87125055806974	0.628	0.955	3.54008792977197e-31	preDP_ISP	DN_Precursors
Nckap5	1.36721512612797e-35	-1.46748176241591	0.062	0.676	4.60696808900079e-31	preDP_ISP	DN_Precursors
Tmpo	2.2053140977082e-35	1.34431091791119	0.987	0.667	7.43102638363754e-31	preDP_ISP	DN_Precursors
Fam169b	3.30113807771868e-35	-1.69051786469954	0.783	0.982	1.11235148666809e-30	preDP_ISP	DN_Precursors
Mcm3	4.00783956318319e-35	1.43248424611942	0.96	0.423	1.35048161921021e-30	preDP_ISP	DN_Precursors
Cox7a2	4.08488501249735e-35	1.12952568779675	0.996	0.856	1.37644285381111e-30	preDP_ISP	DN_Precursors
Il7r	9.14148432741296e-35	-1.30694947352588	0.058	0.667	3.08031455896507e-30	preDP_ISP	DN_Precursors
Tcf7	1.09948179534704e-34	1.17387771227139	1	0.928	3.70481385760139e-30	preDP_ISP	DN_Precursors
Orc6	1.61756645377681e-34	1.41151342473146	0.929	0.342	5.45055192264634e-30	preDP_ISP	DN_Precursors
E2f2	1.65120861629845e-34	1.53756356037803	0.903	0.225	5.56391255347924e-30	preDP_ISP	DN_Precursors
Rnf220	2.72006094894697e-34	-1.88196365540027	0.394	0.901	9.16551737357169e-30	preDP_ISP	DN_Precursors
5830418P13Rik	5.69329794342465e-34	-1.65382469509498	0.5	0.928	1.91841367501637e-29	preDP_ISP	DN_Precursors
Slc9a9	1.10184062972677e-33	-1.96039986164635	0.796	0.982	3.71276218592734e-29	preDP_ISP	DN_Precursors
Ikzf3	1.1093201464204e-33	1.61850637583863	0.858	0.099	3.73796516537817e-29	preDP_ISP	DN_Precursors
S100a11	2.08632798869435e-33	-1.28988943606434	0.19	0.793	7.03009079070448e-29	preDP_ISP	DN_Precursors
Notch3	4.61648677389842e-33	-1.98150625699016	0.332	0.865	1.55557138333281e-28	preDP_ISP	DN_Precursors
Ctla2a	4.82723642136432e-33	-1.04904705682927	0	0.532	1.62658558454292e-28	preDP_ISP	DN_Precursors
Pag1	5.00373095342638e-33	-1.96828201462262	0.836	0.991	1.68605718206655e-28	preDP_ISP	DN_Precursors
