	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
H4c4	1.45482215643135e-104	-3.15174918231636	0.805	0.997	4.90216873831107e-100	preDP_ISP	DPblast
H2ac24	2.98177407567523e-104	-3.10912777265414	0.743	0.989	1.00473859253953e-99	preDP_ISP	DPblast
H2ac8	4.62406113690719e-104	-3.48459413604918	0.814	0.992	1.55812364069225e-99	preDP_ISP	DPblast
H2ac22	8.32258749878972e-104	-2.56074765363006	0.615	0.992	2.80437908359218e-99	preDP_ISP	DPblast
H3c3	5.14849405912497e-103	-3.18914953872458	0.593	0.987	1.73483655816275e-98	preDP_ISP	DPblast
H1f5	1.43820042793919e-102	-3.48763326345771	0.907	0.992	4.8461601619839e-98	preDP_ISP	DPblast
H2ac4	5.33380526415414e-102	-3.00694693037018	0.606	0.99	1.79727902180938e-97	preDP_ISP	DPblast
H2ac20	8.49780093038896e-101	-2.45207723183092	0.46	0.984	2.86341900150386e-96	preDP_ISP	DPblast
H1f4	5.3404404895566e-100	-2.81545991838388	0.695	0.99	1.79951482736099e-95	preDP_ISP	DPblast
H2ac10	8.46141474520733e-96	-2.06342914078818	0.301	0.967	2.85115831254506e-91	preDP_ISP	DPblast
Top2a	8.3418507291175e-94	-1.9605842703018	0.912	1	2.81087002168343e-89	preDP_ISP	DPblast
H1f3	1.12380639345964e-91	-2.08311550371943	0.602	0.981	3.7867780234016e-87	preDP_ISP	DPblast
H2bc15	7.04991804264298e-91	-1.86712637216113	0.274	0.954	2.37554038364898e-86	preDP_ISP	DPblast
H4c8	7.33999042542525e-90	-1.88751745940227	0.5	0.979	2.47328317375129e-85	preDP_ISP	DPblast
H1f2	8.18005232476593e-90	-2.11932778586851	0.615	0.984	2.75635043135313e-85	preDP_ISP	DPblast
Prc1	1.7227761091638e-89	-2.10071402086136	0.425	0.976	5.80506637743835e-85	preDP_ISP	DPblast
H1f1	4.17714121061911e-89	-2.14705239350211	0.58	0.973	1.40752950233021e-84	preDP_ISP	DPblast
Nusap1	4.97068039822589e-88	-2.36046866053197	0.341	0.973	1.6749204669862e-83	preDP_ISP	DPblast
H3c6	4.12344519216688e-85	-1.74997631946908	0.367	0.946	1.38943609195255e-80	preDP_ISP	DPblast
Kif11	1.87964860063004e-84	-1.7553800219917	0.633	0.99	6.33366392468298e-80	preDP_ISP	DPblast
Spc25	2.71374001264086e-84	-1.63003386930042	0.336	0.944	9.14421834659463e-80	preDP_ISP	DPblast
H3c11	7.24352985090467e-84	-1.55076662649849	0.283	0.93	2.44077981856084e-79	preDP_ISP	DPblast
H2bc11	8.16740899786335e-84	-1.49813604785942	0.456	0.965	2.75209013592004e-79	preDP_ISP	DPblast
Mis18bp1	6.04022534894309e-83	-1.68269133437428	0.221	0.917	2.03531433357986e-78	preDP_ISP	DPblast
H3c2	2.84291259266394e-81	-1.36753228437067	0.177	0.897	9.57947827224042e-77	preDP_ISP	DPblast
H2bc18	8.68387785833338e-81	-1.59592751424089	0.358	0.937	2.92611948314401e-76	preDP_ISP	DPblast
H3c7	8.92006180301002e-81	-1.49654416373064	0.159	0.9	3.00570402514226e-76	preDP_ISP	DPblast
Esco2	2.96385940750545e-80	-1.56989912689997	0.283	0.922	9.98702065953035e-76	preDP_ISP	DPblast
H2ax	6.33401830288792e-77	-1.98106907491847	0.611	0.979	2.13431080734111e-72	preDP_ISP	DPblast
Aurkb	5.67763919431351e-76	-1.35413080039333	0.252	0.905	1.91313730291588e-71	preDP_ISP	DPblast
Mki67	8.29856308266121e-74	-1.45886542376384	0.925	1	2.79628381633352e-69	preDP_ISP	DPblast
Ccnf	5.04192015109046e-73	-1.30682215142929	0.274	0.903	1.69892541411144e-68	preDP_ISP	DPblast
Mxd3	1.27610202471318e-72	-1.26518279501266	0.186	0.862	4.29995338247352e-68	preDP_ISP	DPblast
Incenp	2.03408864760279e-72	-1.33361611462624	0.451	0.956	6.85406510696237e-68	preDP_ISP	DPblast
Kif23	7.21184569086868e-72	-1.44435233005994	0.376	0.935	2.43010352399511e-67	preDP_ISP	DPblast
H2bc3	8.69988544261832e-70	-1.26925986504425	0.279	0.902	2.93151339874467e-65	preDP_ISP	DPblast
Depdc1a	1.62089170573626e-69	-1.49843067498586	0.279	0.911	5.46175669164891e-65	preDP_ISP	DPblast
