	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Rrm2	1.01746435312976e-193	2.11584924476788	0.929	0.022	3.42844788430605e-189	preDP_ISP	DPsel
Uhrf1	7.67701758143879e-192	2.10552589678421	0.965	0.044	2.58684784424161e-187	preDP_ISP	DPsel
Pclaf	6.77332442322167e-189	2.91826149287978	0.96	0.051	2.28233939764877e-184	preDP_ISP	DPsel
Hells	3.82595274111789e-184	2.28258124320327	0.982	0.065	1.28919303564708e-179	preDP_ISP	DPsel
Endou	1.40777935499298e-178	2.05599340370909	0.956	0.046	4.74365331458436e-174	preDP_ISP	DPsel
Lig1	3.71831864503057e-176	1.83572152538933	0.956	0.055	1.2529246506295e-171	preDP_ISP	DPsel
Dtl	1.52285197975388e-174	1.82344829718312	0.907	0.04	5.13140203097868e-170	preDP_ISP	DPsel
Lockd	1.703757112118e-174	1.97042921574526	0.965	0.058	5.74097996499281e-170	preDP_ISP	DPsel
Mki67	2.94061768163839e-174	2.09030624299807	0.925	0.043	9.9087053400487e-170	preDP_ISP	DPsel
Cdc6	8.00180906398451e-173	1.37334516863474	0.805	0.006	2.69628958220022e-168	preDP_ISP	DPsel
Clspn	5.02624203391721e-171	1.70984347926326	0.858	0.026	1.69364251574874e-166	preDP_ISP	DPsel
Cdca7	7.06899155515293e-171	2.06216223177103	0.982	0.096	2.38196739442433e-166	preDP_ISP	DPsel
Spc24	4.84561679964651e-166	1.34554900259383	0.827	0.02	1.63277903680889e-161	preDP_ISP	DPsel
Ly6d	1.17400467855329e-163	3.50967377558585	0.956	0.098	3.95592616485318e-159	preDP_ISP	DPsel
Anxa2	1.22140949099862e-159	2.44818504432724	0.987	0.143	4.11566142086894e-155	preDP_ISP	DPsel
E2f2	2.23631156055664e-159	1.75108870511486	0.903	0.064	7.53547543445164e-155	preDP_ISP	DPsel
Gzma	3.00157953985394e-159	1.69352725845092	0.765	0.009	1.01141224174918e-154	preDP_ISP	DPsel
Ncapg2	3.00226312406955e-157	1.45134126691103	0.81	0.025	1.01164258228648e-152	preDP_ISP	DPsel
Rad51	1.34233619608902e-156	1.14994710491128	0.805	0.022	4.52313604634156e-152	preDP_ISP	DPsel
Cenpk	4.30969790371958e-153	1.2064659404642	0.814	0.03	1.45219580563735e-148	preDP_ISP	DPsel
Dntt	1.40191233995041e-151	2.91374689057946	0.991	0.187	4.72388382069688e-147	preDP_ISP	DPsel
Ccnb2	3.12501699526267e-151	1.79622502614139	0.801	0.03	1.05300572672371e-146	preDP_ISP	DPsel
Nsd2	2.41349875492577e-149	2.05177011088185	0.987	0.151	8.13252540459786e-145	preDP_ISP	DPsel
