	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Cd53	1.48544614512759e-65	-2.10712749049079	0.013	0.919	5.00535933062193e-61	preDP_ISP	Monocyte_Macrophages_Dendritic
Ccnd2	1.00483325999473e-58	-2.41431096052096	0.058	0.889	3.38588615287825e-54	preDP_ISP	Monocyte_Macrophages_Dendritic
Shisa5	3.7742433012433e-58	-2.92219527842334	0.199	0.948	1.27176902278694e-53	preDP_ISP	Monocyte_Macrophages_Dendritic
Dut	2.23249247539503e-57	2.9764335421914	1	0.393	7.52260664509109e-53	preDP_ISP	Monocyte_Macrophages_Dendritic
Stmn1	8.33612799498101e-57	3.61658979500809	1	0.289	2.8089416891888e-52	preDP_ISP	Monocyte_Macrophages_Dendritic
Ptma	1.87784820031373e-56	2.36869880427041	1	0.985	6.32759729577716e-52	preDP_ISP	Monocyte_Macrophages_Dendritic
Hmgb1	2.48703702323666e-56	2.6528180620127	1	0.956	8.38031995349826e-52	preDP_ISP	Monocyte_Macrophages_Dendritic
Ms4a4b	2.97990871432321e-56	-3.59342666088286	0.097	0.889	1.00411004037835e-51	preDP_ISP	Monocyte_Macrophages_Dendritic
Anp32b	8.26024314832989e-56	2.13264873488919	1	0.778	2.78337153126124e-51	preDP_ISP	Monocyte_Macrophages_Dendritic
Uhrf1	1.374580207289e-55	2.13969876915143	0.965	0.03	4.63178546648102e-51	preDP_ISP	Monocyte_Macrophages_Dendritic
Hmgb2	1.79191269489327e-55	3.57543289807547	1	0.763	6.03802901671235e-51	preDP_ISP	Monocyte_Macrophages_Dendritic
Hells	1.9802961055983e-55	2.27119329324478	0.982	0.081	6.67280575742405e-51	preDP_ISP	Monocyte_Macrophages_Dendritic
Pclaf	4.12067805088444e-55	2.94308816208256	0.96	0.037	1.38850367602602e-50	preDP_ISP	Monocyte_Macrophages_Dendritic
Dntt	5.40961640092182e-55	2.96034932167556	0.991	0.133	1.82282434245462e-50	preDP_ISP	Monocyte_Macrophages_Dendritic
Hmgn2	1.3058045474584e-54	2.73654570731569	0.996	0.511	4.40003900311584e-50	preDP_ISP	Monocyte_Macrophages_Dendritic
Tmsb10	6.29263478112943e-54	-3.50587949806947	0.942	0.993	2.12036621584937e-49	preDP_ISP	Monocyte_Macrophages_Dendritic
Inpp4b	2.15469681548758e-53	-4.04013714583146	0.115	0.881	7.26046638946695e-49	preDP_ISP	Monocyte_Macrophages_Dendritic
Cdca7	4.51391641323066e-53	1.99593724232564	0.982	0.141	1.5210092746022e-48	preDP_ISP	Monocyte_Macrophages_Dendritic
Nkg7	5.52002169846864e-53	-2.96448263049759	0	0.77	1.86002651151599e-48	preDP_ISP	Monocyte_Macrophages_Dendritic
H2az1	8.79507261171187e-53	2.63312336531736	1	0.859	2.96358766724243e-48	preDP_ISP	Monocyte_Macrophages_Dendritic
Ly6d	1.13522251990859e-52	3.54675122081972	0.956	0.067	3.825245803084e-48	preDP_ISP	Monocyte_Macrophages_Dendritic
