	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Hells	4.56984604332244e-172	2.34068628782237	0.982	0.034	1.53985532275793e-167	preDP_ISP	SP
Pclaf	1.16264703266779e-169	2.91644919072868	0.96	0.029	3.91765544127737e-165	preDP_ISP	SP
Rrm2	1.58774686145301e-164	2.10096864665449	0.929	0.019	5.35007182435205e-160	preDP_ISP	SP
Lig1	1.44273742149017e-162	1.88359434183465	0.956	0.035	4.86144801545326e-158	preDP_ISP	SP
Mki67	3.14632288128903e-158	2.20003076470374	0.925	0.031	1.06018495807915e-153	preDP_ISP	SP
Uhrf1	3.56114505534528e-156	2.02648012261731	0.965	0.059	1.19996343784914e-151	preDP_ISP	SP
Clspn	1.87447556455973e-153	1.72584045295774	0.858	0.01	6.31623286234046e-149	preDP_ISP	SP
Mcm3	9.31379092086015e-151	1.97221313579074	0.96	0.066	3.13837498869304e-146	preDP_ISP	SP
Dhfr	3.54292175275885e-146	1.39147599671017	0.832	0.012	1.19382291380962e-141	preDP_ISP	SP
Cdc6	7.04722345961381e-146	1.36746496963922	0.805	0.003	2.37463241695147e-141	preDP_ISP	SP
Lockd	2.88713362105434e-144	1.94506156372265	0.965	0.072	9.7284854495047e-140	preDP_ISP	SP
Spc24	3.61057226842069e-144	1.3535915276197	0.827	0.013	1.21661843156704e-139	preDP_ISP	SP
Gmnn	3.75153964182961e-144	1.77718071529902	0.929	0.059	1.26411879771091e-139	preDP_ISP	SP
Ccnb2	2.88198941937647e-142	1.87299342486297	0.801	0.009	9.71115154753096e-138	preDP_ISP	SP
Prim1	2.03784828855453e-141	1.39562113437242	0.876	0.031	6.86673359311333e-137	preDP_ISP	SP
Top2a	3.5753279532503e-141	2.37543257617612	0.912	0.057	1.20474250712722e-136	preDP_ISP	SP
Dtl	5.86501983401215e-141	1.7528722370326	0.907	0.047	1.97627708326873e-136	preDP_ISP	SP
Cenpk	1.927945764092e-139	1.22211729310657	0.814	0.013	6.49640604668441e-135	preDP_ISP	SP
Ncapg2	7.30552637262764e-139	1.45136099979814	0.81	0.013	2.46167016652061e-134	preDP_ISP	SP
Tipin	4.61902418625374e-135	1.68060541514992	0.96	0.089	1.55642638980006e-130	preDP_ISP	SP
Rfc4	3.73793498432471e-134	1.39051938205531	0.876	0.048	1.25953457231805e-129	preDP_ISP	SP
Rad51	9.41186539974989e-133	1.1292438343687	0.805	0.019	3.17142216509972e-128	preDP_ISP	SP
Tyms	1.07337867873477e-132	1.48387131773321	0.863	0.043	3.61685679586468e-128	preDP_ISP	SP
Chaf1a	7.15931364413886e-131	1.02761103493597	0.757	0.009	2.41240232552903e-126	preDP_ISP	SP
Siva1	1.69475039558062e-129	1.73877454424085	0.956	0.119	5.71063093294846e-125	preDP_ISP	SP
Mcm5	2.45456540345286e-128	1.45741227172235	0.889	0.059	8.27090358347475e-124	preDP_ISP	SP
Fignl1	3.16203526339371e-126	0.929865393470972	0.726	0.006	1.06547940235315e-121	preDP_ISP	SP
Birc5	6.24275379018847e-126	1.76913222853129	0.779	0.025	2.10355831714191e-121	preDP_ISP	SP
Syce2	1.5055397983463e-125	0.870252009753259	0.704	0.001	5.07306690450768e-121	preDP_ISP	SP
Dut	3.16526560062765e-124	2.70500771244494	1	0.342	1.06656789678749e-119	preDP_ISP	SP
Cenps	7.87330348463331e-124	0.870989530961665	0.712	0.006	2.65298834218204e-119	preDP_ISP	SP
Pola1	2.32606637022472e-123	2.12444620519662	0.885	0.079	7.83791324110921e-119	preDP_ISP	SP
Mcm6	2.84913722853353e-123	1.84653090134797	0.965	0.152	9.60045280526659e-119	preDP_ISP	SP
Cenpw	7.07531387220952e-123	1.04872261063245	0.792	0.028	2.38409776237972e-118	preDP_ISP	SP
Cenpp	5.96153905282066e-122	1.48516751267587	0.814	0.04	2.00880019923845e-117	preDP_ISP	SP
E2f1	6.73895393091615e-121	0.954468720851912	0.726	0.013	2.2707579165615e-116	preDP_ISP	SP
Mcm4	3.05424540790248e-120	1.52209705616314	0.929	0.101	1.02915853264682e-115	preDP_ISP	SP
Chek1	4.07172185692337e-118	0.900337006405138	0.681	0.004	1.3720073969089e-113	preDP_ISP	SP
Zfp367	4.62760944425197e-118	1.27096095640149	0.841	0.053	1.55931927833514e-113	preDP_ISP	SP
Fam111a	5.19337929484416e-118	1.08749062942478	0.739	0.021	1.74996108719069e-113	preDP_ISP	SP
Rfc3	1.22460948346784e-117	1.24631375891593	0.876	0.067	4.12644411549323e-113	preDP_ISP	SP
Hmgb2	3.76473181482738e-117	4.19325787731858	1	0.54	1.26856403232423e-112	preDP_ISP	SP
D17H6S56E-5	4.36089310570763e-117	1.07860059875473	0.779	0.032	1.46944654089924e-112	preDP_ISP	SP
Diaph3	5.54531688189748e-117	1.36861971534215	0.748	0.025	1.86854997652417e-112	preDP_ISP	SP
Cenph	3.47819935452993e-116	0.892105765185496	0.695	0.01	1.1720140545024e-111	preDP_ISP	SP
Cdca8	8.58822528292825e-115	1.26618061791195	0.708	0.018	2.8938883913355e-110	preDP_ISP	SP
Rrm1	2.48702621606922e-114	1.36700870369787	0.885	0.084	8.38028353766685e-110	preDP_ISP	SP
Orc6	5.27247058043626e-113	1.51902028629874	0.929	0.123	1.7766116867838e-108	preDP_ISP	SP
Wdr76	1.53070730543004e-112	1.39321722857848	0.92	0.103	5.15787133637708e-108	preDP_ISP	SP
Mcm2	3.83827739027104e-112	1.23004016004283	0.907	0.091	1.29334594942573e-107	preDP_ISP	SP
Mms22l	1.84899591219994e-111	1.37976521973578	0.903	0.097	6.23037662574893e-107	preDP_ISP	SP
Hmgn2	3.14925173779089e-111	2.37898518508728	0.996	0.482	1.06117186556602e-106	preDP_ISP	SP
Ptma	3.55518398737549e-111	1.83028751999406	1	0.997	1.19795479638605e-106	preDP_ISP	SP
Malat1	4.60835750155974e-111	-2.73923602492836	0.996	1	1.55283214372557e-106	preDP_ISP	SP
Cks1b	6.83339803915835e-110	1.46280209252274	0.894	0.106	2.3025818032748e-105	preDP_ISP	SP
Ccdc34	8.88185213744796e-109	1.14328838085901	0.832	0.062	2.99282889623447e-104	preDP_ISP	SP
Slbp	4.8143765101144e-108	1.91904438657505	0.96	0.201	1.62225230884815e-103	preDP_ISP	SP
E2f2	5.10301485942874e-108	1.52539974788857	0.903	0.114	1.71951188703311e-103	preDP_ISP	SP
Hmgb1	1.05978336286771e-107	1.82963959096406	1	0.988	3.57104601951903e-103	preDP_ISP	SP
Kif15	1.36322821118111e-107	1.03413347034667	0.664	0.013	4.59353378039587e-103	preDP_ISP	SP
E2f8	7.71727756194059e-107	0.921684965549704	0.606	0	2.6004138472715e-102	preDP_ISP	SP
