	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Ctss	4.5354427039826e-52	-3.64004954792007	0.009	0.849	1.52826277353398e-47	preDP_ISP	Stroma
Cd74	1.81395725208502e-50	-6.4304662573607	0.035	0.877	6.11231035662568e-46	preDP_ISP	Stroma
H2-Aa	2.72170850194454e-47	-5.30624975398734	0.013	0.795	9.17106896815233e-43	preDP_ISP	Stroma
H2-Eb1	9.33605686605288e-45	-5.05857615149922	0.004	0.74	3.14587772158518e-40	preDP_ISP	Stroma
Ctsh	8.52055513451562e-41	-2.39868532970081	0	0.671	2.87108625812638e-36	preDP_ISP	Stroma
Lyn	1.60796653323196e-39	-2.7895029190567	0.053	0.767	5.41820403037843e-35	preDP_ISP	Stroma
H2-Ab1	1.48650655632079e-37	-4.92553112595452	0.115	0.822	5.00893249217852e-33	preDP_ISP	Stroma
Hmgb1	2.15367591594551e-37	3.02053854537388	1	0.822	7.25702636636999e-33	preDP_ISP	Stroma
Dut	3.19852066593833e-37	3.02301038182991	1	0.288	1.07777352359458e-32	preDP_ISP	Stroma
Stmn1	3.49400530416441e-37	3.73050046132211	1	0.26	1.17734002729124e-32	preDP_ISP	Stroma
Ptma	4.10483840065942e-37	2.58463346184111	1	0.904	1.3831663474862e-32	preDP_ISP	Stroma
Cybb	4.18450324097292e-37	-2.60071845601864	0	0.616	1.41001021207824e-32	preDP_ISP	Stroma
Ly86	2.46291910342691e-36	-2.31729250797519	0.009	0.63	8.2990522109073e-32	preDP_ISP	Stroma
Hmgb2	9.22599504349359e-36	3.74222775697332	1	0.575	3.1087912898556e-31	preDP_ISP	Stroma
Hells	1.24485993698036e-35	2.23302863273065	0.982	0.137	4.19468004364903e-31	preDP_ISP	Stroma
Mcm7	1.8973238023575e-35	1.91460322976351	0.978	0.164	6.39322228442383e-31	preDP_ISP	Stroma
Hmgn2	2.96449742775225e-35	2.85373962244014	0.996	0.397	9.989170532554e-31	preDP_ISP	Stroma
Tyrobp	1.9171004239378e-34	-3.71824721311339	0.004	0.589	6.45986158850081e-30	preDP_ISP	Stroma
Uhrf1	2.49239380430277e-34	2.05428159939934	0.965	0.082	8.39837016297861e-30	preDP_ISP	Stroma
Cdca7	2.89912133893008e-34	1.99564518350483	0.982	0.151	9.7688792636588e-30	preDP_ISP	Stroma
Cd3g	4.2349178667342e-34	2.53426013018853	0.987	0.192	1.42699792437476e-29	preDP_ISP	Stroma
Ifi30	6.55178496166175e-34	-3.02164480869068	0.111	0.767	2.20768946068154e-29	preDP_ISP	Stroma
H2az1	8.06543186049659e-34	2.49715552737935	1	0.781	2.71772791971293e-29	preDP_ISP	Stroma
Anp32b	1.36744883941866e-33	1.98721386249314	1	0.685	4.60775560930511e-29	preDP_ISP	Stroma
Trbc2	2.10254003623306e-33	3.23451714716855	1	0.342	7.08471890609093e-29	preDP_ISP	Stroma
Snrpd1	2.66284833768008e-33	2.01199719493353	1	0.411	8.97273375864679e-29	preDP_ISP	Stroma
Ezh2	3.00596168447809e-33	2.10028905106236	0.991	0.342	1.01288884920174e-28	preDP_ISP	Stroma
Unc93b1	3.12773627579821e-33	-2.07226112103261	0.022	0.616	1.05392201549296e-28	preDP_ISP	Stroma
Nasp	4.36755844893965e-33	1.98534050119556	0.987	0.301	1.4716924949547e-28	preDP_ISP	Stroma
Nsd2	4.81814654721126e-33	1.92316860336724	0.987	0.288	1.62352266054831e-28	preDP_ISP	Stroma
Samhd1	7.131693215618e-33	-1.74051128900755	0.018	0.603	2.40309534593464e-28	preDP_ISP	Stroma
Wdfy4	9.24471315531487e-33	-2.33536121791556	0.013	0.589	3.1150985448149e-28	preDP_ISP	Stroma
Mpeg1	1.26516907442222e-32	-2.07511230954443	0	0.548	4.26311371317313e-28	preDP_ISP	Stroma
Dntt	1.55082149622076e-32	2.57190777460925	0.991	0.192	5.22564811366546e-28	preDP_ISP	Stroma
Tcf7	1.56693181019475e-32	2.39487992369258	1	0.37	5.27993342763224e-28	preDP_ISP	Stroma
Pcna	2.24557732992716e-32	2.17746765399575	0.991	0.452	7.56669737092256e-28	preDP_ISP	Stroma
Thy1	2.44504302022414e-32	2.16066518382668	0.991	0.178	8.23881696094727e-28	preDP_ISP	Stroma
Desi1	3.5437668487892e-32	1.77255310164593	0.982	0.288	1.19410767736801e-27	preDP_ISP	Stroma
Fcer1g	4.56493664699895e-32	-3.52381157957188	0.018	0.589	1.53820105257276e-27	preDP_ISP	Stroma
