	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Mki67	6.82938576347131e-43	-3.64309757506499	0.032	0.974	2.30122982685929e-38	CD8_exhausted_naive	Cluster_13
Kif11	1.31526899206402e-42	-3.32861296109447	0.011	0.897	4.43193039565893e-38	CD8_exhausted_naive	Cluster_13
Knl1	3.65250958105667e-40	-3.42832048665171	0.016	0.872	1.23074962843285e-35	CD8_exhausted_naive	Cluster_13
Top2a	7.65510765889753e-40	-4.55981418771287	0.048	0.949	2.57946507674211e-35	CD8_exhausted_naive	Cluster_13
Diaph3	1.86064120279242e-39	-3.19147866535184	0.011	0.846	6.26961659692933e-35	CD8_exhausted_naive	Cluster_13
Neil3	3.68615802839162e-35	-2.63253736391629	0	0.718	1.24208780924684e-30	CD8_exhausted_naive	Cluster_13
Prc1	2.02192258460118e-31	-2.59759340310459	0.021	0.744	6.81307034107212e-27	CD8_exhausted_naive	Cluster_13
Ect2	3.06186238210127e-31	-2.54269501430514	0.011	0.692	1.03172514827284e-26	CD8_exhausted_naive	Cluster_13
Cenpe	4.81848588372996e-31	-2.69494024208556	0.016	0.718	1.62363700338165e-26	CD8_exhausted_naive	Cluster_13
Kif4	1.01056143408898e-30	-2.12535763904065	0.005	0.667	3.40518780830623e-26	CD8_exhausted_naive	Cluster_13
Cit	7.37765197464839e-30	-2.01831455517947	0	0.615	2.48597360937752e-25	CD8_exhausted_naive	Cluster_13
Cenpf	9.06527526451872e-30	-3.14780132281637	0.032	0.744	3.05463515313223e-25	CD8_exhausted_naive	Cluster_13
Nusap1	9.39841755341067e-30	-2.52724770948783	0.005	0.641	3.16689077879726e-25	CD8_exhausted_naive	Cluster_13
Depdc1a	1.40465182415516e-28	-2.36145063598065	0.005	0.615	4.73311478667324e-24	CD8_exhausted_naive	Cluster_13
Ncapg2	1.46384762385809e-28	-2.09493805078065	0	0.59	4.93258095335221e-24	CD8_exhausted_naive	Cluster_13
Aspm	1.46384762385809e-28	-2.02928829942478	0	0.59	4.93258095335221e-24	CD8_exhausted_naive	Cluster_13
Anln	2.17849000860023e-28	-1.99939835677807	0.005	0.615	7.34063993297935e-24	CD8_exhausted_naive	Cluster_13
Kif22	3.76228818977882e-28	-1.59371564613078	0.005	0.615	1.26774062842787e-23	CD8_exhausted_naive	Cluster_13
Lockd	4.5949113136203e-28	-2.54742776503207	0.058	0.795	1.5483013162375e-23	CD8_exhausted_naive	Cluster_13
Kif15	7.04766877598602e-28	-2.33955757555759	0.026	0.692	2.37478247075625e-23	CD8_exhausted_naive	Cluster_13
Mis18bp1	2.13580592809634e-27	-2.0423606551	0.011	0.615	7.19681165531344e-23	CD8_exhausted_naive	Cluster_13
Kif18a	3.86651544497129e-27	-2.09233620190323	0.016	0.641	1.30286104433753e-22	CD8_exhausted_naive	Cluster_13
Smc2	3.56362978465032e-26	-2.25377147024086	0.053	0.744	1.20080069223577e-21	CD8_exhausted_naive	Cluster_13
Kif20b	4.04451980626502e-26	-2.02780538189211	0.032	0.692	1.36284139391906e-21	CD8_exhausted_naive	Cluster_13
Tpx2	4.282621794167e-26	-2.41715625603555	0.021	0.641	1.44307223976251e-21	CD8_exhausted_naive	Cluster_13
Cenpp	8.23171836332302e-26	-2.26821975886715	0.053	0.769	2.77375981970532e-21	CD8_exhausted_naive	Cluster_13
Cip2a	2.7005397863175e-25	-1.5911017857958	0.011	0.59	9.09973886397545e-21	CD8_exhausted_naive	Cluster_13
Hmmr	8.59301353155249e-25	-2.28613465656983	0.016	0.59	2.89550183959193e-20	CD8_exhausted_naive	Cluster_13
Racgap1	1.34601251186588e-24	-1.82981924993094	0.005	0.538	4.53552375998326e-20	CD8_exhausted_naive	Cluster_13
Rrm2	1.89981223351583e-24	-1.61328990079718	0.011	0.564	6.40160730205494e-20	CD8_exhausted_naive	Cluster_13
Ndc80	2.1060762213993e-24	-1.77993308219824	0.011	0.564	7.09663443562707e-20	CD8_exhausted_naive	Cluster_13
Hmgb2	4.61241153127892e-24	-2.74382660775456	0.28	1	1.55419818957974e-19	CD8_exhausted_naive	Cluster_13
Ncapd2	7.70783195042067e-24	-1.99440609248648	0.09	0.795	2.59723105401375e-19	CD8_exhausted_naive	Cluster_13
Shcbp1	1.77300524206433e-23	-1.69187781177979	0	0.487	5.97431846365996e-19	CD8_exhausted_naive	Cluster_13
