	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Ctss	1.4081322169141e-46	-3.29640390024652	0.011	0.864	4.74484231811375e-42	CD8_exhausted_naive	Stroma
B2m	1.28051168648985e-39	-3.41982533365353	0.222	0.963	4.3148121787962e-35	CD8_exhausted_naive	Stroma
Unc93b1	9.94996888072094e-38	-2.06155317671387	0	0.704	3.35274151404773e-33	CD8_exhausted_naive	Stroma
Fth1	2.23906643917536e-36	-4.07637991211858	0.233	0.951	7.54475827344529e-32	CD8_exhausted_naive	Stroma
H2-Eb1	3.43112000406241e-36	-5.02427059717976	0	0.679	1.15615019656887e-31	CD8_exhausted_naive	Stroma
H2-Aa	3.51088371025366e-36	-5.14015702291937	0.005	0.691	1.18302737500707e-31	CD8_exhausted_naive	Stroma
Cd74	5.19781570189573e-36	-5.93684688085412	0.021	0.716	1.75145597891078e-31	CD8_exhausted_naive	Stroma
Ifi30	6.80247278710381e-36	-3.0175544337457	0.005	0.691	2.2921612303425e-31	CD8_exhausted_naive	Stroma
Rpl39	9.2803467520668e-36	-3.53260756214219	0.217	0.914	3.12710564157643e-31	CD8_exhausted_naive	Stroma
Satb1	1.22057367527775e-35	3.40695402244479	1	0.58	4.11284505621589e-31	CD8_exhausted_naive	Stroma
Ftl1	2.15589457017144e-35	-4.22429125464798	0.254	0.951	7.26450234364967e-31	CD8_exhausted_naive	Stroma
Skap1	2.96396181393865e-35	3.50217636212878	0.984	0.309	9.98736572824766e-31	CD8_exhausted_naive	Stroma
Nme2	3.91769470191078e-35	-2.31365638742239	0.079	0.852	1.32010640675586e-30	CD8_exhausted_naive	Stroma
Cst3	5.13462755978544e-35	-4.5430562877675	0.058	0.79	1.7301641025453e-30	CD8_exhausted_naive	Stroma
Rps4x	7.58136791895715e-35	-3.09347310208115	0.291	0.951	2.5546177339718e-30	CD8_exhausted_naive	Stroma
Rpl29	8.24840055639697e-35	-2.51852668065866	0.169	0.901	2.77938105148352e-30	CD8_exhausted_naive	Stroma
H2-Ab1	1.17662427337657e-34	-4.8383680995986	0.005	0.667	3.9647531515697e-30	CD8_exhausted_naive	Stroma
Rpl10	1.29206873449939e-34	-3.03853632544324	0.233	0.926	4.35375480776913e-30	CD8_exhausted_naive	Stroma
Tox	1.76025836624993e-34	4.41344477713579	0.968	0.333	5.93136659091576e-30	CD8_exhausted_naive	Stroma
H2-D1	1.94130400452749e-34	-2.57831605852325	0.217	0.951	6.54141797365584e-30	CD8_exhausted_naive	Stroma
Rpl41	4.02077538146318e-34	-3.13314427659627	0.302	0.938	1.35484047253783e-29	CD8_exhausted_naive	Stroma
Rps23	4.98113711848107e-34	-3.03027207001086	0.312	0.938	1.67844396344338e-29	CD8_exhausted_naive	Stroma
Txn1	7.71852981415536e-34	-2.62198284594226	0.116	0.889	2.60083580617779e-29	CD8_exhausted_naive	Stroma
Rpl23	7.83902563382305e-34	-3.04893012398148	0.397	0.951	2.64143807757302e-29	CD8_exhausted_naive	Stroma
Atp5g2	9.44068183852854e-34	-1.88614092806758	0.042	0.765	3.18113215231058e-29	CD8_exhausted_naive	Stroma
