	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
H1f5	0	-5.4492354655882	0.117	1	0	Cluster_2_6	DPblast
H2ac24	0	-4.64960410194501	0.04	0.997	0	Cluster_2_6	DPblast
H2ac8	0	-4.60552128648124	0.055	0.995	0	Cluster_2_6	DPblast
Top2a	0	-4.34178482865336	0.046	1	0	Cluster_2_6	DPblast
H4c4	0	-4.29167563233225	0.111	1	0	Cluster_2_6	DPblast
H2az1	0	-4.16026770492163	0.222	1	0	Cluster_2_6	DPblast
Stmn1	0	-3.99060686102992	0.159	1	0	Cluster_2_6	DPblast
H3c3	0	-3.8631905134962	0.021	0.997	0	Cluster_2_6	DPblast
Hmgn2	0	-3.78985124738987	0.067	0.998	0	Cluster_2_6	DPblast
H2ac4	0	-3.68737805748769	0.016	0.99	0	Cluster_2_6	DPblast
Tuba1b	0	-3.63962097359947	0.051	0.998	0	Cluster_2_6	DPblast
Mki67	0	-3.59550319152628	0.029	1	0	Cluster_2_6	DPblast
Pclaf	0	-3.58661918609509	0.031	0.997	0	Cluster_2_6	DPblast
Ube2c	0	-3.45728070491492	0.032	0.912	0	Cluster_2_6	DPblast
Nusap1	0	-3.32854525149889	0.013	0.979	0	Cluster_2_6	DPblast
H2ac22	0	-3.32423123216282	0.024	0.995	0	Cluster_2_6	DPblast
H1f4	0	-3.24735956295576	0.132	0.993	0	Cluster_2_6	DPblast
H2ax	0	-3.05950308991782	0.046	0.987	0	Cluster_2_6	DPblast
Birc5	0	-2.97776748625628	0.022	0.985	0	Cluster_2_6	DPblast
H2ac20	0	-2.95851138250029	0.032	0.987	0	Cluster_2_6	DPblast
Cks2	0	-2.92986359378189	0.035	0.985	0	Cluster_2_6	DPblast
Cenpf	0	-2.91526838790611	0.01	0.915	0	Cluster_2_6	DPblast
Lockd	0	-2.90174872491135	0.065	0.99	0	Cluster_2_6	DPblast
Ran	0	-2.85359169175105	0.089	0.993	0	Cluster_2_6	DPblast
Kif11	0	-2.82116398102084	0.013	0.995	0	Cluster_2_6	DPblast
H1f1	0	-2.80015839961276	0.03	0.966	0	Cluster_2_6	DPblast
Rrm2	0	-2.71147121663992	0.019	0.972	0	Cluster_2_6	DPblast
H1f3	0	-2.66419749330642	0.054	0.985	0	Cluster_2_6	DPblast
Prc1	0	-2.62329387514511	0.026	0.977	0	Cluster_2_6	DPblast
H4c8	0	-2.5983925266042	0.038	0.977	0	Cluster_2_6	DPblast
Cenpe	0	-2.52119510599376	0.006	0.933	0	Cluster_2_6	DPblast
Tubb4b	0	-2.5198646213954	0.049	0.962	0	Cluster_2_6	DPblast
Knl1	0	-2.48342797727617	0.018	0.985	0	Cluster_2_6	DPblast
Tpx2	0	-2.48235020943649	0.007	0.936	0	Cluster_2_6	DPblast
Cdk1	0	-2.43057405405088	0.005	0.982	0	Cluster_2_6	DPblast
Cdca8	0	-2.40673108321853	0.011	0.966	0	Cluster_2_6	DPblast
Diaph3	0	-2.39770912677674	0.015	0.98	0	Cluster_2_6	DPblast
H2ac10	0	-2.3946905769823	0.005	0.971	0	Cluster_2_6	DPblast
Kif15	0	-2.29486204206281	0.006	0.971	0	Cluster_2_6	DPblast
Fbxo5	0	-2.28032560618094	0.015	0.985	0	Cluster_2_6	DPblast
Cdca3	0	-2.2581611617729	0.007	0.949	0	Cluster_2_6	DPblast
Neil3	0	-2.23817307700599	0.006	0.961	0	Cluster_2_6	DPblast
Hint1	0	-2.23659859639046	0.037	0.98	0	Cluster_2_6	DPblast
Smc2	0	-2.22720171012659	0.054	0.982	0	Cluster_2_6	DPblast
Alyref	0	-2.16672655372285	0.053	0.979	0	Cluster_2_6	DPblast
Hmmr	0	-2.16148676394308	0.002	0.865	0	Cluster_2_6	DPblast
Spc24	0	-2.15946770388332	0.009	0.979	0	Cluster_2_6	DPblast
Cks1b	0	-2.13597910932845	0.012	0.953	0	Cluster_2_6	DPblast
Tyms	0	-2.07755194495482	0.025	0.925	0	Cluster_2_6	DPblast
Spc25	0	-2.0677937735801	0.003	0.953	0	Cluster_2_6	DPblast
Ccna2	0	-2.06717453578771	0.008	0.961	0	Cluster_2_6	DPblast
Gm43305	0	-2.05585396018299	0.031	0.961	0	Cluster_2_6	DPblast
H2bc15	0	-2.03827847261626	0.006	0.949	0	Cluster_2_6	DPblast
Mis18bp1	0	-1.95481109576381	0.005	0.914	0	Cluster_2_6	DPblast
