	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Siva1	1.60184735894728e-265	-2.02433364582765	0.018	0.964	5.39758486070876e-261	Cluster_2_6	preDP_ISP
Mcm3	2.89969996153968e-265	-2.05483791985685	0.022	0.982	9.7708289904041e-261	Cluster_2_6	preDP_ISP
Ncapg2	1.57910813751125e-261	-1.58175079569174	0.003	0.873	5.32096278015792e-257	Cluster_2_6	preDP_ISP
Uhrf1	1.69028003020537e-256	-1.9892139915667	0.023	0.964	5.69556758978002e-252	Cluster_2_6	preDP_ISP
Hells	3.68929165057933e-256	-2.37906838611596	0.024	0.968	1.24314371457921e-251	Cluster_2_6	preDP_ISP
Lig1	1.18472470879056e-255	-1.80225782638051	0.011	0.905	3.99204837874066e-251	Cluster_2_6	preDP_ISP
Mcm5	3.77085465268406e-252	-1.47341537545483	0.017	0.932	1.27062718376842e-247	Cluster_2_6	preDP_ISP
Rfc4	1.42721219187606e-251	-1.45100654503613	0.012	0.9	4.80913420174556e-247	Cluster_2_6	preDP_ISP
Pclaf	5.55561308842065e-251	-3.01104193578695	0.031	0.959	1.87201938627422e-246	Cluster_2_6	preDP_ISP
Hint1	2.34561045506799e-250	-2.50291257825425	0.037	0.986	7.90376898939709e-246	Cluster_2_6	preDP_ISP
Selenoh	7.23061098165379e-249	-1.70685681904667	0.028	0.977	2.43642667637806e-244	Cluster_2_6	preDP_ISP
Gmnn	4.66508980318748e-248	-1.82470511075397	0.024	0.955	1.57194866008205e-243	Cluster_2_6	preDP_ISP
Rrm2	5.84568738032923e-246	-2.05376262951311	0.019	0.918	1.96976281967574e-241	Cluster_2_6	preDP_ISP
Spc24	2.01679553600556e-243	-1.30539002018906	0.009	0.859	6.79579423812433e-239	Cluster_2_6	preDP_ISP
Cks1b	1.38555830868332e-242	-1.80364944903785	0.012	0.873	4.66877727693931e-238	Cluster_2_6	preDP_ISP
Cenpw	3.7293338241167e-242	-1.2126155992391	0.006	0.832	1.25663632537436e-237	Cluster_2_6	preDP_ISP
Dtl	6.14268098372282e-242	-1.75963818399846	0.019	0.909	2.06983778427524e-237	Cluster_2_6	preDP_ISP
Nme2	3.05283496771438e-237	-2.56038907592416	0.041	0.964	1.02868327072104e-232	Cluster_2_6	preDP_ISP
Hmgn2	3.12906638632877e-237	-3.37714176540506	0.067	1	1.05437020953734e-232	Cluster_2_6	preDP_ISP
Rfc3	6.79908879843775e-237	-1.3667683966688	0.019	0.9	2.29102096152159e-232	Cluster_2_6	preDP_ISP
Prim1	1.41416216863119e-236	-1.4534568478196	0.016	0.882	4.76516084341965e-232	Cluster_2_6	preDP_ISP
Dctpp1	1.859003016844e-236	-1.47528309733182	0.013	0.864	6.26409656555755e-232	Cluster_2_6	preDP_ISP
Cenpk	3.81963983413677e-236	-1.20533038061322	0.006	0.823	1.28706583851073e-231	Cluster_2_6	preDP_ISP
