	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Il23r	7.48485500522086e-26	-4.14067458634712	0	1	2.52209674255922e-21	DN_Precursors	Cluster_14
Il1r1	7.48485500522086e-26	-4.04862316288401	0	1	2.52209674255922e-21	DN_Precursors	Cluster_14
Cdh10	7.48485500522086e-26	-3.79142525928878	0	1	2.52209674255922e-21	DN_Precursors	Cluster_14
Il18r1	7.48485500522086e-26	-3.69972866548178	0	1	2.52209674255922e-21	DN_Precursors	Cluster_14
Cxcr6	7.48485500522086e-26	-3.06763772436677	0	1	2.52209674255922e-21	DN_Precursors	Cluster_14
Ppp1r14c	7.48485500522086e-26	-1.53024503848888	0	1	2.52209674255922e-21	DN_Precursors	Cluster_14
Clnk	2.33369275054729e-23	-4.27305698225039	0.01	1	7.86361109224415e-19	DN_Precursors	Cluster_14
Zbtb16	2.33369275054729e-23	-2.91385785716821	0.01	1	7.86361109224415e-19	DN_Precursors	Cluster_14
Adam12	2.96883801909912e-23	-3.28646191043849	0.01	1	1.00037965891564e-18	DN_Precursors	Cluster_14
Abi3bp	1.26740034381352e-22	-2.96807818294182	0	0.875	4.27063219851403e-18	DN_Precursors	Cluster_14
Bcl2a1b	1.26740034381352e-22	-2.07018714774869	0	0.875	4.27063219851403e-18	DN_Precursors	Cluster_14
Ccr6	1.26740034381352e-22	-1.80469593713117	0	0.875	4.27063219851403e-18	DN_Precursors	Cluster_14
Kcnk1	1.26740034381352e-22	-1.63420871553511	0	0.875	4.27063219851403e-18	DN_Precursors	Cluster_14
Colgalt2	1.26740034381352e-22	-1.56194392382299	0	0.875	4.27063219851403e-18	DN_Precursors	Cluster_14
Or13a27	1.26740034381352e-22	-1.53047247780245	0	0.875	4.27063219851403e-18	DN_Precursors	Cluster_14
Pxdc1	1.26740034381352e-22	-1.1940882884179	0	0.875	4.27063219851403e-18	DN_Precursors	Cluster_14
Coro2b	2.87064210536118e-21	-2.23813845989632	0.019	1	9.67291563822503e-17	DN_Precursors	Cluster_14
S100a4	4.11164841465183e-20	-3.83145314321011	0.01	0.875	1.38546104980108e-15	DN_Precursors	Cluster_14
Rnf150	4.11164841465183e-20	-2.97240952639071	0.01	0.875	1.38546104980108e-15	DN_Precursors	Cluster_14
Il2rb	4.11164841465183e-20	-1.61188042891556	0.01	0.875	1.38546104980108e-15	DN_Precursors	Cluster_14
Apol7e	4.11164841465183e-20	-1.41255134704083	0.01	0.875	1.38546104980108e-15	DN_Precursors	Cluster_14
Apol7b	1.90259156993471e-19	-2.50607420336813	0	0.75	6.41097255405201e-15	DN_Precursors	Cluster_14
Trpm6	1.90259156993471e-19	-2.00347097223493	0	0.75	6.41097255405201e-15	DN_Precursors	Cluster_14
Rhobtb1	1.90259156993471e-19	-1.69066806805365	0	0.75	6.41097255405201e-15	DN_Precursors	Cluster_14
Tns4	1.90259156993471e-19	-1.68016417656255	0	0.75	6.41097255405201e-15	DN_Precursors	Cluster_14
Acsbg1	1.90259156993471e-19	-1.43679176547506	0	0.75	6.41097255405201e-15	DN_Precursors	Cluster_14
Fam83a	1.90259156993471e-19	-1.28895286927577	0	0.75	6.41097255405201e-15	DN_Precursors	Cluster_14
Tdrd9	1.90259156993471e-19	-1.21033502789156	0	0.75	6.41097255405201e-15	DN_Precursors	Cluster_14
Aqp3	1.90259156993471e-19	-0.930782682778525	0	0.75	6.41097255405201e-15	DN_Precursors	Cluster_14
Ryk	1.90259156993471e-19	-0.913570592311529	0	0.75	6.41097255405201e-15	DN_Precursors	Cluster_14
Pdcd1	3.70387069503818e-18	-1.91080667678247	0.019	0.875	1.24805626940006e-13	DN_Precursors	Cluster_14
S100a6	4.5721650040471e-18	-4.02843176912533	0.019	0.875	1.54063671976371e-13	DN_Precursors	Cluster_14
Itgb7	3.18649475735751e-17	-2.56567052365355	0.048	1	1.07372127343919e-12	DN_Precursors	Cluster_14
Ckb	6.22467680141223e-17	-2.47202059965155	0.01	0.75	2.09746709500386e-12	DN_Precursors	Cluster_14
Myo1e	6.22467680141223e-17	-2.23845691355936	0.01	0.75	2.09746709500386e-12	DN_Precursors	Cluster_14
Slc24a3	6.22467680141223e-17	-2.10762555561847	0.01	0.75	2.09746709500386e-12	DN_Precursors	Cluster_14
Jaml	6.22467680141223e-17	-1.50327725106952	0.01	0.75	2.09746709500386e-12	DN_Precursors	Cluster_14
