	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Cdk6	2.56794306638797e-31	3.39864953616927	1	0.346	8.65294095650091e-27	DN_Precursors	Stroma
Myl10	2.99791718643591e-31	3.44387780022072	0.952	0.025	1.01017817514145e-26	DN_Precursors	Stroma
Fkbp5	5.37477180779601e-31	3.21315021527856	0.99	0.321	1.81108310835494e-26	DN_Precursors	Stroma
Gm4632	5.80118550701565e-31	3.47694768460548	0.942	0.012	1.95476746844399e-26	DN_Precursors	Stroma
Il2ra	6.64612882897502e-31	3.38380074562159	0.942	0.012	2.23947957021142e-26	DN_Precursors	Stroma
Notch1	2.09981906811437e-30	2.50095570224633	0.962	0.074	7.07555033191819e-26	DN_Precursors	Stroma
Ctss	1.17292144410801e-29	-3.31299817653568	0.029	0.864	3.95227609806637e-25	DN_Precursors	Stroma
Dntt	1.26975001911123e-29	2.82747521505467	1	0.272	4.2785496643972e-25	DN_Precursors	Stroma
Uck2	2.40054495285187e-29	2.38676362523099	0.952	0.185	8.08887627312967e-25	DN_Precursors	Stroma
Cd3g	2.96728868280463e-29	3.38433080635245	1	0.333	9.99857594557847e-25	DN_Precursors	Stroma
Aqp11	5.97554244740295e-28	2.24158930812391	0.962	0.111	2.0135187830769e-23	DN_Precursors	Stroma
Trgc2	1.27335643217236e-27	2.86558909999601	0.885	0.012	4.29070183384799e-23	DN_Precursors	Stroma
Trgc1	1.33138058825041e-27	2.3406585847938	0.904	0.025	4.48622003016858e-23	DN_Precursors	Stroma
Notch3	5.7201235710355e-27	2.37698162962125	0.856	0	1.92745283849612e-22	DN_Precursors	Stroma
Fam169b	5.84107649039797e-27	2.25183744599911	0.971	0.259	1.9682091342045e-22	DN_Precursors	Stroma
Arpp21	4.6114546715636e-26	2.68783761266545	1	0.247	1.55387576613007e-21	DN_Precursors	Stroma
2610307P16Rik	6.3856881476975e-26	2.58940114845099	0.99	0.272	2.15172147824815e-21	DN_Precursors	Stroma
Gria3	7.92153486996199e-26	2.0577118217566	0.885	0.049	2.66924038978239e-21	DN_Precursors	Stroma
Plekha7	1.32736944928342e-25	1.66406107207242	0.846	0.012	4.4727040963054e-21	DN_Precursors	Stroma
Prkca	2.48828943143878e-24	1.96493880509959	1	0.42	8.38454006817612e-20	DN_Precursors	Stroma
Hdac4	2.98072076269862e-24	2.40725535075376	0.913	0.198	1.00438366819893e-19	DN_Precursors	Stroma
Wwox	4.27753992977921e-24	3.13660586607694	0.933	0.333	1.4413598547384e-19	DN_Precursors	Stroma
Adamts17	5.40528563434415e-24	2.01722253796705	0.788	0	1.8213650473486e-19	DN_Precursors	Stroma
Runx1	5.78816704981322e-24	2.17558207799694	1	0.556	1.95038076910506e-19	DN_Precursors	Stroma
Atp8b4	1.00018688538952e-23	2.22417458147481	0.904	0.21	3.37022972900853e-19	DN_Precursors	Stroma
Bcl11b	1.27630081697481e-23	2.0998898656182	1	0.296	4.30062323287833e-19	DN_Precursors	Stroma
Rgcc	2.07976254575193e-23	2.09130120461731	0.952	0.284	7.00796787416569e-19	DN_Precursors	Stroma
Cd74	2.47167560941377e-23	-5.96625971537839	0.019	0.716	8.32855813348065e-19	DN_Precursors	Stroma
Cd3e	2.81361428106102e-23	2.0943093546755	0.952	0.247	9.48075468146323e-19	DN_Precursors	Stroma
1500009L16Rik	2.92042022838156e-23	1.38234005814886	0.788	0.012	9.84064800155452e-19	DN_Precursors	Stroma
Naxd	3.55235254025948e-23	1.34865896218052	0.933	0.321	1.19700071196583e-18	DN_Precursors	Stroma
Mtf2	3.86914548956085e-23	1.87735278079473	0.952	0.37	1.30374726416242e-18	DN_Precursors	Stroma
5830418P13Rik	4.43316627211912e-23	1.76948993600248	0.885	0.185	1.49379970705326e-18	DN_Precursors	Stroma
Sox4	1.10105266946686e-22	1.75929976186055	0.913	0.21	3.71010707503553e-18	DN_Precursors	Stroma
Cux1	1.46347519186534e-22	1.76600619302842	1	0.654	4.93132600650946e-18	DN_Precursors	Stroma
Xrcc6	1.98008437727177e-22	1.64939708850244	0.962	0.383	6.67209231765497e-18	DN_Precursors	Stroma
H2-Aa	3.48488112957457e-22	-5.11558070544252	0.019	0.691	1.17426554542145e-17	DN_Precursors	Stroma
Ifi30	4.68483835215186e-22	-3.03483488108216	0.019	0.691	1.57860313114109e-17	DN_Precursors	Stroma
Trgc4	5.36899543236658e-22	1.94333279070246	0.74	0	1.80913670089024e-17	DN_Precursors	Stroma
Nck2	5.49775055442534e-22	1.83177032835792	0.913	0.309	1.85252202681916e-17	DN_Precursors	Stroma
Lat	5.49775055442534e-22	1.48410462398607	0.952	0.259	1.85252202681916e-17	DN_Precursors	Stroma
Dnajc6	6.03273141343739e-22	1.8345088523831	0.837	0.099	2.03278917707186e-17	DN_Precursors	Stroma
Cdca7	6.26991277076213e-22	1.33159315172565	0.846	0.111	2.11270980723601e-17	DN_Precursors	Stroma
Myb	1.07082262662173e-21	1.67378925360969	0.981	0.272	3.60824392266457e-17	DN_Precursors	Stroma
Ccdc18	1.15278369912631e-21	1.68850533462159	0.75	0.025	3.88441995257603e-17	DN_Precursors	Stroma
Pgpep1l	1.20844430564459e-21	1.64427978310049	0.74	0.012	4.07197393230003e-17	DN_Precursors	Stroma
Trgv2	1.30923438073242e-21	2.52439114248574	0.731	0	4.41159616931595e-17	DN_Precursors	Stroma
Prkch	1.53932866680938e-21	1.45444228804564	1	0.358	5.18692187568088e-17	DN_Precursors	Stroma
Ptcra	2.37217690337152e-21	1.69763841289671	0.74	0.025	7.99328729360066e-17	DN_Precursors	Stroma
Pag1	2.57237291306314e-21	1.80802513083481	1	0.58	8.66786776785756e-17	DN_Precursors	Stroma
Nckap5	2.73402317388345e-21	1.56486361809569	0.731	0.012	9.21256448671766e-17	DN_Precursors	Stroma
