	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Gm4632	1.00079534358356e-59	3.43532675854036	0.942	0.041	3.37227998973917e-55	DN_Precursors	preDP_ISP
Il2ra	2.71623664600058e-58	3.32082387021709	0.942	0.055	9.15263100236354e-54	DN_Precursors	preDP_ISP
Atp8b4	1.08761185738527e-52	2.55357477889453	0.904	0.073	3.66481691464541e-48	DN_Precursors	preDP_ISP
Trgc1	9.93210575652005e-49	2.34562193881203	0.904	0.109	3.346722355717e-44	DN_Precursors	preDP_ISP
Gria3	1.9719333126677e-48	2.10341188308553	0.885	0.105	6.64462649036507e-44	DN_Precursors	preDP_ISP
Ptma	1.42986041643174e-45	-1.63634531879928	0.99	1	4.81805765920838e-41	DN_Precursors	preDP_ISP
Trgc2	2.55427619818128e-45	2.62168120781306	0.885	0.136	8.60688907739163e-41	DN_Precursors	preDP_ISP
Calm1	2.49599479344238e-43	-1.91303992340037	0.721	1	8.41050405598344e-39	DN_Precursors	preDP_ISP
Cdk6	2.59922419930382e-43	2.53366666112712	1	0.75	8.75834586197415e-39	DN_Precursors	preDP_ISP
Hmgn2	4.08654171333468e-43	-2.28000459505329	0.721	1	1.37700109572525e-38	DN_Precursors	preDP_ISP
Myl10	1.00419814089965e-42	2.89600857147749	0.952	0.473	3.38374605557546e-38	DN_Precursors	preDP_ISP
Hmgb2	1.10380359825106e-42	-2.91604778515057	0.894	1	3.71937660466678e-38	DN_Precursors	preDP_ISP
Dut	3.41368909134398e-42	-2.08904081022685	0.798	1	1.15027667621927e-37	DN_Precursors	preDP_ISP
Dek	6.71363408923978e-42	-1.80118531216347	0.606	0.991	2.26222614271023e-37	DN_Precursors	preDP_ISP
H2az1	2.64267425614172e-41	-2.1144515604373	0.923	1	8.90475517349513e-37	DN_Precursors	preDP_ISP
Ppia	9.89717143022718e-41	-1.38104069800713	0.971	1	3.33495088512935e-36	DN_Precursors	preDP_ISP
Hmgb1	1.02408640097272e-40	-1.71979577718265	0.971	1	3.45076153671768e-36	DN_Precursors	preDP_ISP
Ccnd2	1.32147359750334e-40	1.60086997954952	0.856	0.136	4.45283743414726e-36	DN_Precursors	preDP_ISP
Adamts17	1.52649230504927e-40	1.93725188614781	0.788	0.095	5.14366847109402e-36	DN_Precursors	preDP_ISP
Plekha7	2.07438930046321e-40	1.55628956774826	0.846	0.15	6.98986218684082e-36	DN_Precursors	preDP_ISP
Pclaf	3.79629512630488e-40	-2.63577511628758	0.144	0.959	1.27919960575969e-35	DN_Precursors	preDP_ISP
Pcna	9.74143328637744e-39	-1.90269038760748	0.577	0.991	3.28247336017774e-34	DN_Precursors	preDP_ISP
Rrm2	9.85853482373089e-39	-2.02129396410165	0.125	0.918	3.32193189420436e-34	DN_Precursors	preDP_ISP
Nckap5	1.14075218617765e-38	1.51770382228922	0.731	0.064	3.84387856654423e-34	DN_Precursors	preDP_ISP
Ppt1	1.60844672888704e-38	1.8746657997842	0.952	0.532	5.41982209765778e-34	DN_Precursors	preDP_ISP
Pag1	2.31926625722988e-38	1.99132829552176	1	0.85	7.81499958036181e-34	DN_Precursors	preDP_ISP
Anp32b	5.06229412298984e-38	-1.37690276559769	0.913	1	1.70579062768266e-33	DN_Precursors	preDP_ISP
Lmnb1	6.67903743920531e-38	-1.58032253565767	0.548	0.982	2.25056845551462e-33	DN_Precursors	preDP_ISP
Cd8b1	8.66262040960214e-38	-2.50230902524892	0.212	0.955	2.91895657321954e-33	DN_Precursors	preDP_ISP
Stmn1	9.61236929247863e-38	-1.80925196625082	0.913	1	3.2389839567936e-33	DN_Precursors	preDP_ISP
Wwox	1.17572608851449e-37	3.36120025593589	0.933	0.514	3.96172662785841e-33	DN_Precursors	preDP_ISP
Prkca	4.45696478210803e-37	1.75629144028217	1	0.755	1.50181885297912e-32	DN_Precursors	preDP_ISP
Hes1	6.18992559103744e-37	1.98766387238663	0.74	0.091	2.08575732715598e-32	DN_Precursors	preDP_ISP
Trgc4	1.23292014769208e-36	1.78367058336734	0.74	0.082	4.15444772966322e-32	DN_Precursors	preDP_ISP
Nasp	1.41775587475727e-36	-1.61419740837823	0.529	0.995	4.7772701955821e-32	DN_Precursors	preDP_ISP
Cox7a2	2.43140529221263e-36	-1.20246642618091	0.885	0.995	8.19286327263967e-32	DN_Precursors	preDP_ISP
Coro2a	2.81406069197206e-36	1.02561907033386	0.654	0.032	9.48225890766906e-32	DN_Precursors	preDP_ISP
Hnrnpa3	3.71124007723162e-36	-1.08514082349411	0.971	1	1.25053945642397e-31	DN_Precursors	preDP_ISP
Txn1	4.08171444356193e-36	-1.23634001016507	0.923	1	1.37537449890263e-31	DN_Precursors	preDP_ISP
Tubb5	4.23933206828783e-36	-1.59473287784072	0.837	1	1.42848533373027e-31	DN_Precursors	preDP_ISP
Epb41l4b	6.17573224202791e-36	1.12661296867675	0.654	0.036	2.08097473627372e-31	DN_Precursors	preDP_ISP
B2m	9.99410778309146e-36	1.63279871617744	0.99	0.932	3.3676145585905e-31	DN_Precursors	preDP_ISP
Rbm3	1.2682416220925e-35	-1.22188905874924	0.904	1	4.27346696980288e-31	DN_Precursors	preDP_ISP
Trgv2	2.07630400741158e-35	2.35759561719435	0.731	0.1	6.99631398337406e-31	DN_Precursors	preDP_ISP
Mki67	3.88119409121846e-35	-1.90069862699581	0.154	0.932	1.30780716097697e-30	DN_Precursors	preDP_ISP
Il7r	8.43713961791523e-35	1.4311599188797	0.76	0.123	2.84297856565271e-30	DN_Precursors	preDP_ISP
Etv6	1.30906554362068e-34	1.52646487670223	0.99	0.768	4.41102725578425e-30	DN_Precursors	preDP_ISP
Hells	2.03960447274514e-34	-1.66373537675831	0.394	0.968	6.87265123136203e-30	DN_Precursors	preDP_ISP
Gmnn	2.08200690225567e-34	-1.46591238990545	0.308	0.955	7.01553045784072e-30	DN_Precursors	preDP_ISP
Prkch	2.18684550583757e-34	1.42577629697359	1	0.636	7.36879461647026e-30	DN_Precursors	preDP_ISP
Ran	2.32888280464036e-34	-1.54134927725135	0.856	0.991	7.84740349851615e-30	DN_Precursors	preDP_ISP
Tmpo	2.35486878663913e-34	-1.30967682583563	0.76	0.995	7.93496586345923e-30	DN_Precursors	preDP_ISP
Hdac4	2.79058047917827e-34	2.29846366144457	0.913	0.441	9.40313998263909e-30	DN_Precursors	preDP_ISP
Lockd	5.22328344157008e-34	-1.651011169815	0.288	0.964	1.76003758847145e-29	DN_Precursors	preDP_ISP
Tuba1b	5.40596706796098e-34	-1.79423884398605	0.529	0.977	1.82159466322013e-29	DN_Precursors	preDP_ISP
Hnrnpab	6.57120643903807e-34	-1.10643801529979	0.913	1	2.21423372169827e-29	DN_Precursors	preDP_ISP
Cmah	8.33655792024944e-34	1.93136848366735	0.942	0.523	2.80908655680725e-29	DN_Precursors	preDP_ISP
Parp8	9.5156884623074e-34	1.30132556347227	0.731	0.105	3.2064063842591e-29	DN_Precursors	preDP_ISP
Dpp4	1.40679220311589e-33	1.45817088160055	0.952	0.577	4.74032700761929e-29	DN_Precursors	preDP_ISP
Zeb2	1.44732401376312e-33	1.78840075344337	0.692	0.077	4.87690299677621e-29	DN_Precursors	preDP_ISP
Tmem131	1.48703577053587e-33	1.63500020944169	0.962	0.827	5.01071573239766e-29	DN_Precursors	preDP_ISP
H2az2	1.97713364638253e-33	-1.44597896569747	0.875	0.995	6.66214953485057e-29	DN_Precursors	preDP_ISP
Cd8a	2.66319246070919e-33	-2.05693319968201	0.173	0.882	8.9738933156057e-29	DN_Precursors	preDP_ISP
Rnf220	2.82399384113374e-33	1.89092201135067	0.875	0.395	9.51572964708425e-29	DN_Precursors	preDP_ISP
Notch1	2.95386098482322e-33	1.7514552370301	0.962	0.659	9.95332997446031e-29	DN_Precursors	preDP_ISP
Mcm5	8.8931386414413e-33	-1.25589347436719	0.24	0.932	2.99663199662006e-28	DN_Precursors	preDP_ISP
Fam169b	9.66493192559237e-33	1.6073634188129	0.971	0.736	3.25669546164761e-28	DN_Precursors	preDP_ISP
Notch3	1.74909887769101e-32	2.05050123608707	0.856	0.336	5.89376357826761e-28	DN_Precursors	preDP_ISP
Banf1	1.83553927993687e-32	-1.04688798057864	0.846	0.995	6.18503315767526e-28	DN_Precursors	preDP_ISP
Lpp	1.86280518379977e-32	1.42666877631986	0.894	0.364	6.27690834733171e-28	DN_Precursors	preDP_ISP
Ndufa4	2.84584514655025e-32	-1.07945439506402	0.885	1	9.58935980581572e-28	DN_Precursors	preDP_ISP
Ctla2a	3.3778122878261e-32	0.995824225663858	0.567	0.014	1.13818762850588e-27	DN_Precursors	preDP_ISP
Plac8	4.48779237859445e-32	2.45705641909988	0.865	0.3	1.51220651989119e-27	DN_Precursors	preDP_ISP
Rfc4	5.25972129469973e-32	-1.23427624618606	0.212	0.9	1.77231568746202e-27	DN_Precursors	preDP_ISP
Mcm3	5.90859926659815e-32	-1.38355500863281	0.375	0.982	1.99096160887291e-27	DN_Precursors	preDP_ISP
Malat1	7.9605862389502e-32	1.65974450177102	1	0.995	2.68239913907666e-27	DN_Precursors	preDP_ISP
Ppp1r14b	9.52526394649852e-32	-1.08437606799762	0.933	1	3.20963293941214e-27	DN_Precursors	preDP_ISP
Slbp	1.06543619696229e-31	-1.67456294280519	0.567	0.968	3.59009380928413e-27	DN_Precursors	preDP_ISP
Gm43305	2.13776537546361e-31	-1.37199561797366	0.173	0.864	7.20341420916218e-27	DN_Precursors	preDP_ISP
Cox6a1	3.77625221942486e-31	-1.13103604339718	0.731	0.995	1.2724459478574e-26	DN_Precursors	preDP_ISP
H2-K1	4.67766161999702e-31	1.66826010142432	0.923	0.541	1.5761848594742e-26	DN_Precursors	preDP_ISP
Pfn1	4.70090461470637e-31	-0.865238758342209	0.962	0.995	1.58401681897146e-26	DN_Precursors	preDP_ISP
Snrpd1	5.50465637010558e-31	-1.10723326331148	0.865	1	1.85484901047078e-26	DN_Precursors	preDP_ISP
Atp5j	6.54881692737835e-31	-0.956539253708501	0.904	1	2.20668935184941e-26	DN_Precursors	preDP_ISP
Trbc2	7.88835406220359e-31	-1.48898909120156	0.942	0.995	2.65805978480012e-26	DN_Precursors	preDP_ISP
Fkbp5	1.04337373673365e-30	1.37368426156866	0.99	0.964	3.51575214329771e-26	DN_Precursors	preDP_ISP
Runx1	1.46315562307807e-30	1.59087038082753	1	0.955	4.93024918752387e-26	DN_Precursors	preDP_ISP
Ncapg2	1.53412773374658e-30	-1.36143913762552	0.154	0.873	5.16939681163248e-26	DN_Precursors	preDP_ISP
Tcf7	1.58882309884352e-30	-1.16414680250541	0.952	0.995	5.35369831386311e-26	DN_Precursors	preDP_ISP
2610307P16Rik	2.00604384733602e-30	1.6419708016277	0.99	0.927	6.75956534798345e-26	DN_Precursors	preDP_ISP
Ranbp1	2.19830450955536e-30	-1.34344202400032	0.788	1	7.40740687539775e-26	DN_Precursors	preDP_ISP
Lsm5	3.12760316019398e-30	-1.11963030645325	0.731	0.982	1.05387716085896e-25	DN_Precursors	preDP_ISP
Alyref	7.63644489424774e-30	-1.10818946518627	0.788	0.977	2.57317647156572e-25	DN_Precursors	preDP_ISP
Maml3	1.05789809662452e-29	1.93756996778492	0.885	0.405	3.56469342638598e-25	DN_Precursors	preDP_ISP
5830418P13Rik	1.23124778469691e-29	1.52667655633517	0.885	0.477	4.1488125353147e-25	DN_Precursors	preDP_ISP
Atp5h	1.28666346530985e-29	-0.946546595325775	0.913	1	4.33554121270807e-25	DN_Precursors	preDP_ISP
Tipin	1.52864786170597e-29	-1.21214603545319	0.462	0.973	5.15093183480442e-25	DN_Precursors	preDP_ISP
H3f3a	1.55481802985872e-29	-0.747775476862862	0.99	1	5.23911483341195e-25	DN_Precursors	preDP_ISP
Spc24	1.6333887588888e-29	-1.14591588804472	0.173	0.859	5.5038667619517e-25	DN_Precursors	preDP_ISP
Atp8a1	2.03639730366279e-29	1.62262236854335	0.952	0.705	6.86184435442213e-25	DN_Precursors	preDP_ISP
Clspn	2.70194844302007e-29	-1.42575087349682	0.115	0.832	9.10448547360041e-25	DN_Precursors	preDP_ISP
Cox8a	3.18235545069784e-29	-0.97134069057077	0.885	0.995	1.07232649266714e-24	DN_Precursors	preDP_ISP
Birc5	3.24099821321264e-29	-1.65389162339336	0.115	0.827	1.09208675792413e-24	DN_Precursors	preDP_ISP
Tsc22d1	3.29674187650004e-29	1.63844681874752	0.856	0.377	1.11087014270545e-24	DN_Precursors	preDP_ISP
Hnrnpa2b1	3.45795723325283e-29	-0.819873821836081	1	1	1.16519326931687e-24	DN_Precursors	preDP_ISP
Cfl1	3.73971039403254e-29	-0.886169436079036	0.933	1	1.26013281437321e-24	DN_Precursors	preDP_ISP
Elob	4.78476304736041e-29	-1.01703896655774	0.875	0.995	1.61227375643856e-24	DN_Precursors	preDP_ISP
Pitpnc1	5.15837896159968e-29	1.5677438072966	0.962	0.75	1.73816737490063e-24	DN_Precursors	preDP_ISP
Rpa3	5.87987070588668e-29	-1.15888880411697	0.529	0.95	1.98128123305558e-24	DN_Precursors	preDP_ISP
Atp5k	8.8224345102678e-29	-1.03368344168652	0.846	0.982	2.97280753257984e-24	DN_Precursors	preDP_ISP
Mcm4	9.92194051645078e-29	-1.17800153481102	0.462	0.95	3.34329707642326e-24	DN_Precursors	preDP_ISP
Slc9a9	1.19953310813993e-28	1.77856918477865	0.99	0.805	4.0419467611883e-24	DN_Precursors	preDP_ISP
Tpd52	1.20915122885305e-28	1.00272496846853	0.721	0.145	4.07435598074323e-24	DN_Precursors	preDP_ISP
Atad2	1.74704528002742e-28	-1.46766529268471	0.413	0.955	5.8868437755804e-24	DN_Precursors	preDP_ISP
Arhgap26	2.00892700318391e-28	1.50527255693375	0.856	0.377	6.76928042992849e-24	DN_Precursors	preDP_ISP
E2f2	2.20725217711097e-28	-1.36838329924397	0.269	0.895	7.43755693599312e-24	DN_Precursors	preDP_ISP
Atp5g3	2.21750199796874e-28	-0.950279659832022	0.846	0.995	7.47209473235546e-24	DN_Precursors	preDP_ISP
Oaz1	3.56317636012162e-28	-0.998628378256067	0.942	0.995	1.20064790630658e-23	DN_Precursors	preDP_ISP
Dnajc15	3.82236020609021e-28	-1.20714640311339	0.51	0.986	1.28798249504416e-23	DN_Precursors	preDP_ISP
Gapdh	7.43366688981079e-28	-0.94960171334944	0.904	0.991	2.50484839519065e-23	DN_Precursors	preDP_ISP
Wdfy4	7.84103288011335e-28	0.727544175041755	0.5	0.014	2.64211443928299e-23	DN_Precursors	preDP_ISP
Zmynd8	8.36452341373996e-28	1.2727666231682	0.904	0.491	2.81850980949382e-23	DN_Precursors	preDP_ISP
Prim1	8.48251025684848e-28	-1.21366931542988	0.212	0.882	2.85826665614766e-23	DN_Precursors	preDP_ISP
