	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Ptma	1.10114408264202e-25	2.81468597851267	1	0.949	3.71041510087056e-21	DPblast	Cluster_13
Ppia	1.53619084710644e-25	2.96295793872997	1	0.744	5.17634867840985e-21	DPblast	Cluster_13
Tpt1	2.02623177561838e-25	3.51898112716812	1	0.744	6.82759059112371e-21	DPblast	Cluster_13
H2ac22	2.46201374620793e-25	3.32446486723328	0.995	0.051	8.29600151922223e-21	DPblast	Cluster_13
Pfn1	2.51100990677596e-25	2.60710045249767	0.998	0.462	8.46109898187227e-21	DPblast	Cluster_13
H4c4	2.70785833923086e-25	3.91909251073867	1	0.256	9.12439945987232e-21	DPblast	Cluster_13
H3f3a	3.18055389336312e-25	2.46040524462405	1	0.821	1.07171943990764e-20	DPblast	Cluster_13
Serf2	3.21101595828313e-25	2.4558013846887	0.998	0.308	1.08198393730308e-20	DPblast	Cluster_13
H2az1	3.58301400557004e-25	3.07935967177807	1	0.744	1.20733239931688e-20	DPblast	Cluster_13
H1f5	3.88984159263675e-25	3.93306200924019	1	0.641	1.31072102305488e-20	DPblast	Cluster_13
Rps23	4.40741132601957e-25	3.34022757982306	1	0.308	1.48512132041555e-20	DPblast	Cluster_13
Hmgb1	4.58927653176996e-25	1.95711826890417	1	0.974	1.54640262014521e-20	DPblast	Cluster_13
Ubb	5.70959800649891e-25	3.35454470242279	1	0.564	1.92390614426987e-20	DPblast	Cluster_13
Rpl39	5.79566049803423e-25	3.52016023344091	1	0.282	1.95290576141761e-20	DPblast	Cluster_13
H2ac24	5.95920106231565e-25	3.77381550744087	0.997	0.359	2.00801238995788e-20	DPblast	Cluster_13
Rplp1	6.025992778708e-25	3.27787792854131	1	0.462	2.03051852671345e-20	DPblast	Cluster_13
Rps29	6.91740099570229e-25	2.98664737087725	1	0.615	2.33088743951184e-20	DPblast	Cluster_13
H2ac8	6.95248552476543e-25	3.7501139495398	0.995	0.333	2.34270952242496e-20	DPblast	Cluster_13
Rpl19	8.07057770851125e-25	2.88368572166444	1	0.513	2.71946186465995e-20	DPblast	Cluster_13
Rpl27	8.82447061397571e-25	2.77059469306678	1	0.359	2.97349361808526e-20	DPblast	Cluster_13
Stmn1	1.07099023997076e-24	2.43829537862776	1	0.744	3.60880871260547e-20	DPblast	Cluster_13
Rpl21	1.08715570208583e-24	2.86956570329155	1	0.333	3.6632798537484e-20	DPblast	Cluster_13
Gapdh	1.09594025806763e-24	2.94529075498769	0.995	0.154	3.69288029358467e-20	DPblast	Cluster_13
Fau	1.11033836391851e-24	2.44508306255099	1	0.667	3.74139615105983e-20	DPblast	Cluster_13
Atp5e	1.1895290909106e-24	2.58871975462438	0.993	0.051	4.00823722473234e-20	DPblast	Cluster_13
Rps24	1.39250133252701e-24	3.00855323621373	1	0.615	4.69217249008302e-20	DPblast	Cluster_13
Rpl28	1.60926666751602e-24	2.76043149096601	1	0.59	5.42258496286197e-20	DPblast	Cluster_13
H3c3	1.70183621786797e-24	3.3424783055157	0.997	0.154	5.73450731972791e-20	DPblast	Cluster_13
Rps27	1.79307526433077e-24	2.64923054408275	1	0.538	6.04194641068895e-20	DPblast	Cluster_13
Actb	1.98246203585218e-24	2.36064701787828	1	0.846	6.68010407600749e-20	DPblast	Cluster_13
Rpl35a	2.09123809205892e-24	2.58174817588482	1	0.59	7.04663587500175e-20	DPblast	Cluster_13
Rpl17	2.3266995394726e-24	2.81218488899101	0.998	0.436	7.84004676820688e-20	DPblast	Cluster_13
Rps17	2.45436726654436e-24	2.73592587226175	0.998	0.385	8.27023594134788e-20	DPblast	Cluster_13
Rps15a	2.65606302304177e-24	2.7745302954129	0.998	0.667	8.94986996244154e-20	DPblast	Cluster_13
Rps26	3.0990318434139e-24	3.18092143955333	0.998	0.333	1.04424976995675e-19	DPblast	Cluster_13
Elob	3.1720311360609e-24	2.40422427026077	0.997	0.179	1.06884761160708e-19	DPblast	Cluster_13
Rps11	3.36817186847971e-24	2.97289547530206	1	0.513	1.13493919280292e-19	DPblast	Cluster_13
Rplp0	3.42989350106076e-24	2.89554298555614	1	0.538	1.15573691411743e-19	DPblast	Cluster_13
Rpl34	4.06584367412002e-24	2.65482742901087	1	0.487	1.37002668443148e-19	DPblast	Cluster_13
Rps5	4.35859343983832e-24	2.93282673280433	1	0.308	1.46867164548792e-19	DPblast	Cluster_13
Rps16	4.86788705714418e-24	2.680717350289	1	0.615	1.6402832227753e-19	DPblast	Cluster_13
Snrpg	5.23751025497002e-24	2.73485105348905	0.993	0.205	1.7648314555147e-19	DPblast	Cluster_13
Rpl6	5.60414474447805e-24	2.68501467308276	0.997	0.41	1.88837261309932e-19	DPblast	Cluster_13
Atp5o	6.38913718739983e-24	2.04407372725971	0.989	0.077	2.15288366666625e-19	DPblast	Cluster_13
Cox6b1	6.53691691639399e-24	2.28954144705765	0.974	0.051	2.20267952414812e-19	DPblast	Cluster_13
Rplp2	6.65652279801854e-24	2.52392841437558	1	0.641	2.24298192202033e-19	DPblast	Cluster_13
Rps3a1	7.27835850839658e-24	2.51189039773608	1	0.667	2.45251568298931e-19	DPblast	Cluster_13
H1f4	7.77664885171301e-24	2.99082725524889	0.993	0.308	2.62041959707322e-19	DPblast	Cluster_13
Hmgn2	8.347456098956e-24	2.53707405695874	0.998	0.513	2.81275880710421e-19	DPblast	Cluster_13
Rpl22	8.79602785642105e-24	2.75439496446996	1	0.385	2.96390954649964e-19	DPblast	Cluster_13
mt-Co2	9.01681186030424e-24	-2.12663972096624	1	1	3.03830492444812e-19	DPblast	Cluster_13
Rps10	9.17502819277902e-24	2.5836517141158	1	0.667	3.09161749983882e-19	DPblast	Cluster_13
Rpl29	9.97768347254892e-24	2.48458822735095	0.995	0.282	3.36208022291008e-19	DPblast	Cluster_13
Hmgb2	1.03954631247363e-23	2.25333716690381	1	1	3.50285525451113e-19	DPblast	Cluster_13
Rpl32	1.13418551846459e-23	2.84366298000318	1	0.462	3.82175152301829e-19	DPblast	Cluster_13
Rps14	1.57594250179063e-23	2.57875380493627	1	0.59	5.31029585403371e-19	DPblast	Cluster_13
Rpl11	1.64780306808506e-23	2.30593374857016	1	0.667	5.55243721821942e-19	DPblast	Cluster_13
Rps25	1.74598737503195e-23	2.60880347981325	0.998	0.282	5.88327905890764e-19	DPblast	Cluster_13
Rps4x	1.74877042112592e-23	2.91750032517407	0.998	0.385	5.8926568110259e-19	DPblast	Cluster_13
H2ac20	1.76439932913329e-23	2.58446657504329	0.987	0.179	5.94531997944752e-19	DPblast	Cluster_13
Fth1	1.83929079364251e-23	2.30020831633996	0.99	0.359	6.1976742582578e-19	DPblast	Cluster_13
Sh3bgrl3	1.96931391869152e-23	2.1459901719574	0.993	0.205	6.63580018042293e-19	DPblast	Cluster_13
Snrpf	2.05021035270526e-23	2.10649767164275	1	0.359	6.90838880447565e-19	DPblast	Cluster_13
Rpl15	2.14567336047465e-23	2.54929533133514	1	0.487	7.23006095545539e-19	DPblast	Cluster_13
Txn1	2.25560625628282e-23	2.55495791039127	1	0.256	7.6004908411706e-19	DPblast	Cluster_13
Rpl23a	2.29351538709788e-23	2.68932707721827	0.997	0.256	7.72822944836501e-19	DPblast	Cluster_13
mt-Co3	2.38865002058487e-23	-2.14299970034704	0.998	1	8.04879510936278e-19	DPblast	Cluster_13
Rpl24	2.52949334556075e-23	2.68932392784313	1	0.256	8.52338077720151e-19	DPblast	Cluster_13
Rps13	2.62735746647828e-23	2.54352256517995	0.998	0.487	8.85314371904521e-19	DPblast	Cluster_13
Ndufa4	2.78895729776357e-23	2.38653697637138	0.985	0.179	9.39767051054411e-19	DPblast	Cluster_13
