	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Gm4632	1.63847186243615e-131	-3.41766945753089	0.02	0.942	5.52099478766484e-127	DPblast	DN_Precursors
Il2ra	2.01181157945645e-121	-3.34370069724206	0.038	0.942	6.77900029813647e-117	DPblast	DN_Precursors
Trgc1	1.97934290935119e-117	-2.52261825826636	0.031	0.904	6.66959386734978e-113	DPblast	DN_Precursors
Trgc2	6.65560961128189e-111	-2.88103469229257	0.038	0.885	2.24267421461755e-106	DPblast	DN_Precursors
Atp8b4	1.83476174193927e-109	-2.61192532430306	0.047	0.904	6.18241316563857e-105	DPblast	DN_Precursors
Trgc4	2.63049216878942e-102	-1.92245440266508	0.011	0.74	8.86370641195283e-98	DPblast	DN_Precursors
Hes1	3.310624519622e-100	-2.04834991756307	0.015	0.74	1.11554803813183e-95	DPblast	DN_Precursors
Gria3	4.30755838950267e-100	-2.13382280116508	0.059	0.885	1.45147487492682e-95	DPblast	DN_Precursors
Adamts17	1.22147588747717e-95	-1.97826088393141	0.034	0.788	4.11588515044307e-91	DPblast	DN_Precursors
Ccnd2	5.35350901613174e-91	-1.74156183609173	0.06	0.856	1.80391839807575e-86	DPblast	DN_Precursors
Trgv2	1.01346863695552e-90	-2.49464999644182	0.028	0.731	3.41498391908532e-86	DPblast	DN_Precursors
Plac8	1.16252765067498e-88	-3.10400300368436	0.082	0.865	3.91725317171441e-84	DPblast	DN_Precursors
Epb41l4b	7.15708793507153e-86	-1.13560929471479	0.015	0.654	2.4116523506017e-81	DPblast	DN_Precursors
Coro2a	1.32093817455973e-84	-1.02329685678309	0.015	0.654	4.45103327299646e-80	DPblast	DN_Precursors
Il7r	3.96934003249739e-81	-1.45238419011042	0.046	0.76	1.33750881735032e-76	DPblast	DN_Precursors
Nckap5	1.54244742822481e-77	-1.52679909696551	0.052	0.731	5.19743085414631e-73	DPblast	DN_Precursors
Wdfy4	4.0202827765207e-72	-0.737638732090098	0.002	0.5	1.35467448437641e-67	DPblast	DN_Precursors
Ctla2a	2.72377335273485e-71	-0.988158145941526	0.015	0.567	9.17802668937535e-67	DPblast	DN_Precursors
