	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
H2ac24	1.72483899998993e-103	3.61692891495674	0.997	0.777	5.81201749436608e-99	DPblast	preDP_ISP
H4c4	3.086732136628e-103	3.42894003169231	1	0.809	1.04010526075817e-98	DPblast	preDP_ISP
H3c3	1.26790171438899e-102	3.22384471834217	0.997	0.527	4.27232161680514e-98	DPblast	preDP_ISP
H2ac8	6.44299491329027e-102	3.65388994463537	0.995	0.718	2.17103156598229e-97	DPblast	preDP_ISP
H1f5	1.1203733173535e-101	3.67720575074443	1	0.859	3.77520993015435e-97	DPblast	preDP_ISP
H2ac4	1.44053241891789e-101	3.0581456769883	0.99	0.495	4.85401803878571e-97	DPblast	preDP_ISP
H2ac22	2.33109539647061e-101	2.60116966757839	0.995	0.632	7.85485904794738e-97	DPblast	preDP_ISP
H2ac20	1.33756447180785e-100	2.64300353191943	0.987	0.423	4.50705724420372e-96	DPblast	preDP_ISP
H1f4	1.12117862501148e-99	3.03624395640468	0.993	0.586	3.77792349483869e-95	DPblast	preDP_ISP
H1f3	3.51520976429555e-97	2.3475829219932	0.985	0.545	1.18448508217703e-92	DPblast	preDP_ISP
H2ac10	2.54911226127581e-96	2.13782511916769	0.971	0.255	8.58948867559498e-92	DPblast	preDP_ISP
Top2a	4.27713689493971e-95	2.03666133491015	1	0.914	1.44122404811888e-90	DPblast	preDP_ISP
H1f2	2.90100634393287e-93	2.28802580686232	0.985	0.532	9.77523097651619e-89	DPblast	preDP_ISP
H4c8	1.08332202167261e-92	2.26701222878973	0.977	0.482	3.65036188422801e-88	DPblast	preDP_ISP
H1f1	2.84834597672645e-92	2.42437771817245	0.966	0.405	9.59778660317743e-88	DPblast	preDP_ISP
H3c6	1.12627197053256e-89	1.78180242230961	0.94	0.255	3.7950860319065e-85	DPblast	preDP_ISP
H2bc15	3.61975492621053e-89	1.84781811690551	0.949	0.186	1.2197126199359e-84	DPblast	preDP_ISP
H2bc18	1.19512704986705e-86	1.67197783521697	0.94	0.205	4.02710010723203e-82	DPblast	preDP_ISP
Nusap1	1.25764835787126e-85	2.32872413571338	0.979	0.382	4.23777190668301e-81	DPblast	preDP_ISP
Spc25	7.14002044392248e-85	1.69086283813197	0.953	0.359	2.40590128878412e-80	DPblast	preDP_ISP
H3c11	8.94985647124394e-83	1.52035349109079	0.927	0.209	3.01574363655036e-78	DPblast	preDP_ISP
H3c7	1.04072642319068e-82	1.54652014254792	0.899	0.145	3.50683175558333e-78	DPblast	preDP_ISP
Prc1	6.64658452291842e-82	2.00681483497198	0.977	0.477	2.23963312084259e-77	DPblast	preDP_ISP
