	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Kif4	0	-2.25005700144494	0.002	0.667	0	DPre	Cluster_13
Neil3	2.01251856268771e-307	-2.61536143370515	0.005	0.718	6.7813825488325e-303	DPre	Cluster_13
Cit	2.2414263040513e-271	-2.00620407001388	0.004	0.615	7.55271007413127e-267	DPre	Cluster_13
Kif14	2.65948163119325e-247	-1.78831395838591	0.001	0.462	8.96138930446879e-243	DPre	Cluster_13
Aspm	1.90665656441971e-241	-2.01155653201858	0.004	0.59	6.42466995946865e-237	DPre	Cluster_13
Depdc1a	6.47754573798001e-237	-2.36300035064183	0.005	0.615	2.18267381186975e-232	DPre	Cluster_13
Anln	1.97651788491845e-230	-2.01506873693156	0.006	0.615	6.66007466502121e-226	DPre	Cluster_13
Diaph3	7.49893208918408e-227	-3.2159605932019	0.016	0.846	2.52684015677147e-222	DPre	Cluster_13
Ncapg2	4.55283367983597e-223	-2.07850230667823	0.005	0.59	1.53412283675753e-218	DPre	Cluster_13
Tpx2	8.30957913437733e-223	-2.55746927446825	0.007	0.641	2.79999578511979e-218	DPre	Cluster_13
Parpbp	5.58014018895103e-216	-1.52939033403954	0.001	0.41	1.88028403806894e-211	DPre	Cluster_13
Depdc1b	1.68413165158402e-210	-1.61363616363124	0.002	0.436	5.67485001317751e-206	DPre	Cluster_13
Hmmr	1.09832634901799e-206	-2.34931163142602	0.006	0.59	3.70092046565102e-202	DPre	Cluster_13
Shcbp1	5.10706961484377e-199	-1.67945443114062	0.004	0.487	1.72087817741776e-194	DPre	Cluster_13
Troap	9.96205280848558e-194	-1.18380574120014	0	0.333	3.3568133143473e-189	DPre	Cluster_13
Knl1	4.75012004342993e-191	-3.41873875293288	0.023	0.872	1.60060044983415e-186	DPre	Cluster_13
Kif11	9.59827501686202e-187	-3.30045171396783	0.026	0.897	3.23423474968182e-182	DPre	Cluster_13
Ckap2l	4.96692270536441e-185	-1.46199833155647	0.004	0.462	1.67365427479959e-180	DPre	Cluster_13
Clspn	5.56146176966655e-180	-1.66545896524203	0.007	0.564	1.87399015790684e-175	DPre	Cluster_13
Ncapg	4.70516596061618e-178	-1.41989357984883	0.004	0.462	1.58545272208923e-173	DPre	Cluster_13
Kif15	1.24435424337466e-177	-2.43854759694375	0.014	0.692	4.19297605847526e-173	DPre	Cluster_13
Cip2a	8.46143683290467e-176	-1.67039676426339	0.009	0.59	2.85116575521556e-171	DPre	Cluster_13
Mki67	1.2088927018182e-173	-3.79911809482299	0.036	0.974	4.07348484804662e-169	DPre	Cluster_13
Bub1	5.15530665465274e-171	-1.30211915010109	0.004	0.436	1.73713213035179e-166	DPre	Cluster_13
Cep55	1.2083461535879e-170	-1.41939975077941	0.003	0.41	4.07164319912977e-166	DPre	Cluster_13
Kif2c	3.38911888295827e-169	-1.1011289519438	0.001	0.333	1.14199749880162e-164	DPre	Cluster_13
Kif18b	2.80236466048788e-165	-1.14907219452736	0.002	0.359	9.44284795997997e-161	DPre	Cluster_13
Kntc1	5.54564820168303e-165	-1.25525421434544	0.002	0.359	1.86866161803911e-160	DPre	Cluster_13
Spag5	1.9529694918378e-159	-1.26884918102924	0.001	0.333	6.58072599969667e-155	DPre	Cluster_13
Mis18bp1	7.40522354607717e-159	-2.04101024081593	0.012	0.615	2.49526412608616e-154	DPre	Cluster_13
