	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster_1	cluster_2
Tox	0	-2.76818292927714	0.608	0.993	0	DPre	SP
Cd5	0	-2.58025377894481	0.15	0.812	0	DPre	SP
Rag1	2.31879304821155e-307	2.66230554894733	0.989	0.352	7.81340505525363e-303	DPre	SP
Cd2	1.22191555704083e-290	-2.12085515336787	0.183	0.818	4.11736666100477e-286	DPre	SP
Bach2	1.09286051005794e-278	-2.33749171151176	0.075	0.644	3.68250277469122e-274	DPre	SP
A430093F15Rik	1.66382806474153e-268	-1.8772125554342	0.016	0.464	5.60643504695308e-264	DPre	SP
Arpp21	6.58161207866164e-264	1.95401035463085	0.996	0.631	2.21774000602583e-259	DPre	SP
4930417O13Rik	5.01312820437004e-228	-1.46900058087423	0.059	0.546	1.68922367974453e-223	DPre	SP
Bcl2	1.96884800258643e-227	-1.9407522973132	0.069	0.564	6.63423022951525e-223	DPre	SP
Nab2	1.54062911389556e-226	-1.1669945383351	0.007	0.374	5.19130386218248e-222	DPre	SP
Ikzf2	1.71510934407392e-226	-3.10675526759206	0.278	0.804	5.77923244579148e-222	DPre	SP
Tmsb10	3.02740045506727e-222	-2.84120636209885	0.792	0.976	1.02011285733947e-217	DPre	SP
B630019A10Rik	1.62617631000259e-220	-1.37277690719389	0.013	0.387	5.47956369418472e-216	DPre	SP
Hivep3	1.30072645717466e-206	-2.29845291143419	0.065	0.516	4.38292787009572e-202	DPre	SP
Itm2a	5.49574903835896e-197	-2.05290928203388	0.064	0.496	1.85184759596543e-192	DPre	SP
Egr1	2.66476968616556e-196	-1.94893467717067	0.023	0.388	8.97920793450347e-192	DPre	SP
Dntt	9.5562373349408e-196	1.49350005119183	0.977	0.567	3.22006973238165e-191	DPre	SP
Cd28	2.23878275507031e-193	-1.63333148137667	0.635	0.954	7.54380237148491e-189	DPre	SP
Clec2d	2.77968338484005e-192	-1.48169316946244	0.201	0.741	9.36642113355703e-188	DPre	SP
Cd69	2.26553909935878e-187	-1.5706759357178	0.046	0.449	7.63396054919933e-183	DPre	SP
Arap2	2.52527166730622e-181	-1.66298792547824	0.453	0.899	8.50915541015503e-177	DPre	SP
Cd8b1	9.80777481193641e-179	1.15125025762962	0.999	0.784	3.30482780063009e-174	DPre	SP
St6gal1	6.23952418568436e-177	-1.51292556783554	0.238	0.76	2.1024700696082e-172	DPre	SP
Shisa5	6.91035459869183e-161	-1.32732994032375	0.151	0.62	2.3285130855752e-156	DPre	SP
Cd4	2.43531422965287e-157	1.25480942676695	0.955	0.609	8.20603482823832e-153	DPre	SP
Pfn1	5.84615555341303e-156	-0.912697129178486	0.994	0.999	1.96992057527806e-151	DPre	SP
Mier1	2.94942657084793e-155	1.15126652397734	0.985	0.864	9.93838777312918e-151	DPre	SP
Xrcc6	7.20585952486786e-155	1.3487231123467	0.881	0.491	2.42808642549947e-150	DPre	SP
Glcci1	1.32175132182439e-154	1.14789101122437	0.993	0.827	4.45377325401947e-150	DPre	SP
Rapgef6	5.20981860115239e-154	-1.41917659939812	0.546	0.909	1.75550047584431e-149	DPre	SP
Arl5c	9.78732857326008e-153	1.47386484986545	0.874	0.47	3.29793823604572e-148	DPre	SP
Cd53	8.44002984861393e-148	-1.12010304808423	0.031	0.346	2.84395245778895e-143	DPre	SP
Stk17b	1.18388396098427e-147	-1.32668553608587	0.436	0.849	3.98921539493259e-143	DPre	SP
Rgs10	4.49292804542618e-147	-1.74826694299251	0.478	0.847	1.51393703418681e-142	DPre	SP
Septin7	3.27647474329717e-145	-1.41958194655744	0.589	0.898	1.10404092950141e-140	DPre	SP
Cd226	7.67754414906444e-144	-1.22313414849858	0.041	0.37	2.58702527646876e-139	DPre	SP
Endou	3.77896516025808e-142	1.38368791847971	0.855	0.408	1.27336010040056e-137	DPre	SP
Actb	2.14029485519377e-139	-0.727542013065703	1	1	7.21193754406094e-135	DPre	SP
Lcp1	4.7155936652777e-139	-1.42795247070709	0.233	0.684	1.58896644145197e-134	DPre	SP
Rmnd5a	4.65330717464294e-137	1.09226664330016	0.965	0.774	1.56797838556768e-132	DPre	SP
Ccr4	6.31740508195439e-136	-0.808088061623296	0.014	0.273	2.12871281641535e-131	DPre	SP
Maml2	7.37527182316482e-133	-1.69340963534472	0.329	0.778	2.48517159353362e-128	DPre	SP
Rap1a	4.56541678050314e-132	-1.19266980348631	0.704	0.938	1.53836283835834e-127	DPre	SP
Chrna9	1.7861850844423e-130	1.26939287820118	0.878	0.492	6.01872926053678e-126	DPre	SP
Cytip	4.34155512217836e-129	-1.3975058257403	0.399	0.818	1.46293041396922e-124	DPre	SP
Btla	1.75183329385541e-124	-0.794932781393418	0.002	0.202	5.90297746697521e-120	DPre	SP
Nr4a1	2.16995770871261e-124	-1.29738677801528	0.004	0.212	7.31188949527801e-120	DPre	SP
Ssbp2	3.14695822724439e-121	0.961046806682861	0.989	0.851	1.06039904425227e-116	DPre	SP
Raph1	2.11706859873413e-117	-0.825443772629949	0.03	0.296	7.13367435029453e-113	DPre	SP
Septin11	2.12884970550961e-117	-1.18755816283672	0.105	0.466	7.17337196768519e-113	DPre	SP
Ppm1h	9.07507756980878e-117	1.11402119836813	0.935	0.675	3.05793813792277e-112	DPre	SP
Trac	2.95024749351149e-115	-1.01809443726316	0.703	0.962	9.94115395413632e-111	DPre	SP
Ikzf1	5.21101822117344e-114	-1.0861387484197	0.892	0.985	1.7559046998066e-109	DPre	SP
Cd6	5.6213266149566e-114	-1.35457378454765	0.276	0.68	1.89416221617578e-109	DPre	SP
Hmgb1	1.76758064009841e-112	0.78130890062256	0.998	0.979	5.95603972487562e-108	DPre	SP
Abi2	2.70878342498745e-112	-0.752086821713301	0.023	0.265	9.12751662883771e-108	DPre	SP
Ets2	9.76320006022057e-112	1.23493512148958	0.791	0.408	3.28980789229192e-107	DPre	SP
Tacc2	2.00545919067166e-108	-0.78938470284844	0.021	0.255	6.75759528888723e-104	DPre	SP
Actg1	2.29552691967325e-108	-0.982398322920416	0.81	0.972	7.735007508531e-104	DPre	SP
Mad1l1	7.90776259247119e-108	1.11808422056575	0.868	0.537	2.66459968315909e-103	DPre	SP
Tes	5.7125196106858e-106	-0.932916375895171	0.11	0.461	1.92489060801669e-101	DPre	SP
Nfatc3	2.25796114884973e-105	1.01265375293386	0.92	0.684	7.60842588716405e-101	DPre	SP
Aqp11	2.7717190200501e-105	1.07195720403312	0.881	0.532	9.33958440996083e-101	DPre	SP
Lef1	4.99540091669822e-105	-1.65851814986589	0.828	0.959	1.68325029289063e-100	DPre	SP
Pacsin1	9.54650001014244e-105	-0.724555659309843	0.029	0.273	3.2167886434176e-100	DPre	SP
Plcl2	1.20217299241482e-103	-1.28305263739963	0.25	0.644	4.05084211524097e-99	DPre	SP
Rag2	1.88881696162237e-103	1.31097740592321	0.615	0.165	6.36455763388274e-99	DPre	SP
Egr2	1.61355782650039e-101	-0.661703085193126	0.002	0.165	5.43704445217573e-97	DPre	SP
Basp1	6.4016175220773e-99	-1.09360835932902	0.058	0.337	2.15708904023917e-94	DPre	SP
Gpr174	5.88417630456179e-98	-0.86131986944117	0.061	0.344	1.98273204758514e-93	DPre	SP
Cyb5a	4.38082625361192e-97	0.862619217383959	0.949	0.785	1.47616321441707e-92	DPre	SP
Nsg2	1.89111644462143e-96	1.06198365310307	0.851	0.55	6.37230597179638e-92	DPre	SP
Tpm4	3.60101146050798e-95	-0.832001760987277	0.095	0.412	1.21339682173277e-90	DPre	SP
Themis	3.38601251021317e-93	0.685235359293256	1	0.98	1.14095077544143e-88	DPre	SP
Arid5b	1.95945610485781e-92	-1.13121567663179	0.08	0.37	6.60258329092889e-88	DPre	SP
Desi1	1.05874256069673e-91	1.06982188629906	0.786	0.506	3.56753893252372e-87	DPre	SP
Chl1	1.2079793730913e-91	-0.927583960165205	0.001	0.149	4.07040729556846e-87	DPre	SP
Gramd1b	4.3197231450291e-91	-1.35761034207553	0.091	0.384	1.45557391094901e-86	DPre	SP
Rgcc	5.84359516115222e-91	0.998614058024953	0.871	0.585	1.96905782550185e-86	DPre	SP
Dap	6.90575580404111e-91	-0.807604965906282	0.117	0.443	2.32696347572969e-86	DPre	SP
Dgkeos	1.46291473054497e-90	1.27412878638178	0.59	0.181	4.92943747604435e-86	DPre	SP
Retreg1	1.71300780681028e-90	-0.803644841915257	0.038	0.273	5.77215110582793e-86	DPre	SP
Lef1os1	4.88769862019065e-90	-0.864276353193276	0.044	0.288	1.64695892705944e-85	DPre	SP
Itih5	8.36165131740283e-89	-0.469373521773844	0.004	0.158	2.81754202791206e-84	DPre	SP
Slc7a11	9.92956552915695e-88	1.55183903428937	0.543	0.144	3.34586640070472e-83	DPre	SP
Id3	1.0010491675933e-87	-1.64249595873706	0.41	0.731	3.37313527512239e-83	DPre	SP
Gtf2h4	1.50152752963874e-87	1.10514406039214	0.724	0.393	5.05954716387068e-83	DPre	SP
Btg2	2.96607798328926e-87	0.765407027905478	0.965	0.853	9.99449637249149e-83	DPre	SP
Dnai4	7.82473611319875e-87	1.07787677056305	0.793	0.454	2.63662308070345e-82	DPre	SP
Rcsd1	9.55080215351743e-87	0.97070930546356	0.86	0.585	3.21823829364923e-82	DPre	SP
Fyn	1.86336804862393e-84	-0.974862136155169	0.42	0.773	6.27880497664321e-80	DPre	SP
Ly6d	3.43849674118074e-84	1.41806420377269	0.728	0.362	1.15863586190826e-79	DPre	SP
